"Index" "Open" "High" "Low" "Price"
"2012-09-17" 10.63 10.78 10.19 9.955349
"2012-09-18" 10.46 10.68 10.2 9.719666
"2012-09-19" 10.53 11.24 10.47 10.341873
"2012-09-20" 10.87 10.92 10.66 10.068479
"2012-09-21" 10.83 10.85 10.55 10.059054
"2012-09-24" 10.66 10.94 10.35 9.908213
"2012-09-25" 10.56 10.7 10.28 9.691382
"2012-09-26" 10.31 10.59 10.31 9.898787
"2012-09-27" 10.43 10.51 10.26 9.766802
"2012-09-28" 10.31 10.5 10.15 9.861076
"2012-10-01" 10.35 10.84 10.32 10.134471
"2012-10-02" 10.77 11.13 10.64 10.257029
"2012-10-03" 11.12 11.88 11.07 11.105493
"2012-10-04" 11.83 11.93 11.55 11.001793
"2012-10-05" 11.79 12.22 11.61 10.992365
"2012-10-08" 11.76 11.84 11.52 10.907521
"2012-10-09" 11.57 11.57 11.14 10.652979
"2012-10-10" 11.3 11.43 11.07 10.690691
"2012-10-11" 11.35 11.52 11.01 10.530421
"2012-10-12" 11.2 11.49 11.13 10.709545
"2012-10-15" 11.47 11.66 11.29 10.766108
"2012-10-16" 11.46 11.59 11.33 10.916947
"2012-10-17" 11.46 11.79 11.25 10.954655
"2012-10-18" 11.63 12.12 11.6 11.04893
"2012-10-19" 11.63 11.77 11.33 10.813245
"2012-10-22" 11.49 11.97 11.45 11.237477
"2012-10-23" 11.87 12.17 11.61 11.397744
"2012-10-24" 12.37 12.63 12.09 11.661711
"2012-10-25" 12.23 12.37 11.89 11.284614
"2012-10-26" 12.23 12.34 11.78 11.237477
"2012-10-31" 11.8 12.23 11.55 11.482594
"2012-11-01" 12.17 12.59 12.06 11.831407
"2012-11-02" 12.6 12.69 12.38 11.812551
"2012-11-05" 12.57 12.78 12.53 11.916252
"2012-11-06" 12.61 12.69 12.5 11.944534
"2012-11-07" 12.55 12.68 12.18 11.869116
"2012-11-08" 12.5 13.14 12.46 12.274494
"2012-11-09" 12.94 13.19 12.53 11.887971
"2012-11-12" 12.72 12.81 12.28 11.586295
"2012-11-13" 12.34 12.82 12.28 11.869116
"2012-11-14" 12.65 12.9 11.99 11.322327
"2012-11-15" 12.03 12.48 12 11.369462
"2012-11-16" 12.02 12.03 11.52 11.086638
"2012-11-19" 11.78 12.07 11.7 11.378888
"2012-11-20" 12.04 12.52 11.97 11.774839
"2012-11-21" 12.47 12.52 12.28 11.755986
"2012-11-23" 12.48 12.57 12.36 11.784267
"2012-11-26" 12.41 13 12.2 12.18022
"2012-11-27" 12.54 12.92 12.4 11.991673
"2012-11-28" 12.71 12.98 12.61 12.227356
"2012-11-29" 12.98 13.09 12.81 12.255639
"2012-11-30" 12.98 13.03 12.75 12.151939
"2012-12-03" 12.92 12.92 12.62 11.935105
"2012-12-04" 12.72 12.89 12.06 11.671139
"2012-12-05" 12.46 12.52 11.97 11.416598
"2012-12-06" 12.13 12.68 12.1 11.887971
"2012-12-07" 12.66 13.05 12.45 12.03881
"2012-12-10" 12.79 13.05 12.6 12.048234
"2012-12-11" 12.86 13.26 12.75 12.142509
"2012-12-12" 12.89 13.08 12.65 11.972816
"2012-12-13" 12.76 13.07 12.67 12.227356
"2012-12-14" 12.95 13.15 12.82 12.095372
"2012-12-17" 13.1 13.22 12.73 12.057666
"2012-12-18" 12.85 12.95 12.77 12.208501
"2012-12-19" 12.97 13.67 12.95 12.708153
"2012-12-20" 13.49 13.75 13.43 12.764717
"2012-12-21" 13.25 13.52 13.24 12.670446
"2012-12-24" 13.34 13.55 13.25 12.566742
"2012-12-26" 13.25 13.49 13.16 12.472469
"2012-12-27" 13.24 13.36 12.87 12.349917
"2012-12-28" 13 13.04 12.65 12.057666
"2012-12-31" 12.85 13.68 12.84 12.727009
"2013-01-02" 13.72 14.01 13.6 13.179525
"2013-01-03" 14.02 14.13 13.6 12.877849
"2013-01-04" 13.8 14.87 13.76 13.886581
"2013-01-07" 14.79 14.98 14.53 13.990282
"2013-01-08" 14.89 15.25 14.78 14.291961
"2013-01-09" 15.12 15.5 15.04 14.263678
"2013-01-10" 15.2 15.28 14.84 14.273108
"2013-01-11" 15.1 15.31 14.72 13.93372
"2013-01-14" 14.81 14.81 14.41 13.830016
"2013-01-15" 14.24 14.53 14.11 13.490629
"2013-01-16" 14.39 14.7 14.22 13.792308
"2013-01-17" 14.83 14.87 14.28 13.650896
"2013-01-18" 14.52 14.62 14.3 13.613187
"2013-01-22" 14.47 14.92 14.44 13.999711
"2013-01-23" 15.32 15.64 15.02 14.207113
"2013-01-24" 15.04 15.39 14.44 13.830016
"2013-01-25" 14.7 15.2 14.49 14.112841
"2013-01-28" 15 15.31 14.85 14.169406
"2013-01-29" 14.98 15.04 14.2 13.594331
"2013-01-30" 14.46 14.51 14.21 13.481203
"2013-01-31" 14.28 14.55 14.22 13.46235
"2013-02-01" 14.43 14.57 14.02 13.31151
"2013-02-04" 14.08 14.42 13.95 13.188954
"2013-02-05" 14.13 14.26 13.86 13.283226
"2013-02-06" 14.06 14.58 14.06 13.726316
"2013-02-07" 14.91 15.4 14.63 14.244822
"2013-02-08" 15.07 15.12 14.63 13.905438
"2013-02-11" 14.89 15.01 14.26 13.632041
"2013-02-12" 14.45 14.51 14.1 13.452922
"2013-02-13" 14.3 14.94 14.25 13.820588
"2013-02-14" 14.94 14.96 13.16 13.188954
"2013-02-15" 13.93 14.61 13.93 13.669753
"2013-02-19" 14.33 14.56 14.08 13.443493
"2013-02-20" 14.17 14.26 13.15 12.566742
"2013-02-21" 13.62 13.95 12.9 12.604454
"2013-02-22" 13.57 13.6 13.21 12.793002
"2013-02-25" 13.6 13.76 13 12.274494
"2013-02-26" 13.14 13.42 12.7 12.500753
"2013-02-27" 13.28 13.62 13.18 12.642164
"2013-02-28" 13.49 13.63 13.39 12.661016
"2013-03-01" 13.37 13.95 13.32 12.830709
"2013-03-04" 13.5 14.07 13.47 13.104105
"2013-03-05" 14.01 14.05 13.71 13.24552
"2013-03-06" 14.52 14.68 14.25 13.735744
"2013-03-07" 14.7 14.93 14.5 13.971431
"2013-03-08" 14.99 15.2 14.84 14.065703
"2013-03-11" 14.85 15.15 14.71 14.263678
"2013-03-12" 15.14 15.6 14.95 14.612494
"2013-03-13" 15.54 16.200001 15.48 14.999015
"2013-03-14" 15.98 16.360001 15.93 15.319547
"2013-03-15" 16.450001 16.540001 15.88 15.065009
"2013-03-18" 15.8 16.33 15.71 15.357259
"2013-03-19" 16.48 16.85 16.41 15.819198
"2013-03-20" 17.129999 17.33 16.870001 16.243433
"2013-03-21" 17.209999 17.43 16.870001 16.026611
"2013-03-22" 17.1 17.290001 16.77 15.894626
"2013-03-25" 16.92 17 16.35 15.649507
"2013-03-26" 16.67 16.84 16.5 15.564662
"2013-03-27" 16.48 16.77 16.33 15.696643
"2013-03-28" 17 17.09 16.82 15.998321
"2013-04-01" 17.02 17.129999 16.540001 15.715499
"2013-04-02" 16.48 16.5 15.71 14.838749
"2013-04-03" 15.82 15.92 15.13 14.640773
"2013-04-04" 15.12 15.71 15.12 14.791613
"2013-04-05" 15.17 15.79 15.03 14.819897
"2013-04-08" 15.82 15.97 15.53 14.933023
"2013-04-09" 16.07 16.1 15.67 14.801039
"2013-04-10" 15.74 15.98 15.7 14.87646
"2013-04-11" 15.77 16.379999 15.75 15.262987
"2013-04-12" 16.110001 16.389999 15.95 15.215846
"2013-04-15" 16.200001 16.389999 15.47 14.69734
"2013-04-16" 15.96 16.74 15.81 15.432677
"2013-04-17" 16.17 16.549999 15.9 15.574088
"2013-04-18" 16.540001 16.540001 15.95 15.178139
"2013-04-19" 16.1 16.24 15.85 15.102719
"2013-04-22" 15.99 16 15.5 14.631349
"2013-04-23" 15.33 16.49 15.33 15.366685
"2013-04-24" 16.26 16.5 16 15.508099
"2013-04-25" 16.549999 16.73 16.190001 15.291266
"2013-04-26" 16.379999 16.73 16.16 15.640081
"2013-04-29" 16.700001 16.969999 16.559999 15.847486
"2013-04-30" 16.799999 17.049999 16.57 15.932328
"2013-05-01" 16.91 17.17 16.6 15.649507
"2013-05-02" 16.719999 16.98 16.6 15.970042
"2013-05-03" 17.02 17.190001 16.889999 16.04546
"2013-05-06" 17.049999 17.110001 16.91 16.026611
"2013-05-07" 17.15 17.15 16.950001 16.007748
"2013-05-08" 17.01 17.549999 16.99 16.347141
"2013-05-09" 17.530001 17.860001 17.34 16.384842
"2013-05-10" 17.610001 17.809999 17.41 16.743093
"2013-05-13" 17.74 17.950001 17.57 16.705376
"2013-05-14" 17.82 18.299999 17.799999 17.06362
"2013-05-15" 18.370001 18.99 18.309999 17.732964
"2013-05-16" 18.959999 19.52 18.879999 18.025219
"2013-05-17" 19.379999 19.700001 18.75 17.921516
"2013-05-20" 19.049999 19.389999 18.389999 17.525564
"2013-05-21" 18.549999 18.700001 17.65 16.922209
"2013-05-22" 18.059999 18.43 17.709999 16.903355
"2013-05-23" 17.48 18.450001 17.440001 17.148468
"2013-05-24" 18.110001 18.42 17.889999 17.16732
"2013-05-28" 18.440001 18.719999 18.049999 17.082476
"2013-05-29" 18.059999 18.15 17.65 16.80908
"2013-05-30" 17.92 18.219999 17.66 16.658247
"2013-05-31" 17.66 17.9 17.549999 16.563969
"2013-06-03" 17.540001 17.9 17.4 16.714808
"2013-06-04" 17.780001 18.200001 17.559999 16.639387
"2013-06-05" 17.15 17.620001 16.85 15.979469
"2013-06-06" 16.92 17.08 15.93 15.68722
"2013-06-07" 16.889999 17.1 16.65 16.04546
"2013-06-10" 17.09 17.35 17.049999 16.271715
"2013-06-11" 16.940001 17.26 16.75 15.951184
"2013-06-12" 16.969999 17.200001 16.65 15.913472
"2013-06-13" 16.85 17.07 16.639999 16.036032
"2013-06-14" 16.959999 17.25 16.809999 15.960616
"2013-06-17" 17.02 17.16 16.74 15.979469
"2013-06-18" 16.940001 17.32 16.82 16.234009
"2013-06-19" 17.16 17.27 17 16.083168
"2013-06-20" 16.73 17.18 16.530001 15.772062
"2013-06-21" 16.799999 16.940001 16.049999 15.404392
"2013-06-24" 16.059999 16.139999 15.59 15.206419
"2013-06-25" 16.219999 16.5 16.16 15.517521
"2013-06-26" 16.5 16.639999 16.17 15.24413
"2013-06-27" 16.290001 16.34 16 15.376115
"2013-06-28" 16.24 16.549999 16.16 15.479816
"2013-07-01" 16.5 17.040001 16.48 15.838053
"2013-07-02" 16.780001 16.790001 16.360001 15.489244
"2013-07-03" 16.059999 16.799999 16.040001 15.790923
