"Index" "Open" "High" "Low" "Price"
"2012-09-17" 67.57 69.040001 67.529999 63.764523
"2012-09-18" 67.629997 67.720001 66.910004 63.576672
"2012-09-19" 67.32 69.330002 67.32 64.187729
"2012-09-20" 68.029999 69.220001 67.5 65.061974
"2012-09-21" 69.5 69.5 68.419998 64.366318
"2012-09-24" 68 68.449997 67.660004 63.774071
"2012-09-25" 68.129997 68.260002 67.529999 63.482658
"2012-09-26" 67.550003 68.07 67.150002 63.774071
"2012-09-27" 68.059998 68.269997 67.25 64.037292
"2012-09-28" 67.93 68.599998 67.620003 64.33812
"2012-10-01" 68.529999 68.540001 67.709999 63.915092
"2012-10-02" 68.25 68.629997 67.849998 64.432129
"2012-10-03" 68.900002 69.050003 68.050003 64.046692
"2012-10-04" 68.370003 69.650002 68.110001 65.325188
"2012-10-05" 69.730003 70.639999 69.519997 65.682426
"2012-10-08" 69.650002 71.07 69.459999 66.359245
"2012-10-09" 70.629997 70.93 69.800003 65.738823
"2012-10-10" 69.779999 70.32 68.959999 64.967964
"2012-10-11" 69.550003 69.550003 68.150002 64.385139
"2012-10-12" 68.550003 68.550003 67.900002 63.896301
"2012-10-15" 68.110001 68.110001 66.690002 63.708279
"2012-10-16" 67.519997 68.809998 67.339996 64.08429
"2012-10-17" 68.099998 68.360001 67.32 64.253525
"2012-10-18" 68.18 68.919998 67.220001 64.215904
"2012-10-19" 68.230003 68.629997 67.849998 64.328728
"2012-10-22" 65.760002 66.419998 64.360001 62.185375
"2012-10-23" 65.699997 67.550003 65.07 63.257061
"2012-10-24" 67.489998 67.620003 66.040001 62.843426
"2012-10-25" 67.080002 68.199997 67.080002 63.830494
"2012-10-26" 68.110001 68.349998 67.610001 64.056084
"2012-10-31" 68.650002 71.120003 68.169998 66.688278
"2012-11-01" 70.639999 84 70.080002 76.145332
"2012-11-02" 80.830002 81.230003 79.379997 75.177086
"2012-11-05" 80.099998 81.059998 79.269997 75.947937
"2012-11-06" 80.800003 81.760002 80.160004 75.618896
"2012-11-07" 80.059998 81.089996 79.610001 74.979683
"2012-11-08" 79.650002 81.459999 79.199997 74.641266
"2012-11-09" 78.389999 80.760002 77.989998 73.710587
"2012-11-12" 79.480003 79.82 77.889999 73.578987
"2012-11-13" 78.010002 80.559998 78.010002 74.519043
"2012-11-14" 79.650002 80.099998 77.300003 73.184143
"2012-11-15" 77.489998 78.050003 76.769997 72.855125
"2012-11-16" 77.510002 78 76.900002 72.291069
"2012-11-19" 77.43 78.220001 77.139999 73.127739
"2012-11-20" 77.529999 78.489998 77.110001 72.996117
"2012-11-21" 77.620003 78.190002 77.160004 73.259354
"2012-11-23" 77.830002 79.120003 77.639999 74.302834
"2012-11-26" 78.580002 79.050003 77.589996 73.475571
"2012-11-27" 78.059998 78.07 76.029999 72.018463
"2012-11-28" 76.470001 78.07 76.290001 73.390953
"2012-11-29" 71.449997 74.050003 71.360001 69.499107
"2012-11-30" 73.519997 73.889999 73 68.765846
"2012-12-03" 73.510002 74.220001 71.940002 68.784645
"2012-12-04" 72.849998 72.919998 71.970001 68.042
"2012-12-05" 72.589996 72.959999 72.019997 67.872772
"2012-12-06" 72.339996 72.589996 71.669998 67.637733
"2012-12-07" 72.239998 72.309998 71.480003 67.327553
"2012-12-10" 71.129997 72.949997 71.059998 68.342796
"2012-12-11" 73.099998 73.339996 72.540001 68.465034
"2012-12-12" 73.290001 75.440002 72.629997 68.427399
"2012-12-13" 72.959999 73.610001 72.790001 68.65303
"2012-12-14" 72.970001 73.559998 72.419998 68.23938
"2012-12-17" 72.93 73.489998 72.629997 68.671806
"2012-12-18" 73.309998 73.419998 72.690002 68.5308
"2012-12-19" 73.050003 73.400002 71.989998 67.76873
"2012-12-20" 72.269997 72.910004 71.470001 67.439461
"2012-12-21" 70.940002 71.559998 70.019997 66.112846
"2012-12-24" 70.5 71.089996 70.199997 66.592697
"2012-12-26" 70.779999 71.169998 70.120003 66.423332
"2012-12-27" 70.57 71.529999 70.089996 67.119537
"2012-12-28" 70.919998 71.849998 70.790001 67.27951
"2012-12-31" 71.389999 72.550003 71.300003 68.069817
"2013-01-02" 73.489998 73.760002 71.690002 68.20153
"2013-01-03" 72.849998 73.440002 72.129997 68.20153
"2013-01-04" 72.75 73.639999 72.389999 69.264694
"2013-01-07" 73.150002 73.800003 73.150002 69.029465
"2013-01-08" 73.169998 73.660004 72.139999 67.900459
"2013-01-09" 72.389999 73.220001 72.220001 68.107452
"2013-01-10" 72.559998 72.559998 71.510002 67.514709
"2013-01-11" 72.080002 73.739998 71.480003 68.013351
"2013-01-14" 72.019997 72.830002 71.900002 68.286217
"2013-01-15" 72.360001 73.720001 71.519997 69.283493
"2013-01-16" 73.82 73.82 72.980003 69.020058
"2013-01-17" 73.150002 74.230003 73.099998 69.0765
"2013-01-18" 73.43 73.779999 73.25 69.386978
"2013-01-22" 73.75 74.440002 73.610001 69.697487
"2013-01-23" 73.860001 74.940002 73.779999 70.32782
"2013-01-24" 75 75.480003 74.309998 70.572433
"2013-01-25" 75.010002 75.650002 74.779999 70.798256
"2013-01-28" 75.419998 76.709999 75.25 71.447441
"2013-01-29" 75.830002 75.830002 74.489998 70.158455
"2013-01-30" 74.410004 74.889999 73.5 69.179977
"2013-01-31" 73.470001 74.050003 73.040001 69.17057
"2013-02-01" 73.800003 74.040001 72.959999 69.302292
"2013-02-04" 73.309998 73.720001 72.139999 67.956886
"2013-02-05" 72.470001 73.389999 72.419998 68.935379
