"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.976786 24.992857 24.807501 21.430712
"2012-09-18" 24.995714 25.083214 24.872143 21.495934
"2012-09-19" 25.009287 25.1425 24.984644 21.501751
"2012-09-20" 24.969999 25.002144 24.772142 21.397629
"2012-09-21" 25.086071 25.18107 24.977142 21.440208
"2012-09-24" 24.530714 24.825714 24.392857 21.155392
"2012-09-25" 24.580713 24.742144 24.035713 20.627113
"2012-09-26" 23.883572 24.024643 23.614286 20.371092
"2012-09-27" 23.724644 24.363214 23.583929 20.86537
"2012-09-28" 24.241072 24.325357 23.8125 20.42988
"2012-10-01" 23.969999 24.169643 23.446428 20.193766
"2012-10-02" 23.63607 23.798214 23.237499 20.252575
"2012-10-03" 23.745001 23.995001 23.665358 20.563101
"2012-10-04" 23.973213 24.080357 23.769644 20.420698
"2012-10-05" 23.757143 23.785713 23.26 19.985523
"2012-10-08" 23.102858 23.127144 22.718214 19.543907
"2012-10-09" 22.808929 22.874643 22.269644 19.472855
"2012-10-10" 22.847857 23.035 22.75 19.627823
"2012-10-11" 23.089287 23.114286 22.432142 19.235506
"2012-10-12" 22.484285 22.692142 22.332144 19.284819
"2012-10-15" 22.583929 22.683214 22.280357 19.439478
"2012-10-16" 22.691786 23.225 22.535713 19.899769
"2012-10-17" 23.173929 23.313929 23 19.741131
"2012-10-18" 22.842501 22.930714 22.5 19.374546
"2012-10-19" 22.5375 22.563213 21.772142 18.676298
"2012-10-22" 21.872143 22.692142 21.812857 19.417122
"2012-10-23" 22.535713 22.639286 21.84643 18.784107
"2012-10-24" 22.194286 22.376785 21.808571 18.890371
"2012-10-25" 22.142857 22.214287 21.626785 18.667112
"2012-10-26" 21.765356 21.928572 21.107143 18.497448
"2012-10-31" 21.245714 21.498571 20.989286 18.23163
"2012-11-01" 21.365 21.535713 21.220358 18.268988
"2012-11-02" 21.281786 21.319643 20.526787 17.664455
"2012-11-05" 20.84 20.991785 20.628571 17.903946
"2012-11-06" 21.079643 21.097857 20.717501 17.849739
"2012-11-07" 20.494286 20.519285 19.848213 17.166754
"2012-11-08" 20.022499 20.079643 19.1175 16.543774
"2012-11-09" 19.300714 19.817142 19.061428 16.830194
"2012-11-12" 19.791071 19.803572 19.237499 16.700054
"2012-11-13" 19.246786 19.66 19.155714 16.702209
"2012-11-14" 19.482143 19.551786 19.149286 16.517004
"2012-11-15" 19.1975 19.267857 18.665001 16.170589
"2012-11-16" 18.757143 18.928572 18.0625 16.233967
"2012-11-19" 19.311071 20.267857 19.281429 17.404568
"2012-11-20" 20.425358 20.426786 19.806429 17.256283
"2012-11-21" 20.151787 20.263214 19.878571 17.280584
"2012-11-23" 20.256071 20.428572 20.092857 17.582077
"2012-11-26" 20.567858 21.071428 20.489643 18.136766
"2012-11-27" 21.055357 21.08643 20.717857 17.990643
"2012-11-28" 20.616785 20.921429 20.437857 17.934034
"2012-11-29" 21.079287 21.223213 20.901787 18.131548
"2012-11-30" 20.956785 21.014286 20.809999 18.006021
"2012-12-03" 21.201786 21.235357 20.910713 18.034019
"2012-12-04" 20.77857 20.77857 20.433214 17.715904
"2012-12-05" 20.318214 20.330357 19.241785 16.575766
"2012-12-06" 18.890715 19.76107 18.522499 16.835726
"2012-12-07" 19.764286 19.828571 18.928572 16.405333
"2012-12-10" 18.75 19.2325 18.627857 16.299812
"2012-12-11" 19.2775 19.627144 19.191786 16.655756
"2012-12-12" 19.563213 19.571428 19.1525 16.582228
"2012-12-13" 18.969643 19.201429 18.77857 16.295807
"2012-12-14" 18.383928 18.504642 18.056429 15.683589
"2012-12-17" 18.176071 18.571428 17.901072 15.961699
"2012-12-18" 18.75 19.103571 18.580357 16.425325
"2012-12-19" 18.981071 19.060715 18.767857 16.191824
"2012-12-20" 18.928572 18.935715 18.531429 16.050917
"2012-12-21" 18.3025 18.559643 18.222857 15.977079
"2012-12-24" 18.583929 18.723213 18.525356 16.002924
"2012-12-26" 18.535713 18.552143 18.254286 15.782344
"2012-12-27" 18.340714 18.4375 18.023571 15.84572
"2012-12-28" 18.224644 18.374287 18.147142 15.677434
"2012-12-31" 18.233213 19.121429 18.178572 16.372099
"2013-01-02" 19.779285 19.821428 19.343929 16.890795
"2013-01-03" 19.567142 19.631071 19.321428 16.677599
"2013-01-04" 19.1775 19.236786 18.779642 16.213053
"2013-01-07" 18.642857 18.90357 18.4 16.117683
"2013-01-08" 18.900356 18.996071 18.616072 16.161057
"2013-01-09" 18.660713 18.750357 18.428213 15.908478
"2013-01-10" 18.876785 18.882856 18.411428 16.105682
"2013-01-11" 18.607143 18.761429 18.536428 16.006927
"2013-01-14" 17.952856 18.125 17.803928 15.43624
"2013-01-15" 17.796429 17.821072 17.263571 14.949233
"2013-01-16" 17.665714 18.194286 17.589287 15.569758
"2013-01-17" 18.225357 18.241072 17.929644 15.464847
"2013-01-18" 17.804285 17.936428 17.728571 15.382399
"2013-01-22" 18.02 18.138571 17.736786 15.529151
"2013-01-23" 18.171785 18.3925 18.0275 15.813413
"2013-01-24" 16.428572 16.633215 16.080357 13.859541
"2013-01-25" 16.131786 16.293928 15.535714 13.532819
"2013-01-28" 15.636786 16.186071 15.566429 13.838928
"2013-01-29" 16.375 16.435715 16.147142 14.098583
"2013-01-30" 16.321428 16.521429 16.232143 14.054285
"2013-01-31" 16.320715 16.402857 16.249287 14.013056
"2013-02-01" 16.396786 16.41 16.012501 13.955528
"2013-02-04" 16.211071 16.283571 15.785714 13.607886
"2013-02-05" 15.858929 16.419287 15.793571 14.085356
"2013-02-06" 16.3025 16.660713 16.16357 14.070281
"2013-02-07" 16.544643 16.785713 16.218571 14.488647
"2013-02-08" 16.928572 17.100357 16.723213 14.697826
"2013-02-11" 17.017857 17.319286 16.901787 14.851002
"2013-02-12" 17.125357 17.227858 16.705 14.478743
"2013-02-13" 16.686071 16.915714 16.543571 14.451202
"2013-02-14" 16.59 16.844286 16.572144 14.438209
"2013-02-15" 16.744642 16.79143 16.425714 14.239235
"2013-02-19" 16.467857 16.526072 16.208929 14.233975
"2013-02-20" 16.346071 16.346071 16.02857 13.88926
"2013-02-21" 15.928571 16.041786 15.815 13.802922
"2013-02-22" 16.044643 16.128571 15.95 13.949911
"2013-02-25" 16.208929 16.254286 15.806071 13.702047
"2013-02-26" 15.850714 16.126429 15.630714 13.892969
"2013-02-27" 16.015356 16.158571 15.7375 13.75682
"2013-02-28" 15.858929 15.995357 15.764286 13.658727
"2013-03-01" 15.642857 15.649286 15.356429 13.320505
