"Index" "Open" "High" "Low" "Price"
"2013-01-02" 34.919998 35.400002 34.099998 23.562891
"2013-01-03" 35 35 34.16 23.368328
"2013-01-04" 34.619999 34.889999 34.25 23.073118
"2013-01-07" 34.150002 35.450001 34.150002 23.120087
"2013-01-08" 34.290001 34.639999 33.360001 22.616886
"2013-01-09" 33.610001 33.950001 33.610001 22.744366
"2013-01-10" 33.66 34 33.330002 22.811462
"2013-01-11" 33.59 33.900002 33.349998 22.981182
"2013-01-14" 34.009998 34.25 33.799999 23.144129
"2013-01-15" 33.709999 34.720001 33.709999 23.490377
"2013-01-16" 34.470001 35.540001 34.450001 24.128561
"2013-01-17" 35.75 36.700001 35.75 24.725998
"2013-01-18" 36.43 37.32 36.040001 25.337017
"2013-01-22" 36.98 37.25 35.93 24.725998
"2013-01-23" 36.91 37.84 36.5 25.662888
"2013-01-24" 37.790001 38.52 37.23 25.432066
"2013-01-25" 37.52 37.84 36.639999 25.527103
"2013-01-28" 37.650002 37.869999 36.709999 25.045082
"2013-01-29" 36.709999 37.459999 36.25 25.330223
"2013-01-30" 36.810001 37.529999 36.810001 25.072241
"2013-01-31" 36.84 36.93 36.27 24.909304
"2013-02-01" 36.84 37.200001 36.52 25.241962
"2013-02-04" 36.639999 37.299999 36.549999 25.309858
"2013-02-05" 37.419998 37.73 37.18 25.25555
"2013-02-06" 36.959999 37.279999 36.860001 25.214811
"2013-02-07" 37.57 37.57 35.799999 24.725998
"2013-02-08" 36.369999 36.419998 35.830002 24.610584
"2013-02-11" 36.130001 36.18 35.75 24.33902
"2013-02-12" 35.77 35.900002 35.200001 24.047083
"2013-02-13" 35.419998 35.57 35.150002 23.94524
"2013-02-14" 35.049999 36.73 35.009998 24.827826
"2013-02-15" 36.93 37.810001 36.93 25.51354
"2013-02-19" 37.540001 38.330002 37.110001 25.927673
"2013-02-20" 38.16 39.130001 37.610001 26.212812
"2013-02-21" 38.490002 39.029999 38.189999 26.328228
"2013-02-22" 38.790001 38.849998 38.139999 26.110973
"2013-02-25" 38.540001 38.610001 37.369999 25.370956
"2013-02-26" 37.599998 37.599998 36.959999 25.180861
"2013-02-27" 36.970001 36.98 36.400002 24.936459
"2013-02-28" 36.66 37.139999 36.5 25.065449
"2013-03-01" 36.799999 38.07 36.549999 25.669687
"2013-03-04" 37.529999 38.25 37.529999 25.961609
"2013-03-05" 38.450001 38.57 37.290001 25.466005
"2013-03-06" 37.560001 37.860001 37.369999 25.622164
"2013-03-07" 37.650002 38.009998 37.439999 25.452433
"2013-03-08" 37.639999 37.650002 37.16 25.350599
"2013-03-11" 37.25 38.150002 37.080002 25.574631
"2013-03-12" 37.700001 38.299999 37.049999 25.235182
"2013-03-13" 37.200001 37.59 37.040001 25.235182
"2013-03-14" 37.43 37.59 36.860001 25.49996
"2013-03-15" 37.439999 38.540001 37.279999 26.138132
"2013-03-18" 38.049999 38.490002 37.990002 25.907297
"2013-03-19" 38.25 38.400002 37.84 26.043087
"2013-03-20" 38.5 39.189999 38.41 26.518328
"2013-03-21" 38.82 38.970001 38.48 26.131346
"2013-03-22" 38.57 38.970001 38.299999 26.457228
"2013-03-25" 39.119999 39.52 38.93 26.694839
"2013-03-26" 39.57 40.52 39.57 27.29907
"2013-03-27" 40.220001 40.290001 39.66 27.258333
"2013-03-28" 40.259998 40.799999 39.779999 27.686047
"2013-04-01" 39.959999 41.139999 39.959999 27.916882
"2013-04-02" 41.220001 41.220001 40.52 27.638529
"2013-04-03" 40.75 41.450001 40.349998 27.54348
"2013-04-04" 40.77 41.779999 40.619999 28.242754
"2013-04-05" 41.310001 41.5 41.09 28.045872
"2013-04-08" 41.27 41.869999 41.07 28.358179
"2013-04-09" 41.959999 43.560001 41.799999 28.88773
"2013-04-10" 42.650002 43.77 42.5 29.614162
"2013-04-11" 43.419998 43.709999 43.110001 29.60046
"2013-04-12" 42.970001 43.290001 42.619999 29.525089
"2013-04-15" 42.869999 43.029999 41.41 28.394512
"2013-04-16" 41.669998 42.529999 41.130001 29.086567
"2013-04-17" 42.139999 42.43 41.419998 28.942671
"2013-04-18" 42.369999 42.639999 41.889999 28.997482
