"Index" "Open" "High" "Low" "Price"
"2012-09-17" 37.470001 38.029999 37.41 32.442001
"2012-09-18" 37.849998 38.34 37.57 32.689468
"2012-09-19" 38.259998 38.5 38.169998 32.569988
"2012-09-20" 38 38.369999 37.650002 32.706524
"2012-09-21" 38.459999 39.040001 38.439999 33.252613
"2012-09-24" 38.860001 39.450001 38.66 33.585415
"2012-09-25" 39.360001 39.380001 38.700001 33.150215
"2012-09-26" 38.900002 39.150002 38.59 32.979561
"2012-09-27" 38.700001 39.060001 38.490002 33.2953
"2012-09-28" 38.950001 39.049999 38.639999 33.030773
"2012-10-01" 38.790001 39.07 38.689999 33.269691
"2012-10-02" 39.029999 39.299999 38.759998 33.303825
"2012-10-03" 39.049999 39.220001 38.860001 33.329422
"2012-10-04" 39.23 39.700001 39.139999 33.585415
"2012-10-05" 39.439999 39.849998 39.290001 33.721935
"2012-10-08" 39.470001 39.869999 39.349998 33.94379
"2012-10-09" 39.720001 39.880001 39.23 33.858467
"2012-10-10" 39.560001 39.610001 39.150002 33.611019
"2012-10-11" 39.509998 39.700001 39.34 33.679276
"2012-10-12" 39.509998 39.720001 39.380001 33.70488
"2012-10-15" 39.5 39.93 39.369999 34.054718
"2012-10-16" 40 40.849998 39.91 34.771473
"2012-10-17" 40.830002 40.950001 40.369999 34.583755
"2012-10-18" 40.43 40.849998 40.380001 34.711754
"2012-10-19" 40.610001 40.639999 40.110001 34.370441
"2012-10-22" 40.189999 40.560001 39.900002 34.498428
"2012-10-23" 40 40.130001 39.759998 34.071785
"2012-10-24" 39.970001 40.16 39.630001 33.8414
"2012-10-25" 39.98 40.360001 39.41 33.926727
"2012-10-26" 39.790001 39.900002 39.220001 33.568344
"2012-10-31" 39.619999 39.889999 39.279999 33.653664
"2012-11-01" 39.549999 41.119999 39.509998 34.916534
"2012-11-02" 41 41.23 40.48 34.55817
"2012-11-05" 40.279999 40.580002 40.119999 34.353359
"2012-11-06" 40.25 40.619999 40 34.438698
"2012-11-07" 40.130001 40.970001 39.650002 34.780006
"2012-11-08" 40.650002 40.849998 39.93 34.413105
"2012-11-09" 40.25 40.82 40.029999 34.532543
"2012-11-12" 40.599998 40.599998 39.919998 34.182705
"2012-11-13" 40 40.990002 39.900002 34.737339
"2012-11-14" 40.34 40.939999 40.119999 34.310699
"2012-11-15" 40.150002 40.360001 39.900002 34.447941
"2012-11-16" 40.23 40.459999 39.939999 34.533718
"2012-11-19" 40.48 40.790001 40.369999 34.902554
"2012-11-20" 40.619999 40.799999 40.400002 34.996914
"2012-11-21" 40.779999 40.91 40.689999 35.039806
"2012-11-23" 40.849998 41.490002 40.82 35.494415
"2012-11-26" 41.349998 41.490002 41.150002 35.554485
"2012-11-27" 41.18 41.509998 41.080002 35.357185
"2012-11-28" 41.16 41.290001 40.84 35.340031
"2012-11-29" 41.490002 41.779999 41.34 35.61451
"2012-11-30" 41.560001 42.240002 41.470001 36.214951
"2012-12-03" 42.259998 42.59 42.189999 36.377914
"2012-12-04" 42.330002 42.849998 42.330002 36.669563
"2012-12-05" 42.75 42.75 42.02 36.249245
"2012-12-06" 42.330002 42.720001 42.200001 36.506588
"2012-12-07" 42.779999 42.790001 42.150002 36.257839
"2012-12-10" 42.310001 42.5 42.139999 36.223522
"2012-12-11" 42.459999 43.18 42.389999 36.986942
"2012-12-12" 43.200001 43.25 42.32 36.635254
"2012-12-13" 42.779999 43.150002 42.549999 36.755341
"2012-12-14" 42.709999 43.380001 42.619999 37.192795
"2012-12-17" 43.360001 43.779999 43.27 37.553055
"2012-12-18" 43.759998 44.02 43.549999 37.664577
"2012-12-19" 43.900002 43.959999 43.459999 37.441547
"2012-12-20" 43.75 43.810001 43.470001 37.570213
"2012-12-21" 43.439999 43.93 43.439999 37.432972
"2012-12-24" 43.52 43.68 43.209999 37.278576
"2012-12-26" 43.5 43.610001 42.950001 36.986942
"2012-12-27" 43.18 43.34 42.759998 37.081291
"2012-12-28" 43.119999 43.34 42.799999 36.72961
"2012-12-31" 42.740002 43.220001 42.630001 37.038403
"2013-01-02" 43.59 43.740002 43.220001 37.30431
"2013-01-03" 43.540001 43.549999 43.200001 37.227116
"2013-01-04" 43.220001 43.720001 43.009998 37.475861
"2013-01-07" 43.700001 43.889999 43.5 37.595943
"2013-01-08" 43.759998 44.099998 43.73 37.544498
"2013-01-09" 43.810001 43.990002 43.580002 37.544498
"2013-01-10" 43.950001 43.990002 43.689999 37.647419
"2013-01-11" 43.919998 44 43.509998 37.604527
"2013-01-14" 43.990002 44.369999 43.799999 37.990532
"2013-01-15" 44.279999 45.169998 44.200001 38.659584
"2013-01-16" 45.110001 45.310001 44.889999 38.616692
"2013-01-17" 45.27 45.68 45.209999 39.045582
"2013-01-18" 45.470001 45.849998 45.279999 39.328644
"2013-01-22" 45.900002 45.91 45.310001 39.131359
"2013-01-23" 45.669998 46.59 45.599998 39.61171
"2013-01-24" 45.919998 46.150002 44.73 39.21714
"2013-01-25" 45.779999 45.84 44.869999 38.625286
"2013-01-28" 45.060001 45.209999 44.869999 38.693901
"2013-01-29" 45.130001 45.77 45.02 39.062737
"2013-01-30" 45.619999 45.98 45.5 39.097046
"2013-01-31" 45.52 45.560001 45.169998 38.916912
"2013-02-01" 45.400002 46.77 45.400002 39.911922
"2013-02-04" 46.349998 46.610001 45.990002 39.491623
"2013-02-05" 46.189999 46.459999 46.029999 39.697491
"2013-02-06" 46.18 46.470001 46.169998 39.860447
"2013-02-07" 46.48 46.619999 45.990002 39.800415
"2013-02-08" 46.52 46.900002 46.459999 40.220718
"2013-02-11" 46.849998 47 46.5 40.109207
"2013-02-12" 46.700001 47.049999 46.599998 40.280777
"2013-02-13" 46.740002 46.900002 46.599998 40.185982
"2013-02-14" 46.669998 46.990002 46.599998 40.298
"2013-02-15" 46.77 47.09 46.509998 40.151527
"2013-02-19" 46.669998 47.240002 46.619999 40.685734
"2013-02-20" 47.220001 47.389999 46.59 40.160133
"2013-02-21" 46.48 46.619999 46.16 40.048134
"2013-02-22" 46.48 47.029999 46.380001 40.453091
"2013-02-25" 47.099998 47.25 46.18 39.78965
"2013-02-26" 46.380001 46.619999 46.080002 40.125675
"2013-02-27" 46.66 47.209999 46.580002 40.522026
"2013-02-28" 46.959999 47.509998 46.810001 40.668499
"2013-03-01" 47.220001 48.139999 46.889999 41.340553
"2013-03-04" 47.830002 48.25 47.66 41.573196
"2013-03-05" 48.040001 48.400002 47.959999 41.59042
"2013-03-06" 48.439999 48.799999 48.27 41.771378
"2013-03-07" 48.439999 48.650002 47.68 41.426723
"2013-03-08" 48.27 48.509998 47.970001 41.771378
"2013-03-11" 48.360001 48.740002 48.290001 41.831688
"2013-03-12" 48.52 48.849998 48.439999 41.91785
"2013-03-13" 48.709999 48.900002 48.57 42.098789
"2013-03-14" 49 49.389999 48.91 42.46928
"2013-03-15" 49.139999 49.240002 48.82 42.12463
"2013-03-18" 48.32 48.669998 48.16 41.616276
"2013-03-19" 51.389999 52.150002 49.919998 43.132744
"2013-03-20" 50.310001 50.450001 49.720001 43.287815
"2013-03-21" 50.110001 50.540001 49.560001 42.900089
"2013-03-22" 49.799999 49.919998 49.599998 42.925934
"2013-03-25" 49.950001 50.950001 49.84 43.589382
"2013-03-26" 50.860001 51.209999 50.470001 43.701397
"2013-03-27" 50.509998 50.900002 50.330002 43.69278
"2013-03-28" 50.959999 51.57 50.790001 44.330376
"2013-04-01" 51.380001 51.66 51.290001 44.494102
"2013-04-02" 51.919998 53.360001 51.849998 45.157536
"2013-04-03" 52.57 52.830002 51.310001 44.537174
"2013-04-04" 51.689999 52.830002 51.669998 44.649178
"2013-04-05" 51.43 52.119999 51.41 44.873215
"2013-04-08" 52.18 52.700001 51.689999 45.347092
"2013-04-09" 52.75 53.150002 52.490002 45.596962
"2013-04-10" 53.93 54 53.080002 45.924374
"2013-04-11" 53.279999 54.16 53.25 46.363808
"2013-04-12" 53.779999 54.330002 53.68 46.682613
"2013-04-15" 54.139999 54.349998 53.84 46.561981
"2013-04-16" 54.48 54.990002 54.119999 47.346054
"2013-04-17" 54.779999 55.189999 54.450001 47.440838
"2013-04-18" 55.060001 56.07 55.02 47.768257
"2013-04-19" 55.610001 55.990002 55.240002 48.181835
"2013-04-22" 56.419998 56.439999 55.650002 48.423077
"2013-04-23" 56.389999 56.91 55.939999 48.509247
"2013-04-24" 56.330002 56.599998 55.630001 48.095669
"2013-04-25" 55.82 56 53.130001 46.019157
"2013-04-26" 53 53.599998 52.779999 45.889908
"2013-04-29" 53.330002 54.279999 53.25 46.57922
"2013-04-30" 54.07 54.130001 53.599998 46.630913
"2013-05-01" 54.060001 54.400002 53.759998 46.389664
"2013-05-02" 53.849998 54.860001 53.77 47.259895
"2013-05-03" 55.009998 55.080002 54.419998 47.018639
"2013-05-06" 54.490002 54.709999 54.34 46.872169
"2013-05-07" 54.59 55.040001 54.369999 47.371895
"2013-05-08" 55.029999 55.209999 54.619999 47.475304
"2013-05-09" 54.91 55.09 54.490002 47.225422
"2013-05-10" 54.98 55 54.630001 47.251278
"2013-05-13" 54.68 54.880001 54.450001 46.941086
"2013-05-14" 54.470001 54.990002 54.25 47.354664
"2013-05-15" 55 55.48 54.650002 47.397751
"2013-05-16" 54.639999 55.060001 54.290001 47.051788
"2013-05-17" 54.439999 55.07 54.18 47.562096
"2013-05-20" 55.009998 55.23 54.709999 47.415051
"2013-05-21" 54.77 54.939999 54.400002 47.268017
"2013-05-22" 54.720001 55.110001 54.369999 47.103676
"2013-05-23" 54.32 54.799999 54.049999 47.207478
"2013-05-24" 54.360001 54.560001 54.040001 47.086376
"2013-05-28" 54.77 55.200001 54.040001 47.025833
"2013-05-29" 54.169998 54.5 53.220001 46.619324
"2013-05-30" 54 55.02 53.900002 47.32856
"2013-05-31" 54.490002 54.720001 54.080002 46.775013
"2013-06-03" 54.009998 54.139999 52.380001 45.564121
"2013-06-04" 52.73 53.400002 52.689999 46.065765
"2013-06-05" 53.040001 53.369999 52.84 45.754402
"2013-06-06" 52.810001 53.080002 52.439999 45.451679
"2013-06-07" 52.700001 53.25 52.700001 45.788998
"2013-06-10" 53.130001 53.84 52.970001 46.454983
"2013-06-11" 53.959999 55.18 53.939999 47.406395
"2013-06-12" 55.02 55.349998 54.720001 47.354504
"2013-06-13" 54.610001 54.689999 54.040001 47.190166
"2013-06-14" 54.439999 55.209999 54.400002 47.510193
"2013-06-17" 55.130001 55.68 55.049999 48.141579
"2013-06-18" 55.68 55.98 55.389999 48.314579
"2013-06-19" 55.779999 56.389999 55.389999 48.055092
"2013-06-20" 55.470001 55.610001 54.009998 46.826904
"2013-06-21" 54.240002 54.93 54.150002 46.999889
"2013-06-24" 54.02 54.310001 53.25 46.368492
"2013-06-25" 53.740002 53.77 53.060001 46.316601
"2013-06-26" 53.779999 55.290001 53.779999 47.605324
"2013-06-27" 55.369999 55.759998 55.099998 47.83886
"2013-06-28" 55.5 56.330002 55.029999 48.288616
"2013-07-01" 56.110001 56.23 54.970001 47.579384
"2013-07-02" 55.040001 55.32 54.66 47.423691
"2013-07-03" 54.5 55.240002 54.400002 47.648586
"2013-07-05" 55.509998 55.66 54.900002 48.055092
"2013-07-08" 55.830002 56.299999 55.59 48.67783
"2013-07-09" 56.470001 56.84 55.810001 48.357811
"2013-07-10" 55.950001 56.599998 55.91 48.911366
"2013-07-11" 57.080002 58.150002 57.080002 50.25201
"2013-07-12" 58.02 58.419998 57.68 50.502815
"2013-07-15" 58.57 58.82 58.07 50.373089
"2013-07-16" 58.330002 58.610001 58.139999 50.407681
"2013-07-17" 58.380001 58.68 58.169998 50.572014
"2013-07-18" 58.580002 58.950001 58.040001 50.433636
"2013-07-19" 58.25 58.900002 58.130001 50.866104
"2013-07-22" 58.740002 59.099998 58.599998 51.021782
"2013-07-23" 58.970001 59 57.599998 49.845478
"2013-07-24" 58.32 59.299999 56.580002 49.101646
"2013-07-25" 56.200001 57.689999 55.799999 49.828186
"2013-07-26" 57.41 58.580002 57.279999 50.572014
"2013-07-29" 58.369999 58.779999 58.169998 50.502815
"2013-07-30" 58.84 58.889999 58.09 50.364441
"2013-07-31" 58.540001 58.970001 58 50.399033
"2013-08-01" 58.389999 59.119999 58.369999 50.857452
"2013-08-02" 58.75 58.799999 58.25 50.580658
"2013-08-05" 58.380001 59.09 58.290001 51.056377
"2013-08-06" 59.029999 59.029999 58.360001 50.736362
"2013-08-07" 58.310001 59.169998 58.209999 50.80555
"2013-08-08" 59.360001 59.669998 58.889999 51.558033
"2013-08-09" 59.459999 59.75 59.240002 51.454239
"2013-08-12" 58.900002 59.240002 58.450001 50.744999
"2013-08-13" 58.700001 58.970001 57.98 50.286598
"2013-08-14" 58.139999 58.59 58 50.191452
"2013-08-15" 57.709999 57.779999 56.790001 49.714016
"2013-08-16" 57 57.189999 56.529999 49.071644
"2013-08-19" 56.540001 57.09 56.5 49.349438
"2013-08-20" 56.919998 57.610001 56.790001 49.870266
"2013-08-21" 57.259998 57.540001 56.939999 49.540401
"2013-08-22" 57.220001 57.66 57.139999 49.852901
"2013-08-23" 57.41 57.630001 57.099998 49.870266
"2013-08-26" 57.41 57.779999 57.32 49.861591
"2013-08-27" 57.040001 57.119999 56.59 49.366806
"2013-08-28" 56.82 57.130001 56.240002 49.444927
"2013-08-29" 56.869999 57.330002 56.66 49.609844
"2013-08-30" 57.189999 57.389999 56.639999 49.410191
"2013-09-03" 57.459999 57.880001 57.209999 49.818188
"2013-09-04" 57.630001 58.299999 57.59 50.460541
"2013-09-05" 58 58.330002 57.880001 50.477917
"2013-09-06" 58.200001 58.630001 57.470001 50.556042
"2013-09-09" 58.310001 58.790001 58.150002 50.920635
"2013-09-10" 59 59.5 58.889999 51.536938
"2013-09-11" 59.43 60.490002 59.41 52.509193
"2013-09-12" 60.419998 61.02 60.369999 52.483139
"2013-09-13" 60.630001 60.779999 60.09 52.326893
"2013-09-16" 60.799999 61.259998 60.66 52.908497
"2013-09-17" 61 61.59 60.93 53.464066
"2013-09-18" 61.630001 61.709999 60.810001 53.377254
"2013-09-19" 61.849998 62.439999 61.779999 54.019627
"2013-09-20" 62.23 62.299999 61.48 53.516136
"2013-09-23" 61.68 61.830002 61.279999 53.446697
"2013-09-24" 61.73 61.900002 60.84 52.873756
"2013-09-25" 60.830002 61.330002 60.830002 52.960571
"2013-09-26" 60.970001 61.439999 60.689999 53.09079
"2013-09-27" 60.91 61.349998 60.73 53.194969
"2013-09-30" 60.900002 61.27 60.689999 53.038708
"2013-10-01" 61.18 62.5 61.099998 54.236629
"2013-10-02" 62.18 62.299999 61.580002 53.993572
"2013-10-03" 62.060001 62.34 61.18 53.316486
"2013-10-04" 61.59 62.540001 61.419998 54.227951
"2013-10-07" 62.27 62.360001 61.880001 53.79393
"2013-10-08" 61.98 62.450001 61.07 53.116817
"2013-10-09" 61.290001 61.48 60.779999 53.186275
"2013-10-10" 61.799999 62.48 61.639999 54.193222
"2013-10-11" 62.48 62.880001 62.380001 54.384197
"2013-10-14" 62.459999 63.139999 62.18 54.783504
"2013-10-15" 63.049999 63.279999 62.630001 54.523087
"2013-10-16" 63.029999 63.759998 62.939999 55.339069
"2013-10-17" 63.77 64.800003 63.650002 56.094296
"2013-10-18" 64.980003 65.059998 64.330002 56.085587
