"Index" "Open" "High" "Low" "Price"
"2012-09-17" 20.25 20.59 20.08 20.27
"2012-09-18" 20.27 21.139999 20.209999 21.01
"2012-09-19" 21.030001 21.299999 20.780001 21.209999
"2012-09-20" 21.110001 21.559999 21.07 21.469999
"2012-09-21" 21.65 22.48 21.549999 22.049999
"2012-09-24" 21.950001 21.950001 21.34 21.549999
"2012-09-25" 21.75 22.700001 21.4 22.24
"2012-09-26" 22.17 22.33 21.4 21.450001
"2012-09-27" 21.629999 21.85 21.42 21.440001
"2012-09-28" 21.32 21.440001 20.9 20.99
"2012-10-01" 21.08 21.290001 20.940001 21.040001
"2012-10-02" 21.110001 21.26 20.75 20.809999
"2012-10-03" 20.91 21.02 20.41 20.629999
"2012-10-04" 20.780001 20.969999 20.57 20.799999
"2012-10-05" 20.889999 21.129999 20.620001 20.700001
"2012-10-08" 20.6 20.780001 20.33 20.49
"2012-10-09" 20.389999 20.389999 19.9 20
"2012-10-10" 19.93 20.459999 19.879999 20.450001
"2012-10-11" 20.540001 20.700001 20.040001 20.24
"2012-10-12" 20.190001 20.370001 19.940001 19.99
"2012-10-15" 20.040001 20.51 19.85 20.51
"2012-10-16" 20.6 21.02 20.370001 21
"2012-10-17" 21 21.049999 20.5 20.639999
"2012-10-18" 20.15 20.59 19.870001 20.33
"2012-10-19" 20.17 20.219999 19.620001 19.700001
"2012-10-22" 19.57 19.629999 18.690001 19.049999
"2012-10-23" 18.889999 19.08 18.52 18.690001
"2012-10-24" 18.799999 19.01 18.540001 18.700001
"2012-10-25" 18.870001 18.98 18.23 18.93
"2012-10-26" 18.99 19.4 18.879999 18.92
"2012-10-31" 18.889999 20 18.83 19.82
"2012-11-01" 15.8 15.9 13.12 13.61
"2012-11-02" 14.26 15.35 13.77 13.86
"2012-11-05" 13.92 13.92 12.98 13.48
"2012-11-06" 13.58 13.7 13.17 13.34
"2012-11-07" 13.16 13.28 12.72 13.06
"2012-11-08" 13.08 13.2 12.87 12.89
"2012-11-09" 12.73 13.29 12.5 13.26
"2012-11-12" 13.26 13.59 13.13 13.5
"2012-11-13" 13.56 13.73 13.47 13.54
"2012-11-14" 13.61 13.73 13.48 13.51
"2012-11-15" 13.51 13.93 13.4 13.86
"2012-11-16" 13.84 14.35 13.84 14.3
"2012-11-19" 14.39 14.4 14 14.09
"2012-11-20" 14.07 14.13 13.77 13.89
"2012-11-21" 13.86 13.98 13.76 13.97
"2012-11-23" 14 14.4 13.8 14.25
"2012-11-26" 14.18 14.38 13.98 14.31
"2012-11-27" 14.25 14.94 14.19 14.65
"2012-11-28" 13.49 14.31 12.85 14.17
"2012-11-29" 14.32 14.54 13.93 13.94
"2012-11-30" 13.94 13.94 13.18 13.35
"2012-12-03" 13.47 13.47 12.7 12.8
"2012-12-04" 13.04 13.27 12.82 13.06
"2012-12-05" 13.08 13.23 12.86 12.88
"2012-12-06" 12.88 12.88 12.88 12.88
"2012-12-07" 12 12.88 11.8 12.49
"2012-12-10" 12.42 13.65 12.42 13.44
"2012-12-11" 13.55 13.99 13.44 13.83
"2012-12-12" 13.84 14.06 12.78 13.04
"2012-12-13" 13.05 13.24 13 13.11
"2012-12-14" 13.08 13.23 12.78 12.88
"2012-12-17" 12.92 13.12 12.83 12.97
"2012-12-18" 13.65 13.86 13.37 13.41
"2012-12-19" 13.43 13.57 13.25 13.52
"2012-12-20" 13.65 13.7 13.47 13.62
"2012-12-21" 13.56 13.8 13.41 13.66
"2012-12-24" 13.7 13.8 13.44 13.56
"2012-12-26" 13.55 13.73 13.3 13.67
"2012-12-27" 13.55 13.7 13.4 13.63
"2012-12-28" 13.54 13.7 13.41 13.46
"2012-12-31" 13.36 13.67 12.95 13.44
"2013-01-02" 13.69 14.13 13.68 13.69
"2013-01-03" 13.74 13.77 13.39 13.45
"2013-01-04" 13.44 13.56 13.31 13.41
"2013-01-07" 13.31 13.4 12.94 13.25
"2013-01-08" 13.28 13.5 13.16 13.21
"2013-01-09" 13.2 13.2 12.75 12.84
"2013-01-10" 12.94 13 12.73 12.8
"2013-01-11" 12.87 12.9 12.08 12.25
"2013-01-14" 12.19 12.41 12 12.32
"2013-01-15" 12.31 12.32 12.07 12.17
"2013-01-16" 12.18 12.69 11.96 12.45
"2013-01-17" 12.56 12.99 12.54 12.85
"2013-01-18" 12.83 12.84 12.22 12.47
"2013-01-22" 12.49 12.66 12.41 12.53
"2013-01-23" 12.56 12.68 12.45 12.66
"2013-01-24" 12.61 13.12 12.57 13.06
"2013-01-25" 13.12 13.21 12.93 13.19
"2013-01-28" 13.23 13.77 13.18 13.6
"2013-01-29" 13.59 14 13.46 13.8
"2013-01-30" 13.72 13.83 13.41 13.44
"2013-01-31" 13.39 14.08 13.01 13.95
"2013-02-01" 13.97 14.13 13.6 13.97
"2013-02-04" 13.81 14.03 13.76 13.93
"2013-02-05" 14 14.59 13.88 14.41
"2013-02-06" 14.35 14.35 12.41 13.54
"2013-02-07" 13.66 14.15 13.66 13.79
"2013-02-08" 13.84 14.02 13.69 13.76
"2013-02-11" 13.74 14 13.74 14
"2013-02-12" 14.01 14.22 13.9 14.04
"2013-02-13" 14.03 14.76 14.03 14.71
"2013-02-14" 14.65 14.81 14.37 14.71
