"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.290001 33.419998 32.990002 33.41
"2012-09-18" 33.23 33.259998 32.490002 32.57
"2012-09-19" 32.799999 33.169998 32.459999 33.119999
"2012-09-20" 33.25 34.549999 33 34.529999
"2012-09-21" 34.360001 34.490002 33.470001 33.830002
"2012-09-24" 33.389999 33.759998 33.259998 33.419998
"2012-09-25" 33.700001 33.75 32.869999 32.900002
"2012-09-26" 32.91 32.98 32.419998 32.529999
"2012-09-27" 32.669998 32.939999 32.43 32.799999
"2012-09-28" 32.650002 32.93 32.389999 32.439999
"2012-10-01" 32.580002 32.849998 32.349998 32.619999
"2012-10-02" 32.82 32.91 32.32 32.57
"2012-10-03" 32.73 32.849998 32.52 32.599998
"2012-10-04" 32.540001 32.790001 32.200001 32.68
"2012-10-05" 32.830002 33.029999 32.389999 32.470001
"2012-10-08" 32.259998 32.470001 32.02 32.23
"2012-10-09" 32.220001 32.25 31.559999 31.690001
"2012-10-10" 31.639999 31.799999 31.33 31.51
"2012-10-11" 31.85 31.91 31.58 31.780001
"2012-10-12" 31.780001 32.049999 31.690001 31.940001
"2012-10-15" 32.009998 32.349998 31.879999 32.330002
"2012-10-16" 32.439999 33.349998 32.299999 33.240002
"2012-10-17" 33.119999 33.540001 32.919998 33.439999
"2012-10-18" 33.450001 33.68 33.240002 33.470001
"2012-10-19" 33.450001 33.650002 33.139999 33.240002
"2012-10-22" 33.439999 33.549999 33.169998 33.490002
"2012-10-23" 33.189999 33.439999 32.970001 33.310001
"2012-10-24" 33.560001 33.599998 33.279999 33.360001
"2012-10-25" 33.529999 33.689999 33.27 33.400002
"2012-10-26" 33.130001 34.09 32.990002 34.009998
"2012-10-31" 34 34.049999 33.759998 34.029999
"2012-11-01" 34.080002 34.639999 33.889999 34.360001
"2012-11-02" 34.59 34.599998 34.23 34.389999
"2012-11-05" 34.18 34.330002 33.84 34.240002
"2012-11-06" 34.419998 34.66 34.240002 34.389999
"2012-11-07" 34.110001 34.150002 33.459999 33.470001
"2012-11-08" 33.5 33.57 32.919998 32.98
"2012-11-09" 33.009998 33.279999 32.889999 32.900002
"2012-11-12" 32.950001 33.029999 32.66 32.700001
"2012-11-13" 32.549999 32.919998 32.349998 32.540001
"2012-11-14" 32.599998 32.77 32.16 32.240002
"2012-11-15" 32.380001 32.720001 32.139999 32.639999
"2012-11-16" 32.580002 32.75 32.27 32.650002
"2012-11-19" 32.93 33 32.709999 32.919998
"2012-11-20" 32.799999 32.950001 32.52 32.639999
"2012-11-21" 32.75 32.98 32.529999 32.84
"2012-11-23" 33.060001 33.43 32.990002 33.400002
"2012-11-26" 33.220001 33.330002 33.049999 33.290001
"2012-11-27" 33.189999 33.59 33.16 33.18
"2012-11-28" 33.16 33.939999 32.939999 33.880001
"2012-11-29" 34.080002 34.169998 33.779999 34.09
"2012-11-30" 34.189999 34.810001 33.849998 34.610001
"2012-12-03" 34.779999 34.849998 34.57 34.700001
"2012-12-04" 34.790001 35.639999 34.669998 35.299999
"2012-12-05" 35.299999 35.630001 34.860001 35.400002
"2012-12-06" 35.25 35.68 35 35.139999
"2012-12-07" 35.400002 35.5 34.939999 35.48
"2012-12-10" 35.450001 35.779999 35.400002 35.75
"2012-12-11" 35.799999 36.110001 35.470001 35.540001
"2012-12-12" 35.73 36.279999 35.689999 35.959999
"2012-12-13" 36.009998 36.5 35.189999 35.529999
"2012-12-14" 37.200001 38.099998 37 37.560001
"2012-12-17" 37.07 37.43 36.900002 37.419998
"2012-12-18" 37.419998 37.509998 37.18 37.490002
"2012-12-19" 37.389999 38.25 37.349998 38.09
"2012-12-20" 38.080002 38.16 37.790001 37.869999
"2012-12-21" 37.360001 38 37.349998 37.709999
"2012-12-24" 37.759998 37.82 37.310001 37.529999
"2012-12-26" 37.48 37.990002 37.259998 37.549999
"2012-12-27" 37.490002 37.619999 36.830002 37.299999
"2012-12-28" 36.91 37.400002 36.889999 36.900002
"2012-12-31" 36.799999 37.700001 36.650002 37.68
"2013-01-02" 37.919998 38.73 37.919998 38.34
"2013-01-03" 38.139999 38.299999 37.66 37.75
"2013-01-04" 37.880001 38.189999 37.619999 38.130001
"2013-01-07" 37.810001 38.209999 37.700001 37.939999
"2013-01-08" 37.779999 38.200001 37.75 38.139999
"2013-01-09" 38.16 38.709999 38.099998 38.66
"2013-01-10" 38.75 38.779999 38.09 38.619999
"2013-01-11" 38.650002 38.73 37.889999 38.09
"2013-01-14" 37.990002 38.200001 37.810001 38.16
"2013-01-15" 37.860001 38.459999 37.84 38.150002
"2013-01-16" 38.119999 38.27 37.810001 37.880001
"2013-01-17" 37.759998 38.09 37.709999 37.73
"2013-01-18" 37.810001 37.990002 37.360001 37.98
"2013-01-22" 37.869999 38.02 37.57 37.950001
"2013-01-23" 37.939999 38.279999 37.889999 38.25
"2013-01-24" 38.150002 38.700001 37.990002 38.110001
"2013-01-25" 38.049999 38.529999 38.02 38.32
"2013-01-28" 37.91 38.41 37.900002 38.240002
"2013-01-29" 38.110001 38.560001 37.810001 38.52
"2013-01-30" 38.5 38.509998 37.880001 37.939999
"2013-01-31" 38 38.23 37.68 37.830002
"2013-02-01" 38.200001 38.48 37.91 38.34
"2013-02-04" 38.189999 38.439999 37.82 38.099998
"2013-02-05" 38.200001 38.57 38.009998 38.509998
"2013-02-06" 38.360001 38.650002 38.259998 38.400002
"2013-02-07" 38.259998 38.389999 37.66 38.07
"2013-02-08" 38.310001 39.450001 38.150002 39.119999
"2013-02-11" 38.990002 39.049999 38.529999 38.639999
"2013-02-12" 38.549999 39.130001 38.119999 38.889999
"2013-02-13" 38.900002 39.150002 38.669998 38.810001
"2013-02-14" 38.700001 38.919998 38.299999 38.610001
"2013-02-15" 38.509998 38.759998 38.380001 38.630001
"2013-02-19" 38.580002 39 38.52 38.990002
"2013-02-20" 39.049999 39.279999 38.75 38.77
"2013-02-21" 38.82 38.82 38.299999 38.34
"2013-02-22" 38.540001 38.869999 38.369999 38.549999
"2013-02-25" 38.66 39.09 38.099998 38.110001
"2013-02-26" 38.139999 38.66 38.09 38.59
"2013-02-27" 38.32 39.75 38.099998 39.599998
"2013-02-28" 39.540001 39.939999 39.290001 39.310001
"2013-03-01" 39.299999 39.880001 38.959999 39.830002
"2013-03-04" 39.740002 40.470001 39.450001 40.459999
"2013-03-05" 40.759998 41.490002 40.68 41.459999
"2013-03-06" 41.470001 41.77 41.130001 41.290001
"2013-03-07" 41.400002 41.59 41.200001 41.5
"2013-03-08" 41.75 41.91 41.32 41.5
"2013-03-11" 41.119999 41.540001 40.959999 41.48
"2013-03-12" 41.529999 41.529999 41.150002 41.400002
"2013-03-13" 41.5 41.810001 41.299999 41.59
"2013-03-14" 41.82 41.93 41.439999 41.619999
"2013-03-15" 41.450001 41.790001 41.32 41.380001
"2013-03-18" 41.080002 41.48 40.209999 41.060001
"2013-03-19" 41.099998 41.369999 40.490002 40.75
"2013-03-20" 42.700001 43.23 41.990002 42.459999
"2013-03-21" 41.990002 42.630001 41.900002 42.18
"2013-03-22" 42.169998 43.23 42.110001 42.970001
"2013-03-25" 42.900002 43.419998 42.41 42.490002
"2013-03-26" 42.66 42.950001 42.459999 42.75
"2013-03-27" 42.599998 42.880001 42.380001 42.66
"2013-03-28" 42.540001 43.59 42.419998 43.52
"2013-04-01" 43.360001 43.779999 43.23 43.380001
"2013-04-02" 43.5 43.889999 43.360001 43.849998
"2013-04-03" 43.779999 43.84 43.490002 43.700001
"2013-04-04" 43.740002 44.25 43.439999 44.209999
"2013-04-05" 43.419998 43.860001 43.209999 43.380001
"2013-04-08" 43.27 43.799999 43.130001 43.790001
"2013-04-09" 43.709999 44.259998 43.34 44.169998
"2013-04-10" 44.419998 45.400002 44.330002 44.700001
"2013-04-11" 45.040001 45.529999 44.799999 45.209999
"2013-04-12" 45.150002 45.16 44.740002 45.029999
"2013-04-15" 44.810001 45.459999 44.59 44.599998
"2013-04-16" 44.77 45.349998 44.77 45.279999
"2013-04-17" 44.860001 45.169998 44.509998 44.900002
"2013-04-18" 45.18 45.200001 44.34 44.459999
"2013-04-19" 44.599998 44.810001 44.310001 44.740002
"2013-04-22" 45 45.200001 44.330002 44.529999
"2013-04-23" 44.84 45.360001 44.439999 44.869999
"2013-04-24" 44.91 45.049999 44.52 44.669998
"2013-04-25" 44.75 45.209999 44.560001 45.049999
"2013-04-26" 44.84 45.18 44.779999 44.91
"2013-04-29" 44.889999 45.59 44.82 45.060001
"2013-04-30" 44.759998 45.150002 44.549999 45.080002
"2013-05-01" 45.139999 45.73 44.610001 44.709999
"2013-05-02" 44.650002 45.880001 44.630001 45.689999
"2013-05-03" 46 47.169998 45.82 47.009998
"2013-05-06" 47 47.139999 46.48 46.490002
"2013-05-07" 46.459999 46.68 45.290001 45.599998
"2013-05-08" 45.509998 45.639999 45.16 45.32
"2013-05-09" 45.220001 45.25 43.470001 43.970001
"2013-05-10" 44.119999 44.200001 43.75 44.02
"2013-05-13" 43.98 44.009998 43.490002 43.610001
"2013-05-14" 43.700001 44.099998 43.599998 44.040001
"2013-05-15" 44.060001 45.110001 43.950001 45.07
"2013-05-16" 44.959999 45.34 44.48 44.560001
"2013-05-17" 44.599998 44.759998 44.330002 44.610001
"2013-05-20" 44.549999 44.68 44.150002 44.290001
"2013-05-21" 44.209999 44.48 43.889999 44.02
"2013-05-22" 44.119999 44.310001 42.950001 43.169998
"2013-05-23" 42.66 43.139999 42.57 42.77
"2013-05-24" 42.32 42.529999 41.91 42.43
"2013-05-28" 42.779999 43.130001 42.650002 42.91
"2013-05-29" 42.75 42.869999 42.389999 42.599998
"2013-05-30" 42.650002 43.380001 42.5 43.189999
"2013-05-31" 42.919998 43.549999 42.66 42.91
"2013-06-03" 42.98 43.48 42.759998 43.459999
"2013-06-04" 43.669998 44.799999 43.529999 44.389999
"2013-06-05" 44.389999 44.580002 43.810001 43.84
"2013-06-06" 43.84 44.049999 43.259998 43.57
"2013-06-07" 43.860001 44.41 43.66 44.119999
"2013-06-10" 44.299999 44.34 43.84 44.09
"2013-06-11" 43.599998 43.849998 43.099998 43.119999
"2013-06-12" 43.310001 43.459999 42.610001 42.720001
"2013-06-13" 42.740002 43.360001 42.389999 43.299999
"2013-06-14" 43.330002 43.57 42.700001 42.84
"2013-06-17" 43.220001 43.759998 42.970001 43.389999
"2013-06-18" 43.549999 44.200001 43.220001 43.360001
"2013-06-19" 46.43 46.439999 45.349998 45.779999
"2013-06-20" 45.279999 45.290001 44.450001 44.900002
"2013-06-21" 44.919998 45 44.23 44.77
"2013-06-24" 44.34 44.599998 43.369999 43.599998
"2013-06-25" 44.040001 44.439999 43.459999 44.369999
"2013-06-26" 44.950001 45.919998 44.900002 45.68
"2013-06-27" 45.900002 46.27 45.59 45.93
"2013-06-28" 45.990002 45.990002 45.389999 45.560001
"2013-07-01" 45.23 47.189999 44.880001 46.240002
"2013-07-02" 46 46.48 45.720001 46.029999
"2013-07-03" 45.709999 46.82 45.66 46.419998
"2013-07-05" 46.689999 47.099998 46.549999 47
"2013-07-08" 47.029999 47.490002 46.439999 46.630001
"2013-07-09" 46.759998 47.310001 46.73 47.259998
"2013-07-10" 47.09 47.330002 46.639999 47.25
"2013-07-11" 47.619999 48 47.5 47.990002
"2013-07-12" 48.349998 48.630001 48.080002 48.389999
"2013-07-15" 48.25 48.459999 48.099998 48.119999
"2013-07-16" 48.049999 48.130001 47.360001 47.490002
"2013-07-17" 48.169998 48.400002 47.779999 48.040001
"2013-07-18" 48.040001 48.52 48.009998 48.189999
"2013-07-19" 48.259998 48.470001 47.93 48.07
"2013-07-22" 48.52 48.52 47.919998 48.279999
"2013-07-23" 48.349998 48.450001 47.950001 48.07
"2013-07-24" 48.380001 48.580002 47.650002 47.799999
"2013-07-25" 47.799999 47.959999 47.450001 47.790001
"2013-07-26" 47.77 47.860001 47.400002 47.639999
"2013-07-29" 47.509998 47.77 47.110001 47.169998
"2013-07-30" 47.189999 47.5 47.119999 47.360001
"2013-07-31" 47.5 47.709999 47.18 47.279999
"2013-08-01" 47.619999 47.82 47.41 47.700001
"2013-08-02" 47.380001 47.82 47.130001 47.450001
"2013-08-05" 47.450001 47.84 47.349998 47.630001
"2013-08-06" 47.549999 47.849998 47.369999 47.389999
"2013-08-07" 47.169998 47.48 46.830002 47.099998
"2013-08-08" 47.32 47.66 47.029999 47.509998
"2013-08-09" 47.380001 47.77 47.09 47.18
"2013-08-12" 46.869999 47.330002 46.849998 47.200001
"2013-08-13" 47.369999 47.41 46.919998 47.139999
"2013-08-14" 47.139999 47.139999 46.68 46.84
"2013-08-15" 46.369999 46.389999 45.700001 45.869999
"2013-08-16" 45.939999 45.950001 45.299999 45.400002
"2013-08-19" 45.439999 45.52 44.880001 44.889999
"2013-08-20" 44.77 45.450001 44.700001 45.07
"2013-08-21" 45.009998 45.509998 44.799999 45.139999
"2013-08-22" 45.099998 45.709999 45.09 45.68
"2013-08-23" 45.849998 45.880001 45.41 45.77
"2013-08-26" 46.25 46.610001 46.009998 46.060001
"2013-08-27" 45.549999 45.880001 45.27 45.5
"2013-08-28" 45.580002 45.91 45.490002 45.529999
"2013-08-29" 45.5 46.139999 45.349998 45.93
"2013-08-30" 45.880001 46.110001 45.57 45.75
"2013-09-03" 46.209999 46.57 45.700001 45.880001
"2013-09-04" 45.759998 47.169998 45.759998 46.93
"2013-09-05" 46.880001 47.34 46.68 46.73
"2013-09-06" 46.889999 47.299999 46.259998 46.869999
"2013-09-09" 47.110001 47.27 46.990002 47.25
"2013-09-10" 47.619999 48.060001 47.509998 48.02
"2013-09-11" 48 48.330002 47.950001 48.200001
"2013-09-12" 48.07 48.09 47.560001 47.639999
"2013-09-13" 47.66 47.959999 47.639999 47.759998
"2013-09-16" 48.169998 48.700001 47.970001 48.139999
"2013-09-17" 48.189999 48.490002 47.919998 48.139999
"2013-09-18" 51.68 52.669998 51.060001 52.580002
"2013-09-19" 52.049999 52.400002 51.580002 51.869999
"2013-09-20" 51.869999 52.959999 51.68 52.310001
"2013-09-23" 52.07 52.470001 51.619999 51.799999
"2013-09-24" 51.790001 51.880001 51.07 51.419998
"2013-09-25" 51.48 52.080002 51.419998 51.869999
"2013-09-26" 52 52.380001 51.810001 52.099998
"2013-09-27" 51.709999 52.48 51.650002 52.029999
"2013-09-30" 51.5 52.150002 51.200001 51.939999
"2013-10-01" 52.099998 52.48 51.84 52.43
"2013-10-02" 51.790001 52.279999 51.290001 51.52
"2013-10-03" 51.610001 51.650002 50.540001 50.880001
"2013-10-04" 50.09 51.669998 50.02 51.57
"2013-10-07" 51.049999 51.34 50.790001 50.82
"2013-10-08" 50.93 50.970001 49.439999 49.580002
"2013-10-09" 49.619999 49.869999 48.869999 49.450001
"2013-10-10" 50.060001 51.220001 49.860001 51.169998
"2013-10-11" 50.82 52.220001 50.82 52.189999
"2013-10-14" 51.900002 52.830002 51.720001 52.630001
"2013-10-15" 52.310001 52.779999 51.810001 51.93
"2013-10-16" 51.540001 52.580002 51.540001 51.91
"2013-10-17" 51.869999 52.310001 51.700001 52.07
"2013-10-18" 52.150002 52.779999 52 52.630001
"2013-10-21" 52.73 53.27 52.709999 53.080002
"2013-10-22" 53.470001 53.57 52.990002 53.169998
"2013-10-23" 52.75 53.450001 52.16 53.060001
"2013-10-24" 53.060001 54.580002 53.049999 54.209999
"2013-10-25" 54.07 54.200001 53.459999 53.810001
"2013-10-28" 53.91 54.369999 53.59 53.93
"2013-10-29" 54 55.119999 53.91 54.860001
"2013-10-30" 54.869999 55.07 53.689999 54.099998
"2013-10-31" 54.009998 54.560001 53.900002 54.220001
"2013-11-01" 54.610001 54.68 54.139999 54.610001
"2013-11-04" 55.009998 55.419998 54.66 55.389999
"2013-11-05" 55.240002 55.279999 54.669998 54.790001
"2013-11-06" 54.900002 55.110001 54.540001 54.880001
"2013-11-07" 55.049999 55.169998 53.099998 53.169998
"2013-11-08" 53.419998 54.93 53.330002 54.84
"2013-11-11" 54.849998 56.18 54.490002 56.18
"2013-11-12" 55.84 56.34 55.599998 56.240002
"2013-11-13" 55.59 57.59 55.59 57.549999
"2013-11-14" 57.560001 57.990002 56.91 57.169998
"2013-11-15" 57.540001 57.59 56.779999 57.349998
"2013-11-18" 57.450001 57.490002 56.400002 56.599998
"2013-11-19" 56.73 56.73 55.650002 55.77
"2013-11-20" 55.98 56.32 55.799999 55.939999
"2013-11-21" 56.279999 56.59 55.860001 56.23
