"Index" "Open" "High" "Low" "Price"
"2012-09-17" 51.202808 51.422298 51.088673 40.945728
"2012-09-18" 51.194031 51.378403 51.088673 40.987785
"2012-09-19" 51.45742 51.553993 51.299385 40.97377
"2012-09-20" 51.16769 51.510098 51.088673 41.106956
"2012-09-21" 51.703247 51.957859 51.474979 41.106956
"2012-09-24" 51.448639 51.843723 51.264267 41.261177
"2012-09-25" 50.798946 51.45742 50.790169 40.931713
"2012-09-26" 51.316944 51.474979 50.895523 40.714386
"2012-09-27" 51.062336 51.518875 50.974541 40.959747
"2012-09-28" 51.255486 51.641792 50.9482 41.120975
"2012-10-01" 51.395962 51.747147 51.229149 41.01582
"2012-10-02" 51.38718 51.580334 51.246708 41.001789
"2012-10-03" 51.571552 51.791046 51.281826 41.268177
"2012-10-04" 51.799824 51.878841 51.545216 41.289219
"2012-10-05" 52.335381 52.64267 52.124672 41.730854
"2012-10-08" 52.080772 52.089554 51.773487 41.513546
"2012-10-09" 51.878841 52.071995 51.273048 40.994793
"2012-10-10" 51.474979 51.474979 51.053555 40.798512
"2012-10-11" 51.45742 51.518875 51.150131 40.910667
"2012-10-12" 51.38718 51.597893 51.16769 40.882637
"2012-10-15" 51.352062 51.782265 51.106236 41.29623
"2012-10-16" 51.799824 52.186127 51.720806 41.52055
"2012-10-17" 51.545216 52.142231 51.545216 41.590637
"2012-10-18" 52.115891 52.124672 51.764706 41.436432
"2012-10-19" 51.966637 52.098331 51.185249 40.952744
"2012-10-22" 51.097454 51.527657 50.790169 40.798512
"2012-10-23" 50.719929 50.860405 50.316067 40.44099
"2012-10-24" 51.097454 51.185249 50.561897 40.560173
"2012-10-25" 51.194031 51.237926 50.842846 40.819538
"2012-10-26" 51.053555 51.246708 50.746269 40.791489
"2012-10-31" 51.220367 51.43108 50.65847 40.51112
"2012-11-01" 51.553993 52.194908 50.746269 41.611675
"2012-11-02" 52.414398 52.458298 50.359966 40.216682
"2012-11-05" 50.166813 50.175594 49.025459 39.536701
"2012-11-06" 49.824406 50.649693 49.578579 40.174625
"2012-11-07" 49.806847 49.964882 49.060577 39.508675
"2012-11-08" 49.253731 49.587357 48.61282 38.821686
"2012-11-09" 48.428448 48.990341 48.182617 38.765587
"2012-11-12" 48.525021 48.928886 48.463566 38.849716
"2012-11-13" 48.32309 49.209831 48.314312 38.96888
"2012-11-14" 48.876205 48.946445 47.963127 38.394062
"2012-11-15" 48.138718 48.454784 47.84021 38.323967
"2012-11-16" 47.919228 48.1036 47.427567 38.373035
"2012-11-19" 48.577702 48.683056 48.015804 38.709518
"2012-11-20" 48.472343 48.560139 47.980686 38.597359
"2012-11-21" 48.296753 48.674274 48.261635 38.835701
"2012-11-23" 48.83231 49.288849 48.726952 39.340424
"2012-11-26" 49.060577 49.157154 48.665497 39.024971
"2012-11-27" 48.779633 48.981564 48.586479 38.821686
"2012-11-28" 48.454784 49.086918 48.331871 39.179195
"2012-11-29" 49.323967 49.49078 49.043018 39.452576
"2012-11-30" 49.51712 49.920982 49.464443 39.775028
"2012-12-03" 50.0439 50.122913 49.420544 39.543709
"2012-12-04" 49.604916 49.841969 49.402985 39.725971
"2012-12-05" 49.754169 50.412643 49.657593 40.125549
