"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.619999 32.84 32.5 23.329702
"2012-09-18" 32.52 32.57 32.360001 23.265278
"2012-09-19" 32.529999 32.709999 32.48 23.322552
"2012-09-20" 32.549999 32.84 32.529999 23.494354
"2012-09-21" 32.91 32.91 32.599998 23.365503
"2012-09-24" 32.639999 32.860001 32.57 23.465708
"2012-09-25" 32.860001 32.98 32.740002 23.458563
"2012-09-26" 32.720001 33.099998 32.720001 23.537306
"2012-09-27" 32.889999 32.950001 32.580002 23.344025
"2012-09-28" 32.540001 32.720001 32.349998 23.386976
"2012-10-01" 32.779999 32.830002 32.470001 23.265278
"2012-10-02" 32.619999 32.869999 32.619999 23.515827
"2012-10-03" 32.93 33.099998 32.849998 23.565931
"2012-10-04" 33 33.209999 32.91 23.59457
"2012-10-05" 33.040001 33.049999 32.779999 23.537306
"2012-10-08" 32.860001 32.959999 32.66 23.48003
"2012-10-09" 32.830002 32.939999 32.650002 23.487192
"2012-10-10" 32.810001 32.849998 32.610001 23.415611
"2012-10-11" 32.810001 32.950001 32.66 23.48003
"2012-10-12" 32.880001 32.880001 32.549999 23.336864
"2012-10-15" 32.5 32.68 32.400002 23.379816
"2012-10-16" 32.740002 32.880001 32.509998 23.394133
"2012-10-17" 32.77 33.029999 32.68 23.644686
"2012-10-18" 33.060001 33.16 32.889999 23.71627
"2012-10-19" 33.09 33.130001 32.84 23.59457
"2012-10-22" 32.939999 32.950001 32.66 23.487192
"2012-10-23" 32.619999 32.740002 32.209999 23.250961
"2012-10-24" 32.509998 32.580002 32.290001 23.143589
"2012-10-25" 32.459999 32.610001 32.27 23.329702
"2012-10-26" 32.619999 32.639999 32.32 23.143589
"2012-10-31" 32.380001 32.959999 32.360001 23.537306
"2012-11-01" 32.880001 33 32.77 23.515827
"2012-11-02" 32.950001 32.970001 32.66 23.394133
"2012-11-05" 32.540001 32.549999 32.220001 23.086321
"2012-11-06" 32.25 32.400002 32.09 22.978931
"2012-11-07" 32.040001 32.040001 31.33 22.47068
"2012-11-08" 31.32 31.709999 31.24 22.549427
"2012-11-09" 31.280001 31.42 30.299999 21.733349
"2012-11-12" 30.200001 30.200001 29.75 21.375422
"2012-11-13" 29.809999 30.16 29.67 21.253729
"2012-11-14" 29.709999 29.75 29.200001 21.046124
"2012-11-15" 29.360001 29.549999 28.9 20.774107
"2012-11-16" 29.16 29.370001 28.969999 21.017494
"2012-11-19" 29.469999 29.52 28.959999 20.817057
"2012-11-20" 28.99 29.120001 28.67 20.681044
"2012-11-21" 28.969999 29 28.450001 20.559343
"2012-11-23" 28.75 28.84 28.43 20.437649
"2012-11-26" 28.48 28.959999 28.48 20.652403
"2012-11-27" 28.809999 28.879999 28.58 20.580822
"2012-11-28" 28.690001 29.33 28.549999 20.974543
"2012-11-29" 29.370001 29.709999 29.34 21.196461
"2012-11-30" 29.700001 29.969999 29.610001 21.454166
"2012-12-03" 30 30 29.4 21.174982
"2012-12-04" 29.57 29.709999 29.4 21.081921
"2012-12-05" 29.48 30.08 29.299999 21.447006
"2012-12-06" 30.030001 30.059999 29.59 21.332476
"2012-12-07" 29.790001 29.92 29.68 21.289516
"2012-12-10" 29.6 29.77 29.35 21.601538
"2012-12-11" 29.809999 30.049999 29.67 21.594278
"2012-12-12" 29.75 30.049999 29.719999 21.608793
"2012-12-13" 29.73 29.870001 29.610001 21.572506
"2012-12-14" 29.719999 29.790001 29.41 21.347567
"2012-12-17" 29.530001 29.98 29.5 21.753908
"2012-12-18" 29.93 30.280001 29.889999 21.96434
"2012-12-19" 30.290001 30.290001 30.02 21.804701
"2012-12-20" 30.209999 31.379999 30.209999 22.617392
"2012-12-21" 31 31.309999 30.98 22.530317
"2012-12-24" 30.93 31.040001 30.75 22.414221
"2012-12-26" 30.940001 31.1 30.68 22.283609
"2012-12-27" 30.66 30.860001 30.299999 22.196537
"2012-12-28" 30.450001 30.780001 30.32 22.00062
"2012-12-31" 30.309999 30.82 30.18 22.290871
"2013-01-02" 31.139999 31.32 31.01 22.726238
"2013-01-03" 31.25 31.49 31.129999 22.631908
"2013-01-04" 31.24 31.450001 31.059999 22.631908
"2013-01-07" 31.02 31.030001 30.709999 22.348915
"2013-01-08" 30.700001 31.1 30.639999 22.4505
"2013-01-09" 30.940001 31.09 30.76 22.552088
"2013-01-10" 31.120001 31.48 31.1 22.842335
"2013-01-11" 31.620001 31.65 31.360001 22.82782
"2013-01-14" 31.48 31.65 31.379999 22.835083
"2013-01-15" 31.440001 31.700001 31.290001 22.994715
"2013-01-16" 31.549999 31.65 31.299999 22.762518
"2013-01-17" 31.52 31.639999 31.370001 22.762518
"2013-01-18" 31.440001 31.719999 31.35 23.001966
"2013-01-22" 31.76 32.099998 31.67 23.263191
"2013-01-23" 32.040001 32.060001 31.700001 23.110811
"2013-01-24" 31.950001 32.130001 31.889999 23.197887
"2013-01-25" 32.060001 32.209999 31.860001 23.342999
"2013-01-28" 32.099998 32.150002 31.809999 23.212399
"2013-01-29" 31.940001 32.450001 31.9 23.52441
"2013-01-30" 32.439999 32.599998 32.360001 23.531666
"2013-01-31" 32.43 32.529999 32.27 23.538929
"2013-02-01" 32.580002 32.720001 32.52 23.713068
"2013-02-04" 32.580002 32.650002 32.5 23.596966
"2013-02-05" 32.59 32.82 32.529999 23.669527
"2013-02-06" 32.549999 32.830002 32.369999 23.785624
"2013-02-07" 32.84 32.98 32.59 23.756609
"2013-02-08" 32.790001 32.790001 32.490002 23.662277
"2013-02-11" 32.650002 32.880001 32.650002 23.829172
"2013-02-12" 32.830002 33.16 32.720001 24.05411
"2013-02-13" 33.200001 33.389999 33.119999 24.148438
"2013-02-14" 33.200001 33.240002 32.939999 24.046854
"2013-02-15" 33.18 33.25 33.080002 24.0396
"2013-02-19" 33.119999 33.540001 33.049999 24.119423
"2013-02-20" 33.23 34.040001 33.209999 24.279053
"2013-02-21" 33.380001 33.459999 33.150002 24.075874
"2013-02-22" 33.290001 33.669998 33.259998 24.366125
"2013-02-25" 33.689999 33.919998 33.119999 24.032345
"2013-02-26" 33.110001 33.57 33.110001 24.19923
"2013-02-27" 33.43 33.57 33.349998 24.286308
"2013-02-28" 33.490002 33.970001 33.490002 24.518503
"2013-03-01" 33.709999 33.970001 33.490002 24.591061
"2013-03-04" 33.73 34.18 33.73 24.736187
"2013-03-05" 34.25 34.400002 34.139999 24.881315
"2013-03-06" 34.299999 34.43 33.950001 24.714417
"2013-03-07" 34.07 34.240002 34.029999 24.707161
"2013-03-08" 34.110001 34.150002 33.77 24.591061
"2013-03-11" 33.5 34 33.450001 24.914148
"2013-03-12" 33.91 33.939999 33.700001 24.833382
"2013-03-13" 33.82 34.009998 33.709999 24.965549
"2013-03-14" 34.509998 34.689999 34.110001 25.127087
"2013-03-15" 34.09 34.389999 33.950001 25.251913
"2013-03-18" 34.060001 34.400002 34.049999 25.075689
"2013-03-19" 34.310001 34.400002 34.060001 25.185833
"2013-03-20" 34.419998 34.66 34.349998 25.347372
"2013-03-21" 34.389999 34.450001 34.119999 25.119755
"2013-03-22" 34.330002 34.380001 34.18 25.163807
"2013-03-25" 34.400002 34.580002 34.139999 25.141771
"2013-03-26" 34.360001 34.650002 34.349998 25.406109
"2013-03-27" 34.470001 34.790001 34.369999 25.41346
"2013-03-28" 34.669998 35.119999 34.650002 25.714518
"2013-04-01" 34.939999 35.09 34.860001 25.648424
"2013-04-02" 34.950001 35.18 34.950001 25.817318
"2013-04-03" 35.130001 35.360001 34.68 25.560324
"2013-04-04" 34.779999 34.990002 34.709999 25.575008
"2013-04-05" 34.52 34.830002 34.349998 25.545633
"2013-04-08" 34.779999 35.080002 34.619999 25.758574
"2013-04-09" 35.029999 35.130001 34.84 25.648424
"2013-04-10" 35 35.189999 34.950001 25.809969
"2013-04-11" 35.209999 35.349998 35.119999 25.949488
"2013-04-12" 35.310001 35.490002 35.299999 26.059626
"2013-04-15" 35.279999 35.380001 34.560001 25.376745
"2013-04-16" 34.599998 35.189999 34.259998 25.751228
"2013-04-17" 34.939999 34.98 34.380001 25.508919
"2013-04-18" 34.869999 35.09 34.689999 25.73654
"2013-04-19" 35.189999 35.849998 35.110001 26.301939
"2013-04-22" 35.779999 35.779999 35.369999 26.169767
"2013-04-23" 35.73 35.91 35.509998 26.368027
"2013-04-24" 35.959999 36.32 35.77 26.529577
"2013-04-25" 36.25 36.349998 35.959999 26.507534
"2013-04-26" 36.099998 36.290001 35.990002 26.434105
"2013-04-29" 36.110001 36.360001 36.02 26.544262
"2013-04-30" 36.16 36.25 36.02 26.617678
"2013-05-01" 36.240002 36.25 35.720001 26.368027
"2013-05-02" 35.669998 36.09 35.470001 26.412073
"2013-05-03" 36.200001 36.740002 36.02 26.837963
"2013-05-06" 36.5 36.549999 35.959999 26.470818
