"Index" "Open" "High" "Low" "Price"
"2012-09-17" 43.700001 43.84 43.450001 30.436817
"2012-09-18" 43.490002 43.57 43.209999 30.401884
"2012-09-19" 43.549999 43.91 43.389999 30.618443
"2012-09-20" 43.720001 44.130001 43.689999 30.716255
"2012-09-21" 44.07 44.099998 43.779999 30.744192
"2012-09-24" 44.119999 44.560001 44.029999 31.051559
"2012-09-25" 44.48 44.84 44.34 30.988682
"2012-09-26" 44.450001 44.810001 44.27 30.988682
"2012-09-27" 44.43 44.439999 43.740002 30.611458
"2012-09-28" 43.799999 44.029999 43.57 30.69528
"2012-10-01" 44.07 44.299999 43.82 30.674322
"2012-10-02" 43.970001 44.169998 43.799999 30.855957
"2012-10-03" 44.18 44.5 44.049999 31.044567
"2012-10-04" 44.490002 44.779999 44.400002 31.05854
"2012-10-05" 44.59 44.599998 44.16 30.890886
"2012-10-08" 44.189999 44.43 44.040001 30.988682
"2012-10-09" 44.32 44.599998 44.299999 31.037573
"2012-10-10" 44.41 44.439999 44.049999 30.793081
"2012-10-11" 44.310001 44.59 44.049999 30.90486
"2012-10-12" 44.360001 44.5 44.02 30.82103
"2012-10-15" 44.150002 44.580002 44 31.09347
"2012-10-16" 44.619999 44.790001 44.360001 31.128408
"2012-10-17" 44.66 45.200001 44.57 31.449739
"2012-10-18" 45.02 45.41 44.880001 31.624384
"2012-10-19" 45.110001 45.34 44.77 31.421803
"2012-10-22" 45.02 45.139999 44.689999 31.400846
"2012-10-23" 44.700001 44.84 44.369999 31.170313
"2012-10-24" 44.52 44.689999 43.68 30.611458
"2012-10-25" 44.099998 44.290001 43.689999 30.674322
"2012-10-26" 43.990002 44.07 43.689999 30.702274
"2012-10-31" 44.189999 44.549999 43.990002 31.044567
"2012-11-01" 44.57 44.619999 44.299999 31.00964
"2012-11-02" 44.639999 44.639999 44.169998 30.897869
"2012-11-05" 44.060001 44.139999 43.450001 30.38092
"2012-11-06" 43.529999 43.720001 43.25 30.262167
"2012-11-07" 42.25 42.549999 41.799999 29.711304
"2012-11-08" 42.07 42.540001 42.029999 29.690123
"2012-11-09" 41.91 42.16 41.75 29.520618
"2012-11-12" 41.779999 41.869999 41.049999 29.146318
"2012-11-13" 41.139999 41.650002 41.099998 29.195759
"2012-11-14" 41.369999 41.459999 41.009998 29.082767
"2012-11-15" 41.09 41.470001 40.720001 28.927385
"2012-11-16" 41 41.560001 40.779999 29.322874
"2012-11-19" 41.689999 41.75 41.189999 29.273443
"2012-11-20" 41.450001 41.5 41.009998 29.082767
"2012-11-21" 41.27 41.27 40.560001 28.94858
"2012-11-23" 41.07 41.099998 40.68 28.97681
"2012-11-26" 40.98 41.610001 40.93 29.294626
"2012-11-27" 41.48 41.759998 41.310001 29.273443
"2012-11-28" 41.470001 41.880001 41.240002 29.577124
"2012-11-29" 41.849998 42.209999 41.720001 29.788992
"2012-11-30" 42.369999 42.669998 42.16 30.120918
"2012-12-03" 42.650002 42.700001 42.099998 29.859619
"2012-12-04" 42.360001 42.48 42.27 29.909058
"2012-12-05" 42.34 43.459999 42.330002 30.509348
"2012-12-06" 43.23 43.43 43.040001 30.558779
"2012-12-07" 43.360001 43.48 43.029999 30.558779
"2012-12-10" 43.310001 43.419998 43.119999 30.62941
"2012-12-11" 43.41 43.630001 43.290001 30.678846
"2012-12-12" 43.48 43.759998 43.360001 30.707092
"2012-12-13" 43.470001 43.540001 42.860001 30.325731
"2012-12-14" 42.860001 43.099998 42.740002 30.255098
"2012-12-17" 42.889999 43.599998 42.889999 30.742414
"2012-12-18" 43.5 44.099998 43.380001 31.010769
"2012-12-19" 44.040001 44.040001 43.48 30.728283
"2012-12-20" 43.599998 43.779999 43.470001 30.791845
"2012-12-21" 43.099998 43.619999 42.970001 30.685915
"2012-12-24" 43.41 43.459999 42.990002 30.509348
"2012-12-26" 43.279999 43.360001 42.73 30.219799
"2012-12-27" 42.700001 42.91 42.240002 30.113865
