"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.74 24.855 24.51 19.294304
"2012-09-18" 24.459999 24.51 24.225 19.067177
"2012-09-19" 24.34 24.465 24.205 19.031933
"2012-09-20" 24.215 24.375 24.014999 19.051517
"2012-09-21" 24.455 24.455 24.084999 18.867451
"2012-09-24" 24.02 24.32 24 18.918365
"2012-09-25" 24.24 24.405001 23.775 18.624662
"2012-09-26" 23.73 23.735001 23.174999 18.268305
"2012-09-27" 23.525 23.895 23.48 18.687321
"2012-09-28" 23.785 24.040001 23.6 18.749973
"2012-10-01" 24.09 24.24 23.725 18.640337
"2012-10-02" 23.93 24.049999 23.625 18.624662
"2012-10-03" 23.9 23.940001 23.625 18.612921
"2012-10-04" 23.924999 24.25 23.85 18.965353
"2012-10-05" 24.4 24.575001 24.155001 19.035843
"2012-10-08" 24.129999 24.395 24.1 19.059345
"2012-10-09" 24.280001 24.41 24 18.820467
"2012-10-10" 24.01 24.084999 23.715 18.644245
"2012-10-11" 24.004999 24.285 23.995001 18.910534
"2012-10-12" 24.125 24.190001 23.764999 18.851797
"2012-10-15" 24.174999 24.42 23.955 19.102419
"2012-10-16" 24.5 24.85 24.465 19.349131
"2012-10-17" 24.860001 25.18 24.715 19.689825
"2012-10-18" 25.035 25.23 24.865 19.623257
"2012-10-19" 24.955 25.1 24.68 19.458778
"2012-10-22" 24.775 25.094999 24.754999 19.654579
"2012-10-23" 24.709999 24.885 24.610001 19.447033
"2012-10-24" 24.799999 25.15 24.285 19.360874
"2012-10-25" 24.945 25.09 24.705 19.591927
"2012-10-26" 24.945 25.025 24.620001 19.415699
"2012-10-31" 24.85 25.07 24.725 19.494022
"2012-11-01" 24.98 25.535 24.905001 19.948278
"2012-11-02" 25.59 25.625 25.139999 19.826885
"2012-11-05" 25.24 25.655001 25.059999 20.046177
"2012-11-06" 25.584999 26.23 25.52 20.437777
"2012-11-07" 25.725 25.725 25.09 19.768148
"2012-11-08" 25.295 25.514999 24.855 19.470526
"2012-11-09" 24.715 24.955 24.540001 19.569122
