"Index" "Open" "High" "Low" "Price"
"2012-09-17" 37.220001 37.560001 37.16 28.758793
"2012-09-18" 37.07 37.169998 36.810001 28.526688
"2012-09-19" 36.889999 37.060001 36.68 28.627266
"2012-09-20" 36.889999 37.110001 36.59 28.689169
"2012-09-21" 37.299999 37.43 37.07 28.758793
"2012-09-24" 37.049999 37.18 36.91 28.642733
"2012-09-25" 37.139999 37.27 36.639999 28.348721
"2012-09-26" 36.490002 36.599998 35.880001 28.067583
"2012-09-27" 35.970001 36.049999 35.759998 28.012917
"2012-09-28" 35.790001 35.93 35.619999 27.973862
"2012-10-01" 35.84 36.029999 35.560001 27.887964
"2012-10-02" 35.759998 36.029999 35.759998 28.075392
"2012-10-03" 36.049999 36.299999 35.98 28.325296
"2012-10-04" 36.380001 36.630001 36.279999 28.543974
"2012-10-05" 36.650002 36.990002 36.580002 28.762634
"2012-10-08" 36.849998 36.880001 36.549999 28.747023
"2012-10-09" 36.75 36.869999 36.310001 28.434633
"2012-10-10" 36.450001 36.77 36.349998 28.44244
"2012-10-11" 36.529999 36.610001 36.25 28.34873
"2012-10-12" 36.189999 36.540001 36.009998 28.176916
"2012-10-15" 36.080002 36.259998 35.830002 28.262821
"2012-10-16" 36.220001 36.419998 36.130001 28.372158
"2012-10-17" 36.439999 36.669998 36.330002 28.543974
"2012-10-18" 36.470001 36.779999 36.369999 28.45026
"2012-10-19" 36.380001 36.380001 35.68 27.934818
"2012-10-22" 35.709999 35.900002 35.5 27.887964
"2012-10-23" 35.400002 35.540001 35.259998 27.684919
"2012-10-24" 35.400002 35.52 35.189999 27.544344
"2012-10-25" 35.490002 35.790001 35.049999 27.559963
"2012-10-26" 35.290001 35.740002 35.259998 27.85672
"2012-10-31" 35.630001 35.700001 34.669998 27.677103
"2012-11-01" 35.290001 35.970001 34.98 28.044149
"2012-11-02" 36.080002 36.18 35.57 28.067583
"2012-11-05" 35.959999 36.110001 35.59 28.137873
"2012-11-06" 36.119999 36.439999 35.93 28.247198
"2012-11-07" 36 36 35.27 27.747391
"2012-11-08" 35.560001 35.700001 35.27 27.598997
"2012-11-09" 35.169998 35.669998 34.98 27.809874
"2012-11-12" 35.639999 35.720001 35.34 27.778625
"2012-11-13" 35.27 35.77 35.27 27.763008
"2012-11-14" 35.68 35.759998 35.139999 27.567774
"2012-11-15" 35.360001 35.48 35.029999 27.661488
"2012-11-16" 35.529999 35.849998 35.279999 27.927008
"2012-11-19" 36 36.240002 35.790001 28.301867
"2012-11-20" 36.349998 36.41 35.880001 28.434633
"2012-11-21" 36.43 36.630001 36.150002 28.590824
"2012-11-23" 36.700001 36.91 36.5 28.8095
