"Index" "Open" "High" "Low" "Price"
"2012-09-17" 38.959999 39.080002 38.57 38.84
"2012-09-18" 38.689999 38.900002 38.200001 38.650002
"2012-09-19" 38.599998 39.119999 38.52 38.959999
"2012-09-20" 38.82 38.900002 38.32 38.68
"2012-09-21" 38.849998 39.200001 38.77 38.810001
"2012-09-24" 38.419998 38.630001 38.009998 38.360001
"2012-09-25" 38.619999 39.470001 38.41 38.459999
"2012-09-26" 38.509998 38.709999 37.52 37.93
"2012-09-27" 38.34 38.950001 38.310001 38.490002
"2012-09-28" 38.299999 38.419998 37.779999 38.259998
"2012-10-01" 38.450001 38.950001 37.900002 38.209999
"2012-10-02" 38.450001 38.790001 38.110001 38.43
"2012-10-03" 38.5 39.110001 38.259998 39.040001
"2012-10-04" 39.060001 39.5 38.759998 39.43
"2012-10-05" 39.5 39.939999 39.240002 39.41
"2012-10-08" 39.310001 40.32 39.049999 39.599998
"2012-10-09" 39.43 39.450001 38.16 38.360001
"2012-10-10" 38.209999 38.529999 37.610001 37.830002
"2012-10-11" 38.27 38.59 37.790001 37.889999
"2012-10-12" 37.990002 38.419998 37.580002 37.580002
"2012-10-15" 37.549999 37.959999 37.240002 37.900002
"2012-10-16" 38.029999 38.950001 37.950001 38.73
"2012-10-17" 38.630001 38.82 37.93 37.98
"2012-10-18" 37.900002 37.990002 37.080002 37.279999
"2012-10-19" 37.23 37.389999 36.02 36.369999
"2012-10-22" 36.25 36.650002 36.029999 36.57
"2012-10-23" 36 36.77 35.799999 36.490002
"2012-10-24" 36.880001 37 35.77 36.110001
"2012-10-25" 39.75 40.080002 38.099998 38.540001
"2012-10-26" 38.490002 39.310001 37.93 38.389999
"2012-10-31" 39.07 39.07 37.560001 37.990002
"2012-11-01" 37.950001 38.66 37.790001 38.57
"2012-11-02" 38.759998 38.860001 38.150002 38.279999
"2012-11-05" 38.27 39 38.099998 38.959999
"2012-11-06" 39 39.259998 38.779999 38.869999
"2012-11-07" 38.459999 38.669998 37.389999 37.57
"2012-11-08" 37.700001 37.900002 37 37.07
"2012-11-09" 36.959999 37.119999 36.16 36.400002
"2012-11-12" 36.560001 36.790001 36.029999 36.57
"2012-11-13" 36.279999 36.889999 36.110001 36.310001
"2012-11-14" 36.5 36.610001 35.27 35.380001
"2012-11-15" 35.41 36.59 35.07 36.23
"2012-11-16" 36.240002 36.57 35.52 36.099998
"2012-11-19" 36.68 36.68 35.830002 35.869999
"2012-11-20" 35.84 36.619999 35.509998 35.630001
"2012-11-21" 35.779999 36.150002 35.59 35.830002
"2012-11-23" 36.07 36.200001 35.75 35.970001
"2012-11-26" 35.939999 36.459999 35.5 35.73
"2012-11-27" 35.779999 35.790001 34.09 34.57
"2012-11-28" 34.799999 35.959999 34.740002 35.880001
"2012-11-29" 36.049999 36.450001 35.68 36.240002
"2012-11-30" 36.259998 36.709999 36.02 36.619999
"2012-12-03" 36.73 36.75 35.779999 36.099998
"2012-12-04" 36.18 36.27 35.650002 36
"2012-12-05" 35.970001 36 35.02 35.5
"2012-12-06" 37.869999 39.43 37.82 39.060001
"2012-12-07" 38.939999 39.200001 38.5 38.82
"2012-12-10" 38.73 39.369999 38.599998 39.200001
"2012-12-11" 39.419998 39.82 38.869999 39.599998
"2012-12-12" 39.52 40.610001 39.509998 39.970001
"2012-12-13" 39.82 40.27 39.009998 39.09
"2012-12-14" 39 39.509998 38.66 38.959999
"2012-12-17" 39.02 39.720001 38.509998 39.459999
"2012-12-18" 39.529999 41.110001 39.459999 40.939999
"2012-12-19" 41.150002 41.66 40.919998 41.41
"2012-12-20" 41.360001 41.880001 40.82 41.860001
"2012-12-21" 40.790001 41.779999 40.279999 41.759998
"2012-12-24" 41.610001 41.720001 41.169998 41.389999
"2012-12-26" 41.34 41.669998 41.009998 41.25
"2012-12-27" 41.34 41.560001 40.27 41.029999
"2012-12-28" 40.799999 41 40.360001 40.400002
"2012-12-31" 40.310001 41.009998 40.049999 40.91
