"Index" "Open" "High" "Low" "Price"
"2012-09-17" 53.68 53.740002 53.369999 46.048515
"2012-09-18" 52.860001 53.099998 51.860001 45.376667
"2012-09-19" 52.939999 54.639999 52.810001 46.746223
"2012-09-20" 53.630001 53.720001 53.259998 46.151901
"2012-09-21" 53.970001 54.32 53.18 45.833187
"2012-09-24" 52.75 53.09 52.650002 45.540318
"2012-09-25" 52.98 53.23 51.639999 44.489456
"2012-09-26" 51.68 51.919998 50.880001 44.411926
"2012-09-27" 51.73 52.529999 51.52 45.1441
"2012-09-28" 52 52.799999 51.77 45.376667
"2012-10-01" 53.16 53.709999 52.43 45.393879
"2012-10-02" 52.880001 53.060001 52.52 45.652302
"2012-10-03" 52.970001 53.349998 52.720001 45.660915
"2012-10-04" 53.349998 53.98 53.189999 46.298328
"2012-10-05" 54.130001 54.630001 53.939999 46.815144
"2012-10-08" 53.779999 53.98 53.27 46.160507
"2012-10-09" 53.549999 53.549999 52.509998 45.376667
"2012-10-10" 52.82 52.849998 51.77 44.653118
"2012-10-11" 52.41 52.779999 52.23 45.075191
"2012-10-12" 52.400002 52.889999 51.860001 44.799541
"2012-10-15" 52.060001 52.619999 51.860001 45.092407
"2012-10-16" 52.740002 53.880001 52.18 46.341381
"2012-10-17" 53.950001 54.43 53.720001 46.754837
"2012-10-18" 52.849998 56.099998 52 47.995193
"2012-10-19" 55.689999 56.259998 54.889999 47.659275
"2012-10-22" 55.130001 56.23 55.130001 48.391441
"2012-10-23" 54.799999 55.779999 54.41 47.745415
"2012-10-24" 55.889999 56 54.91 47.383633
"2012-10-25" 55.389999 55.549999 54.650002 47.452541
"2012-10-26" 55.080002 55.669998 54.880001 47.624821
"2012-10-31" 55.459999 55.5 54.970001 47.46978
"2012-11-01" 55.380001 57.07 54.630001 48.916862
"2012-11-02" 57.110001 57.189999 55.779999 48.434521
"2012-11-05" 55.98 56.869999 55.98 48.934082
"2012-11-06" 56.889999 57.439999 56.700001 49.114983
"2012-11-07" 56.080002 56.43 55.07 47.814312
"2012-11-08" 55.529999 56.18 54.48 46.935726
