"Index" "Open" "High" "Low" "Price"
"2013-11-18" 49.75 50 47.490002 44.605762
"2013-11-19" 48.990002 49 45.299999 42.139927
"2013-11-20" 45.98 46 43.990002 41.081833
"2013-11-21" 44.5 45.150002 43.040001 40.290558
"2013-11-22" 43.900002 44.099998 43.25 40.474575
"2013-11-25" 44.279999 45.619999 43.700001 40.649391
"2013-11-26" 45 45 43.040001 39.747707
"2013-11-27" 43.549999 43.549999 42.5 39.784515
"2013-11-29" 42.75 43.849998 42.75 39.784515
"2013-12-02" 43.080002 43.669998 41.52 39.692513
"2013-12-03" 42.799999 44.849998 42.700001 39.471687
"2013-12-04" 42.43 42.610001 41.650002 38.487186
"2013-12-05" 42.279999 42.279999 40.630001 37.769516
"2013-12-06" 40.75 41.060001 40.639999 37.447506
"2013-12-09" 40.700001 41.27 40.240002 37.88913
"2013-12-10" 41.07 42.84 41.040001 39.158855
"2013-12-11" 42.32 43.02 42 39.066841
"2013-12-12" 42.009998 43.099998 42 39.536098
"2013-12-13" 42.919998 43.799999 42.919998 39.793713
"2013-12-16" 43.009998 43.990002 42.110001 40.198555
"2013-12-17" 43.43 44 43.16 40.25375
"2013-12-18" 43.650002 44.5 43.099998 40.732185
"2013-12-19" 43.959999 44.5 43.82 40.897816
"2013-12-20" 44.299999 44.450001 43.91 40.722996
"2013-12-23" 44.169998 44.849998 43.549999 41.081833
"2013-12-24" 44.759998 45.02 44.25 41.017429
"2013-12-26" 44.860001 45.009998 44.439999 41.127838
"2013-12-27" 44.77 44.970001 44.09 41.072632
"2013-12-30" 44.450001 44.880001 44 40.594193
"2013-12-31" 44.23 44.5 43.759998 40.658592
"2014-01-02" 44.080002 44.18 43.27 40.161736
"2014-01-03" 43.57 44.32 43.169998 40.446972
"2014-01-06" 43.970001 43.98 43.369999 40.189354
"2014-01-07" 42.16 43.98 42.16 40.364174
"2014-01-08" 44.02 44.360001 43.400002 40.373356
"2014-01-09" 43.889999 44.25 43.84 40.603378
"2014-01-10" 44.169998 46.080002 44.02 42.075527
"2014-01-13" 45.700001 47.439999 45.200001 43.280842
"2014-01-14" 47.16 47.889999 46.91 43.980106
"2014-01-15" 47.970001 49.189999 47.259998 43.704082
"2014-01-16" 47.279999 47.68 47.040001 43.612061
"2014-01-17" 47.52 48.240002 47 44.164127
"2014-01-21" 49.380001 49.380001 47.939999 44.32053
"2014-01-22" 48.110001 49.16 48.080002 44.633354
"2014-01-23" 48.68 48.68 47.580002 43.906502
"2014-01-24" 47.619999 47.709999 45.830002 43.096813
"2014-01-27" 45.200001 48 45.200001 42.875996
"2014-01-28" 46.77 47.880001 46.77 43.915691
"2014-01-29" 47.349998 48.48 47.130001 43.9617
"2014-01-30" 47.91 49.630001 47.830002 45.470634
"2014-01-31" 49.25 49.959999 49.029999 45.406227
"2014-02-03" 49.349998 49.939999 47.200001 43.648869
"2014-02-04" 47.439999 48.48 47.32 44.210121
"2014-02-05" 47.84 48.650002 47.150002 43.796082
"2014-02-06" 47.5 49.27 47.5 45.305038
"2014-02-07" 49.330002 50.27 49.330002 45.949074
"2014-02-10" 49.990002 50.119999 49.450001 45.857082
"2014-02-11" 49.73 50.41 49.330002 45.903091
"2014-02-12" 49.919998 51 49.73 46.004288
"2014-02-13" 49.98 50.439999 49.59 46.114697
"2014-02-14" 50.150002 50.25 49.59 45.663857
"2014-02-18" 49.720001 50.860001 49.720001 46.105488
"2014-02-19" 49.84 50.34 49.029999 45.231422
"2014-02-20" 50.23 52.779999 49.099998 47.402828
"2014-02-21" 51.75 52.790001 51.75 48.184895
"2014-02-24" 52.360001 53.110001 52.360001 48.635735
"2014-02-25" 53 54.580002 52.93 50.199875
"2014-02-26" 54.830002 55.779999 54.18 50.291897
"2014-02-27" 54.689999 55.529999 54.209999 50.926735
"2014-02-28" 55.09 55.32 53.82 50.006672
"2014-03-03" 54.669998 54.93 53.080002 49.215389
"2014-03-04" 53.709999 55 53.48 49.684631
"2014-03-05" 53.900002 54.310001 53.380001 49.638638
"2014-03-06" 53.990002 54.099998 53.040001 48.939369
"2014-03-07" 53.439999 53.779999 52.59 49.123375
"2014-03-10" 53.200001 53.669998 52.240002 49.031364
"2014-03-11" 53.490002 54.799999 53.450001 50.144684
"2014-03-12" 54.419998 54.740002 52.77 49.942257
"2014-03-13" 54.459999 54.709999 53.130001 49.389385
"2014-03-14" 53.619999 53.950001 53.25 49.112961
"2014-03-17" 53.439999 53.830002 52.93 48.799671
"2014-03-18" 52.950001 53.490002 52.709999 49.094532
"2014-03-19" 53.18 54 52.919998 49.094532
"2014-03-20" 53.41 54.220001 52.82 49.914616
"2014-03-21" 54.380001 54.810001 53.740002 49.58289
"2014-03-24" 54 54.23 53.040001 49.269588
"2014-03-25" 53.700001 53.900002 53.169998 49.030025
"2014-03-26" 53.32 53.5 52.009998 47.951946
"2014-03-27" 51.869999 51.970001 51.189999 47.408287
"2014-03-28" 51.619999 52.439999 51.540001 48.062523
"2014-03-31" 52.380001 52.580002 51.91 48.071724
"2014-04-01" 52.439999 54.060001 52.290001 49.684258
"2014-04-02" 53.919998 54.810001 53.59 50.375324
"2014-04-03" 54.77 55 54.580002 50.633354
"2014-04-04" 54.82 55.349998 53 49.509182
"2014-04-07" 53.709999 54 51.529999 47.56493
"2014-04-08" 51.34 51.779999 50.810001 47.371426
"2014-04-09" 51.459999 51.59 51.23 47.454357
"2014-04-10" 51.52 51.790001 50.119999 46.698776
"2014-04-11" 50.529999 50.900002 49.860001 46.081413
"2014-04-14" 50.279999 50.610001 49.18 45.860256
"2014-04-15" 49.880001 50.43 48.93 46.035336
"2014-04-16" 50.16 50.720001 49.84 46.284126
"2014-04-17" 50.07 50.540001 49.43 46.210407
"2014-04-21" 49.98 50.650002 49.599998 46.65271
"2014-04-22" 50.709999 51.150002 50.360001 46.993645
"2014-04-23" 50.889999 50.959999 49.98 46.440773
"2014-04-24" 50.619999 50.779999 49.720001 46.293331
"2014-04-25" 49.950001 50.389999 49.369999 45.648335
"2014-04-28" 49.84 50.080002 48.450001 44.984882
"2014-04-29" 48.959999 49.43 48.459999 45.058609
"2014-04-30" 49 49.459999 48.439999 45.473259
"2014-05-01" 51 51.860001 49.48 47.223995
"2014-05-02" 51.18 51.740002 50.25 46.717213
"2014-05-05" 50.279999 50.52 49.57 46.12748
"2014-05-06" 49.950001 50.16 49.549999 45.970829
"2014-05-07" 49.889999 50.32 49.34 46.007698
"2014-05-08" 49.599998 50.400002 49.110001 45.482456
"2014-05-09" 49.200001 50.16 48.669998 46.072186
"2014-05-12" 50.049999 50.84 50.049999 46.514488
"2014-05-13" 50.5 50.720001 50.330002 46.514488
"2014-05-14" 50.299999 50.43 49.740002 45.878685
"2014-05-15" 49.52 49.740002 47.98 44.496517
"2014-05-16" 48.32 49.43 48.150002 45.40876
"2014-05-19" 49.299999 50.360001 49.27 46.265697
"2014-05-20" 49.869999 50.540001 49.75 46.532917
"2014-05-21" 50.52 51.029999 50.400002 46.726418
"2014-05-22" 50.650002 51.84 50.32 47.445148
"2014-05-23" 51.73 52.59 51.330002 48.338959
"2014-05-27" 52.490002 52.84 52.330002 48.34816
"2014-05-28" 52.619999 53.259998 52.459999 48.781231
"2014-05-29" 52.939999 53.860001 52.939999 49.315674
"2014-05-30" 53.490002 53.509998 52.330002 48.274437
"2014-06-02" 52.77 52.77 52.040001 47.97958
"2014-06-03" 51.299999 52.740002 51.299999 48.292866
"2014-06-04" 52.27 53.310001 52.23 48.974743
"2014-06-05" 53.200001 54.34 52.900002 50.043617
"2014-06-06" 54.43 56.09 54.369999 51.444221
"2014-06-09" 55.970001 56.810001 55.619999 51.923367
"2014-06-10" 56.240002 56.75 55.950001 52.273502
"2014-06-11" 56.400002 56.419998 55.98 51.914139
"2014-06-12" 56.18 56.560001 55.889999 51.784962
"2014-06-13" 56.259998 56.259998 55.900002 51.757278
"2014-06-16" 55.93 57.360001 55.84 52.716953
"2014-06-17" 56.880001 57.66 56.099998 52.827675
"2014-06-18" 57.23 57.5 57.049999 52.910732
"2014-06-19" 57.330002 57.740002 56.040001 52.846134
"2014-06-20" 57.139999 57.779999 56.880001 53.169094
"2014-06-23" 57.720001 58.290001 57.43 53.113728
"2014-06-24" 57.299999 57.57 56.490002 52.301716
"2014-06-25" 56.619999 56.830002 56.040001 52.310921
"2014-06-26" 56.720001 56.779999 56.169998 51.969517
"2014-06-27" 56.450001 56.450001 55.52 51.286682
"2014-06-30" 55.52 56.75 55.419998 52.301716
"2014-07-01" 56.77 57.459999 56.77 52.652355
"2014-07-02" 57 57.869999 57 52.938408
"2014-07-03" 57.459999 57.740002 57.02 52.744637
"2014-07-07" 57.040001 57.040001 55.939999 51.71114
"2014-07-08" 56.040001 56.040001 54.990002 51.222084
"2014-07-09" 55.5 56.029999 55.360001 51.314354
"2014-07-10" 54.849998 55.880001 54.619999 51.305134
"2014-07-11" 55.669998 56.450001 55.439999 51.7019
"2014-07-14" 56.099998 56.57 55.619999 51.655773
"2014-07-15" 55.849998 56.189999 55.279999 51.314354
"2014-07-16" 55.790001 56.110001 55.139999 51.14827
"2014-07-17" 55.049999 55.169998 54.18 50.077873
"2014-07-18" 54.349998 55.009998 54.110001 50.649979
"2014-07-21" 54.790001 55.049999 54.560001 50.530033
"2014-07-22" 55.150002 55.580002 54.709999 50.659199
"2014-07-23" 54.919998 55.09 54.099998 50.243954
"2014-07-24" 54.419998 55.459999 54.290001 50.723804
"2014-07-25" 54.630001 55.25 54.389999 50.84375
"2014-07-28" 55.099998 55.110001 53.32 49.431938
"2014-07-29" 53.52 53.860001 52.419998 48.398453
"2014-07-30" 52.549999 53.959999 52.43 49.51498
"2014-07-31" 50.900002 52.73 49.93 47.457237
"2014-08-01" 51.43 51.48 49.59 46.469887
"2014-08-04" 50.59 51.77 49.970001 46.248436
"2014-08-05" 50.139999 50.93 49.799999 46.506813
"2014-08-06" 49.299999 50.23 48.830002 46.248436
"2014-08-07" 50.5 50.630001 49.599998 46.017754
"2014-08-08" 49.919998 50.720001 49.919998 46.700588
"2014-08-11" 50.759998 51.029999 50.279999 46.469887
"2014-08-12" 50.290001 51.119999 50.279999 47.023552
"2014-08-13" 51.060001 52.279999 51.060001 48.204681
"2014-08-14" 52.23 52.360001 51.669998 48.001671
"2014-08-15" 52.330002 52.93 51.830002 48.223133
"2014-08-18" 52.509998 53.200001 52.169998 48.573776
"2014-08-19" 52.799999 53.41 52.23 48.546101
"2014-08-20" 52.630001 52.91 52.27 48.463047
"2014-08-21" 52.630001 52.77 52.110001 48.112392
"2014-08-22" 52.049999 52.119999 51.740002 47.955532
"2014-08-25" 52.220001 52.560001 51.91 48.416908
"2014-08-26" 52.470001 52.580002 52.09 48.33387
"2014-08-27" 52.259998 52.259998 51.650002 47.992451
"2014-08-28" 51.73 51.790001 51.209999 47.567974
"2014-08-29" 51.549999 51.75 51.240002 47.457237
"2014-09-02" 51.529999 52.299999 51.459999 48.232365
"2014-09-03" 52.639999 52.880001 51.98 48.158539
"2014-09-04" 52.279999 52.84 52.07 48.287724
"2014-09-05" 52.470001 52.650002 51.91 48.426155
"2014-09-08" 52.310001 52.619999 52.060001 48.186237
"2014-09-09" 52.16 52.490002 51.509998 47.743301
"2014-09-10" 51.630001 52.16 51.25 47.937073
"2014-09-11" 51.790001 52.52 51.77 48.038574
"2014-09-12" 51.830002 51.900002 50.709999 47.012756
"2014-09-15" 50.73 50.900002 50.080002 46.948048
"2014-09-16" 50.720001 51.41 50.580002 47.2253
"2014-09-17" 51.16 52.25 50.91 47.188343
"2014-09-18" 51.23 51.23 50.52 46.781708
"2014-09-19" 50.880001 50.880001 47.470001 46.07933
"2014-09-22" 49.66 49.82 49.169998 45.469376
"2014-09-23" 49.049999 49.470001 48.540001 45.210613
"2014-09-24" 48.900002 49.209999 48.810001 45.284534
"2014-09-25" 48.77 49 48.060001 44.554443
"2014-09-26" 48.25 48.529999 48.189999 44.730038
"2014-09-29" 48.02 48.540001 47.790001 44.360355
"2014-09-30" 47.900002 48 47.310001 44.027672
"2014-10-01" 47.439999 48 46.880001 44.147816
"2014-10-02" 47.68 48.07 47.369999 44.240208
"2014-10-03" 48.830002 49.209999 48.580002 45.413918
"2014-10-06" 49.200001 49.470001 48.470001 44.905632
"2014-10-07" 48.369999 48.369999 46.580002 43.057281
"2014-10-08" 46.540001 47.279999 45.849998 43.657997
"2014-10-09" 47.389999 47.389999 46.540001 43.158947
"2014-10-10" 46.580002 46.970001 46.200001 42.743057
"2014-10-13" 46.220001 46.48 45.279999 41.883575
"2014-10-14" 45.509998 45.889999 44.82 41.643307
"2014-10-15" 44.560001 46 43.810001 42.253246
"2014-10-16" 44.630001 46.5 44.220001 42.816994
"2014-10-17" 46.73 47.57 46.32 43.205158
"2014-10-20" 46.580002 47.169998 46.57 43.343773
"2014-10-21" 47.169998 48.470001 47.169998 44.572933
"2014-10-22" 48.240002 48.509998 47 43.528618
"2014-10-23" 47.700001 48.779999 47.259998 44.776241
"2014-10-24" 48.490002 49.169998 48.07 45.395439
"2014-10-27" 48.869999 49.310001 48.549999 45.423176
"2014-10-28" 49.419998 50.25 49.080002 46.393551
"2014-10-29" 50.509998 51.369999 49.66 46.476727
"2014-10-30" 50.18 53.049999 49.240002 48.648533
"2014-10-31" 53.619999 54.57 52.869999 49.064423
"2014-11-03" 53.16 53.59 52.91 49.378632
"2014-11-04" 53.389999 53.84 53.09 49.092136
"2014-11-05" 53.43 53.580002 52.740002 49.027451
"2014-11-06" 53.330002 53.509998 52.869999 49.369392
"2014-11-07" 53.439999 53.560001 52.900002 48.944267
"2014-11-10" 53.110001 53.110001 52.57 48.685509
"2014-11-11" 52.810001 53.389999 52.369999 48.537632
"2014-11-12" 52.310001 52.669998 52.009998 48.519154
"2014-11-13" 52.57 52.68 51.880001 48.167957
"2014-11-14" 52 52.509998 51.790001 48.306595
"2014-11-17" 52.189999 52.919998 52.110001 48.83337
"2014-11-18" 52.91 54.049999 52.68 49.785263
"2014-11-19" 53.939999 54.32 53.540001 49.905415
"2014-11-20" 53.619999 54.360001 53.52 49.988605
"2014-11-21" 54.799999 54.880001 54.02 50.090244
"2014-11-24" 54.25 54.490002 53.880001 49.8592
"2014-11-25" 53.939999 53.970001 53.279999 49.508015
"2014-11-26" 53.599998 53.799999 52.900002 49.036694
"2014-11-28" 53.09 54.16 53.09 49.766781
"2014-12-01" 53.790001 53.98 53.25 49.628155
"2014-12-02" 53.790001 54.419998 53.639999 50.238117
"2014-12-03" 54.560001 55.080002 54.41 50.543102
"2014-12-04" 54.720001 54.990002 54.400002 50.450668
"2014-12-05" 54.810001 55.610001 54.59 51.337879
"2014-12-08" 55.560001 55.91 54.599998 50.74641
"2014-12-09" 54.029999 55.080002 53.860001 50.829601
"2014-12-10" 54.689999 55.099998 53.970001 50.044044
"2014-12-11" 54.07 54.970001 53.580002 50.081001
"2014-12-12" 53.689999 54.139999 53.619999 49.803333
"2014-12-15" 54 54.41 53.349998 49.701534
"2014-12-16" 53.599998 54.099998 52.959999 49.451637
"2014-12-17" 53.540001 54.209999 53 50.081009
"2014-12-18" 54.810001 54.98 54.279999 50.858463
"2014-12-19" 55.380001 55.389999 54.650002 50.895493
"2014-12-22" 54.98 55.610001 54.77 51.469318
"2014-12-23" 55.610001 55.860001 55.400002 51.534115
"2014-12-24" 55.810001 55.900002 55.400002 51.580383
"2014-12-26" 55.77 56 55.580002 51.506351
"2014-12-29" 55.540001 56.060001 55.290001 51.746983
"2014-12-30" 55.689999 55.889999 55.41 51.515594
"2014-12-31" 55.869999 56.049999 55.25 51.33049
"2015-01-02" 55.490002 55.599998 53.970001 50.951008
"2015-01-05" 54.73 55.240002 54.560001 50.849197
"2015-01-06" 55 55.16 54.080002 50.7659
"2015-01-07" 55.09 56 54.810001 51.460056
"2015-01-08" 55.709999 56.380001 55.18 52.154217
"2015-01-09" 56.110001 56.330002 55.790001 51.719204
"2015-01-12" 55.939999 55.990002 54.849998 50.895493
"2015-01-13" 55.299999 56.459999 54.450001 50.997288
"2015-01-14" 54.57 55.389999 54.18 51.210175
"2015-01-15" 55.549999 55.66 53.349998 49.79409
"2015-01-16" 53.84 54.349998 53.169998 49.396103
"2015-01-20" 53.439999 53.919998 52.59 48.859291
"2015-01-21" 52.580002 53.450001 52.330002 48.979614
"2015-01-22" 53.119999 54.43 52.900002 50.312389
"2015-01-23" 54.310001 55 54.310001 50.423458
"2015-01-26" 54.759998 54.830002 53.77 49.895912
"2015-01-27" 53.200001 54.040001 53.07 49.79409
"2015-01-28" 54.299999 55.16 53.91 50.303135
"2015-01-29" 54.150002 54.900002 53.709999 50.710377
"2015-01-30" 54.52 54.919998 53.880001 49.988453
"2015-02-02" 54.299999 54.529999 53.43 50.432709
"2015-02-03" 54.939999 55.43 54.700001 50.951008
"2015-02-04" 55.029999 55.970001 54.970001 51.48782
"2015-02-05" 55.75 57.060001 55.75 52.755814
"2015-02-06" 57.220001 57.799999 57.009998 53.264858
"2015-02-09" 57.540001 58.099998 56.880001 52.672531
"2015-02-10" 57.220001 57.349998 56.259998 52.644756
"2015-02-11" 56.939999 57.209999 56.389999 52.49667
"2015-02-12" 57.139999 57.889999 56.849998 53.459217
"2015-02-13" 57.720001 58.82 57.189999 54.292221
"2015-02-17" 58.790001 59.5 58.389999 54.199661
"2015-02-18" 56.880001 57.43 55.130001 51.830276
"2015-02-19" 55.939999 57.860001 55.790001 53.329651
"2015-02-20" 57.439999 58.720001 56.98 54.236675
"2015-02-23" 58.360001 58.720001 57.93 53.99604
"2015-02-24" 58.110001 58.790001 57.900002 54.051579
"2015-02-25" 58.48 59.07 58.16 54.190411
"2015-02-26" 58.740002 58.77 58.029999 53.949768
"2015-02-27" 58.209999 58.540001 57.689999 53.431461
"2015-03-02" 57.77 58.91 57.639999 54.440308
"2015-03-03" 58.439999 58.82 58.049999 54.144135
"2015-03-04" 58.650002 58.84 57.98 54.097855
"2015-03-05" 58.48 58.48 57.799999 53.783169
"2015-03-06" 57.689999 57.98 57.360001 53.172306
"2015-03-09" 57.41 58.139999 57.400002 53.672104
"2015-03-10" 57.689999 58.009998 57.110001 53.3204
"2015-03-11" 57.700001 58.259998 57.580002 53.598064
"2015-03-12" 57.93 58.52 57.93 54.051579
"2015-03-13" 58.09 58.669998 57.799999 53.921768
"2015-03-16" 58.509998 58.77 58.009998 54.459518
"2015-03-17" 58.209999 58.740002 58.040001 54.088657
"2015-03-18" 58.290001 60.099998 58.060001 55.479366
"2015-03-19" 59.860001 60.040001 59.290001 55.636963
"2015-03-20" 60.41 61.220001 60.23 56.684612
"2015-03-23" 61.240002 61.700001 60.810001 56.462105
"2015-03-24" 60.740002 61.400002 60.380001 56.462105
"2015-03-25" 60.84 61.23 60.139999 55.915092
"2015-03-26" 60.299999 60.669998 59.98 56.100521
"2015-03-27" 60.490002 61.299999 60.16 56.768059
"2015-03-30" 61.400002 61.970001 61.400002 57.398502
"2015-03-31" 61.5 61.93 61.049999 56.712425
"2015-04-01" 60.98 61.330002 60.790001 56.628994
"2015-04-02" 61.150002 61.709999 60.939999 56.972027
"2015-04-06" 61.18 62.16 61.029999 57.157452
"2015-04-07" 61.400002 61.709999 61.279999 57.083282
"2015-04-08" 61.529999 61.73 61.18 57.194538
"2015-04-09" 61.700001 61.799999 61.139999 56.962749
"2015-04-10" 61.52 61.720001 60.869999 56.777328
"2015-04-13" 61.169998 61.580002 60.25 55.887299
