"Index" "Open" "High" "Low" "Price"
"2012-09-17" 71.190002 71.639999 71.040001 59.181454
"2012-09-18" 71.349998 71.459999 71.010002 59.114948
"2012-09-19" 71.110001 71.279999 70.629997 58.740841
"2012-09-20" 70.419998 70.919998 70.190002 58.848915
"2012-09-21" 71.07 71.330002 70.400002 58.533005
"2012-09-24" 70.300003 70.980003 70 58.940357
"2012-09-25" 70.959999 71.580002 70.059998 58.266987
"2012-09-26" 70.099998 71.660004 70.029999 58.790703
"2012-09-27" 70.669998 71.379997 70.510002 59.266109
"2012-09-28" 70.830002 71.550003 70.760002 59.541348
"2012-10-01" 71.610001 72.449997 70.709999 59.274464
"2012-10-02" 71.089996 71.660004 70.449997 59.766541
"2012-10-03" 71.889999 72.989998 71.540001 60.600567
"2012-10-04" 72.779999 72.989998 71.839996 59.983387
"2012-10-05" 72.379997 72.980003 72.129997 60.733997
"2012-10-08" 72.709999 72.769997 71.980003 60.475445
"2012-10-09" 72.489998 72.82 71.57 59.749844
"2012-10-10" 71.720001 72.639999 71.559998 60.508827
"2012-10-11" 72.599998 72.739998 71.43 59.774887
"2012-10-12" 71.800003 72.309998 71.639999 60.191887
"2012-10-15" 72.279999 75.68 72.059998 62.844112
"2012-10-16" 75.589996 76.220001 74.709999 62.352024
"2012-10-17" 74.120003 75.040001 74.120003 62.377029
"2012-10-18" 74.75 75.550003 74.529999 62.96088
"2012-10-19" 75.410004 75.489998 73.82 61.584713
"2012-10-22" 73.440002 73.82 72.519997 61.3512
"2012-10-23" 72.989998 73.779999 72.449997 61.242741
"2012-10-24" 73.559998 73.75 73.160004 61.301155
"2012-10-25" 73.870003 73.970001 72.290001 61.151035
"2012-10-26" 73.449997 73.739998 72.660004 61.192719
"2012-10-31" 72.889999 75.410004 72.139999 62.794064
"2012-11-01" 75.169998 75.540001 73.230003 62.201889
"2012-11-02" 75.040001 75.550003 74.339996 62.110134
"2012-11-05" 73.769997 74.400002 73.230003 61.709812
"2012-11-06" 74.019997 74.5 73.379997 61.526321
"2012-11-07" 74.040001 76.040001 74.029999 62.75235
"2012-11-08" 75.330002 75.580002 74.449997 62.118492
"2012-11-09" 74.150002 75.139999 74.150002 62.418747
"2012-11-12" 75.129997 75.239998 73.760002 62.335327
"2012-11-13" 74.480003 75.459999 74.209999 61.91
"2012-11-14" 74.389999 74.629997 73.220001 61.25111
"2012-11-15" 73.389999 73.790001 71.760002 60.342007
"2012-11-16" 72.43 74.040001 72.349998 61.601387
"2012-11-19" 74.610001 74.699997 73.510002 61.476288
"2012-11-20" 73.760002 74.269997 73.07 61.509651
"2012-11-21" 73.769997 74.160004 73.589996 61.818241
"2012-11-23" 74.279999 75 74.019997 62.535507
"2012-11-26" 74.589996 74.889999 73.959999 62.010082
"2012-11-27" 74.150002 74.82 73.620003 61.884956
"2012-11-28" 74.019997 74.25 73.370003 61.893307
"2012-11-29" 74.489998 75.029999 74.190002 62.468796
"2012-11-30" 74.919998 75.480003 74.800003 62.493816
"2012-12-03" 75 75.449997 74.580002 62.452122
"2012-12-04" 75 75.540001 74.550003 62.4104
"2012-12-05" 74.959999 74.989998 73.519997 62.226929
"2012-12-06" 74.650002 75.010002 74.349998 62.535507
"2012-12-07" 75.010002 75.559998 74.849998 62.927498
"2012-12-10" 75.580002 75.599998 75.040001 62.652279
"2012-12-11" 75.389999 75.949997 75.07 62.727341
"2012-12-12" 75.360001 76.480003 75.139999 63.544678
"2012-12-13" 75.980003 77 75.760002 63.661808
"2012-12-14" 75.870003 76.709999 75.870003 64.147095
"2012-12-17" 76.949997 76.959999 76.199997 64.339539
"2012-12-18" 77.129997 77.160004 76.239998 64.255867
"2012-12-19" 76.959999 77 76.120003 63.695286
"2012-12-20" 76.190002 77.260002 75.919998 64.640717
"2012-12-21" 76.870003 77.029999 76.309998 64.230743
"2012-12-24" 76.769997 77.190002 76.559998 64.42318
"2012-12-26" 76.980003 77.040001 76.099998 63.829155
"2012-12-27" 76.32 76.839996 75.360001 63.829155
"2012-12-28" 75.860001 76.699997 75.860001 63.494495
"2012-12-31" 75.889999 77.269997 75.800003 64.649086
"2013-01-02" 78.389999 79.050003 78.239998 66.13839
"2013-01-03" 78.370003 78.470001 76.800003 64.52359
"2013-01-04" 77.279999 77.410004 76.610001 64.465019
