"Index" "Open" "High" "Low" "Price"
"2014-06-06" 13.8125 15 13.75 13.75
"2014-06-09" 14.0625 14.25 13.75 13.8
"2014-06-10" 13.8125 15 13.8125 15
"2014-06-11" 15 15.875 14.665 15.875
"2014-06-12" 15.9125 16.9575 15.7675 16.5
"2014-06-13" 17.1175 18 16.75 17.395
"2014-06-16" 17.805 17.875 16.908751 17.875
"2014-06-17" 17.9725 18.157499 17.25 17.4275
"2014-06-18" 17.5175 17.75 16.969999 17.24
"2014-06-19" 17.0075 17.202499 16.127501 16.4175
"2014-06-20" 16.262501 17.125 16.125 16.2875
"2014-06-23" 16.254999 16.872499 16.254999 16.4275
"2014-06-24" 16.5875 16.6875 15.9675 16.07
"2014-06-25" 15.9525 16.3395 15.5 16.122499
"2014-06-26" 16.202499 16.202499 15.625 15.9525
"2014-06-27" 15.9775 15.9775 15.5625 15.6375
"2014-06-30" 15.5175 16.299999 15.5175 15.5975
"2014-07-01" 16.7425 19.2075 16.525 19
"2014-07-02" 19.684999 20.1325 18.299999 18.8375
"2014-07-03" 19.110001 19.40675 18.525 19.102501
"2014-07-07" 18.790001 19.3225 18.0075 18.0425
"2014-07-08" 17.9825 18.012501 15.785 17.3575
"2014-07-09" 17.325001 18.225 16.502501 17.975
"2014-07-10" 16.879999 17.535 16.781 16.934999
"2014-07-11" 17.200001 17.625 17.0875 17.407499
"2014-07-14" 17.85 18 17.1325 17.237499
"2014-07-15" 17.362499 17.639999 16.5 16.672501
"2014-07-16" 16.7675 17 15.9025 16.1325
"2014-07-17" 15.9725 16.405001 15.7775 15.94
"2014-07-18" 16.0075 16.225 15.8375 16
"2014-07-21" 16.032499 16.182501 15.7525 15.8075
"2014-07-22" 15.94 16.74 15.865 16.377501
"2014-07-23" 16.4725 16.67 16.1 16.205
"2014-07-24" 16.2775 16.540001 15.9425 16.0625
"2014-07-25" 16.0375 16.195 15.6275 15.91
"2014-07-28" 16.129999 16.136 15.7575 15.8525
"2014-07-29" 15.8975 16.012501 15.7875 15.9625
"2014-07-30" 16.120001 16.975 15.9925 16.9475
"2014-07-31" 16.584999 16.75 16.2775 16.530001
"2014-08-01" 16.455 16.875 16.3125 16.4025
"2014-08-04" 16.497499 17.375 16.42 17.307501
"2014-08-05" 17.2075 18.25 17.004999 18.022499
"2014-08-06" 17.844999 18.125 17.3825 17.705
"2014-08-07" 17.942499 18.165001 17.796 18.055
"2014-08-08" 19.8125 19.969999 17.875 18.0075
"2014-08-11" 18.172501 18.35 16.827499 17.465
"2014-08-12" 17.370001 17.921499 17.370001 17.7775
"2014-08-13" 17.785 17.9925 17.334499 17.459999
"2014-08-14" 17.432501 17.924999 17.200001 17.702499
"2014-08-15" 17.855 17.855 17.344999 17.455
"2014-08-18" 17.7125 17.842501 17.3125 17.627501
"2014-08-19" 17.684999 18.795 17.54125 18.75
"2014-08-20" 18.5825 19.317249 18.22525 19.1
"2014-08-21" 18.969999 19.5975 18.8325 19.3375
"2014-08-22" 19.122499 19.24 18.8125 18.905001
"2014-08-25" 19.012501 19.360001 18.702499 18.895
"2014-08-26" 18.860001 19.192499 18.66625 19.0425
"2014-08-27" 18.997499 20.8675 18.9925 20.790001
"2014-08-28" 20.74 20.9725 20.3925 20.862499
"2014-08-29" 21.2225 21.44725 20.684999 20.9625
"2014-09-02" 21.285 21.67 21.057501 21.525
"2014-09-03" 21.790001 21.889999 21.227501 21.4025
"2014-09-04" 21.352501 22.325001 21.297501 21.872499
"2014-09-05" 21.855 22.8325 21.532499 22.780001
"2014-09-08" 22.7875 23.485001 21.422501 21.915001
"2014-09-09" 22 22.220501 20.945 21.07
"2014-09-10" 21.247499 22.209999 20.785 22.1875
"2014-09-11" 22.025 22.7225 21.91 22.1875
"2014-09-12" 22.2225 22.352501 21.25 21.567499
"2014-09-15" 21.83 22.0625 20.635 20.7075
"2014-09-16" 20.567499 21.334999 20.200001 21
"2014-09-17" 21.1975 21.485001 20.805 20.877501
"2014-09-18" 21.125 21.610001 21.0075 21.532499
"2014-09-19" 21.735001 21.9125 21.225 21.9125
"2014-09-22" 21.7225 22.1625 20.889999 20.959999
"2014-09-23" 20.860001 21.577499 20.764999 21.1175
"2014-09-24" 20.799999 21.975 20.799999 21.7775
"2014-09-25" 21.6775 22.110001 20.955 21.075001
"2014-09-26" 21.0875 21.47875 21.084999 21.282499
"2014-09-29" 21.115 23.4375 21 23.327499
"2014-09-30" 23.389999 23.709999 21.6525 22.0825
"2014-10-01" 22.01 22.1325 20.780001 21.014999
"2014-10-02" 21.112499 21.262501 19.905001 21.057501
"2014-10-03" 21.445 21.7775 20.8675 21.432501
"2014-10-06" 21.495001 21.645 20.702499 21.17
"2014-10-07" 20.782499 21.120001 20.553749 20.702499
"2014-10-08" 21.0825 22.23 20.76 22.110001
