"Index" "Open" "High" "Low" "Price"
"2012-09-17" 72.989998 73.599998 72.730003 73.370003
"2012-09-18" 73.419998 73.559998 73.010002 73.290001
"2012-09-19" 73.220001 73.639999 73.199997 73.379997
"2012-09-20" 73.110001 73.919998 72.900002 73.839996
"2012-09-21" 74.300003 74.370003 73.339996 73.349998
"2012-09-24" 73.339996 73.769997 73 73.379997
"2012-09-25" 73.809998 73.809998 72.169998 72.339996
"2012-09-26" 72.510002 72.610001 71.360001 71.860001
"2012-09-27" 71.989998 73.120003 71.529999 72.879997
"2012-09-28" 72.75 73.610001 72.18 73.400002
"2012-10-01" 73.400002 73.510002 71.110001 72.099998
"2012-10-02" 72.199997 72.809998 71.309998 72.099998
"2012-10-03" 72.410004 72.510002 71.720001 72.029999
"2012-10-04" 72.339996 72.360001 71.43 72.339996
"2012-10-05" 72.5 73.300003 71.529999 71.940002
"2012-10-08" 71.5 72.32 70.75 71.029999
"2012-10-09" 70.989998 70.989998 69.300003 69.620003
"2012-10-10" 69.639999 69.739998 68.790001 69.18
"2012-10-11" 69.830002 70.209999 68.669998 69.129997
"2012-10-12" 69.300003 69.779999 68.790001 69.550003
"2012-10-15" 69.739998 70.360001 69.099998 70.309998
"2012-10-16" 70.650002 71.709999 70.43 71.330002
"2012-10-17" 71.099998 71.800003 70.739998 71.480003
"2012-10-18" 71.599998 71.720001 70.709999 70.75
"2012-10-19" 70.379997 70.699997 68.68 68.849998
"2012-10-22" 68.699997 69.089996 68.18 68.400002
"2012-10-23" 68.57 69.18 67.169998 69.07
"2012-10-24" 69.290001 69.790001 68.629997 69.360001
"2012-10-25" 69.620003 69.769997 68.57 69.040001
"2012-10-26" 69.199997 69.43 68.449997 68.989998
"2012-10-31" 69.199997 70.889999 68.720001 70.25
"2012-11-01" 68.75 69.32 63.220001 67.489998
"2012-11-02" 67.370003 68.559998 66.639999 67.730003
"2012-11-05" 67.559998 68.699997 66.790001 68.620003
"2012-11-06" 68.919998 70.050003 68.580002 69.800003
"2012-11-07" 69.32 70.059998 68.209999 68.220001
"2012-11-08" 68.080002 68.580002 67.449997 67.480003
"2012-11-09" 67.25 68.43 67.199997 67.559998
"2012-11-12" 67.650002 68 67.230003 67.620003
"2012-11-13" 67.199997 68.540001 67.110001 68.190002
"2012-11-14" 68.110001 68.470001 67.339996 67.440002
"2012-11-15" 67.290001 67.379997 66.43 67.25
"2012-11-16" 67.25 67.900002 66.93 67.290001
"2012-11-19" 67.940002 68.440002 66.959999 67.790001
"2012-11-20" 67.610001 67.879997 67.080002 67.290001
"2012-11-21" 67.209999 67.730003 66.699997 66.949997
"2012-11-23" 67.239998 67.879997 67 67.220001
"2012-11-26" 67.019997 67.199997 66.709999 66.889999
"2012-11-27" 66.769997 66.879997 65.620003 65.82
"2012-11-28" 65.75 65.849998 64.709999 65.709999
"2012-11-29" 65.989998 66.519997 65.529999 66.260002
"2012-11-30" 66.080002 66.440002 65.790001 66.330002
"2012-12-03" 66.540001 66.800003 65.559998 65.910004
"2012-12-04" 66.129997 66.43 65.169998 65.980003
"2012-12-05" 66.160004 66.599998 65.389999 66.019997
"2012-12-06" 66.199997 66.660004 65.949997 66.260002
"2012-12-07" 66.389999 66.449997 65.540001 66.290001
"2012-12-10" 66.290001 66.43 66.059998 66.400002
"2012-12-11" 66.410004 68.309998 66.410004 67.959999
"2012-12-12" 68.129997 68.599998 67.790001 67.940002
"2012-12-13" 67.970001 68.010002 66.639999 66.709999
"2012-12-14" 66.510002 67.510002 66.169998 67.120003
"2012-12-17" 67.150002 68.019997 66.309998 67.989998
"2012-12-18" 67.910004 69.489998 67.910004 69.269997
"2012-12-19" 69.099998 69.25 68.580002 68.580002
"2012-12-20" 68.629997 69 68.220001 68.860001
"2012-12-21" 68.07 69.230003 67.75 68.690002
"2012-12-24" 68.510002 69.050003 67.779999 68.940002
"2012-12-26" 68.889999 69.269997 67.769997 67.769997
"2012-12-27" 67.650002 68.300003 66.790001 67.620003
"2012-12-28" 67.18 67.900002 66.610001 67
"2012-12-31" 67.029999 67.779999 66.889999 67.339996
"2013-01-02" 68.540001 70.050003 68.330002 70.050003
"2013-01-03" 69.839996 70.5 69.57 69.769997
"2013-01-04" 69.790001 70.879997 69.470001 70.5
"2013-01-07" 70.089996 70.599998 69.980003 70.489998
"2013-01-08" 70.25 71.290001 70.25 71.080002
"2013-01-09" 71.120003 72.129997 71.120003 72.129997
"2013-01-10" 72.309998 72.709999 71.489998 72.260002
"2013-01-11" 72.25 73 72.18 72.830002
"2013-01-14" 72.589996 73.360001 72.260002 72.959999
"2013-01-15" 72.550003 73.370003 71.970001 73.059998
"2013-01-16" 72.769997 73.07 72.580002 72.639999
"2013-01-17" 72.980003 74.029999 72.980003 73.559998
"2013-01-18" 73.449997 74 72.620003 73.080002
"2013-01-22" 72.93 73.080002 72.029999 72.709999
