"Index" "Open" "High" "Low" "Price"
"2012-09-17" 53.09 53.25 52.560001 47.445827
"2012-09-18" 52.75 53.02 52.529999 47.517784
"2012-09-19" 52.779999 52.900002 52.509998 47.355885
"2012-09-20" 52.279999 52.639999 52.040001 47.328896
"2012-09-21" 52.740002 52.860001 52.619999 47.382854
"2012-09-24" 52.259998 52.639999 52.200001 47.140007
"2012-09-25" 52.509998 52.720001 51.889999 46.672302
"2012-09-26" 51.889999 52.240002 51.740002 46.546364
"2012-09-27" 52.029999 52.560001 51.880001 47.20298
"2012-09-28" 52.25 52.459999 51.84 47.032089
"2012-10-01" 52.639999 53.389999 52.619999 47.931519
"2012-10-02" 53.330002 53.470001 52.970001 47.787613
"2012-10-03" 53.169998 53.380001 52.939999 47.931519
"2012-10-04" 53.5 53.860001 53.419998 48.309299
"2012-10-05" 53.950001 54.290001 53.91 48.687061
"2012-10-08" 54.099998 54.18 53.799999 48.471203
"2012-10-09" 53.900002 54.060001 53.34 47.994495
"2012-10-10" 53.419998 53.419998 52.810001 47.58075
"2012-10-11" 53.009998 53.43 52.869999 47.814602
"2012-10-12" 54.099998 54.200001 53.080002 47.841576
"2012-10-15" 53.25 53.5 53.009998 47.958508
"2012-10-16" 53.77 53.810001 53.380001 48.102421
"2012-10-17" 53.790001 54.200001 53.639999 48.669086
"2012-10-18" 54.02 54.290001 53.490002 48.219357
"2012-10-19" 53.34 53.380001 52.439999 47.265934
"2012-10-22" 52.549999 52.709999 52.220001 47.400864
"2012-10-23" 52.169998 52.400002 51.779999 47.014095
"2012-10-24" 52.400002 52.52 51.919998 46.843197
"2012-10-25" 52.389999 52.759998 52.150002 47.086048
"2012-10-26" 52.740002 54.060001 52.619999 48.426231
"2012-10-31" 54.5 54.599998 53.610001 48.667988
"2012-11-01" 53.939999 54.830002 53.580002 49.434761
"2012-11-02" 55 55.41 54.619999 49.506924
"2012-11-05" 54.610001 55.279999 54.540001 49.687355
"2012-11-06" 55.150002 56.360001 55.119999 50.78791
"2012-11-07" 55.720001 55.970001 54.75 50.057228
"2012-11-08" 55.360001 55.799999 55.02 49.795601
"2012-11-09" 55.009998 55.950001 54.919998 50.183502
"2012-11-12" 55.610001 56.200001 55.25 50.526291
"2012-11-13" 55.759998 56.669998 55.619999 50.670624
"2012-11-14" 56.290001 56.810001 55.759998 50.418049
"2012-11-15" 56.02 56.099998 55.52 50.481205
"2012-11-16" 56 56.189999 55.639999 50.688675
"2012-11-19" 56.57 56.599998 56.119999 50.832993
"2012-11-20" 55.91 56.950001 55.73 51.374268
"2012-11-21" 56.880001 57.299999 56.610001 51.63588
"2012-11-23" 57.439999 57.849998 57.360001 52.086926
"2012-11-26" 57.419998 57.919998 57.189999 51.599773
"2012-11-27" 57.130001 57.130001 56.189999 50.92321
"2012-11-28" 56.139999 56.959999 55.82 51.302101
"2012-11-29" 57.119999 57.200001 56.580002 51.293076
"2012-11-30" 56.779999 57.279999 56.77 51.238949
"2012-12-03" 56.91 57.25 56.650002 51.175808
"2012-12-04" 56.73 57.02 56.48 51.157761
"2012-12-05" 56.740002 56.970001 56.459999 51.103645
"2012-12-06" 56.82 56.860001 56.470001 51.247967
"2012-12-07" 56.889999 57.080002 56.52 51.05854
"2012-12-10" 56.419998 56.759998 56.400002 50.878109
"2012-12-11" 56.490002 56.84 56.369999 50.968319
