"Index" "Open" "High" "Low" "Price"
"2012-09-17" 14 14.0975 13.8475 12.077641
"2012-09-18" 14.0675 14.275 13.8475 12.248784
"2012-09-19" 14.31 14.48 14.1825 12.513083
"2012-09-20" 14.3825 14.4725 14.3125 12.448091
"2012-09-21" 14.5225 14.7275 14.41 12.58241
"2012-09-24" 14.505 14.625 14.4025 12.58241
"2012-09-25" 14.56 14.685 14.295 12.452427
"2012-09-26" 14.38 14.4225 13.92 12.209791
"2012-09-27" 14.205 14.48 14.0825 12.534748
"2012-09-28" 14.4275 14.465 14.315 12.465424
"2012-10-01" 14.455 14.5425 14.295 12.4026
"2012-10-02" 14.3775 14.4525 14.18 12.357107
"2012-10-03" 14.29 14.3775 14.1875 12.389596
"2012-10-04" 14.3925 14.5225 14.2875 12.534748
"2012-10-05" 14.55 14.7325 14.46 12.56291
"2012-10-08" 14.4475 14.4975 14.3025 12.532578
"2012-10-09" 14.45 14.4925 14.1925 12.461091
"2012-10-10" 14.3625 14.395 14.155 12.298615
"2012-10-11" 14.315 14.3725 14.0225 12.201125
"2012-10-12" 14.08 14.115 13.885 12.118798
"2012-10-15" 14.075 14.075 13.8625 12.159961
"2012-10-16" 14.18 14.2125 13.9225 12.131798
"2012-10-17" 14.235 15 14.185 12.510917
"2012-10-18" 14.47 14.8775 14.4175 12.790383
"2012-10-19" 14.63 14.8725 14.6075 12.764385
"2012-10-22" 14.765 14.985 14.6925 12.861873
"2012-10-23" 14.6875 14.9375 14.5375 12.890035
"2012-10-24" 14.9525 15.0375 14.8325 12.939862
"2012-10-25" 15.115 15.1425 14.7225 12.83371
"2012-10-26" 14.85 15.04 14.775 12.978858
"2012-10-31" 14.9775 15.25 14.9125 13.209267
"2012-11-01" 15.2525 15.4625 15.0025 13.417936
"2012-11-02" 15.545 15.545 14.9875 13.033197
"2012-11-05" 15.0325 15.335 14.9225 13.159271
"2012-11-06" 15.24 15.5525 15.175 13.400549
"2012-11-07" 15.27 15.4575 14.82 13.002771
"2012-11-08" 14.96 15.1 14.8225 12.950603
"2012-11-09" 14.835 14.9575 14.625 12.911475
"2012-11-12" 15.06 15.57 14.85 12.911475
"2012-11-13" 14.7425 15.1725 14.6325 12.957122
"2012-11-14" 14.9025 15.0775 14.6025 12.750623
"2012-11-15" 14.63 14.765 14.265 12.685418
"2012-11-16" 14.5525 14.945 14.495 12.948425
"2012-11-19" 14.975 15.4825 14.9475 13.131013
"2012-11-20" 15.005 15.4175 15.005 13.398372
"2012-11-21" 15.4575 15.53 15.1625 13.257087
"2012-11-23" 15.3325 15.5425 15.325 13.470104
"2012-11-26" 15.455 15.6325 15.3825 13.42011
"2012-11-27" 15.4575 15.6225 15.43 13.441845
"2012-11-28" 15.435 15.4975 15.0925 13.326644
"2012-11-29" 15.4575 15.695 15.3275 13.62878
"2012-11-30" 15.6825 15.83 15.5125 13.683119
"2012-12-03" 15.8925 15.935 15.6075 13.707032
"2012-12-04" 15.775 15.8875 15.685 13.783109
"2012-12-05" 15.8775 15.9325 15.5725 13.770066
"2012-12-06" 15.885 15.925 15.625 13.717902
"2012-12-07" 15.8825 15.8825 15.4775 13.524446
"2012-12-10" 15.5325 15.745 15.46 13.648343
"2012-12-11" 15.785 15.815 15.4825 13.489668
"2012-12-12" 15.6275 15.6975 15.3625 13.417936
"2012-12-13" 15.4575 15.5925 15.42 13.467932
"2012-12-14" 15.4425 15.525 15.1225 13.267953
"2012-12-17" 15.285 15.395 15.1975 13.259261
"2012-12-18" 15.335 15.7425 15.2525 13.683119
"2012-12-19" 15.7125 15.99 15.57 13.820059
"2012-12-20" 15.8375 15.93 15.6825 13.772243
"2012-12-21" 15.675 15.73 15.53 13.539659
"2012-12-24" 15.595 15.6975 15.4875 13.511403
"2012-12-26" 15.605 15.645 15.3875 13.435328
"2012-12-27" 15.4875 15.5225 15.2475 13.446191
"2012-12-28" 15.365 15.6225 15.3175 13.441845
"2012-12-31" 15.4275 15.8125 15.385 13.709204
"2013-01-02" 16.102501 16.432501 16.0425 14.043945
"2013-01-03" 15.835 16.0075 15.5025 13.824407
"2013-01-04" 15.985 16.092501 15.7875 13.974389
"2013-01-07" 15.975 16.202499 15.805 13.820059
"2013-01-08" 15.915 16.2325 15.8675 14.083069
"2013-01-09" 16.1975 16.254999 16.01 13.99178
"2013-01-10" 16.2325 16.280001 16.035 14.106982
"2013-01-11" 16.225 16.225 16.0425 14.037425
"2013-01-14" 16.200001 16.530001 16.155001 14.356954
"2013-01-15" 16.4375 16.485001 16.2875 14.311303
"2013-01-16" 16.4375 16.469999 16.157499 14.106982
"2013-01-17" 16.32 16.807501 16.307501 14.57214
"2013-01-18" 16.799999 16.952499 16.622499 14.683002
"2013-01-22" 16.895 17.1775 16.727501 14.791681
"2013-01-23" 17.01 17.195 16.737499 14.665608
"2013-01-24" 17.25 17.737499 16.754999 15.056867
"2013-01-25" 17.379999 17.555 17.2575 15.213365
"2013-01-28" 17.522499 17.6525 17.352501 15.263364
"2013-01-29" 17.547501 17.612499 17.4375 15.348378
"2013-01-30" 17.627501 17.627501 17.282499 15.117312
"2013-01-31" 17.344999 17.4 17.237499 15.102054
"2013-02-01" 17.450001 17.615 17.422501 15.248097
"2013-02-04" 17.422501 17.495001 17.200001 15.06936
"2013-02-05" 17.3825 17.532499 17.2325 15.237207
"2013-02-06" 17.405001 17.512501 17.362499 15.256821
"2013-02-07" 17.497499 17.497499 17.217501 15.165275
"2013-02-08" 17.3825 17.567499 17.34 15.248097
"2013-02-11" 17.49 17.559999 17.362499 15.239388
"2013-02-12" 17.497499 17.7875 17.497499 15.374537
"2013-02-13" 17.67 17.762501 17.6075 15.487888
"2013-02-14" 17.672501 17.924999 17.647499 15.566363
"2013-02-15" 17.940001 18.025 17.827499 15.688433
"2013-02-19" 18.02 18.135 17.987499 15.78217
"2013-02-20" 18.102501 18.18 17.5725 15.339659
"2013-02-21" 17.567499 17.58 17.110001 15.141291
"2013-02-22" 17.385 17.702499 17.385 15.396332
"2013-02-25" 17.6975 17.7225 17.0975 14.912407
"2013-02-26" 17.225 17.612499 17.127501 15.282985
"2013-02-27" 17.5375 17.959999 17.512501 15.553286
"2013-02-28" 17.8675 17.975 17.752501 15.592522
"2013-03-01" 17.77 17.977501 17.5 15.623038
"2013-03-04" 17.875 18.1175 17.795 15.786529
"2013-03-05" 18.192499 18.43 18.120001 15.950015
"2013-03-06" 18.3925 18.422501 18.24 15.973996
"2013-03-07" 18.334999 18.375 18.217501 15.943483
"2013-03-08" 18.2875 18.5175 18.195 15.932577
"2013-03-11" 18.2675 18.34 18.057501 15.906425
"2013-03-12" 18.2325 18.254999 18.0425 15.869365
"2013-03-13" 18.217501 18.247499 18.092501 15.886805
"2013-03-14" 18.307501 18.4925 18.27 16.120047
"2013-03-15" 18.5075 18.567499 18.4 16.052475
"2013-03-18" 18.217501 18.440001 18.1625 15.939117
"2013-03-19" 18.365 18.52 18.174999 16.008875
"2013-03-20" 18.5 18.715 18.415001 16.276999
"2013-03-21" 18.567499 18.602501 18.157499 15.943483
"2013-03-22" 18.3475 18.5425 18.3325 16.041563
"2013-03-25" 18.4375 18.52 18.120001 15.932577
"2013-03-26" 18.35 18.4125 18.1975 15.969638
"2013-03-27" 18.192499 18.434999 18.049999 16.035032
"2013-03-28" 18.4375 18.467501 18.33 16.037218
"2013-04-01" 18.415001 18.525 17.7425 15.553286
"2013-04-02" 17.905001 17.98 17.567499 15.418133
"2013-04-03" 17.7125 17.75 16.797501 14.714042
"2013-04-04" 16.8475 17.2925 16.7675 15.047557
"2013-04-05" 16.862499 17.254999 16.672501 15.038837
"2013-04-08" 17.264999 17.342501 17.16 15.038837
"2013-04-09" 17.225 17.272499 17.025 14.892785
"2013-04-10" 17.08 17.25 17.0275 15.025757
"2013-04-11" 17.157499 17.4275 17.157499 15.158732
"2013-04-12" 17.299999 17.52 17.24 15.224126
"2013-04-15" 17.375 17.4375 16.75 14.609403
"2013-04-16" 17.202499 17.4575 16.965 15.036659
"2013-04-17" 17.137501 17.540001 17.02 15.150008
"2013-04-18" 17.407499 17.512501 17.077499 14.973447
"2013-04-19" 17.1975 17.469999 17.129999 15.051919
"2013-04-22" 17.3125 17.6075 17.102501 15.235024
"2013-04-23" 18.372499 18.799999 18.105 15.991437
"2013-04-24" 18.65 18.795 18.487499 16.27482
"2013-04-25" 18.709999 18.92 18.68 16.434465
"2013-04-26" 18.7875 19.022499 18.74 16.583172
"2013-04-29" 19.077499 19.094999 18.76 16.43009
"2013-04-30" 18.785 18.897499 18.612499 16.495693
