"Index" "Open" "High" "Low" "Price"
"2012-09-17" 79.04718 79.398705 78.871414 61.947178
"2012-09-18" 79.121185 79.259941 78.482887 61.737392
"2012-09-19" 79.04718 79.09343 78.464386 61.67226
"2012-09-20" 78.427383 78.741905 78.057358 61.534801
"2012-09-21" 78.908417 78.954674 78.112862 61.1441
"2012-09-24" 77.881592 77.983353 77.261795 60.731689
"2012-09-25" 77.835335 78.233116 77.067528 60.30481
"2012-09-26" 76.80851 77.049026 76.151711 60.181801
"2012-09-27" 76.743759 76.910271 76.197968 60.26202
"2012-09-28" 76.225716 76.586494 75.846436 60.298477
"2012-10-01" 76.345978 77.474564 76.08696 60.407864
"2012-10-02" 76.734505 77.197037 76.08696 60.276627
"2012-10-03" 76.438484 76.679001 76.040703 60.32037
"2012-10-04" 76.984276 77.3358 76.540237 60.801586
"2012-10-05" 77.71508 78.251617 77.289551 61.173443
"2012-10-08" 77.243294 77.742828 76.984276 61.158848
"2012-10-09" 77.687325 77.807587 76.734505 60.488052
"2012-10-10" 76.753006 76.753006 75.679924 59.802666
"2012-10-11" 76.318222 76.530991 75.818687 59.766247
"2012-10-12" 75.85569 76.632744 75.485664 59.788097
"2012-10-15" 76.271973 76.373726 75.85569 59.999557
"2012-10-16" 76.771507 78.307121 76.401482 61.691124
"2012-10-17" 78.085106 78.936172 78.085106 61.939003
"2012-10-18" 78.492134 79.509712 78.085106 62.230667
"2012-10-19" 76.734505 77.012024 73.746529 58.322559
"2012-10-22" 73.395004 73.441261 71.48011 57.571568
"2012-10-23" 71.813133 72.43293 71.276596 56.346657
"2012-10-24" 71.831635 72.118408 71.026825 56.208099
"2012-10-25" 72.109161 72.321922 71.239594 56.674755
"2012-10-26" 71.600372 72.23867 71.267342 56.813286
"2012-10-31" 72.506935 72.728958 71.3321 56.528919
"2012-11-01" 72.220169 73.42276 71.3321 57.010143
"2012-11-02" 72.395927 73.246994 71.230339 56.980972
"2012-11-05" 72.062904 73.006477 71.877892 57.418449
"2012-11-06" 72.941719 74.449585 72.617943 58.147564
"2012-11-07" 72.987976 73.839035 72.738205 57.936134
"2012-11-08" 73.496765 74.107307 73.126732 57.710087
"2012-11-09" 73.089729 74.162811 73.089729 58.132999
"2012-11-12" 73.940796 74.301575 73.626274 58.293396
"2012-11-13" 74.514336 75.152634 74.273819 58.723579
"2012-11-14" 74.680855 74.764107 73.857536 58.497543
"2012-11-15" 74.162811 74.616096 73.543015 58.220486
"2012-11-16" 73.950043 74.301575 73.358002 58.329838
"2012-11-19" 74.532837 74.865868 74.264572 58.964191
"2012-11-20" 74.560593 75.513412 74.560593 59.503757
"2012-11-21" 75.911194 75.948196 75.513412 59.74435
"2012-11-23" 76.179466 76.845512 76.031448 60.546387
"2012-11-26" 76.530991 77.095284 76.484734 60.765137
"2012-11-27" 77.049026 77.095284 76.484734 60.42244
"2012-11-28" 76.216469 76.6605 75.753929 60.116215
"2012-11-29" 76.447731 77.012024 75.948196 60.043293
"2012-11-30" 76.318222 76.95652 76.23497 60.473476
"2012-12-03" 76.965775 77.141533 75.3284 59.474583
"2012-12-04" 75.078629 76.022202 75.078629 59.569382
"2012-12-05" 75.504166 76.040703 75.254395 59.780804
"2012-12-06" 75.864937 76.049957 75.337646 59.897449
"2012-12-07" 75.901939 76.854767 75.439407 60.560963
"2012-12-10" 76.799263 76.965775 76.558739 60.597439
"2012-12-11" 77.021278 77.530067 76.790009 60.692226
"2012-12-12" 77.437561 77.520813 76.225716 60.196396
"2012-12-13" 76.456985 76.919518 76.308975 60.480782
"2012-12-14" 76.799263 77.058281 76.290474 60.189121
"2012-12-17" 76.456985 77.289551 76.392227 60.779701
"2012-12-18" 77.280296 78.381126 76.790009 61.58902
"2012-12-19" 78.251617 78.492134 77.493065 61.078663
"2012-12-20" 77.622574 78.677155 77.557816 62.011925
"2012-12-21" 78.297874 78.677155 77.76133 61.450504
"2012-12-24" 78.223869 78.917671 77.733582 62.16507
"2012-12-26" 78.982422 79.842735 78.806664 62.522301
"2012-12-27" 79.454208 79.47271 77.428307 61.829636
"2012-12-28" 77.76133 77.798332 76.679001 60.926003
"2012-12-31" 76.216469 77.752083 75.85569 61.726788
"2013-01-02" 79.056427 79.500465 78.6679 63.078583
"2013-01-03" 79.518967 79.925995 78.936172 62.858177
"2013-01-04" 79.42646 80.305275 79.269196 63.703037
"2013-01-07" 79.907494 80.222015 79.315453 63.644279
"2013-01-08" 80.092506 80.305275 79.121185 63.761829
"2013-01-09" 80.397781 81.507866 80.129509 64.621384
"2013-01-10" 81.637375 81.637375 80.629044 64.562607
"2013-01-11" 81.461609 81.776131 80.897316 64.922592
"2013-01-14" 81.62812 81.776131 81.091583 64.643425
"2013-01-15" 81.026825 81.406105 80.777061 64.430359
"2013-01-16" 80.75856 81.230339 80.185013 64.129158
"2013-01-17" 81.091583 82.294174 80.925072 64.959328
"2013-01-18" 81.933395 82.201668 81.211838 65.157677
"2013-01-22" 82.09066 82.89547 81.665123 65.679283
"2013-01-23" 82.747459 83.246994 81.017578 64.974007
"2013-01-24" 81.48011 82.044403 80.80481 64.819748
"2013-01-25" 81.868637 82.081406 81.350601 64.915253
"2013-01-28" 81.71138 81.794632 81.10083 64.658104
"2013-01-29" 81.535614 82.469933 81.396858 65.297264
"2013-01-30" 82.053658 82.294174 81.295097 64.643425
"2013-01-31" 81.147087 81.591118 80.823311 64.231987
"2013-02-01" 81.544868 82.312675 81.452362 65.187073
"2013-02-04" 81.535614 81.729881 80.555038 64.018959
"2013-02-05" 81.054581 81.517113 80.851067 64.2761
"2013-02-06" 80.767807 81.082329 80.444031 64.283447
"2013-02-07" 81.091583 81.091583 80.268272 64.18058
"2013-02-08" 80.989822 81.85939 80.786308 64.907906
"2013-02-11" 81.840889 82.09066 81.507866 64.959328
"2013-02-12" 81.803886 82.220169 81.211838 65.260529
"2013-02-13" 82.275673 82.377426 81.729881 65.223816
"2013-02-14" 81.85939 82.210915 81.433861 65.157677
"2013-02-15" 82.062904 82.146164 81.369102 64.819748
"2013-02-19" 81.988899 82.451431 81.572617 65.165024
"2013-02-20" 81.998154 82.146164 80.989822 64.364265
"2013-02-21" 80.675301 81.174835 78.630898 62.938972
"2013-02-22" 79.574471 79.648476 78.926918 63.247551
"2013-02-25" 80.009254 80.027756 77.90934 61.881077
"2013-02-26" 78.251617 78.566139 77.844589 61.961887
"2013-02-27" 78.103607 79.500465 77.955597 62.858177
"2013-02-28" 79.074928 80.323776 79.037926 63.431221
"2013-03-01" 79.417206 80.157265 78.926918 63.431221
"2013-03-04" 79.666977 80.046249 79.158188 63.431221
"2013-03-05" 80.249771 81.147087 80.138763 63.842644
"2013-03-06" 80.666054 80.740059 80.129509 63.703037
"2013-03-07" 80.360779 81.350601 80.185013 64.540581
"2013-03-08" 81.655876 82.543938 81.507866 65.458893
"2013-03-11" 82.183167 82.358925 81.554115 65.260529
"2013-03-12" 82.173912 82.617943 81.813133 65.319328
"2013-03-13" 82.247917 82.442184 81.48011 65.385445
"2013-03-14" 82.51619 83.163734 82.331177 66.046654
"2013-03-15" 82.849213 83.57077 82.645699 66.245003
"2013-03-18" 82.543938 82.590195 81.868637 65.326675
"2013-03-19" 82.28492 82.590195 81.091583 64.805069
"2013-03-20" 81.951897 82.414429 81.71138 65.267876
"2013-03-21" 81.295097 81.359856 80.092506 63.989582
"2013-03-22" 81.193336 81.443108 80.693802 64.298126
"2013-03-25" 81.396858 81.535614 80.619797 64.261406
"2013-03-26" 81.211838 81.470863 80.897316 64.592003
"2013-03-27" 80.055504 80.064758 79.232193 63.903198
"2013-03-28" 79.833488 80.730804 79.611473 64.52533
"2013-04-01" 80.194267 80.323776 78.852913 63.332905
"2013-04-02" 79.518967 79.62072 78.353378 62.962559
"2013-04-03" 78.760406 78.81591 77.742828 62.421898
"2013-04-04" 78.122108 79.000923 78.001846 63.229218
"2013-04-05" 78.242371 78.797409 77.76133 63.051445
"2013-04-08" 78.81591 79.259941 78.362625 63.436562
"2013-04-09" 79.528214 79.925995 78.982422 63.695824
"2013-04-10" 79.740982 79.953751 79.42646 63.94762
"2013-04-11" 79.953751 80.777061 79.76873 64.614204
"2013-04-12" 80.499535 80.666054 79.953751 64.384613
"2013-04-15" 79.972244 80.138763 78.492134 62.851467
"2013-04-16" 78.778908 80.092506 78.778908 64.066124
"2013-04-17" 79.611473 79.981499 79.074928 63.532841
"2013-04-18" 79.629974 79.907494 78.316376 62.844059
"2013-04-19" 78.704903 79.481964 78.704903 63.481052
"2013-04-22" 79.287697 80.027756 79.222939 63.910595
"2013-04-23" 79.296944 79.925995 78.196114 63.088478
"2013-04-24" 79.010178 79.722481 78.917671 63.547695
"2013-04-25" 79.204437 80.194267 78.936172 63.703232
"2013-04-26" 79.555969 79.629974 79.04718 63.392147
"2013-04-29" 79.491211 80.175766 79.176689 64.095772
"2013-04-30" 80.037003 80.444031 79.583717 64.406815
"2013-05-01" 80.194267 80.268272 79.213692 63.466217
"2013-05-02" 82.28492 84.088806 80.980576 65.94738
"2013-05-03" 83.246994 83.459763 82.802963 66.510269
"2013-05-06" 83.256241 83.256241 81.896393 66.199188
"2013-05-07" 82.876968 83.432007 82.599442 66.680634
"2013-05-08" 83.145233 84.338577 82.978722 67.51017
"2013-05-09" 84.098061 84.532837 83.885292 67.406479
"2013-05-10" 84.347824 84.569839 83.737282 67.554596
"2013-05-13" 84.153564 84.37558 83.718781 67.280571
"2013-05-14" 84.153564 84.773361 83.783531 67.836029
"2013-05-15" 84.569839 85.522667 84.107307 68.421173
"2013-05-16" 85.198891 85.994453 85.134132 68.709999
"2013-05-17" 86.031448 87.409805 85.911194 69.865402
"2013-05-20" 87.030525 88.260872 87.012024 70.220932
"2013-05-21" 87.881592 88.334877 87.456062 70.257965
"2013-05-22" 87.650322 88.945419 87.446808 70.450546
"2013-05-23" 86.466232 87.308044 86.133209 69.746925
"2013-05-24" 86.688255 87.012024 86.271973 69.569153
"2013-05-28" 87.853836 88.029602 87.271042 70.146851
"2013-05-29" 87.169289 87.937096 86.975021 70.087616
"2013-05-30" 87.742828 87.974098 87.354301 70.280197
"2013-05-31" 87.428307 88.131363 87.150787 69.924667
"2013-06-03" 87.317299 87.696579 86.938019 70.191315
"2013-06-04" 87.41906 88.381126 87.271042 70.650513
"2013-06-05" 87.946342 88.362625 87.049026 69.695076
"2013-06-06" 87.132286 87.56707 86.734505 70.028381
"2013-06-07" 87.770584 88.011101 86.95652 70.428307
"2013-06-10" 87.974098 88.159111 87.650322 70.35424
"2013-06-11" 87.058281 88.205368 86.72525 70.28759
"2013-06-12" 88.214615 88.344124 87.613319 70.206131
"2013-06-13" 87.585571 88.43663 87.243294 70.613464
"2013-06-14" 88.556892 89.352448 88.112862 71.361511
"2013-06-17" 89.398705 89.62072 89.037926 71.524475
"2013-06-18" 89.315453 89.491211 88.936172 71.531876
"2013-06-19" 89.47271 89.842735 88.917671 71.220795
"2013-06-20" 88.233116 88.538391 87.086029 69.8284
"2013-06-21" 87.224792 87.696579 86.604996 70.057991
"2013-06-24" 86.623497 86.993523 85.670677 69.287697
"2013-06-25" 87.160034 87.724327 86.882515 70.072815
"2013-06-26" 88.510635 89.176689 88.251617 71.198601
"2013-06-27" 87.400558 87.668823 85.448662 69.228706
"2013-06-28" 85.726181 86.188713 84.468086 68.325874
"2013-07-01" 84.653099 87.900093 83.811287 69.773422
"2013-07-02" 85.226639 86.586494 83.691025 67.714005
"2013-07-03" 83.820534 85.263641 83.367256 68.191582
"2013-07-05" 85.346901 85.504166 84.440331 68.55719
"2013-07-08" 84.875114 85.62442 84.532837 68.907875
"2013-07-09" 85.846436 88.963921 85.818687 71.601517
"2013-07-10" 88.529137 89.454208 87.752083 72.026817
"2013-07-11" 90.296021 90.342278 89.361702 72.384987
"2013-07-12" 89.76873 89.814987 88.889915 72.116364
"2013-07-15" 89.380203 89.500465 88.945419 72.086525
"2013-07-16" 88.797409 88.797409 87.696579 71.258286
"2013-07-17" 88.806664 89.24144 88.630898 71.907425
"2013-07-18" 89.537468 90.166512 88.973175 72.287964
"2013-07-19" 89.629974 89.91674 88.834412 72.370056
"2013-07-22" 89.481964 90.564293 89.47271 73.034149
