"Index" "Open" "High" "Low" "Price"
"2012-09-17" 26.58005 26.630344 26.311819 24.221224
"2012-09-18" 26.404022 26.672255 26.194468 24.313152
"2012-09-19" 26.512993 26.957251 26.487846 24.527632
"2012-09-20" 26.554905 26.957251 26.404022 24.527632
"2012-09-21" 26.940487 27.946354 26.521376 24.343784
"2012-09-24" 26.362112 26.554905 26.219614 24.251871
"2012-09-25" 26.58005 26.672255 26.295053 24.029724
"2012-09-26" 26.211231 26.471081 25.658005 24.006744
"2012-09-27" 26.420788 26.471081 26.093882 23.945465
"2012-09-28" 26.20285 26.261526 25.842415 23.746304
"2012-10-01" 26.194468 26.445934 25.674768 23.976103
"2012-10-02" 26.445934 26.479464 26.160938 24.159945
"2012-10-03" 26.638725 27.091366 26.244761 24.175266
"2012-10-04" 26.655491 27.150042 26.621962 24.66551
"2012-10-05" 27.166805 27.284159 26.915339 24.895313
"2012-10-08" 27.074602 27.208717 26.873428 24.719133
"2012-10-09" 27.091366 27.124895 26.538139 24.420391
"2012-10-10" 26.789606 26.915339 26.269909 24.121645
"2012-10-11" 26.655491 27.074602 26.54652 24.535288
"2012-10-12" 26.814753 27.015926 26.596815 24.573591
"2012-10-15" 26.940487 27.242247 26.781223 24.879993
"2012-10-16" 27.225483 27.47695 26.965633 25.094479
"2012-10-17" 27.44342 27.451801 27.158424 24.895313
"2012-10-18" 27.242247 27.493713 27.074602 24.864676
"2012-10-19" 27.091366 27.208717 26.697401 24.451031
"2012-10-22" 26.80637 27.108131 26.655491 24.772751
"2012-10-23" 26.521376 26.521376 25.792122 24.045044
"2012-10-24" 26.370495 26.76446 26.244761 24.006744
"2012-10-25" 26.588432 26.647108 26.261526 24.075686
"2012-10-26" 26.4627 26.554905 25.565802 23.363295
"2012-10-31" 25.331099 26.638725 25.146688 24.08334
"2012-11-01" 26.621962 27.47695 25.364628 24.941277
"2012-11-02" 27.678122 28.45767 27.460184 25.171078
"2012-11-05" 27.015926 27.569153 26.923721 24.66551
"2012-11-06" 27.250629 27.644592 26.848282 25.171078
"2012-11-07" 27.191954 27.300922 26.781223 24.573591
"2012-11-08" 26.940487 27.208717 26.404022 24.274847
"2012-11-09" 26.437551 27.275776 26.370495 24.703814
"2012-11-12" 27.208717 27.384745 26.948868 24.864676
"2012-11-13" 27.015926 27.242247 26.848282 24.657856
"2012-11-14" 27.116512 27.233864 26.672255 24.458691
"2012-11-15" 26.647108 27.242247 26.303436 24.267187
"2012-11-16" 26.714167 27.007544 26.4627 24.619553
"2012-11-19" 27.2171 28.290026 27.066219 25.561743
"2012-11-20" 27.954737 28.038557 27.560772 25.584724
"2012-11-21" 28.122381 28.256496 28.021793 25.737926
"2012-11-23" 28.398994 28.583403 28.214584 26.08263
"2012-11-26" 28.415758 28.751047 27.904444 25.554081
"2012-11-27" 27.9715 28.315172 27.904444 25.607702
"2012-11-28" 27.887678 28.290026 27.829002 25.737926
"2012-11-29" 28.348701 28.591785 28.315172 26.021347
"2012-11-30" 28.524729 28.734283 28.181055 26.036673
"2012-12-03" 28.700754 28.71752 28.021793 25.661325
"2012-12-04" 28.323553 28.49958 28.088852 25.967731
"2012-12-05" 28.558256 28.616932 28.181055 25.944746
"2012-12-06" 28.558256 28.558256 28.357082 25.990705
"2012-12-07" 28.507963 28.583403 28.264877 26.021347
"2012-12-10" 29.756914 31.76865 28.357082 26.08263
"2012-12-11" 28.675608 28.75943 28.474434 26.22051
"2012-12-12" 28.75943 29.136629 28.675608 26.343071
"2012-12-13" 28.767813 29.103102 28.600168 26.297112
"2012-12-14" 28.692371 28.80134 28.541492 26.243496
"2012-12-17" 28.767813 29.111485 28.700754 26.327755
"2012-12-18" 28.80134 28.994131 28.616932 26.389034
"2012-12-19" 29.991617 30.100588 29.455154 27.308245
"2012-12-20" 29.647945 30.251467 29.530596 27.606989
"2012-12-21" 29.941324 30.410728 29.857502 27.68359
"2012-12-24" 30.352055 30.536463 30.108969 27.790831
"2012-12-26" 30.393965 31.248953 30.335289 28.510883
"2012-12-27" 31.148365 32.053646 31.114838 29.207947
"2012-12-28" 31.793797 31.936295 31.592625 28.893888
"2012-12-31" 31.559095 32.087173 31.46689 29.29987
"2013-01-02" 32.724224 32.891869 32.414082 29.782465
"2013-01-03" 32.053646 32.170998 31.684828 29.376471
"2013-01-04" 32.263203 32.422462 32.0285 29.499029
"2013-01-07" 32.062027 32.112324 31.693211 29.25391
"2013-01-08" 31.99497 32.338642 31.894384 29.24625
"2013-01-09" 32.070412 32.388935 32.053646 29.468393
"2013-01-10" 32.548199 32.74099 32.187763 29.728834
"2013-01-11" 32.380554 32.573345 31.810562 29.177305
"2013-01-14" 31.911148 31.986588 31.299246 28.817284
"2013-01-15" 31.215424 32.162617 31.215424 29.330507
"2013-01-16" 32.020119 32.179379 31.592625 29.353491
"2013-01-17" 32.246437 32.917015 32.246437 29.874378
"2013-01-18" 32.632019 32.774517 32.095558 29.736496
"2013-01-22" 32.430847 32.598492 32.204525 29.759476
"2013-01-23" 32.439228 32.682312 32.254822 29.606277
"2013-01-24" 32.422462 32.766136 32.422462 29.774803
"2013-01-25" 32.640404 32.942162 32.606873 30.081205
"2013-01-28" 33.000839 33.512154 32.908634 30.487198
"2013-01-29" 33.19363 33.327744 32.531433 30.326328
"2013-01-30" 33.143337 33.143337 32.56496 29.782465
"2013-01-31" 32.48114 32.590111 32.095558 29.613935
"2013-02-01" 32.539818 32.900249 32.531433 30.042898
"2013-02-04" 32.715843 32.992455 32.48114 29.728834
"2013-02-05" 32.673931 33.394802 32.615257 30.134819
"2013-02-06" 32.757755 32.841576 32.254822 29.567976
"2013-02-07" 32.422462 32.615257 31.844091 29.345831
"2013-02-08" 32.103939 32.29673 31.919531 29.506695
"2013-02-11" 32.288349 32.891869 32.170998 30.01992
"2013-02-12" 32.841576 33.411568 32.782902 30.494844
"2013-02-13" 33.369656 33.570831 33.310982 30.602091
"2013-02-14" 33.310982 33.5373 33.285835 30.617413
"2013-02-15" 33.79715 33.79715 33.461861 30.625076
"2013-02-19" 33.595978 33.595978 33.168484 30.456545
"2013-02-20" 33.252304 33.319363 32.497906 29.713514
"2013-02-21" 32.39732 32.464375 31.399832 29.039429
"2013-02-22" 31.852472 32.162617 31.693211 29.391792
"2013-02-25" 32.271584 32.321877 31.911148 29.207947
"2013-02-26" 32.29673 33.621124 32.087173 30.433569
"2013-02-27" 33.327744 35.22213 33.19363 32.019199
"2013-02-28" 35.062866 35.255657 34.878456 32.057495
"2013-03-01" 34.844929 35.423302 34.626991 32.325611
"2013-03-04" 35.373009 35.540653 35.180218 32.379227
"2013-03-05" 35.67477 35.691532 35.339481 32.555416
"2013-03-06" 35.817268 35.817268 35.071247 32.448174
"2013-03-07" 35.632858 35.892708 35.473595 32.739254
"2013-03-08" 36.077118 36.194469 35.867561 32.938419
"2013-03-11" 35.984913 36.236378 35.968147 33.091614
"2013-03-12" 36.261524 36.269909 36.010059 32.961391
"2013-03-13" 36.01844 36.261524 35.93462 33.22287
"2013-03-14" 36.295055 36.295055 36.085499 33.261322
"2013-03-15" 36.110645 36.512993 36.060352 33.284401
"2013-03-18" 35.875942 36.295055 35.557419 32.907562
"2013-03-19" 36.068733 36.152557 35.691532 33.153656
"2013-03-20" 36.404022 36.454315 36.060352 33.330547
"2013-03-21" 36.119026 36.437553 36.085499 33.361301
"2013-03-22" 36.437553 36.538139 36.051971 33.230564
"2013-03-25" 36.345348 36.512993 35.867561 33.007542
"2013-03-26" 36.328583 37.267391 36.144173 34.184174
"2013-03-27" 36.999161 37.426655 36.948868 34.238018
"2013-03-28" 37.317688 37.317688 36.898575 34.145733
"2013-04-01" 37.200336 37.25901 36.814754 33.838116
"2013-04-02" 37.116512 37.300922 36.823135 33.922695
"2013-04-03" 36.932102 37.158424 36.160938 33.345913
"2013-04-04" 36.27829 36.471081 35.85918 33.269016
"2013-04-05" 35.708298 35.901089 35.264042 32.86911
"2013-04-08" 35.691532 36.119026 35.456833 32.676842
"2013-04-09" 35.699917 35.984913 35.238895 32.684544
"2013-04-10" 35.817268 36.580051 35.616093 33.561249
"2013-04-11" 36.663872 37.33445 36.571667 34.030369
"2013-04-12" 36.923721 37.636211 36.923721 34.522575
"2013-04-15" 37.326069 37.351215 35.473595 32.546112
"2013-04-16" 35.808884 36.554905 35.590946 33.492031
"2013-04-17" 36.219612 36.244762 34.652138 32.20005
"2013-04-18" 35.113159 35.347862 34.182732 31.484821
"2013-04-19" 34.568314 35.14669 34.358761 32.176971
"2013-04-22" 35.205364 35.590946 34.702431 32.461521
"2013-04-23" 35.632858 36.035206 35.557419 33.007542
"2013-04-24" 36.077118 36.772842 36.068733 33.676617
"2013-04-25" 36.948868 37.535625 36.948868 34.361069
"2013-04-26" 37.502094 37.78709 37.124893 34.376442
"2013-04-29" 37.611065 38.147526 37.460182 34.86095
"2013-04-30" 38.113998 38.734283 37.854149 35.537704
"2013-05-01" 38.566639 39.153397 37.393127 34.96862
"2013-05-02" 38.264877 38.851635 38.038559 34.99168
"2013-05-03" 38.650459 38.977367 38.290024 35.176254
"2013-05-06" 38.365463 38.876781 38.365463 35.583847
"2013-05-07" 38.977367 39.010899 38.541492 35.614616
"2013-05-08" 38.893547 39.019279 38.558254 35.45311
"2013-05-09" 38.692371 38.809723 37.711651 34.791725
"2013-05-10" 38.04694 38.633698 37.921207 34.914772
"2013-05-13" 37.921207 38.424141 37.854149 35.169521
"2013-05-14" 38.222965 38.860016 38.038559 35.763908
"2013-05-15" 38.784576 39.086338 38.742664 35.918297
"2013-05-16" 38.927074 39.73177 38.893547 36.281109
"2013-05-17" 39.463535 40.71249 39.455154 37.454453
"2013-05-20" 40.662197 40.980721 40.569992 37.66288
"2013-05-21" 40.905281 41.282482 40.871754 37.86359
"2013-05-22" 41.198658 41.601006 40.620285 37.647438
"2013-05-23" 40.419109 40.71249 40.150879 37.323231
"2013-05-24" 40.192791 40.377201 39.991619 37.091652
"2013-05-28" 40.71249 41.95306 40.71249 38.45797
"2013-05-29" 41.332775 41.793797 41.198658 38.249554
"2013-05-30" 41.525566 41.877621 41.257336 38.04113
"2013-05-31" 41.248951 41.567478 40.871754 37.678314
"2013-06-03" 40.871754 41.659679 40.150879 37.747795
"2013-06-04" 40.922047 41.282482 40.536465 37.639725
"2013-06-05" 40.71249 40.846603 40.125732 37.145676
