"Index" "Open" "High" "Low" "Price"
"2012-09-17" 76.860001 77.099998 75.959999 55.806137
"2012-09-18" 75.800003 75.949997 75.099998 55.314106
"2012-09-19" 75.389999 75.650002 74.860001 55.012985
"2012-09-20" 74.82 75.199997 72.010002 54.623775
"2012-09-21" 74.860001 75.089996 74.419998 54.719231
"2012-09-24" 74.019997 75.339996 74.019997 55.012985
"2012-09-25" 75.25 75.349998 73.800003 54.197838
"2012-09-26" 73.559998 74.080002 72.970001 54.123852
"2012-09-27" 73.32 73.980003 73.019997 54.419731
"2012-09-28" 73.07 73.940002 72.879997 54.382759
"2012-10-01" 74.010002 74.410004 71.75 53.813171
"2012-10-02" 72.75 72.870003 72.25 53.776199
"2012-10-03" 72.720001 73.889999 72.660004 53.968517
"2012-10-04" 73.379997 73.559998 72.379997 53.879757
"2012-10-05" 73.139999 73.239998 72.449997 53.761425
"2012-10-08" 72.43 72.730003 72.160004 53.702229
"2012-10-09" 72.809998 73.099998 72.379997 53.606071
"2012-10-10" 72.650002 72.989998 72.099998 53.901939
"2012-10-11" 73.300003 73.650002 72.82 54.020309
"2012-10-12" 73.120003 73.489998 72.57 53.82798
"2012-10-15" 72.989998 73.870003 72.629997 54.62685
"2012-10-16" 74.019997 74.459999 73.639999 54.634243
"2012-10-17" 73.790001 74.290001 73.190002 54.767403
"2012-10-18" 73.889999 74.459999 73.790001 54.922745
"2012-10-19" 74.110001 74.589996 73.370003 54.27919
"2012-10-22" 72.529999 73.769997 72.260002 53.791
"2012-10-23" 72.190002 72.360001 71.290001 53.0513
"2012-10-24" 71.93 71.980003 71.18 52.895958
"2012-10-25" 71.589996 72.190002 70.230003 52.592682
"2012-10-26" 70.860001 70.860001 69.830002 51.830791
"2012-10-31" 70 70.610001 68.879997 52.097073
"2012-11-01" 70.230003 70.800003 69.32 51.534904
"2012-11-02" 70.290001 70.5 69.699997 51.69025
"2012-11-05" 69.839996 70.019997 68.550003 51.520126
"2012-11-06" 69.760002 69.980003 68.769997 51.224236
"2012-11-07" 68.879997 69.239998 68.199997 50.499325
"2012-11-08" 68.32 68.339996 67.239998 49.76701
"2012-11-09" 67.139999 68.050003 66.610001 49.892769
"2012-11-12" 66.849998 67.300003 65.949997 48.938568
"2012-11-13" 65.860001 66.470001 65.790001 48.990334
"2012-11-14" 66.260002 66.300003 64.580002 47.895576
"2012-11-15" 64.57 65.489998 64.089996 48.161861
"2012-11-16" 65.400002 66.760002 65.110001 49.249237
"2012-11-19" 67.440002 67.769997 65.589996 49.781826
"2012-11-20" 66.949997 67.510002 66.620003 49.900158
"2012-11-21" 67.5 67.650002 66.849998 49.796608
"2012-11-23" 67.769997 68.059998 67.290001 50.314411
"2012-11-26" 67.5 68.419998 67.239998 50.136875
"2012-11-27" 67.139999 67.769997 66.059998 49.900158
"2012-11-28" 67.190002 67.849998 66.489998 50.085094
"2012-11-29" 67.940002 67.959999 67.459999 50.255219
"2012-11-30" 67.959999 68.470001 67.599998 50.240437
"2012-12-03" 68.050003 68.800003 68.029999 50.625076
"2012-12-04" 68.330002 68.849998 68.220001 50.639874
"2012-12-05" 68.529999 69 68.040001 50.839592
"2012-12-06" 68.989998 69.879997 68.989998 51.59407
"2012-12-07" 69.870003 70.150002 69.57 51.875179
"2012-12-10" 70.269997 71.089996 70.07 52.030495
"2012-12-11" 70.559998 70.610001 70.07 51.94175
"2012-12-12" 70.279999 70.57 69.709999 51.875179
"2012-12-13" 70.129997 70.18 69.269997 51.5793
"2012-12-14" 69.529999 69.919998 69.160004 51.224236
"2012-12-17" 69.550003 69.830002 69.360001 51.601486
"2012-12-18" 69.68 70.410004 69.550003 51.697639
"2012-12-19" 70 70 68.809998 51.460938
"2012-12-20" 69.669998 70.610001 69.669998 52.111877
"2012-12-21" 70 70.620003 69.459999 51.43874
"2012-12-24" 69.779999 70.040001 69.139999 51.446152
"2012-12-26" 69.68 69.870003 69.089996 51.142868
"2012-12-27" 68.93 69.260002 67.809998 51.008617
"2012-12-28" 68.040001 68.440002 67.879997 50.829651
"2012-12-31" 68.019997 69.32 67.75 51.694698
"2013-01-02" 70.410004 70.660004 69.769997 52.671623
"2013-01-03" 70.550003 71.129997 70.400002 52.932659
"2013-01-04" 70.989998 71.760002 70.620003 53.424812
"2013-01-07" 71.309998 72 71.309998 53.663467
"2013-01-08" 71.830002 72.040001 71.550003 53.46957
"2013-01-09" 72.050003 72.260002 71.760002 53.760406
"2013-01-10" 72.400002 72.400002 71.900002 53.63364
"2013-01-11" 71.739998 72.309998 71.739998 53.902119
"2013-01-14" 72.160004 72.389999 72.010002 53.984131
"2013-01-15" 71.760002 72.75 71.629997 54.215313
"2013-01-16" 72.339996 72.589996 72.099998 53.961754
"2013-01-17" 72.470001 72.790001 72.260002 53.991592
"2013-01-18" 72.699997 72.699997 72.199997 54.178024
"2013-01-22" 72.480003 73.150002 72.480003 54.498703
"2013-01-23" 72.980003 73.07 72.709999 54.260063
"2013-01-24" 72.93 73.18 72.519997 54.424122
"2013-01-25" 72.830002 73.440002 72.769997 54.692581
"2013-01-28" 73.43 73.470001 72.82 54.580734
"2013-01-29" 73.099998 73.510002 72.970001 54.789547
"2013-01-30" 73.32 73.489998 72.949997 54.595634
"2013-01-31" 73.139999 73.139999 72.449997 54.066158
"2013-02-01" 73.150002 73.209999 72.709999 54.36446
"2013-02-04" 72.709999 73 71.959999 53.775326
"2013-02-05" 72.589996 72.589996 71.910004 53.782784
"2013-02-06" 71.879997 72.809998 71.879997 54.274975
"2013-02-07" 72.599998 72.599998 71.699997 54.043789
"2013-02-08" 72.720001 72.720001 72.199997 54.155663
"2013-02-11" 72.739998 73.18 72.660004 54.237682
"2013-02-12" 73.379997 73.5 72.790001 54.282436
"2013-02-13" 72.800003 73.099998 72.290001 53.961754
"2013-02-14" 72.309998 72.360001 71.419998 53.365166
"2013-02-15" 71.68 72.010002 70.970001 53.409912
"2013-02-19" 71.599998 72.150002 71.580002 53.63364
"2013-02-20" 72.010002 72.480003 71.400002 53.588886
"2013-02-21" 71.75 71.849998 71.199997 53.268223
"2013-02-22" 71.870003 72.260002 71.75 53.782784
"2013-02-25" 72.190002 72.239998 70.550003 52.634342
"2013-02-26" 70.970001 71.150002 70.07 52.85807
"2013-02-27" 70.800003 71.519997 70.5 53.126526
"2013-02-28" 71.029999 71.599998 71.019997 53.051956
"2013-03-01" 70.849998 71.370003 70.199997 52.955009
"2013-03-04" 70.889999 71.949997 70.68 53.581429
"2013-03-05" 71.690002 72.519997 71.690002 54.081074
"2013-03-06" 72.839996 72.839996 71.779999 53.909565
"2013-03-07" 72.410004 72.720001 71.970001 53.879715
"2013-03-08" 72.480003 72.529999 71.790001 53.670918
"2013-03-11" 71.900002 72.309998 71.519997 53.909565
"2013-03-12" 72.059998 72.209999 71.610001 53.715683
"2013-03-13" 72.150002 72.300003 71.760002 53.559074
"2013-03-14" 71.720001 72.309998 71.449997 53.327885
"2013-03-15" 71.709999 71.720001 71.269997 53.253311
"2013-03-18" 71.089996 71.5 70.809998 52.880428
"2013-03-19" 71.050003 71.239998 70.489998 52.947556
"2013-03-20" 71.220001 71.260002 70.699997 52.969921
"2013-03-21" 70.650002 71.559998 70.650002 53.201115
"2013-03-22" 71.559998 71.93 71.410004 53.402466
"2013-03-25" 71.860001 71.889999 71.209999 53.268223
"2013-03-26" 71 71.610001 70.870003 53.764595
"2013-03-27" 71 71 70.199997 53.290787
"2013-03-28" 70.970001 71.18 70.709999 53.381046
"2013-04-01" 70.709999 71.089996 70.540001 53.298302
"2013-04-02" 71.029999 71.379997 70.599998 53.147903
"2013-04-03" 70.839996 71.150002 70 52.80196
"2013-04-04" 70.489998 70.739998 70.150002 53.102772
"2013-04-05" 70.089996 70.669998 69.68 53.087723
"2013-04-08" 70.760002 71.650002 70.410004 53.88493
"2013-04-09" 71.620003 71.790001 70.870003 53.711948
"2013-04-10" 71.629997 71.879997 71.5 53.83979
"2013-04-11" 71.599998 72.459999 71.599998 54.215816
"2013-04-12" 71.910004 72.239998 71.730003 54.328636
"2013-04-15" 71.889999 72.25 70.709999 53.313354
"2013-04-16" 71.379997 71.449997 70.699997 53.734501
"2013-04-17" 71 71.360001 70.029999 52.967392
"2013-04-18" 70.529999 70.529999 70 52.892193
"2013-04-19" 70.349998 71.529999 70.169998 53.576576
"2013-04-22" 71.169998 71.370003 70.639999 53.245674
"2013-04-23" 71.169998 71.610001 70.93 53.832275
"2013-04-24" 71.410004 71.900002 71.400002 53.832275
