"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.189999 35.389999 34.880001 27.044638
"2012-09-18" 35.080002 35.169998 34.650002 27.075439
"2012-09-19" 35.130001 35.419998 34.75 26.99073
"2012-09-20" 34.580002 34.91 33.220001 25.989651
"2012-09-21" 34.330002 36.119999 34.330002 27.344969
"2012-09-24" 35 35.139999 34.23 26.644203
"2012-09-25" 34.560001 34.990002 32.93 25.419804
"2012-09-26" 32.740002 33.540001 32.389999 25.766335
"2012-09-27" 33.18 34.990002 32.970001 26.875223
"2012-09-28" 34.450001 35.02 34.099998 26.852118
"2012-10-01" 35.139999 35.540001 34.549999 26.713511
"2012-10-02" 34.900002 34.900002 34.099998 26.505598
"2012-10-03" 34.529999 35.049999 34.43 26.621101
"2012-10-04" 34.57 34.57 34 26.505598
"2012-10-05" 34.720001 35.279999 34.169998 26.520992
"2012-10-08" 34 34.23 33.709999 26.089764
"2012-10-09" 33.5 33.740002 33.040001 25.866444
"2012-10-10" 33.68 33.709999 32.549999 25.09638
"2012-10-11" 33.009998 33.48 32.560001 25.358202
"2012-10-12" 32.73 33.009998 32.540001 25.396702
"2012-10-15" 33.099998 33.360001 32.799999 25.558411
"2012-10-16" 33.299999 34.59 33.23 26.451687
"2012-10-17" 34.09 34.599998 33.880001 26.266869
"2012-10-18" 34.07 34.400002 33.810001 26.220667
"2012-10-19" 34.119999 34.18 32.900002 25.558411
"2012-10-22" 33.48 33.689999 33 25.720131
"2012-10-23" 32.959999 33.349998 32.82 25.596924
"2012-10-24" 33.529999 33.59 32.59 25.204184
"2012-10-25" 33.07 33.740002 33.040001 25.951151
"2012-10-26" 33.700001 33.990002 33.400002 26.051258
"2012-10-31" 33.619999 33.700001 32.810001 25.435207
"2012-11-01" 33.290001 34.560001 33.049999 26.5672
"2012-11-02" 34.709999 34.849998 33.939999 26.159061
"2012-11-05" 33 34.419998 32.990002 26.428596
"2012-11-06" 34.32 35.279999 34.209999 27.167845
"2012-11-07" 34.779999 35.110001 33.889999 26.151361
"2012-11-08" 34.990002 34.990002 33.830002 26.058962
"2012-11-09" 34 34 33.419998 25.781736
"2012-11-12" 33.580002 33.849998 33.220001 25.881847
"2012-11-13" 33.259998 33.82 33.18 25.627718
"2012-11-14" 33.68 33.889999 32.869999 25.435207
"2012-11-15" 33.139999 33.220001 32.09 24.834558
"2012-11-16" 32.209999 32.380001 31.68 24.595835
"2012-11-19" 32.279999 32.830002 32.009998 25.219591
"2012-11-20" 33.32 33.48 32.5 25.265793
"2012-11-21" 32.779999 32.959999 32.52 25.273491
"2012-11-23" 33 33.740002 32.849998 25.83564
"2012-11-26" 33.75 34.240002 33.41 26.212971
"2012-11-27" 33.860001 34.529999 33.599998 26.274572
"2012-11-28" 33.619999 34.650002 33.610001 26.613409
"2012-11-29" 34.880001 35.43 34.720001 27.029236
"2012-11-30" 34.59 35.43 33.900002 27.029236
"2012-12-03" 35.389999 35.580002 34.630001 26.805927
"2012-12-04" 34.790001 35.16 34.689999 26.890627
"2012-12-05" 35.029999 35.16 34.5 26.590298
"2012-12-06" 34.540001 35.150002 34.459999 27.044638
"2012-12-07" 34.23 34.560001 33.950001 26.37468
"2012-12-10" 34.380001 34.52 34.099998 26.5287
"2012-12-11" 34.66 34.880001 34.330002 26.613409
"2012-12-12" 34.790001 34.880001 34.450001 26.621101
"2012-12-13" 35 35.009998 33.59 26.079399
"2012-12-14" 33.16 33.27 30.5 24.098289
"2012-12-17" 31.389999 32 31.02 24.756079
"2012-12-18" 32.23 32.5 31.690001 24.972763
"2012-12-19" 32.290001 32.5 31.940001 24.756079
"2012-12-20" 32.049999 32.240002 31.42 24.68643
"2012-12-21" 31.139999 31.57 31.01 24.268545
"2012-12-24" 31.290001 31.33 30.98 24.106031
"2012-12-26" 31.219999 31.57 30.77 23.897083
"2012-12-27" 31.08 31.49 30.690001 24.276281
"2012-12-28" 31.059999 31.469999 30.959999 24.106031
"2012-12-31" 31.33 31.780001 30.969999 24.492962
"2013-01-02" 32.43 33.060001 32.240002 25.1817
"2013-01-03" 32.34 32.98 32.34 25.313263
"2013-01-04" 32.700001 32.77 32.189999 25.150757
"2013-01-07" 32.369999 32.490002 32.099998 25.011456
"2013-01-08" 32.450001 32.700001 32.09 24.8412
"2013-01-09" 32.5 32.959999 32.360001 25.390654
"2013-01-10" 33.459999 33.59 33.02 25.940096
"2013-01-11" 33.540001 34.369999 33.490002 26.574673
"2013-01-14" 33.84 34.619999 33.639999 26.752659
"2013-01-15" 34.299999 34.439999 33.82 26.210951
"2013-01-16" 33.810001 34.610001 33.77 26.74493
"2013-01-17" 34.779999 34.970001 34.59 26.938398
"2013-01-18" 34.540001 34.75 34.310001 26.652058
"2013-01-22" 34.450001 34.610001 34.330002 26.652058
"2013-01-23" 34.849998 35 34.169998 26.636583
"2013-01-24" 33.709999 34.310001 33.59 26.257389
"2013-01-25" 33.830002 34.290001 33.82 26.435377
"2013-01-28" 34.400002 34.529999 34.110001 26.683001
"2013-01-29" 34.299999 34.709999 34.18 26.752659
"2013-01-30" 34.490002 35.330002 34.490002 27.124115
"2013-01-31" 35.52 36.09 35.25 27.681305
"2013-02-01" 35.919998 36.299999 35.82 28.060505
"2013-02-04" 35.75 36.209999 35.139999 27.224726
"2013-02-05" 35.080002 35.57 35.060001 27.402714
"2013-02-06" 35.23 35.790001 35.09 27.580708
"2013-02-07" 35.639999 35.639999 34.540001 27.054468
"2013-02-08" 35.279999 35.529999 35.049999 27.333055
"2013-02-11" 35.380001 35.689999 35 27.394972
"2013-02-12" 35.200001 35.349998 34.779999 27.193769
"2013-02-13" 35.360001 35.490002 34.889999 27.216982
"2013-02-14" 35.09 35.669998 34.990002 27.580708
"2013-02-15" 35.580002 35.779999 34.98 27.193769
"2013-02-19" 35 35.549999 34.799999 27.503313
"2013-02-20" 35.48 35.73 34.669998 26.830048
"2013-02-21" 34.470001 34.68 32.959999 26.056175
"2013-02-22" 33.970001 34.470001 33.709999 26.381205
"2013-02-25" 34.130001 34.220001 32.939999 25.498993
"2013-02-26" 33.130001 33.400002 32.66 25.638285
"2013-02-27" 33.799999 34.369999 33.630001 26.071653
"2013-02-28" 33.689999 34.310001 33.330002 26.481806
"2013-03-01" 33.919998 34.09 33.259998 26.079399
"2013-03-04" 33.560001 33.700001 33.009998 25.955582
"2013-03-05" 33.700001 34.360001 33.68 26.566931
"2013-03-06" 34.310001 34.77 34.209999 26.861
"2013-03-07" 34.689999 35.130001 34.400002 27.06221
"2013-03-08" 35.049999 35.41 34.98 27.294367
"2013-03-11" 35.080002 35.66 34.970001 27.286631
"2013-03-12" 35.220001 35.540001 35 27.433666
"2013-03-13" 35.5 36.110001 35.259998 27.851551
"2013-03-14" 36.049999 36.98 36.029999 28.370052
"2013-03-15" 36.700001 36.779999 35.810001 27.859293
"2013-03-18" 35.580002 35.900002 35.049999 27.286631
"2013-03-19" 35.389999 35.82 35.040001 27.317581
"2013-03-20" 35.68 36.080002 35.349998 27.805119
"2013-03-21" 35.41 35.759998 35.130001 27.665089
"2013-03-22" 35.77 36.040001 35.380001 27.851807
"2013-03-25" 35.869999 35.889999 35.25 27.633974
"2013-03-26" 35.669998 35.98 35.560001 27.844023
"2013-03-27" 35.470001 35.73 35.25 27.727329
"2013-03-28" 35.799999 35.93 35.48 27.945158
"2013-04-01" 35.82 36 35.189999 27.493931
"2013-04-02" 35.57 35.610001 34.77 27.136055
"2013-04-03" 34.880001 35.080002 34.099998 26.692608
"2013-04-04" 34.240002 34.68 33.959999 26.918222
"2013-04-05" 34.009998 34.419998 33.330002 26.708166
"2013-04-08" 34.25 34.669998 33.970001 26.964903
"2013-04-09" 34.709999 35.130001 34.220001 27.058256
"2013-04-10" 34.810001 35.5 34.790001 27.525045
"2013-04-11" 35.240002 35.919998 35.009998 27.719549
"2013-04-12" 35.5 35.529999 34.560001 27.159391
"2013-04-15" 34.68 34.73 33.720001 26.280273
"2013-04-16" 34.080002 34.599998 33.860001 26.902666
"2013-04-17" 33.75 33.77 32.279999 25.206661
"2013-04-18" 33.099998 33.279999 31.25 24.405338
"2013-04-19" 31.25 31.879999 30.83 24.319756
"2013-04-22" 31.360001 31.84 30.57 24.568714
"2013-04-23" 31.860001 32.419998 31.719999 25.183321
"2013-04-24" 32.369999 32.84 32.040001 25.377815
"2013-04-25" 32.810001 33.189999 32.529999 25.385595
"2013-04-26" 32.59 32.59 31.959999 24.981039
"2013-04-29" 32.349998 32.790001 32.200001 25.3078
"2013-04-30" 32.470001 32.470001 31.549999 24.864344
"2013-05-01" 32.060001 32.07 31.25 24.366434
"2013-05-02" 31.549999 32.23 31.309999 24.965481
"2013-05-03" 32.16 32.389999 31.85 24.802103
"2013-05-06" 32.049999 32.900002 31.959999 25.517851
"2013-05-07" 32.919998 32.950001 32.470001 25.315575
"2013-05-08" 32.630001 33.52 32.580002 26.062441
"2013-05-09" 33.48 34.080002 33.400002 26.350294
"2013-05-10" 33.959999 34.139999 33.830002 26.498116
"2013-05-13" 33.830002 34.130001 33.59 26.155798
"2013-05-14" 33.580002 33.82 33.330002 26.21804
"2013-05-15" 33.66 34.189999 33.540001 26.591475
"2013-05-16" 34.169998 34.52 33.900002 26.614803
"2013-05-17" 34.490002 34.779999 34.360001 26.785969
"2013-05-20" 34.240002 34.549999 34.240002 26.793743
"2013-05-21" 34.610001 35.130001 34.439999 27.299429
"2013-05-22" 34.98 35.240002 34.23 26.887106
"2013-05-23" 34.240002 34.349998 33.84 26.428097
"2013-05-24" 33.860001 34.099998 33.68 26.52923
"2013-05-28" 34.529999 34.610001 34.009998 26.793743
"2013-05-29" 34.369999 34.700001 34.150002 26.785969
"2013-05-30" 36.200001 38.23 36.099998 29.42333
"2013-05-31" 37.330002 38.27 37.110001 29.353312
"2013-06-03" 37.68 37.73 36.59 29.01877
