"Index" "Open" "High" "Low" "Price"
"2012-09-17" 31.75 31.75 31.299999 25.479799
"2012-09-18" 31.42 31.42 30.959999 25.260988
"2012-09-19" 31.16 31.469999 31.16 25.350132
"2012-09-20" 31.09 31.1 30.77 25.001652
"2012-09-21" 31.02 31.219999 30.639999 25.252882
"2012-09-24" 30.93 31.43 30.92 25.350132
"2012-09-25" 31.360001 31.540001 31.040001 25.285299
"2012-09-26" 31.18 31.4 31.09 25.333927
"2012-09-27" 31.4 31.76 31.110001 25.666203
"2012-09-28" 31.65 31.9 31.15 25.787767
"2012-10-01" 31.940001 32.299999 31.790001 25.84449
"2012-10-02" 31.940001 32.099998 31.6 25.779657
"2012-10-03" 31.83 31.9 31.309999 25.487909
"2012-10-04" 29.719999 30.52 29.5 24.369522
"2012-10-05" 30.01 30.299999 29.700001 24.353315
"2012-10-08" 29.969999 30.190001 29.950001 24.328999
"2012-10-09" 30.059999 30.139999 29.879999 24.231747
"2012-10-10" 29.860001 30.17 29.82 24.215538
"2012-10-11" 30.110001 30.360001 30.02 24.3452
"2012-10-12" 30.1 30.25 29.530001 23.948097
"2012-10-15" 29.540001 30.1 29.34 24.377621
"2012-10-16" 30.24 30.540001 30.18 24.645065
"2012-10-17" 30.52 31.18 30.42 25.220469
"2012-10-18" 31.040001 31.040001 30.690001 24.993549
"2012-10-19" 30.76 30.76 30.190001 24.588333
"2012-10-22" 30.200001 30.379999 29.85 24.377621
"2012-10-23" 29.66 30.02 29.27 24.110184
"2012-10-24" 31.92 33.869999 31.52 26.136246
"2012-10-25" 32.5 32.990002 32.290001 26.306438
"2012-10-26" 32.5 32.599998 31.809999 26.136246
"2012-10-31" 32.369999 33.369999 32.169998 26.241606
"2012-11-01" 32.400002 32.950001 32.310001 26.63061
"2012-11-02" 33.279999 34.169998 33.110001 26.906158
"2012-11-05" 33.029999 33.84 32.799999 27.319466
"2012-11-06" 33.740002 34.16 33.470001 27.603121
"2012-11-07" 33.82 33.860001 32.98 27.011509
"2012-11-08" 33.330002 33.709999 32.98 26.727858
"2012-11-09" 32.91 33.52 32.860001 26.727858
"2012-11-12" 32.990002 33.240002 32.529999 26.581985
"2012-11-13" 32.799999 33.029999 32.5 26.379375
"2012-11-14" 32.610001 32.849998 32.119999 26.120033
"2012-11-15" 32.220001 32.419998 31.700001 25.73914
"2012-11-16" 31.790001 32.029999 31.379999 25.925539
"2012-11-19" 32.380001 32.75 32.139999 26.233498
"2012-11-20" 32.380001 33.09 32.189999 26.792688
"2012-11-21" 33.049999 33.450001 33.02 26.930473
"2012-11-23" 33.349998 33.82 33.02 27.384312
"2012-11-26" 33.700001 35.32 33.630001 27.432932
"2012-11-27" 33.75 33.959999 32.990002 27.270844
"2012-11-28" 33.57 33.759998 32.990002 27.311367
"2012-11-29" 33.66 34.09 33.389999 27.254635
"2012-11-30" 33.639999 33.900002 33.209999 27.108763
"2012-12-03" 33.529999 33.529999 32.959999 27.043392
"2012-12-04" 33.080002 33.470001 32.950001 27.198631
"2012-12-05" 33.259998 33.450001 32.869999 27.165947
"2012-12-06" 33.220001 33.57 33.07 27.353865
"2012-12-07" 33.48 33.560001 33.299999 27.411053
"2012-12-10" 33.509998 34.240002 33.43 27.68067
"2012-12-11" 33.959999 34.189999 33.849998 27.852251
"2012-12-12" 34.150002 34.299999 33.93 27.795059
"2012-12-13" 33.990002 34.150002 33.73 27.713352
"2012-12-14" 33.869999 34.27 33.540001 27.778715
"2012-12-17" 34.07 34.150002 33.830002 27.852251
"2012-12-18" 34.130001 34.889999 34.029999 28.399649
"2012-12-19" 34.759998 34.970001 34.439999 28.375135
"2012-12-20" 34.720001 34.98 34.549999 28.571228
"2012-12-21" 34.639999 34.93 34.389999 28.407818
"2012-12-24" 34.759998 34.849998 34.57 28.399649
"2012-12-26" 34.810001 34.98 34.529999 28.399649
"2012-12-27" 34.77 34.970001 34.57 28.505869
"2012-12-28" 34.709999 34.93 34.400002 28.105526
"2012-12-31" 34.299999 34.959999 34.18 28.530375
"2013-01-02" 35.349998 35.66 35.25 28.987904
"2013-01-03" 36.169998 36.169998 35.360001 29.192171
