"Index" "Open" "High" "Low" "Price"
"2012-09-17" 35.849998 36.09 35.549999 29.026346
"2012-09-18" 35.5 36.150002 35.5 29.409134
"2012-09-19" 36.25 36.540001 36.130001 29.620882
"2012-09-20" 36.790001 36.939999 36.509998 29.897781
"2012-09-21" 36.779999 37.150002 36.700001 29.979231
"2012-09-24" 36.700001 37.400002 36.700001 30.370165
"2012-09-25" 37.27 37.5 36.919998 30.133966
"2012-09-26" 37.040001 37.169998 36.68 29.971088
"2012-09-27" 36.77 36.919998 36.439999 30.052534
"2012-09-28" 36.830002 37.099998 36.68 30.182837
"2012-10-01" 36.98 37.139999 36.52 29.889643
"2012-10-02" 36.93 37.18 36.560001 29.987375
"2012-10-03" 36.849998 37.09 36.689999 30.117678
"2012-10-04" 37.060001 37.299999 36.860001 30.280571
"2012-10-05" 37.279999 37.41 37.060001 30.329443
"2012-10-08" 37.110001 37.189999 36.959999 30.264282
"2012-10-09" 37.23 37.299999 36.52 29.930372
"2012-10-10" 36.650002 37.040001 36.509998 29.962952
"2012-10-11" 37.02 37.02 36.540001 29.857071
"2012-10-12" 36.580002 36.77 36.18 29.580164
"2012-10-15" 36.380001 36.389999 36.07 29.482426
"2012-10-16" 36.369999 36.450001 36 29.572025
"2012-10-17" 36.470001 37.380001 36.32 30.3783
"2012-10-18" 37.290001 37.43 37.060001 30.353868
"2012-10-19" 37.150002 37.41 37 30.36202
"2012-10-22" 37.349998 37.450001 36.990002 30.133966
"2012-10-23" 36.849998 36.970001 36.369999 29.726749
"2012-10-24" 36.470001 36.919998 36.18 29.914076
"2012-10-25" 36.869999 36.939999 36.549999 29.938509
"2012-10-26" 36.700001 36.799999 36.48 29.857071
"2012-10-31" 36.5 36.880001 36.290001 29.922224
"2012-11-01" 36.799999 36.93 36.259998 29.80007
"2012-11-02" 36.82 36.869999 36.43 29.726749
"2012-11-05" 36.400002 36.75 36.049999 29.726749
"2012-11-06" 36.529999 37.34 36.310001 30.337589
"2012-11-07" 37.200001 37.200001 36.400002 29.767469
"2012-11-08" 36.439999 37.25 36.220001 29.726749
"2012-11-09" 36.369999 36.75 36.23 29.767469
"2012-11-12" 36.619999 36.75 36.200001 29.743042
"2012-11-13" 36.240002 37.029999 36.220001 29.889643
"2012-11-14" 36.48 36.700001 35.950001 29.938839
"2012-11-15" 36.59 36.759998 36.43 30.037249
"2012-11-16" 36.650002 37.25 36.509998 30.365253
"2012-11-19" 37.450001 37.459999 36.880001 30.332447
"2012-11-20" 36.860001 37.310001 36.860001 30.570263
"2012-11-21" 37.389999 37.5 36.93 30.562056
"2012-11-23" 37.209999 37.5 36.880001 30.455456
"2012-11-26" 36.970001 37.5 36.970001 30.668665
"2012-11-27" 37.290001 37.700001 37.080002 30.791658
"2012-11-28" 37.32 37.91 37.119999 30.988485
"2012-11-29" 37.77 38.130001 37.57 31.152473
"2012-11-30" 38.139999 38.259998 37.849998 31.300087
"2012-12-03" 37.779999 38.169998 37.779999 31.127865
"2012-12-04" 38.09 38.150002 37.82 31.136072
"2012-12-05" 37.880001 37.970001 37.240002 31.095072
"2012-12-06" 38 38 37.330002 30.84906
"2012-12-07" 37.720001 37.889999 37.459999 30.963863
"2012-12-10" 37.869999 38.189999 37.709999 31.218071
"2012-12-11" 38.169998 38.240002 37.650002 31.095072
"2012-12-12" 38.110001 38.5 37.939999 31.300087
"2012-12-13" 38.130001 38.16 37.619999 30.980278
"2012-12-14" 37.689999 37.830002 37.360001 30.709654
"2012-12-17" 37.549999 38.07 37.310001 31.177057
"2012-12-18" 37.82 38.119999 37.580002 31.160557
"2012-12-19" 37.68 37.77 37.150002 30.772604
"2012-12-20" 37.279999 37.349998 37 30.648781
"2012-12-21" 36.93 37.290001 36.669998 30.58275
"2012-12-24" 36.98 37.41 36.759998 30.780865
"2012-12-26" 37.299999 37.299999 36.740002 30.434155
"2012-12-27" 36.810001 37.09 36.57 30.376389
"2012-12-28" 36.84 37.029999 36.619999 30.326864
"2012-12-31" 36.779999 37.240002 36.560001 30.648781
"2013-01-02" 37.669998 38 37.5 31.366919
"2013-01-03" 38.119999 38.23 37.790001 31.457718
"2013-01-04" 38.060001 38.259998 38 31.482485
"2013-01-07" 38 38.040001 37.43 30.94595
"2013-01-08" 37.439999 37.669998 37.299999 30.813883
"2013-01-09" 37.41 37.540001 37.299999 30.888165
"2013-01-10" 37.560001 37.959999 37.439999 31.045
"2013-01-11" 37.669998 38.400002 37.650002 31.655821
"2013-01-14" 38.32 38.330002 37.790001 31.309137
"2013-01-15" 37.810001 37.950001 37.700001 31.226597
"2013-01-16" 37.700001 37.860001 37.369999 31.102776
"2013-01-17" 37.810001 37.869999 37.540001 31.160557
"2013-01-18" 37.869999 37.990002 37.740002 31.292631
"2013-01-22" 38.09 38.5 37.869999 31.589806
"2013-01-23" 38.139999 38.389999 38.09 31.647577
"2013-01-24" 38.290001 38.689999 38.049999 31.853935
"2013-01-25" 38.540001 38.900002 36.959999 30.871662
"2013-01-28" 37.450001 37.950001 37.16 31.193602
"2013-01-29" 37.849998 38.580002 37.849998 31.796156
"2013-01-30" 38.5 38.75 38.299999 31.746639
"2013-01-31" 38.330002 38.59 38.23 31.598038
"2013-02-01" 38.52 38.66 38.32 31.705366
"2013-02-04" 38.169998 38.369999 38.060001 31.424702
"2013-02-05" 38.279999 38.290001 38.040001 31.408188
"2013-02-06" 38.07 38.560001 38.049999 31.812666
"2013-02-07" 38.900002 39.330002 38.459999 32.184116
"2013-02-08" 38.990002 39.23 38.799999 32.340954
"2013-02-11" 39.16 39.349998 38.950001 32.225403
"2013-02-12" 39.009998 39.299999 38.889999 32.373959
"2013-02-13" 39.459999 39.5 39.200001 32.530796
"2013-02-14" 39.299999 39.43 39.09 32.316193
"2013-02-15" 39.099998 39.189999 38.860001 32.332699
"2013-02-19" 39.240002 39.75 39.150002 32.811447
"2013-02-20" 39.560001 39.830002 39.470001 32.629852
"2013-02-21" 39.470001 39.830002 39.279999 32.563831
"2013-02-22" 39.509998 39.830002 39.380001 32.869232
"2013-02-25" 39.91 39.98 39.220001 32.390472
"2013-02-26" 39.360001 39.740002 39.200001 32.54731
"2013-02-27" 39.580002 39.630001 38.700001 32.49778
"2013-02-28" 39.349998 39.610001 39.25 32.563831
"2013-03-01" 39.509998 39.900002 39.169998 32.662861
"2013-03-04" 39.650002 40.27 39.48 33.240685
"2013-03-05" 40.459999 40.689999 40.169998 33.215931
"2013-03-06" 40.049999 40.240002 39.779999 33.067345
"2013-03-07" 39.57 40.009998 39.380001 32.654613
"2013-03-08" 39.5 40.16 39.470001 33.108612
"2013-03-11" 40.200001 40.459999 39.950001 33.314968
"2013-03-12" 40.450001 40.470001 39.990002 33.125126
"2013-03-13" 40.130001 40.349998 40.02 33.133381
"2013-03-14" 40.060001 40.23 39.73 33.017815
"2013-03-15" 40.07 40.259998 39.82 33.232437
"2013-03-18" 39.82 40.25 39.799999 33.199425
"2013-03-19" 40.25 40.450001 40.150002 33.356251
"2013-03-20" 40.5 40.889999 40.439999 33.587364
"2013-03-21" 40.5 40.799999 40.110001 33.521339
"2013-03-22" 40.610001 41 40.43 33.653397
"2013-03-25" 40.919998 41.240002 40.549999 33.73597
"2013-03-26" 40.970001 41.099998 40.860001 33.801975
"2013-03-27" 40.900002 41.139999 40.669998 33.868031
"2013-03-28" 41.119999 41.450001 41.040001 34.206455
"2013-04-01" 41.419998 41.580002 40.849998 34.066132
"2013-04-02" 41.290001 41.490002 41.130001 34.148685
"2013-04-03" 41.52 41.52 40.720001 33.934055
"2013-04-04" 41.23 41.459999 41.099998 34.173439
"2013-04-05" 41.119999 41.5 40.759998 34.231209
"2013-04-08" 41.41 41.849998 41.040001 34.536636
"2013-04-09" 41.950001 41.950001 41.560001 34.371548
"2013-04-10" 41.84 42.240002 41.66 34.81728
"2013-04-11" 42.389999 42.419998 42.049999 34.916325
"2013-04-12" 42.099998 42.529999 42.049999 34.957615
"2013-04-15" 42.27 42.41 41.040001 34.033108
"2013-04-16" 41.389999 42.34 41.349998 34.899826
"2013-04-17" 42.060001 42.200001 41.369999 34.602669
"2013-04-18" 42.009998 42.18 41.599998 34.528374
"2013-04-19" 41.919998 42.349998 41.779999 34.676952
"2013-04-22" 41.970001 41.990002 41.360001 34.338524
"2013-04-23" 41.529999 41.669998 40.959999 33.975334
"2013-04-24" 41.580002 41.66 40.970001 33.967068
"2013-04-25" 41.16 41.529999 41.099998 34.165192
"2013-04-26" 41.169998 41.540001 41.060001 33.975334
"2013-04-29" 41.259998 41.52 41.09 34.132175
"2013-04-30" 41.369999 41.880001 41.200001 34.569653
"2013-05-01" 41.740002 42.25 41.619999 34.470596
"2013-05-02" 41.869999 42.23 41.799999 34.776009
"2013-05-03" 42.299999 42.43 41.880001 34.569653
"2013-05-06" 41.75 41.880001 41.57 34.396301
"2013-05-07" 41.549999 42.099998 41.380001 34.652191
"2013-05-08" 40.98 41.77 40.799999 34.445839
"2013-05-09" 42.200001 43.09 41.849998 34.569653
"2013-05-10" 42.5 42.560001 41.869999 34.693455
"2013-05-13" 41.77 42.060001 41.599998 34.652191
"2013-05-14" 41.950001 42.689999 41.950001 35.031906
"2013-05-15" 42.389999 42.759998 42.389999 35.279537
"2013-05-16" 42.799999 42.91 42.459999 35.081429
"2013-05-17" 42.669998 42.830002 42.43 35.221748
"2013-05-20" 42.509998 42.720001 42.380001 35.263027
"2013-05-21" 42.68 42.98 42.580002 35.238274
"2013-05-22" 42.549999 42.599998 42 34.922508
"2013-05-23" 41.73 42.02 41.25 34.731419
"2013-05-24" 41.740002 41.779999 41.27 34.340897
"2013-05-28" 41.57 42.099998 41.419998 34.565231
"2013-05-29" 41.509998 41.59 40.73 34.008533
"2013-05-30" 40.93 41.529999 40.91 33.991909
"2013-05-31" 40.860001 41.049999 39.91 33.185963
"2013-06-03" 40.060001 40.77 39.869999 33.493385
"2013-06-04" 40.279999 40.490002 39.52 33.077927
"2013-06-05" 39.639999 39.860001 39.169998 32.911755
"2013-06-06" 39.66 40.060001 39.450001 33.252415
"2013-06-07" 40.080002 40.299999 39.459999 33.127781
"2013-06-10" 39.900002 39.950001 39.5 33.086243
"2013-06-11" 39.549999 39.959999 39.509998 33.119473
"2013-06-12" 40.299999 40.720001 40.290001 33.642941
"2013-06-13" 40.400002 40.990002 40.259998 33.966988
"2013-06-14" 40.740002 41.009998 40.639999 34.075012
"2013-06-17" 41.189999 41.560001 40.950001 34.108246
"2013-06-18" 41.119999 41.369999 41 34.199646
"2013-06-19" 41.220001 41.32 40.599998 33.767567
"2013-06-20" 40.18 40.43 39.419998 32.878513
"2013-06-21" 39.669998 39.849998 38.950001 32.77882
"2013-06-24" 39 39.639999 38.91 32.737251
"2013-06-25" 39.68 40.330002 39.630001 33.343822
"2013-06-26" 40.330002 40.610001 40.240002 33.451843
"2013-06-27" 40.48 40.75 40.43 33.618011
"2013-06-28" 40.52 41.700001 40.380001 34.257805
"2013-07-01" 41.290001 41.490002 39.790001 33.219196
"2013-07-02" 39.860001 40.099998 39.540001 33.152718
"2013-07-03" 39.889999 40.470001 39.639999 33.618011
"2013-07-05" 40.509998 40.869999 40 33.476765
"2013-07-08" 40.470001 41.240002 40.310001 34.075012
"2013-07-09" 41.330002 41.52 40.830002 34.448917
"2013-07-10" 41.459999 41.779999 41.330002 34.689877
"2013-07-11" 42.110001 42.299999 41.459999 34.789581
"2013-07-12" 41.779999 42.060001 41.349998 34.864357
"2013-07-15" 42.029999 42.82 41.900002 35.554005
"2013-07-16" 42.740002 42.900002 42.25 35.163479
"2013-07-17" 42.549999 42.639999 42.07 34.988991
"2013-07-18" 42.099998 42.41 41.900002 35.163479
"2013-07-19" 42.220001 42.779999 42.099998 35.396126
"2013-07-22" 42.549999 43.220001 42.509998 35.819889
"2013-07-23" 43.189999 43.720001 42.950001 36.14394
"2013-07-24" 43.709999 43.709999 42.650002 35.578926
"2013-07-25" 42.639999 42.98 42.490002 35.711872
"2013-07-26" 43.130001 43.240002 42.599998 35.794964
"2013-07-29" 43.119999 43.25 42.970001 35.770031
"2013-07-30" 43.150002 43.240002 42.619999 35.454288
"2013-07-31" 42.75 42.970001 42.540001 35.462597
"2013-08-01" 43.009998 43.439999 42.990002 35.969437
"2013-08-02" 43.369999 43.48 42.720001 35.83651
"2013-08-05" 43.150002 43.150002 42.689999 35.512455
"2013-08-06" 42.689999 42.880001 42.32 35.205021
"2013-08-07" 42.299999 42.66 42.259998 35.296413
"2013-08-08" 42.490002 42.84 42.110001 35.329651
"2013-08-09" 42.57 43.220001 42.57 35.869755
"2013-08-12" 43.139999 43.23 42.689999 35.537388
"2013-08-13" 42.849998 43.049999 42.619999 35.41275
"2013-08-14" 42.68 42.77 42.009998 34.939148
"2013-08-15" 41.75 41.810001 41.07 34.420525
"2013-08-16" 41.009998 41.119999 40.799999 34.328526
"2013-08-19" 41.040001 41.119999 40.689999 34.052486
"2013-08-20" 40.689999 41.200001 40.560001 34.102661
"2013-08-21" 40.759998 40.950001 40.240002 34.094299
"2013-08-22" 41.02 41.84 40.82 34.822033
"2013-08-23" 41.630001 41.959999 41.41 35.031147
"2013-08-26" 41.849998 41.849998 41.490002 34.730026
"2013-08-27" 41.200001 41.709999 41.110001 34.788567
"2013-08-28" 41.5 41.970001 41.380001 34.855492
"2013-08-29" 41.52 41.630001 40.849998 34.228142
"2013-08-30" 41.049999 41.220001 40.459999 34.077583
"2013-09-03" 40.790001 41.099998 40.27 33.701168
"2013-09-04" 40.290001 40.34 39.18 33.257847
"2013-09-05" 39.689999 39.860001 39.279999 32.898167
"2013-09-06" 39.380001 39.5 39.27 32.856339
"2013-09-09" 39.369999 39.5 39.150002 32.981804
"2013-09-10" 39.529999 39.950001 39.48 33.41679
"2013-09-11" 39.849998 39.93 39.48 33.073826
"2013-09-12" 39.919998 39.93 39.049999 32.831238
"2013-09-13" 39.299999 39.400002 39.150002 32.864704
"2013-09-16" 39.299999 39.599998 39.049999 32.730869
"2013-09-17" 39.189999 39.549999 39.060001 33.02364
"2013-09-18" 39.490002 40.900002 39.34 34.144501
"2013-09-19" 40.860001 41.189999 40.59 33.968842
"2013-09-20" 40.560001 40.93 39.849998 33.358212
"2013-09-23" 39.68 40.450001 39.650002 33.784828
"2013-09-24" 40.439999 40.889999 40.389999 34.1194
"2013-09-25" 40.77 40.93 40.48 34.077583
"2013-09-26" 40.880001 41.290001 40.830002 34.395428
"2013-09-27" 40.950001 41.110001 40.740002 34.194687
"2013-09-30" 40.509998 41.299999 40.509998 34.529285
"2013-10-01" 40.970001 41.66 40.970001 34.654743
"2013-10-02" 41.25 41.540001 41 34.738384
"2013-10-03" 41.279999 41.41 40.700001 34.085938
"2013-10-04" 40.799999 40.880001 40.509998 33.943752
"2013-10-07" 40.400002 40.619999 40.18 33.60915
"2013-10-08" 40.380001 40.669998 40.09 33.533886
"2013-10-09" 40.07 40.779999 40.049999 33.885189
"2013-10-10" 40.599998 41.41 40.509998 34.529285
"2013-10-11" 41.27 41.43 41.07 34.621281
"2013-10-14" 41.299999 41.389999 40.470001 34.303432
"2013-10-15" 40.990002 41 40.450001 33.85173
"2013-10-16" 40.619999 41.02 40.5 34.169594
"2013-10-17" 40.799999 41.790001 40.580002 34.955875
"2013-10-18" 41.950001 42 41.639999 34.905685
"2013-10-21" 41.779999 42.099998 41.700001 35.190079
"2013-10-22" 42.34 42.869999 42.009998 35.390823
"2013-10-23" 42.119999 42.599998 42.07 35.466118
"2013-10-24" 42.419998 42.59 41.959999 35.148266
"2013-10-25" 42.130001 42.599998 41.889999 35.599949
"2013-10-28" 42.560001 42.720001 42.23 35.566483
"2013-10-29" 42.57 42.810001 42.470001 35.750511
"2013-10-30" 42.799999 43.060001 42.57 35.817425
"2013-10-31" 42.75 42.950001 42.34 35.859238
"2013-11-01" 43 43.150002 42.560001 35.767242
"2013-11-04" 42.75 43.099998 42.610001 35.976349
"2013-11-05" 42.939999 45.09 42.93 36.185471
"2013-11-06" 43.439999 43.540001 43.169998 36.377861
"2013-11-07" 43.57 44.490002 43.09 36.252384
"2013-11-08" 43.200001 43.200001 42.169998 35.758877
"2013-11-11" 42.75 43.299999 42.5 36.009811
"2013-11-12" 42.889999 42.889999 42.419998 35.691952
"2013-11-13" 42.209999 42.540001 42.060001 35.708801
"2013-11-14" 42.540001 42.889999 42.540001 36.096104
"2013-11-15" 42.82 43.32 42.82 36.357136
"2013-11-18" 43.34 43.360001 42.919998 36.289776
"2013-11-19" 43 43.18 42.450001 35.860355
"2013-11-20" 42.599998 42.900002 42.049999 35.414104
"2013-11-21" 42.189999 42.41 41.900002 35.35516
"2013-11-22" 42.119999 42.349998 41.720001 35.540394
"2013-11-25" 42.27 42.459999 42.099998 35.531979
"2013-11-26" 42.25 42.25 41.77 35.346741
"2013-11-27" 42.110001 42.389999 41.830002 35.574085
"2013-11-29" 42.23 42.75 42.23 35.658283
"2013-12-02" 42.389999 42.580002 41.919998 35.329903
"2013-12-03" 41.810001 42.099998 41.369999 35.085732
"2013-12-04" 41.560001 41.709999 41.150002 35.043617
