"Index" "Open" "High" "Low" "Price"
"2012-09-17" 59.25 59.369999 59.02 51.282539
"2012-09-18" 58.93 58.990002 58.57 50.84058
"2012-09-19" 58.630001 59.040001 58.52 50.84058
"2012-09-20" 58.400002 58.830002 58.040001 50.554626
"2012-09-21" 58.450001 58.580002 57.860001 50.13868
"2012-09-24" 57.560001 57.84 57.41 49.974026
"2012-09-25" 57.799999 58.27 57.099998 49.506104
"2012-09-26" 57.139999 57.23 56.060001 48.648216
"2012-09-27" 56.66 56.82 56.049999 49.020832
"2012-09-28" 56.459999 57.209999 56.150002 49.272133
"2012-10-01" 57.18 58.389999 57.18 50.026024
"2012-10-02" 57.990002 58.23 56.959999 49.549423
"2012-10-03" 57.16 57.560001 56.849998 49.91465
"2012-10-04" 57.799999 58.669998 57.630001 50.758163
"2012-10-05" 58.66 58.73 58.18 50.923382
"2012-10-08" 58.490002 58.889999 58.34 51.14949
"2012-10-09" 58.880001 59 58.110001 50.645119
"2012-10-10" 58.41 58.689999 57.759998 50.410316
"2012-10-11" 58.299999 58.599998 58.150002 50.845127
"2012-10-12" 58.34 58.5 57.459999 50.340752
"2012-10-15" 57.779999 57.98 57.32 50.079876
"2012-10-16" 57.889999 58.720001 57.889999 50.984257
"2012-10-17" 58.91 59.400002 58.66 51.62775
"2012-10-18" 58.830002 58.970001 57.380001 50.097271
"2012-10-19" 57.650002 57.700001 56.509998 49.445084
"2012-10-22" 56.759998 57.099998 56.220001 49.34071
"2012-10-23" 56.189999 56.27 55.360001 48.158077
"2012-10-24" 55.610001 55.950001 55.080002 48.027637
"2012-10-25" 55.549999 55.669998 54.950001 48.210251
"2012-10-26" 55.48 56.09 55.330002 48.479824
"2012-10-31" 55.959999 56.060001 55.369999 48.671146
"2012-11-01" 56.150002 57.119999 55.990002 49.436378
"2012-11-02" 57.389999 57.43 56.619999 49.314636
"2012-11-05" 56.209999 56.490002 55.849998 49.010288
"2012-11-06" 56.540001 57.48 56.470001 49.73204
"2012-11-07" 56.630001 56.630001 55.27 48.323307
"2012-11-08" 55.599998 56.290001 55.5 48.314606
"2012-11-09" 55.599998 56.369999 55.52 48.549404
"2012-11-12" 56 56.099998 55.330002 48.279812
"2012-11-13" 55.060001 55.52 54.709999 47.60154
"2012-11-14" 54.759998 55 53.470001 46.653683
"2012-11-15" 53.59 53.950001 53.02 46.644981
"2012-11-16" 53.59 54.57 53.580002 47.218918
"2012-11-19" 54.810001 55.27 54.68 48.027637
"2012-11-20" 55.09 55.880001 54.919998 48.575485
"2012-11-21" 55.970001 56.169998 55.799999 48.679848
"2012-11-23" 56.189999 56.549999 56.09 49.140724
"2012-11-26" 56.25 56.34 55.470001 48.42765
"2012-11-27" 55.459999 55.720001 54.349998 47.340652
"2012-11-28" 54.16 55.599998 54.16 48.271126
"2012-11-29" 55.75 56.259998 55.52 48.627655
"2012-11-30" 55.860001 56.09 55.709999 48.610271
"2012-12-03" 56.09 56.529999 55.93 48.68853
"2012-12-04" 55.900002 56.189999 55.470001 48.558086
"2012-12-05" 55.889999 56.66 55.75 49.045063
"2012-12-06" 56.299999 56.330002 55.880001 48.801582
"2012-12-07" 56.25 56.639999 56.200001 49.227669
"2012-12-10" 56.669998 56.950001 56.419998 49.34943
"2012-12-11" 57 57.59 56.919998 49.618992
"2012-12-12" 57.349998 58.349998 57.18 50.149433
"2012-12-13" 57.66 58 57.5 50.192932
"2012-12-14" 57.509998 57.650002 56.509998 49.262459
"2012-12-17" 56.900002 57.349998 56.790001 49.801605
"2012-12-18" 57.75 58.220001 57.610001 50.279888
"2012-12-19" 57.419998 57.689999 56.740002 49.384201
"2012-12-20" 56.889999 57.41 56.82 49.91465
"2012-12-21" 57.189999 57.810001 56.360001 50.132053
"2012-12-24" 57.549999 57.939999 57.439999 50.027702
"2012-12-26" 57.619999 57.709999 57.060001 49.679867
"2012-12-27" 57.16 57.25 55.880001 49.29726
"2012-12-28" 56.439999 57.040001 56.369999 49.279854
"2012-12-31" 56.470001 57.490002 56.240002 49.984241
"2013-01-02" 58.330002 58.950001 58.310001 51.266987
"2013-01-03" 58.799999 59.259998 58.630001 51.485142
"2013-01-04" 59.080002 59.66 58.459999 52.01746
"2013-01-07" 59.279999 59.990002 59.279999 52.235615
"2013-01-08" 59.68 60.32 59.529999 52.53231
"2013-01-09" 60.419998 60.900002 60.150002 52.58466
"2013-01-10" 60.439999 60.790001 60.09 53.047146
"2013-01-11" 60.5 61.970001 60.310001 53.439838
"2013-01-14" 60.779999 61.389999 60.709999 53.413651
"2013-01-15" 60.150002 60.84 60.029999 53.020973
"2013-01-16" 60.82 60.849998 60.48 52.898804
"2013-01-17" 61.099998 61.200001 60.580002 53.003525
"2013-01-18" 59.869999 60.279999 58.900002 52.165787
"2013-01-22" 59.619999 59.900002 59.009998 51.834198
"2013-01-23" 59.220001 59.290001 58.799999 51.424061
"2013-01-24" 59.139999 59.509998 59.009998 51.746944
"2013-01-25" 59.57 59.700001 59.189999 51.921459
"2013-01-28" 59.360001 59.549999 58.700001 51.546219
"2013-01-29" 59.080002 59.57 58.950001 51.877827
"2013-01-30" 59.240002 59.669998 59.16 51.773106
"2013-01-31" 59.369999 59.82 58.810001 51.319347
"2013-02-01" 59.330002 60.119999 59.299999 52.279228
"2013-02-04" 59.459999 59.740002 59.209999 51.842926
"2013-02-05" 59.779999 60.900002 59.68 52.933716
"2013-02-06" 59.93 60.810001 59.93 52.846447
"2013-02-07" 60.560001 62.34 60.549999 54.225204
"2013-02-08" 62.060001 62.330002 61.48 53.928509
"2013-02-11" 61.700001 62.049999 61.360001 54.085594
"2013-02-12" 62.09 62.560001 61.950001 54.277576
"2013-02-13" 62.450001 62.759998 61.889999 54.1903
"2013-02-14" 62.080002 62.650002 61.830002 54.399738
"2013-02-15" 62.57 62.68 61.43 53.832527
"2013-02-19" 61.669998 62.400002 61.669998 54.347374
"2013-02-20" 62.060001 62.470001 61.869999 54.024494
"2013-02-21" 61.869999 62 61.139999 53.701637
"2013-02-22" 61.860001 62.580002 61.790001 54.600437
"2013-02-25" 62.77 63 61.990002 54.120487
"2013-02-26" 62.060001 62.18 61.549999 54.033226
"2013-02-27" 61.73 62.599998 61.630001 54.539352
"2013-02-28" 62.43 62.650002 61.880001 54.233932
"2013-03-01" 61.84 62.490002 61.509998 54.425911
"2013-03-04" 62.220001 63 62.040001 54.879677
"2013-03-05" 63.259998 64.419998 63.060001 55.953026
"2013-03-06" 64.410004 64.940002 64.349998 56.415512
"2013-03-07" 64.730003 64.879997 64.139999 56.336956
"2013-03-08" 64.660004 64.760002 63.669998 56.459137
"2013-03-11" 64.730003 65.620003 64.709999 57.157242
"2013-03-12" 65.629997 65.790001 65.059998 56.974007
"2013-03-13" 65.239998 65.599998 65.120003 56.982723
"2013-03-14" 65.419998 65.75 65.290001 57.052525
"2013-03-15" 65.639999 66.43 65.339996 57.672092
"2013-03-18" 65.059998 66.129997 64.760002 57.401573
"2013-03-19" 65.989998 66.139999 64.800003 56.834362
"2013-03-20" 65.449997 66.139999 65.449997 57.593544
"2013-03-21" 65.830002 65.989998 65.25 57.078701
"2013-03-22" 65.589996 66.349998 65.540001 57.785538
"2013-03-25" 66.589996 66.769997 65.82 57.680836
"2013-03-26" 66.400002 67.239998 66.370003 58.614536
"2013-03-27" 66.599998 67.260002 66.599998 58.597084
"2013-03-28" 67.309998 67.480003 67 58.867592
"2013-04-01" 67.419998 67.75 67.010002 58.693069
"2013-04-02" 67.379997 67.760002 67.099998 59.02467
"2013-04-03" 67.660004 67.690002 66.040001 57.983162
"2013-04-04" 66.419998 66.959999 66.300003 58.403267
"2013-04-05" 65.769997 65.800003 64.769997 57.151695
"2013-04-08" 65.559998 65.779999 65.129997 57.414261
"2013-04-09" 65.639999 65.68 65.150002 57.081696
"2013-04-10" 65.449997 65.580002 65.360001 57.23922
"2013-04-11" 65.470001 65.93 65.199997 57.536804
"2013-04-12" 65.459999 65.849998 65.18 57.484287
"2013-04-15" 65.529999 65.599998 64.089996 56.10144
"2013-04-16" 64.5 65.050003 64.269997 56.5303
"2013-04-17" 64.120003 64.309998 63.43 56.127689
"2013-04-18" 64.040001 65.889999 63.639999 56.924149
"2013-04-19" 65.330002 67.25 65.330002 58.849621
"2013-04-22" 67.120003 67.25 66.25 58.341999
"2013-04-23" 66.809998 67.540001 66.639999 59.033417
"2013-04-24" 67.410004 67.620003 67.040001 59.007153
"2013-04-25" 67.75 69.050003 67.639999 59.628555
"2013-04-26" 68.120003 68.400002 67.57 59.295979
"2013-04-29" 68.010002 68.199997 67.610001 59.190937
"2013-04-30" 67.879997 68.480003 67.599998 59.873642
"2013-05-01" 68.25 68.849998 68.160004 59.759846
"2013-05-02" 68.43 69.470001 68.370003 60.72258
"2013-05-03" 69.919998 71.089996 69.900002 61.466537
"2013-05-06" 70.220001 70.580002 69.949997 61.317722
"2013-05-07" 70.07 70.459999 69.959999 61.475262
"2013-05-08" 69.919998 70.419998 69.57 61.536549
"2013-05-09" 70.25 70.510002 69.709999 61.449024
"2013-05-10" 70.160004 70.25 69.650002 61.335228
"2013-05-13" 70.089996 70.209999 69.339996 61.081444
"2013-05-14" 69.949997 71.610001 69.849998 62.586819
"2013-05-15" 71.330002 73.040001 71.330002 63.698315
"2013-05-16" 72.610001 72.949997 72.129997 63.216976
"2013-05-17" 72.279999 73.379997 72.260002 64.170944
"2013-05-20" 73.309998 74.540001 73.220001 65.116173
