"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.39 9.49 9.27 7.940585
"2012-09-18" 9.16 9.29 9.09 7.880816
"2012-09-19" 9.33 9.46 9.26 7.932049
"2012-09-20" 9.14 9.25 9.08 7.846663
"2012-09-21" 9.35 9.35 9.08 7.778357
"2012-09-24" 8.99 9.2 8.95 7.769818
"2012-09-25" 9.17 9.21 8.91 7.624669
"2012-09-26" 8.86 8.91 8.7 7.530749
"2012-09-27" 8.94 9.07 8.9 7.658821
"2012-09-28" 8.89 8.93 8.79 7.539287
"2012-10-01" 8.87 9.13 8.85 7.650282
"2012-10-02" 9.1 9.11 8.88 7.624669
"2012-10-03" 8.98 9.12 8.91 7.778357
"2012-10-04" 9.2 9.42 9.15 8.034504
"2012-10-05" 9.56 9.65 9.23 7.95766
"2012-10-08" 9.16 9.38 9.13 7.92351
"2012-10-09" 9.33 9.38 9.04 7.863739
"2012-10-10" 9.19 9.27 9.06 7.863739
"2012-10-11" 9.39 9.42 9.3 7.974738
"2012-10-12" 9.16 9.28 9.05 7.786895
"2012-10-15" 9.24 9.44 9.16 8.060121
"2012-10-16" 9.53 9.6 9.38 8.077197
"2012-10-17" 9.42 9.6 9.3 8.060121
"2012-10-18" 9.38 9.57 9.37 8.085732
"2012-10-19" 9.42 9.55 9.39 8.060121
"2012-10-22" 9.47 9.56 9.41 8.154042
"2012-10-23" 9.44 9.47 9.28 7.991816
"2012-10-24" 9.45 9.49 9.3 7.949124
"2012-10-25" 9.37 9.42 9.17 7.889356
"2012-10-26" 9.17 9.27 9.05 7.786895
"2012-10-31" 9.2 9.35 9.15 7.95766
"2012-11-01" 9.34 9.75 9.27 8.316269
"2012-11-02" 9.87 9.97 9.77 8.410194
"2012-11-05" 9.83 9.93 9.62 8.324805
"2012-11-06" 9.83 9.97 9.75 8.487032
"2012-11-07" 9.63 9.67 9.22 7.880816
"2012-11-08" 9.49 9.6 9.38 8.017433
"2012-11-09" 9.3 9.59 9.27 8.051581
"2012-11-12" 9.5 9.52 9.38 8.017433
"2012-11-13" 9.31 9.55 9.28 7.966199
"2012-11-14" 9.38 9.42 8.95 7.675897
"2012-11-15" 9.03 9.2 9.02 7.761281
"2012-11-16" 9.12 9.21 8.92 7.786895
"2012-11-19" 9.36 9.53 9.32 8.102813
"2012-11-20" 9.47 9.68 9.42 8.22235
"2012-11-21" 9.67 9.78 9.63 8.341886
"2012-11-23" 9.84 9.9 9.8 8.45288
"2012-11-26" 9.82 9.87 9.75 8.401652
"2012-11-27" 9.89 9.95 9.66 8.24796
"2012-11-28" 9.56 9.76 9.38 8.333344
"2012-11-29" 9.84 9.88 9.76 8.393113
"2012-11-30" 9.78 9.87 9.76 8.418726
"2012-12-03" 9.93 9.94 9.78 8.367496
"2012-12-04" 9.79 9.91 9.77 8.461419
"2012-12-05" 9.97 10.56 9.95 8.940046
"2012-12-06" 10.51 10.58 10.29 8.940046
"2012-12-07" 10.56 10.68 10.48 9.09389
"2012-12-10" 10.6 10.63 10.46 9.034061
"2012-12-11" 10.64 10.71 10.5 8.98278
"2012-12-12" 10.59 10.7 10.51 9.068247
"2012-12-13" 10.59 10.66 10.51 9.00842
"2012-12-14" 10.55 10.6 10.52 9.04261
"2012-12-17" 10.65 11 10.64 9.401575
"2012-12-18" 11.24 11.36 11.05 9.709266
"2012-12-19" 11.4 11.49 11.17 9.563968
"2012-12-20" 11.1 11.52 11.08 9.846018
"2012-12-21" 11.2 11.35 11.12 9.649437
"2012-12-24" 11.27 11.29 11.21 9.615251
"2012-12-26" 11.29 11.63 11.27 9.86311
"2012-12-27" 11.66 11.69 11.23 9.803279
"2012-12-28" 11.32 11.49 11.27 9.709266
"2012-12-31" 11.37 11.65 11.3 9.922934
"2013-01-02" 12.05 12.15 11.9 10.281907
"2013-01-03" 12.01 12.05 11.88 10.222076
"2013-01-04" 11.97 12.11 11.93 10.350283
"2013-01-07" 12.15 12.2 12 10.333188
"2013-01-08" 12.09 12.1 11.89 10.239172
"2013-01-09" 11.87 12 11.33 9.76909
"2013-01-10" 11.61 11.81 11.54 10.068234
"2013-01-11" 11.7 11.72 11.51 9.94003
"2013-01-14" 11.61 11.63 11.38 9.803279
"2013-01-15" 11.38 11.62 11.3 9.871654
"2013-01-16" 11.58 11.79 11.47 10.068234
"2013-01-17" 11.69 11.7 11.17 9.64089
"2013-01-18" 11.26 11.33 11.02 9.521235
"2013-01-22" 11.12 11.36 11.09 9.700717
"2013-01-23" 11.38 11.44 11.23 9.760544
"2013-01-24" 11.45 11.67 11.42 9.854563
"2013-01-25" 11.69 11.72 11.51 9.93148
"2013-01-28" 11.64 11.67 11.43 9.811825
"2013-01-29" 11.42 11.58 11.4 9.820374
"2013-01-30" 11.49 11.54 11.35 9.726357
"2013-01-31" 11.32 11.36 11.22 9.675076
"2013-02-01" 11.41 11.73 11.37 10.008407
"2013-02-04" 11.58 11.69 11.46 9.811825
"2013-02-05" 11.59 11.98 11.56 10.153704
"2013-02-06" 11.73 11.97 11.73 10.196436
"2013-02-07" 11.97 11.98 11.73 10.119515
"2013-02-08" 11.86 11.9 11.72 10.05114
"2013-02-11" 11.73 11.9 11.67 10.136607
"2013-02-12" 11.87 12.34 11.78 10.46994
"2013-02-13" 12.35 12.42 12.05 10.40156
"2013-02-14" 12.09 12.27 12.07 10.367375
"2013-02-15" 12.21 12.21 11.97 10.281907
"2013-02-19" 12.1 12.31 12.06 10.418654
"2013-02-20" 12.18 12.29 11.75 10.085327
"2013-02-21" 11.73 11.73 11.35 9.760544
"2013-02-22" 11.62 11.64 11.26 9.777641
"2013-02-25" 11.6 11.61 10.98 9.427217
"2013-02-26" 11.12 11.22 11.03 9.51269
"2013-02-27" 11.15 11.36 11.1 9.666673
"2013-02-28" 11.33 11.37 11.2 9.606784
"2013-03-01" 11.13 11.55 11.02 9.700886
"2013-03-04" 11.27 11.45 11.22 9.76077
"2013-03-05" 11.56 11.71 11.53 9.880531
"2013-03-06" 11.77 12.02 11.76 10.197051
"2013-03-07" 12 12.28 11.98 10.487906
"2013-03-08" 12.42 12.44 12.02 10.325373
"2013-03-11" 12.08 12.22 12.02 10.393807
"2013-03-12" 12.11 12.18 11.91 10.274044
"2013-03-13" 12.04 12.11 11.98 10.316817
"2013-03-14" 12.12 12.19 12.1 10.359591
"2013-03-15" 12.52 12.66 12.35 10.753099
"2013-03-18" 12.29 12.68 12.26 10.744547
"2013-03-19" 12.79 12.94 12.59 10.872864
"2013-03-20" 12.79 12.89 12.71 10.932747
"2013-03-21" 12.71 12.84 12.55 10.753099
"2013-03-22" 12.62 12.67 12.48 10.744547
"2013-03-25" 12.68 12.72 12.32 10.607672
"2013-03-26" 12.45 12.5 12.15 10.505016
"2013-03-27" 12.14 12.28 12.12 10.462244
"2013-03-28" 12.24 12.28 12.11 10.419472
"2013-04-01" 12.15 12.28 12.1 10.393807
"2013-04-02" 12.24 12.25 12.14 10.393807
"2013-04-03" 12.12 12.14 11.72 10.102953
"2013-04-04" 11.81 11.99 11.72 10.214162
"2013-04-05" 11.67 12.01 11.64 10.239827
"2013-04-08" 12 12.21 11.91 10.445136
"2013-04-09" 12.25 12.35 12.21 10.479355
"2013-04-10" 12.31 12.4 12.26 10.539235
"2013-04-11" 12.31 12.33 12.16 10.496462
"2013-04-12" 12.15 12.25 12.07 10.410914
"2013-04-15" 12.19 12.32 11.97 10.24838
"2013-04-16" 12.21 12.36 12.08 10.505016
"2013-04-17" 11.91 12.02 11.45 10.008849
"2013-04-18" 11.61 11.65 11.23 9.786434
"2013-04-19" 11.56 11.69 11.43 9.974633
"2013-04-22" 11.68 11.75 11.57 10.025964
"2013-04-23" 11.92 12.16 11.9 10.325373
"2013-04-24" 12.14 12.37 12.12 10.530679
"2013-04-25" 12.39 12.54 12.36 10.641891
"2013-04-26" 12.34 12.46 12.29 10.624784
"2013-04-29" 12.45 12.48 12.37 10.590564
"2013-04-30" 12.39 12.4 12.2 10.530679
"2013-05-01" 12.2 12.27 12.08 10.385252
"2013-05-02" 12.17 12.21 12.05 10.428025
"2013-05-03" 12.36 12.41 12.21 10.4708
"2013-05-06" 12.39 12.89 12.36 11.018294
"2013-05-07" 12.92 13.11 12.76 11.0354
"2013-05-08" 12.85 13.18 12.84 11.138057
"2013-05-09" 13.05 13.06 12.87 11.043954
"2013-05-10" 12.94 13.04 12.89 11.138057
"2013-05-13" 12.98 13.1 12.95 11.103836
"2013-05-14" 13.04 13.36 13.02 11.411802
"2013-05-15" 13.29 13.55 13.29 11.497348
"2013-05-16" 13.41 13.55 13.32 11.42891
"2013-05-17" 13.5 13.52 13.39 11.488793
"2013-05-20" 13.39 13.6 13.39 11.55723
"2013-05-21" 13.53 13.56 13.36 11.497348
"2013-05-22" 13.49 13.73 13.17 11.386137
"2013-05-23" 12.93 13.42 12.82 11.300591
"2013-05-24" 13.17 13.26 13.12 11.326253
"2013-05-28" 13.49 13.51 13.31 11.420359
"2013-05-29" 13.31 13.56 13.27 11.531567
"2013-05-30" 13.5 13.93 13.43 11.830976
"2013-05-31" 13.91 13.99 13.65 11.685549
"2013-06-03" 13.69 13.73 13.21 11.591447
"2013-06-04" 13.51 13.67 13.31 11.42891
"2013-06-05" 13.29 13.45 12.97 11.206327
"2013-06-06" 13.08 13.24 12.85 11.300495
"2013-06-07" 13.33 13.39 13.15 11.454595
"2013-06-10" 13.49 13.55 13.26 11.386107
"2013-06-11" 13.11 13.28 13.07 11.232009
"2013-06-12" 13.24 13.25 12.97 11.180643
"2013-06-13" 13 13.26 12.97 11.309056
