"Index" "Open" "High" "Low" "Price"
"2012-09-17" 21.6 21.674999 21.495001 19.758545
"2012-09-18" 21.545 21.605 21.370001 19.744797
"2012-09-19" 21.559999 21.6 21.355 19.676113
"2012-09-20" 21.370001 21.434999 21.245001 19.543322
"2012-09-21" 21.555 21.584999 21.235001 19.465477
"2012-09-24" 21.200001 21.475 21.145 19.506687
"2012-09-25" 21.315001 21.424999 21.110001 19.332695
"2012-09-26" 21.110001 21.17 20.83 19.369324
"2012-09-27" 21.375 21.4 21.01 19.392218
"2012-09-28" 21.084999 21.235001 20.98 19.373898
"2012-10-01" 21.254999 21.379999 21.129999 19.447157
"2012-10-02" 21.205 21.254999 21.01 19.318954
"2012-10-03" 21.139999 21.385 21.014999 19.488379
"2012-10-04" 21.385 21.495001 21.325001 19.575375
"2012-10-05" 21.49 21.725 21.395 19.593693
"2012-10-08" 21.360001 21.389999 21.315001 19.538742
"2012-10-09" 21.355 21.434999 21.129999 19.351
"2012-10-10" 20.969999 21.025 20.709999 19.02589
"2012-10-11" 20.889999 20.889999 20.709999 19.007568
"2012-10-12" 20.719999 20.75 20.555 18.916004
"2012-10-15" 20.66 20.9 20.57 19.126629
"2012-10-16" 20.959999 21.235001 20.915001 19.410526
"2012-10-17" 21.25 21.615 21.15 19.703587
"2012-10-18" 21.385 21.549999 21.23 19.666952
"2012-10-19" 21.475 21.5 21.235001 19.534164
"2012-10-22" 21.27 21.43 21.18 19.547899
"2012-10-23" 21.07 21.115 20.885 19.231945
"2012-10-24" 21.094999 21.125 20.85 19.19989
"2012-10-25" 21.5 21.5 21.120001 19.460897
"2012-10-26" 21.285 21.495001 21.264999 19.602854
"2012-10-31" 21.455 21.684999 21.254999 19.612005
"2012-11-01" 21.385 21.73 21.355 19.886751
"2012-11-02" 21.805 21.875 21.605 19.863857
"2012-11-05" 21.555 21.635 21.415001 19.786007
"2012-11-06" 21.674999 22.035 21.610001 20.161493
"2012-11-07" 21.9 22.105 21.6 20.129436
"2012-11-08" 21.985001 22.045 21.764999 19.932541
"2012-11-09" 21.754999 22.165001 21.629999 20.079067
"2012-11-12" 21.955 22.02 21.799999 20.010389
"2012-11-13" 21.764999 22.004999 21.66 19.859276
"2012-11-14" 21.67 21.875 21.495001 19.689852
"2012-11-15" 21.5 21.795 21.5 19.799755
"2012-11-16" 21.584999 21.684999 21.309999 19.845533
"2012-11-19" 21.82 22.440001 21.684999 20.445395
"2012-11-20" 22.299999 22.395 22.135 20.49118
"2012-11-21" 22.379999 22.445 22.155001 20.427078
"2012-11-23" 22.405001 22.535 22.26 20.637716
"2012-11-26" 22.33 22.405001 22.120001 20.504919
"2012-11-27" 22.32 22.4 22.075001 20.436241
"2012-11-28" 22.264999 22.395 22.129999 20.486605
"2012-11-29" 22.4 22.5 22.190001 20.532495
"2012-11-30" 22.379999 22.459999 22.295 20.50955
"2012-12-03" 22.459999 22.51 21.950001 20.165352
"2012-12-04" 22.02 22.035 21.83 20.05521
"2012-12-05" 21.825001 21.995001 21.66 20.01391
"2012-12-06" 21.83 22.105 21.700001 20.280083
"2012-12-07" 22.125 22.139999 21.945 20.26173
"2012-12-10" 22.084999 22.305 22.004999 20.44071
"2012-12-11" 22.299999 22.434999 22.190001 20.537085
"2012-12-12" 22.424999 22.445 22.18 20.408587
"2012-12-13" 22.225 22.49 22.225 20.445295
"2012-12-14" 22.205 22.280001 22.025 20.307617
"2012-12-17" 22.01 22.139999 21.950001 20.284676
"2012-12-18" 22.065001 22.264999 21.934999 20.284676
"2012-12-19" 22.139999 22.385 22.139999 20.454475
"2012-12-20" 22.280001 22.73 22.245001 20.862926
"2012-12-21" 22.445 22.735001 22.315001 20.560032
"2012-12-24" 22.395 22.610001 22.334999 20.660997
"2012-12-26" 22.559999 22.645 22.440001 20.610518
"2012-12-27" 22.48 22.49 22.09 20.486605
"2012-12-28" 22.174999 22.26 22.055 20.325981
"2012-12-31" 22.075001 22.379999 22.025 20.537085
"2013-01-02" 22.709999 23.035 22.665001 21.13369
"2013-01-03" 23.049999 23.275 22.985001 21.312677
"2013-01-04" 23.295 23.295 23.09 21.340216
"2013-01-07" 23.15 23.209999 23.030001 21.152046
"2013-01-08" 22.74 22.865 22.549999 20.839975
"2013-01-09" 22.780001 22.955 22.719999 20.931767
"2013-01-10" 22.825001 22.885 22.695 20.931767
"2013-01-11" 22.825001 22.834999 22.620001 20.83539
"2013-01-14" 22.695 22.945 22.629999 20.922588
"2013-01-15" 22.67 22.924999 22.615 21.005192
"2013-01-16" 22.809999 22.85 22.615 20.885874
"2013-01-17" 22.795 23.26 22.76 21.253019
"2013-01-18" 23.094999 23.35 23.045 21.409052
"2013-01-22" 23.325001 23.495001 23.215 21.358562
"2013-01-23" 23.225 23.379999 23.145 21.349388
"2013-01-24" 23.295 23.445 23.165001 21.349388
"2013-01-25" 23.34 23.34 23.195 21.390692
"2013-01-28" 23.309999 23.309999 23.035 21.156635
"2013-01-29" 23.065001 23.125 22.985001 21.211714
"2013-01-30" 23.165001 23.309999 22.959999 21.078627
"2013-01-31" 22.575001 22.825001 22.120001 20.431528
"2013-02-01" 22.360001 22.860001 22.200001 20.922588
"2013-02-04" 22.68 22.735001 22.389999 20.628874
