"Index" "Open" "High" "Low" "Price"
"2012-09-17" 40.541634 40.679062 40.323364 26.164125
"2012-09-18" 40.485043 40.525463 39.838318 25.825554
"2012-09-19" 40.024254 40.541634 39.935326 26.044323
"2012-09-20" 40.565884 41.891674 40.444626 26.955877
"2012-09-21" 41.988682 42.198868 41.818916 26.950666
"2012-09-24" 41.535973 41.665318 40.428455 26.106838
"2012-09-25" 40.687145 41.123688 39.789814 25.690125
"2012-09-26" 39.814068 40.056587 39.571545 25.664082
"2012-09-27" 39.959579 40.315277 39.684723 25.856808
"2012-09-28" 39.959579 39.975746 39.48262 25.658865
"2012-10-01" 40.121262 40.444626 39.838318 25.809917
"2012-10-02" 40.194019 40.194019 39.611965 25.731794
"2012-10-03" 40.129345 40.670979 39.951496 26.169334
"2012-10-04" 40.565884 41.261116 40.379951 26.164125
"2012-10-05" 40.945835 41.269199 40.719482 26.336018
"2012-10-08" 40.695229 41.026676 40.452709 26.221424
"2012-10-09" 40.590137 40.767986 39.587711 25.575527
"2012-10-10" 39.733227 39.878738 39.280518 25.361967
"2012-10-11" 39.757477 39.911076 39.20776 25.335917
"2012-10-12" 39.304771 39.531124 38.811642 25.137991
"2012-10-15" 39.135002 39.272434 38.593372 25.18486
"2012-10-16" 39.361359 40.29911 39.304771 25.84639
"2012-10-17" 40.355698 40.420372 39.135002 25.393221
"2012-10-18" 39.417946 39.822151 39.329021 25.528648
"2012-10-19" 39.571545 39.620049 39.070332 25.315079
"2012-10-22" 39.20776 39.401779 38.43169 25.028597
"2012-10-23" 38.358932 38.795471 38.108326 24.89316
"2012-10-24" 38.803558 38.973324 38.342766 24.846285
"2012-10-25" 38.868229 39.199677 38.577202 25.143187
"2012-10-26" 39.005657 39.159256 38.245754 24.794193
"2012-10-31" 38.601456 38.997574 37.995152 24.945251
"2012-11-01" 37.57478 38.577202 37.372677 24.778572
"2012-11-02" 39.094585 39.264351 38.722717 25.023376
"2012-11-05" 38.755054 39.126919 38.350849 25.174438
"2012-11-06" 39.094585 39.320938 38.811642 25.210903
"2012-11-07" 38.852062 39.417946 38.270008 24.663977
"2012-11-08" 38.294258 38.302345 37.502022 24.195175
"2012-11-09" 37.510105 37.995152 37.372677 24.210806
"2012-11-12" 37.63945 37.793049 37.324169 24.184757
"2012-11-13" 37.396927 38.658043 37.364594 24.643137
"2012-11-14" 38.326595 38.965237 37.558609 24.273304
"2012-11-15" 37.041229 37.396927 36.321747 23.700336
"2012-11-16" 36.919968 37.502022 36.669361 24.064955
"2012-11-19" 37.784966 39.062248 37.768795 25.164028
"2012-11-20" 39.062248 39.458366 38.439774 25.179646
"2012-11-21" 39.037994 39.24818 38.633793 25.22154
"2012-11-23" 39.151173 39.531124 38.997574 25.519983
"2012-11-26" 39.50687 40.016167 39.393696 25.881268
"2012-11-27" 39.862572 40.121262 39.595795 25.71372
"2012-11-28" 39.870655 41.067097 39.781731 26.593355
"2012-11-29" 41.188358 41.762329 41.115601 27.006989
"2012-11-30" 41.56831 42.320129 41.406628 27.305443
"2012-12-03" 42.441391 42.441391 41.58448 26.991283
"2012-12-04" 41.657234 41.875504 41.28537 26.860392
"2012-12-05" 41.60873 41.875504 41.156021 26.823738
"2012-12-06" 41.277283 41.762329 41.164108 26.855148
