"Index" "Open" "High" "Low" "Price"
"2012-09-17" 154.029999 155.350006 153.440002 154.410004
"2012-09-18" 154.759995 156.520004 154.449997 155.800003
"2012-09-19" 155.960007 156.470001 154.589996 155.039993
"2012-09-20" 156.020004 156.570007 153.869995 156.059998
"2012-09-21" 156.309998 156.460007 154.020004 154.570007
"2012-09-24" 155.080002 155.139999 153 154.399994
"2012-09-25" 155 155.5 152.639999 152.830002
"2012-09-26" 155.740005 157.179993 151.520004 151.619995
"2012-09-27" 152.130005 153.089996 150.259995 150.710007
"2012-09-28" 150 150.339996 147.899994 149.210007
"2012-10-01" 149.160004 152.559998 149.130005 149.940002
"2012-10-02" 149.940002 150.610001 149.160004 149.929993
"2012-10-03" 150 152.940002 149.149994 152.940002
"2012-10-04" 153.009995 154.550003 152.100006 152.570007
"2012-10-05" 152 154.039993 151.869995 152.529999
"2012-10-08" 152.809998 153.699997 151.100006 151.220001
"2012-10-09" 151.039993 152.610001 149 149.380005
"2012-10-10" 149.639999 151.039993 147.009995 147.289993
"2012-10-11" 148.610001 149.470001 146.990005 147.100006
"2012-10-12" 147.509995 149.779999 146.970001 147.199997
"2012-10-15" 147.5 149.539993 146.880005 149.410004
"2012-10-16" 149.419998 153.330002 148.990005 153.25
"2012-10-17" 153.059998 154.910004 152.410004 153.779999
"2012-10-18" 152 152.490005 148.350006 149.559998
"2012-10-19" 150.020004 151.460007 144.839996 145.649994
"2012-10-22" 145.229996 145.679993 143.330002 145.300003
"2012-10-23" 143.759995 144 141.139999 142.059998
"2012-10-24" 142.589996 144.029999 141.580002 142.059998
"2012-10-25" 145 146.449997 144.149994 144.429993
"2012-10-26" 143.970001 144.580002 142.020004 142.929993
"2012-10-31" 143.149994 143.330002 136.279999 138.210007
"2012-11-01" 139.300003 140.539993 138.210007 139.029999
"2012-11-02" 138.970001 139.380005 137.570007 138.410004
"2012-11-05" 138.020004 140.199997 137.899994 139.600006
"2012-11-06" 140.029999 141.619995 139.339996 140.300003
"2012-11-07" 139.619995 139.860001 138.259995 138.350006
"2012-11-08" 137.770004 138.119995 135.479996 135.610001
"2012-11-09" 135.190002 138.809998 134 138.050003
"2012-11-12" 138.5 140.949997 138.220001 139.479996
"2012-11-13" 139.360001 140.589996 137.720001 138.020004
"2012-11-14" 138 138.440002 135.990005 136.300003
"2012-11-15" 136.440002 138.369995 135.580002 137.929993
"2012-11-16" 137.600006 142 137.600006 141.240005
"2012-11-19" 141.850006 143.580002 139.839996 143.529999
"2012-11-20" 143.100006 148.190002 142.410004 148.149994
"2012-11-21" 148.690002 149.970001 147.289993 147.360001
"2012-11-23" 148.440002 149.869995 147.320007 149.869995
"2012-11-26" 148.699997 149.410004 147.429993 149.110001
"2012-11-27" 147.979996 149.949997 147.589996 147.880005
"2012-11-28" 147.740005 149.699997 145.580002 149.460007
"2012-11-29" 150 151.5 149.5 150.300003
"2012-11-30" 150.789993 151 148.929993 149.089996
"2012-12-03" 150.039993 152.029999 149.679993 150.550003
"2012-12-04" 150.570007 152.440002 150.100006 151.860001
"2012-12-05" 152.460007 152.660004 150.270004 150.550003
"2012-12-06" 150.740005 151.919998 150.550003 151.729996
"2012-12-07" 151.460007 152 150.449997 151.289993
"2012-12-10" 151.600006 153.619995 150.520004 153.139999
"2012-12-11" 153.509995 155.300003 153.509995 154.220001
"2012-12-12" 154.339996 154.5 151.970001 152.350006
"2012-12-13" 152.610001 153.740005 150.789993 151.559998
"2012-12-14" 151.089996 152.539993 150.190002 151.25
"2012-12-17" 151.860001 153.039993 150.740005 152.649994
"2012-12-18" 153.369995 154 151.820007 153.419998
"2012-12-19" 153.279999 153.610001 150.300003 151.309998
"2012-12-20" 151.220001 151.949997 150.570007 151.210007
"2012-12-21" 150.289993 151.160004 148.559998 149.910004
"2012-12-24" 149.139999 149.899994 148.720001 149.070007
"2012-12-26" 149.350006 149.350006 147.029999 148.429993
"2012-12-27" 148.389999 149.5 146.330002 147.759995
"2012-12-28" 146.979996 148.059998 146.050003 146.050003
"2012-12-31" 145.839996 147 145.039993 146.369995
"2013-01-02" 148.720001 150.979996 148.460007 150
"2013-01-03" 142.25 149 141.729996 147.860001
"2013-01-04" 148.020004 148.449997 145.770004 145.929993
"2013-01-07" 145.289993 146.649994 145.080002 146.419998
"2013-01-08" 145.529999 146.520004 144.089996 144.389999
"2013-01-09" 144.199997 146.880005 143.699997 144.080002
"2013-01-10" 144.410004 144.800003 141.479996 143.910004
"2013-01-11" 143.990005 145.020004 141.029999 143.789993
"2013-01-14" 144.110001 144.490005 143.149994 143.880005
"2013-01-15" 141.580002 143.059998 139.720001 143.009995
"2013-01-16" 142.820007 143.300003 141.759995 142.820007
"2013-01-17" 143 144.179993 142.529999 143.720001
"2013-01-18" 143.570007 144.679993 143.160004 144.279999
"2013-01-22" 144 145 143.179993 144.860001
"2013-01-23" 144.660004 145.369995 143.330002 143.550003
"2013-01-24" 144.979996 146.570007 144.809998 146.410004
"2013-01-25" 146.940002 147.490005 144.550003 146.199997
"2013-01-28" 149.639999 156.940002 147.770004 149.990005
"2013-01-29" 149.660004 154.960007 149.630005 153.919998
"2013-01-30" 153.539993 156.080002 152.919998 155.080002
"2013-01-31" 154.5 156.869995 154.039993 156.080002
"2013-02-01" 157.279999 158.389999 155.160004 157.300003
"2013-02-04" 156.149994 157.270004 155.100006 155.729996
"2013-02-05" 156.309998 157.660004 155.550003 157.360001
"2013-02-06" 165.550003 167.350006 160.610001 160.979996
"2013-02-07" 161.539993 162.029999 158.75 160.300003
"2013-02-08" 163.570007 165.800003 162.320007 164.440002
"2013-02-11" 164.509995 165.279999 163.050003 163.960007
"2013-02-12" 163.979996 165.940002 163.320007 165.449997
"2013-02-13" 163.389999 167.289993 163.339996 165.910004
"2013-02-14" 165.669998 165.770004 163.449997 164.589996
"2013-02-15" 165.339996 169.070007 164.399994 168.740005
"2013-02-19" 168.669998 168.899994 165.789993 166.809998
"2013-02-20" 166.770004 168.550003 164.720001 164.770004
"2013-02-21" 164.800003 165.470001 161.970001 162.600006
"2013-02-22" 163.139999 164.669998 162.690002 164.399994
"2013-02-25" 164.089996 166.949997 161.25 161.360001
"2013-02-26" 160.649994 163.520004 160.419998 161.990005
"2013-02-27" 163 167.229996 162.740005 166.059998
"2013-02-28" 165.600006 168.690002 164.619995 166.339996
"2013-03-01" 165.300003 171.110001 164.449997 168.699997
"2013-03-04" 167.639999 170.020004 165.979996 169.960007
"2013-03-05" 170.080002 173.720001 170.050003 171.309998
"2013-03-06" 171.539993 172.580002 169.990005 172.449997
"2013-03-07" 172.440002 173 171 171.470001
"2013-03-08" 172.410004 172.990005 171.220001 172.380005
"2013-03-11" 171.850006 174.210007 171.419998 174.139999
"2013-03-12" 174.440002 176.470001 173.809998 176.050003
"2013-03-13" 175.619995 176.339996 174.229996 176.149994
"2013-03-14" 176.199997 177.910004 175.910004 176.779999
"2013-03-15" 175.960007 178.179993 175.759995 176.779999
"2013-03-18" 174.809998 176.740005 174.529999 175.520004
"2013-03-19" 175.779999 177.550003 174.720001 175.610001
"2013-03-20" 177.059998 178.410004 176.639999 178.100006
"2013-03-21" 177.279999 178.330002 176.179993 176.550003
"2013-03-22" 176.880005 178.899994 176.880005 178
"2013-03-25" 178.479996 178.479996 175.630005 176.220001
"2013-03-26" 177.419998 178.130005 175.979996 177.089996
"2013-03-27" 176.520004 184.169998 176.009995 182.679993
"2013-03-28" 186.600006 192.919998 186.360001 192.619995
"2013-04-01" 193.660004 196.779999 191.800003 192.770004
"2013-04-02" 194.940002 199.539993 194.229996 198.190002
"2013-04-03" 198.380005 199.050003 194.160004 195.740005
"2013-04-04" 197.759995 198.869995 194.479996 195.679993
"2013-04-05" 193.050003 193.990005 191.800003 193.309998
"2013-04-08" 193.600006 194.880005 192.330002 194.130005
"2013-04-09" 194.509995 195.429993 192.199997 193.169998
"2013-04-10" 193.690002 198.440002 193.220001 198.339996
"2013-04-11" 198.940002 201 197.179993 200.259995
"2013-04-12" 202.589996 209 201.899994 207.009995
"2013-04-15" 206.880005 207.5 198.509995 198.75
"2013-04-16" 201.509995 202.479996 197.740005 202.130005
"2013-04-17" 200.110001 204.75 199 204.080002
"2013-04-18" 204.179993 204.179993 197.919998 198.660004
"2013-04-19" 197.649994 203.720001 197.5 203.270004
"2013-04-22" 204.860001 216.669998 204.360001 215.199997
"2013-04-23" 216.880005 217.800003 211.229996 212.759995
"2013-04-24" 211.929993 212.309998 205.910004 206.179993
"2013-04-25" 212.229996 217.669998 212.100006 216
"2013-04-26" 215.889999 218.460007 212.529999 213.589996
"2013-04-29" 219.710007 225 219.350006 223.610001
"2013-04-30" 223.940002 226.179993 218.210007 218.929993
"2013-05-01" 215.389999 218.389999 214 214.330002
"2013-05-02" 214.679993 219.080002 213.259995 217.300003
"2013-05-03" 220.389999 222.550003 217.850006 218.850006
"2013-05-06" 221.720001 222 215.389999 215.729996
"2013-05-07" 214.809998 216.619995 211.630005 212.550003
"2013-05-08" 212.029999 215.619995 209.570007 210.710007
"2013-05-09" 210.399994 212.039993 208.5 209.279999
"2013-05-10" 210.759995 213.380005 209.050003 213.220001
"2013-05-13" 216.5 222.929993 215.940002 222.740005
"2013-05-14" 223.399994 231.990005 222.75 229.839996
"2013-05-15" 228.729996 230.979996 224.580002 227.130005
"2013-05-16" 226.679993 228.839996 223.110001 227.990005
"2013-05-17" 228.360001 228.860001 224.600006 226.850006
"2013-05-20" 226.050003 234.460007 224.330002 225.179993
"2013-05-21" 226.169998 234.199997 226 231.330002
"2013-05-22" 232.270004 238.830002 230.059998 233.070007
"2013-05-23" 230.25 235.100006 226.009995 232.619995
"2013-05-24" 230.869995 235.399994 229.350006 235.240005
