"Index" "Open" "High" "Low" "Price"
"2012-09-17" 23.559999 23.860001 23.549999 19.003487
"2012-09-18" 23.75 23.92 23.459999 18.963409
"2012-09-19" 23.629999 23.799999 23.440001 18.80311
"2012-09-20" 23.200001 23.34 23.030001 18.554644
"2012-09-21" 23.379999 23.639999 23.299999 18.674866
"2012-09-24" 23.139999 23.379999 23.040001 18.594717
"2012-09-25" 23.43 23.43 22.629999 18.137869
"2012-09-26" 22.59 22.77 22.450001 18.145876
"2012-09-27" 22.809999 22.969999 22.57 18.290148
"2012-09-28" 22.629999 22.76 22.42 18.129854
"2012-10-01" 22.84 23.129999 22.719999 18.378321
"2012-10-02" 23.02 23.139999 22.85 18.402357
"2012-10-03" 23.049999 23.1 22.75 18.282133
"2012-10-04" 22.91 23.379999 22.82 18.698912
"2012-10-05" 23.52 23.709999 23.34 18.771053
"2012-10-08" 23.299999 23.4 23.200001 18.738993
"2012-10-09" 23.389999 23.48 23.219999 18.714947
"2012-10-10" 23.290001 23.360001 22.969999 18.56266
"2012-10-11" 23.41 23.51 23.32 18.747007
"2012-10-12" 23.040001 23.120001 22.629999 18.306181
"2012-10-15" 22.93 23.1 22.77 18.506559
"2012-10-16" 23.280001 23.700001 23.040001 18.883263
"2012-10-17" 24.290001 24.969999 23.67 19.925203
"2012-10-18" 24.860001 25.26 24.59 20.021383
"2012-10-19" 25 25.09 24.6 19.780937
"2012-10-22" 24.48 24.860001 24.4 19.756886
"2012-10-23" 24.24 24.59 24.15 19.612617
"2012-10-24" 24.530001 24.84 24.49 19.732847
"2012-10-25" 24.780001 24.92 24.610001 19.950396
"2012-10-26" 24.209999 24.629999 24.02 19.63616
"2012-10-31" 24.57 24.76 24.5 19.91011
"2012-11-01" 24.82 25.129999 24.620001 20.224354
"2012-11-02" 25.25 25.299999 24.43 19.765074
"2012-11-05" 24.68 25.18 24.57 20.232418
"2012-11-06" 25.18 25.35 25.049999 20.369392
"2012-11-07" 24.68 24.91 23.99 19.33803
"2012-11-08" 24.040001 24.530001 23.99 19.386372
"2012-11-09" 23.93 24.5 23.93 19.426659
"2012-11-12" 24.17 24.299999 23.969999 19.394426
"2012-11-13" 24.02 24.290001 23.860001 19.346081
"2012-11-14" 24.059999 24.190001 23.450001 18.967386
"2012-11-15" 23.559999 23.790001 23.389999 18.991556
"2012-11-16" 23.620001 23.82 23.389999 19.047958
"2012-11-19" 24.030001 24.16 23.82 19.346081
"2012-11-20" 23.969999 24.18 23.82 19.386372
"2012-11-21" 24.1 24.110001 23.85 19.370256
"2012-11-23" 24.24 24.43 24.110001 19.684496
"2012-11-26" 24.26 24.440001 24.08 19.676441
"2012-11-27" 24.42 24.459999 24.02 19.386372
"2012-11-28" 23.879999 24.190001 23.73 19.491119
"2012-11-29" 24.34 24.41 24.1 19.53141
"2012-11-30" 24.200001 24.219999 23.85 19.28968
"2012-12-03" 24.07 24.23 24 19.362196
"2012-12-04" 24.120001 24.129999 23.620001 19.144648
"2012-12-05" 23.59 23.83 23.26 19.128532
"2012-12-06" 23.73 23.870001 23.59 19.128532
"2012-12-07" 23.889999 24.23 23.85 19.515295
"2012-12-10" 24.209999 24.370001 24.09 19.571697
"2012-12-11" 24.4 24.65 24.280001 19.732849
"2012-12-12" 24.610001 24.9 24.52 19.765074
"2012-12-13" 24.52 24.799999 24.49 19.942345
"2012-12-14" 24.620001 24.799999 24.6 19.918167
"2012-12-17" 24.870001 25.42 24.82 20.466082
"2012-12-18" 25.43 26.040001 25.35 20.965649
"2012-12-19" 26.07 26.17 25.799999 20.844782
"2012-12-20" 25.91 26.25 25.870001 21.110685
"2012-12-21" 25.9 26.1 25.65 20.78838
"2012-12-24" 25.799999 26.049999 25.709999 20.740034
"2012-12-26" 25.799999 25.93 25.610001 20.643345
"2012-12-27" 25.67 25.77 25.200001 20.667519
"2012-12-28" 25.43 25.639999 25.309999 20.482195
"2012-12-31" 25.299999 25.73 25.26 20.7078
"2013-01-02" 26.25 26.889999 26.129999 21.658592
"2013-01-03" 26.860001 26.860001 26.41 21.416866
"2013-01-04" 26.43 27.32 26.27 21.988949
"2013-01-07" 26.690001 26.91 26.299999 21.666651
"2013-01-08" 26.799999 26.809999 26.379999 21.368521
"2013-01-09" 26.639999 26.92 26.469999 21.441036
"2013-01-10" 26.879999 27 26.65 21.618301
"2013-01-11" 26.73 26.799999 26.42 21.578018
"2013-01-14" 26.67 26.790001 26.48 21.529667
"2013-01-15" 26.629999 26.9 26.58 21.578018
"2013-01-16" 25.790001 26.200001 25.620001 20.981756
"2013-01-17" 25.82 26.58 25.719999 21.304058
"2013-01-18" 26.4 26.57 26.110001 21.376577
"2013-01-22" 26.43 27 26.43 21.73917
"2013-01-23" 26.809999 27 26.76 21.698879
"2013-01-24" 26.809999 27.120001 26.799999 21.868912
"2013-01-25" 27.07 27.190001 26.85 21.925581
