"Index" "Open" "High" "Low" "Price"
"2012-09-17" 49.970001 50.59 49.810001 28.117807
"2012-09-18" 49.84 49.84 48.349998 27.444326
"2012-09-19" 48.880001 48.880001 47.889999 27.000956
"2012-09-20" 47.639999 47.759998 47.09 26.63615
"2012-09-21" 47.720001 47.869999 46.669998 26.327475
"2012-09-24" 46.790001 47.450001 46.599998 26.316254
"2012-09-25" 46.990002 47 46.150002 25.996346
"2012-09-26" 46.040001 46.139999 45.200001 25.463175
"2012-09-27" 45.75 45.939999 45.200001 25.715725
"2012-09-28" 45.529999 45.669998 44.66 25.3846
"2012-10-01" 45.57 45.779999 44.889999 25.283581
"2012-10-02" 44.91 45.23 44.310001 25.306028
"2012-10-03" 44.720001 44.720001 43.32 24.402445
"2012-10-04" 43.52 44.049999 43.34 24.683058
"2012-10-05" 44.169998 44.200001 43.349998 24.408056
"2012-10-08" 43.369999 44.099998 43.200001 24.722347
"2012-10-09" 44.139999 45.150002 44.119999 25.182554
"2012-10-10" 44.610001 44.759998 44.040001 24.784084
"2012-10-11" 44.700001 45.23 44.16 25.059084
"2012-10-12" 44.59 45.099998 44.200001 25.126434
"2012-10-15" 44.66 45 44.290001 25.227459
"2012-10-16" 45.119999 45.93 45.040001 25.581036
"2012-10-17" 45.299999 46.759998 44.689999 26.220839
"2012-10-18" 46.759998 47.619999 46.389999 26.434109
"2012-10-19" 45.080002 46.900002 44.27 25.115211
"2012-10-22" 44.450001 44.77 43.34 24.705517
"2012-10-23" 43.279999 43.630001 42.599998 24.161112
"2012-10-24" 43.169998 43.5 42.380001 23.970287
"2012-10-25" 43.209999 43.560001 42.950001 24.368763
"2012-10-26" 43.27 43.810001 43.060001 24.368763
"2012-10-31" 43.860001 43.860001 41.810001 23.554979
"2012-11-01" 42.259998 42.810001 41.799999 23.966152
"2012-11-02" 42.880001 42.91 41.470001 23.425434
"2012-11-05" 41.43 42.25 41.150002 23.673265
"2012-11-06" 42.189999 42.759998 42 24.033737
"2012-11-07" 41.689999 41.779999 40.889999 23.273354
"2012-11-08" 41.41 41.689999 40.639999 22.912876
"2012-11-09" 40.560001 41.389999 40.400002 22.929768
"2012-11-12" 40.849998 41.110001 40.700001 22.929768
"2012-11-13" 40.419998 41.07 40.099998 22.670677
"2012-11-14" 40.43 40.490002 39.560001 22.327105
"2012-11-15" 40.139999 40.779999 39.439999 22.456644
"2012-11-16" 39.919998 40.439999 39.450001 22.659416
"2012-11-19" 40.959999 41.619999 40.900002 23.442331
"2012-11-20" 41.470001 41.470001 40.82 23.211403
"2012-11-21" 41.279999 41.59 40.889999 23.278994
"2012-11-23" 41.5 41.860001 41.189999 23.560616
"2012-11-26" 41.43 41.630001 40.950001 23.425434
"2012-11-27" 41.57 42.049999 41.349998 23.442331
"2012-11-28" 41.349998 42.400002 41.150002 23.864765
"2012-11-29" 42.709999 43.18 42.580002 24.191448
"2012-11-30" 42.900002 43.599998 42.82 24.304102
"2012-12-03" 43.529999 43.669998 42.720001 24.061905
"2012-12-04" 42.700001 43.369999 42.23 23.797178
"2012-12-05" 42.360001 42.73 41.880001 23.656357
"2012-12-06" 41.880001 42.299999 41.82 23.645096
"2012-12-07" 42.169998 42.459999 42.02 23.802807
"2012-12-10" 42.25 42.599998 42.099998 23.881666
"2012-12-11" 42.459999 43.169998 42.459999 24.157654
"2012-12-12" 42.970001 43.240002 42.630001 24.174547
"2012-12-13" 42.779999 43.02 41.860001 23.757746
"2012-12-14" 41.450001 41.560001 40.799999 23.143806
"2012-12-17" 40.77 41.130001 40.57 22.890352
"2012-12-18" 39.650002 42.669998 39.650002 23.61694
"2012-12-19" 42.080002 42.48 41.09 23.160706
"2012-12-20" 41.16 41.349998 40.84 23.205765
"2012-12-21" 40.759998 41.099998 40.5 22.901619
"2012-12-24" 40.66 40.759998 40.18 22.710108
"2012-12-26" 40.509998 40.669998 40.040001 22.608723
"2012-12-27" 40 40.220001 39.560001 22.569296
"2012-12-28" 40.279999 40.279999 39.57 22.490444
"2012-12-31" 39.77 40.860001 39.759998 23.008627
"2013-01-02" 41.669998 42.139999 40.98 23.729586
"2013-01-03" 42.040001 43.07 41.549999 23.966152
"2013-01-04" 42.529999 43.599998 42.439999 24.518129
"2013-01-07" 43.169998 43.200001 42.66 24.225243
"2013-01-08" 42.439999 42.439999 41.77 23.859129
"2013-01-09" 42.5 42.619999 42.09 23.887293
"2013-01-10" 42.810001 43.099998 42.700001 24.236507
"2013-01-11" 43.099998 43.189999 42.669998 24.225243
"2013-01-14" 42.900002 43.029999 41.93 23.662003
"2013-01-15" 41.82 42.349998 41.639999 23.763384
"2013-01-16" 42.099998 42.560001 42.02 23.921089
"2013-01-17" 42.619999 42.889999 42.34 24.067533
"2013-01-18" 42.990002 44.299999 42.990002 24.951832
"2013-01-22" 44.200001 45.139999 43.759998 25.261616
"2013-01-23" 44.900002 45.5 44.299999 25.464386
"2013-01-24" 45.25 45.52 44.540001 25.301043
"2013-01-25" 45.400002 46.900002 45.259998 25.689688
"2013-01-28" 45.709999 46.189999 45.400002 25.695316
"2013-01-29" 45.560001 45.939999 45.299999 25.824862
"2013-01-30" 45.75 45.93 44.82 25.317938
"2013-01-31" 44.68 45.07 44.48 25.27273
"2013-02-01" 45.139999 45.25 44.619999 25.447918
"2013-02-04" 44.709999 44.919998 44.34 25.07493
"2013-02-05" 44.66 45.099998 44.349998 25.481833
"2013-02-06" 44.73 45.389999 44.400002 25.555294
"2013-02-07" 45.32 45.549999 44.77 25.340548
"2013-02-08" 44.990002 45.650002 44.91 25.798302
"2013-02-11" 45.099998 45.619999 45.099998 25.657021
"2013-02-12" 45.349998 45.830002 45.240002 25.894373
"2013-02-13" 45.860001 46.240002 45.830002 26.069565
"2013-02-14" 46.07 47.77 46.02 26.708166
"2013-02-15" 47.43 47.529999 46.259998 26.323879
"2013-02-19" 46.849998 47.150002 46.59 26.363436
"2013-02-20" 47.02 47.049999 46.049999 26.041315
"2013-02-21" 45.82 45.82 44.93 25.747442
"2013-02-22" 45.869999 46.029999 45.16 25.883068
"2013-02-25" 46.060001 46.459999 44.200001 25.007118
"2013-02-26" 44.549999 44.810001 43.650002 25.125795
"2013-02-27" 44.25 45.41 44.25 25.555294
"2013-02-28" 45.110001 45.259998 44.560001 25.329248
"2013-03-01" 44.5 44.540001 43.709999 25.086231
"2013-03-04" 44.240002 44.369999 43.040001 24.605871
"2013-03-05" 43.91 44.490002 43.52 24.973215
"2013-03-06" 44.450001 44.509998 43.849998 25.103184
"2013-03-07" 44.560001 45.400002 44.419998 25.566605
