"Index" "Open" "High" "Low" "Price"
"2012-09-17" 182.5 183.949997 182.289993 142.089233
"2012-09-18" 182.75 183.75 181.570007 142.104797
"2012-09-19" 183 183.679993 182.289993 141.785889
"2012-09-20" 181.240005 183.369995 179.929993 142.306992
"2012-09-21" 183.910004 184.270004 182.630005 142.306992
"2012-09-24" 181.440002 182.25 180.559998 140.782806
"2012-09-25" 181.740005 182.240005 177.889999 138.348785
"2012-09-26" 178.580002 179.309998 176.550003 137.376801
"2012-09-27" 178.009995 180 177.679993 139.142014
"2012-09-28" 178.600006 179.429993 177.119995 138.652054
"2012-10-01" 179.570007 182.910004 179.25 139.865158
"2012-10-02" 180.690002 180.899994 175.490005 137.773376
"2012-10-03" 178.240005 182 176.559998 141.194946
"2012-10-04" 182.139999 184.070007 181.539993 143.100128
"2012-10-05" 185.020004 191.990005 185.020004 145.720779
"2012-10-08" 187.940002 189.899994 187.330002 146.731705
"2012-10-09" 188.940002 190.339996 188.690002 146.964981
"2012-10-10" 188.610001 188.990005 187.240005 145.697403
"2012-10-11" 187.800003 188.610001 185.5 144.476563
"2012-10-12" 185.679993 187.75 183.259995 143.325592
"2012-10-15" 186.520004 188 184.350006 144.149887
"2012-10-16" 187.240005 190.869995 186.839996 147.727066
"2012-10-17" 191.490005 192 188.690002 147.073853
"2012-10-18" 188.809998 192.080002 188.399994 147.75032
"2012-10-19" 189.410004 190.199997 188.389999 146.926102
"2012-10-22" 188.490005 189.410004 186.669998 147.182693
"2012-10-23" 187.009995 189.289993 185.710007 146.094025
"2012-10-24" 188.300003 190.279999 186.330002 145.409668
"2012-10-25" 188.449997 189.080002 186.179993 145.510818
"2012-10-26" 187.300003 188.399994 186.440002 145.409668
"2012-10-31" 189.089996 190.990005 188.339996 147.501526
"2012-11-01" 189.520004 190.460007 188.839996 147.804825
"2012-11-02" 190.860001 192.309998 189.320007 147.377106
"2012-11-05" 188.820007 190.25 187.360001 147.361511
"2012-11-06" 191.089996 191.860001 189.509995 148.854599
"2012-11-07" 188.979996 190.600006 188.5 147.75032
"2012-11-08" 190.309998 191.589996 187.100006 145.495209
"2012-11-09" 186.699997 189.020004 186.470001 145.285294
"2012-11-12" 187.25 189.5 186.309998 146.607254
"2012-11-13" 187.270004 190.089996 187.240005 146.459503
"2012-11-14" 188.759995 189.190002 186.25 145.10643
"2012-11-15" 186.5 187.550003 185.199997 145.386368
"2012-11-16" 188.130005 190.160004 185.410004 145.409668
"2012-11-19" 189.460007 191.210007 189.149994 148.652435
"2012-11-20" 190.809998 193.800003 190.300003 150.705414
"2012-11-21" 194.729996 194.990005 192.070007 150.666534
"2012-11-23" 194.710007 195.600006 194.080002 152.058502
"2012-11-26" 194.479996 195.210007 193.279999 150.930923
"2012-11-27" 196.350006 196.350006 192.809998 151.498581
"2012-11-28" 194.509995 198.880005 194 153.528198
"2012-11-29" 196.740005 197.539993 194.210007 153.285233
"2012-11-30" 195.449997 197.229996 194.520004 154.39798
"2012-12-03" 198.130005 199.350006 195.089996 153.058075
"2012-12-04" 195.020004 195.75 191.190002 149.868835
"2012-12-05" 191.199997 193.550003 190.240005 150.793488
"2012-12-06" 192.399994 193.850006 191.690002 151.819992
"2012-12-07" 194.419998 194.850006 193.309998 152.611389
"2012-12-10" 194.779999 195.820007 194 153.363663
"2012-12-11" 195.770004 199.649994 195.770004 156.286438
"2012-12-12" 200.339996 201.729996 199.039993 157.242401
"2012-12-13" 200.639999 201.330002 200.139999 157.281601
"2012-12-14" 198.869995 202.089996 198.869995 157.91629
"2012-12-17" 202.309998 205.350006 200.889999 160.862503
"2012-12-18" 205.729996 208.619995 203.809998 161.943893
"2012-12-19" 205.479996 208.850006 205.479996 161.27002
"2012-12-20" 207.289993 209.429993 206.110001 163.996918
"2012-12-21" 206.020004 209.910004 205.369995 162.006622
"2012-12-24" 209.800003 209.800003 202.699997 162.374878
"2012-12-26" 207.529999 207.580002 204.970001 160.901718
"2012-12-27" 205.850006 206.830002 204.039993 161.473785
"2012-12-28" 204.910004 206.270004 203.880005 160.251343
"2012-12-31" 204.160004 206.880005 203.910004 161.975266
"2013-01-02" 210.619995 212.869995 208.770004 166.723785
"2013-01-03" 213.309998 215.990005 212.169998 167.178268
