"Index" "Open" "High" "Low" "Price"
"2012-09-17" 33.299999 33.380001 32.93 24.696646
"2012-09-18" 33 33.18 32.860001 24.569691
"2012-09-19" 33.02 33.099998 32.849998 24.569691
"2012-09-20" 32.849998 33.099998 32.82 24.704113
"2012-09-21" 33.169998 33.709999 33.080002 25.099913
"2012-09-24" 33.599998 33.959999 33.52 25.294079
"2012-09-25" 34.049999 34.240002 33.91 25.368767
"2012-09-26" 34.02 34.049999 33.610001 25.137264
"2012-09-27" 33.880001 33.990002 33.77 25.279144
"2012-09-28" 33.779999 33.869999 33.639999 25.204472
"2012-10-01" 33.790001 34.130001 33.779999 25.323963
"2012-10-02" 33.990002 34.150002 33.75 25.353828
"2012-10-03" 33.59 35.59 33.389999 25.316114
"2012-10-04" 33.52 33.950001 33.509998 25.414171
"2012-10-05" 33.790001 33.84 33.549999 25.376461
"2012-10-08" 33.529999 33.68 33.369999 25.316114
"2012-10-09" 33.490002 33.66 33.23 25.067173
"2012-10-10" 33.23 33.389999 33.02 25.089802
"2012-10-11" 33.32 33.389999 32.919998 24.855955
"2012-10-12" 33.049999 33.299999 32.970001 24.961567
"2012-10-15" 33.049999 34.549999 33 25.595217
"2012-10-16" 34.049999 34.360001 34.009998 25.74609
"2012-10-17" 34.27 34.439999 34.189999 25.934681
"2012-10-18" 34.299999 34.369999 34.200001 25.866791
"2012-10-19" 34.25 34.279999 33.740002 25.504705
"2012-10-22" 33.650002 34.040001 33.57 25.6782
"2012-10-23" 33.709999 33.75 33.099998 25.07472
"2012-10-24" 32.849998 33.209999 32.700001 24.931387
"2012-10-25" 33.220001 33.73 33.139999 25.444353
"2012-10-26" 33.810001 33.830002 33.439999 25.361374
"2012-10-31" 33.599998 33.689999 33.029999 25.08226
"2012-11-01" 33.470001 33.860001 33.439999 25.255764
"2012-11-02" 33.66 33.75 33.169998 25.029461
"2012-11-05" 33.099998 33.209999 32.970001 24.961567
"2012-11-06" 33.200001 33.450001 33.040001 25.097351
"2012-11-07" 33.049999 33.110001 32.330002 24.607019
