"Index" "Open" "High" "Low" "Price"
"2012-09-17" 24.129999 24.200001 23.9 19.687336
"2012-09-18" 23.91 24 23.83 19.646215
"2012-09-19" 23.879999 24.07 23.77 19.629772
"2012-09-20" 23.76 23.9 23.719999 19.62155
"2012-09-21" 24 24.040001 23.690001 19.506416
"2012-09-24" 23.52 23.700001 23.379999 19.383064
"2012-09-25" 23.639999 23.74 23.18 19.070564
"2012-09-26" 23.200001 23.309999 23.030001 19.078789
"2012-09-27" 23.27 23.51 23.15 19.276161
"2012-09-28" 23.4 23.459999 23.23 19.185696
"2012-10-01" 23.370001 23.4 22.76 18.955431
"2012-10-02" 23.129999 23.25 22.98 19.029446
"2012-10-03" 23.209999 23.219999 22.940001 19.029446
"2012-10-04" 23.23 23.559999 23.01 19.37484
"2012-10-05" 23.68 23.84 23.370001 19.251488
"2012-10-08" 23.34 23.450001 23.139999 19.235037
"2012-10-09" 23.42 23.450001 22.940001 18.988327
"2012-10-10" 23.120001 23.209999 22.77 18.807407
"2012-10-11" 23 23.129999 22.82 18.774511
"2012-10-12" 22.83 22.93 22.530001 18.560699
"2012-10-15" 22.58 22.790001 22.43 18.741617
"2012-10-16" 22.879999 23.23 22.879999 19.103462
"2012-10-17" 23.15 23.450001 23.01 19.251488
"2012-10-18" 23.41 23.450001 23.25 19.243259
"2012-10-19" 23.370001 23.370001 22.92 18.856752
"2012-10-22" 22.870001 23 22.5 18.65938
"2012-10-23" 22.49 22.790001 22.299999 18.675831
"2012-10-24" 22.83 22.860001 22.540001 18.585377
"2012-10-25" 22.77 22.879999 22.5 18.708727
"2012-10-26" 22.719999 22.860001 22.59 18.78274
"2012-10-31" 22.82 22.950001 22.469999 18.873199
"2012-11-01" 22.99 23.629999 22.77 19.407736
"2012-11-02" 23.629999 23.65 22.99 18.90609
"2012-11-05" 23.02 23.33 22.82 19.185696
"2012-11-06" 23.450001 23.65 22.92 18.947214
"2012-11-07" 22.809999 22.9 21.459999 18.174189
"2012-11-08" 22.110001 22.530001 21.85 18.346889
"2012-11-09" 22.190001 22.85 22.1 18.667604
"2012-11-12" 22.66 22.950001 22.639999 18.651163
"2012-11-13" 22.5 23.02 22.299999 18.716949
"2012-11-14" 22.75 22.889999 22.549999 18.618263
"2012-11-15" 22.59 22.889999 22.389999 18.642941
"2012-11-16" 22.6 22.709999 22.26 18.503139
"2012-11-19" 22.719999 22.870001 22.530001 18.78274
"2012-11-20" 22.76 22.99 22.67 18.90609
"2012-11-21" 23 23.379999 22.77 19.177473
"2012-11-23" 23.32 23.49 23.219999 19.251488
"2012-11-26" 23.309999 23.719999 23.219999 19.399517
"2012-11-27" 23.65 23.67 23.35 19.235037
"2012-11-28" 23.280001 23.459999 23.129999 19.243259
"2012-11-29" 23.549999 23.639999 23.4 19.284382
"2012-11-30" 23.469999 23.66 23.23 19.415962
"2012-12-03" 23.65 23.66 23.309999 19.284382
"2012-12-04" 23.440001 23.620001 23.209999 19.399517
"2012-12-05" 23.59 23.59 23.389999 19.366619
"2012-12-06" 23.559999 23.74 23.35 19.506416
"2012-12-07" 23.719999 23.73 23.469999 19.432407
"2012-12-10" 23.459999 23.74 23.32 19.639576
"2012-12-11" 23.75 23.93 23.59 19.722435
"2012-12-12" 23.799999 23.9 23.549999 19.606426
"2012-12-13" 23.65 23.790001 23.370001 19.39926
"2012-12-14" 23.76 23.76 23.040001 19.109221
"2012-12-17" 23.129999 23.43 23.030001 19.366106
"2012-12-18" 23.360001 23.530001 23.309999 19.473843
"2012-12-19" 23.549999 23.549999 23.24 19.266668
"2012-12-20" 23.33 23.51 23.17 19.415831
"2012-12-21" 23.139999 23.34 22.6 19.341253
"2012-12-24" 23.280001 23.51 22.98 19.407551
"2012-12-26" 23.5 23.5 23.059999 19.125795
"2012-12-27" 23.15 23.15 22.67 18.835756
"2012-12-28" 22.620001 22.889999 22.540001 18.802608
"2012-12-31" 22.6 22.959999 22.5 18.960058
"2013-01-02" 23.35 23.6 23.25 19.548424
"2013-01-03" 23.6 23.67 23.290001 19.457272
"2013-01-04" 23.540001 23.59 23.360001 19.457272
"2013-01-07" 23.379999 23.610001 23.290001 19.48213
"2013-01-08" 23.469999 23.73 23.26 19.573284
"2013-01-09" 23.709999 23.719999 23.34 19.432407
"2013-01-10" 23.52 23.610001 23.23 19.316395
"2013-01-11" 23.309999 23.440001 23.219999 19.324678
