"Index" "Open" "High" "Low" "Price"
"2012-09-17" 13.265 13.4 13.255 11.865021
"2012-09-18" 13.25 13.255 13.02 11.695007
"2012-09-19" 13.15 13.32 12.995 11.869492
"2012-09-20" 13.165 13.27 13.045 11.806858
"2012-09-21" 13.26 13.305 13.17 11.802382
"2012-09-24" 13.125 13.185 13.085 11.712907
"2012-09-25" 13.14 13.21 12.995 11.681588
"2012-09-26" 13.045 13.135 12.975 11.618949
"2012-09-27" 12.995 13.105 12.925 11.690535
"2012-09-28" 13.01 13.12 12.895 11.663691
"2012-10-01" 13.025 13.13 12.925 11.668165
"2012-10-02" 13.085 13.125 13.02 11.735275
"2012-10-03" 13.115 13.39 13.055 11.927659
"2012-10-04" 13.375 13.655 13.31 12.061875
"2012-10-05" 13.5 13.615 13.475 12.066349
"2012-10-08" 13.405 13.505 13.39 12.084248
"2012-10-09" 13.53 13.61 13.255 11.927659
"2012-10-10" 13.35 13.415 13.32 11.972394
"2012-10-11" 13.44 13.445 13.335 11.932128
"2012-10-12" 13.16 13.35 13.05 11.744223
"2012-10-15" 13.07 13.235 12.99 11.766592
"2012-10-16" 12.915 13.075 12.645 11.489205
"2012-10-17" 13.14 13.15 12.62 11.404198
"2012-10-18" 12.775 12.86 12.725 11.390777
"2012-10-19" 12.71 12.86 12.54 11.292349
"2012-10-22" 12.63 12.715 12.49 11.33709
"2012-10-23" 12.625 12.66 12.475 11.287871
"2012-10-24" 12.585 12.605 12.47 11.252082
"2012-10-25" 12.77 12.875 12.6 11.323667
"2012-10-26" 12.675 12.745 12.61 11.31919
"2012-10-31" 12.85 12.935 12.635 11.431043
"2012-11-01" 12.805 12.925 12.73 11.502627
"2012-11-02" 12.925 12.95 12.725 11.475782
"2012-11-05" 12.88 13.025 12.745 11.623942
"2012-11-06" 12.995 13.24 12.94 11.812514
"2012-11-07" 13.025 13.145 12.905 11.700271
"2012-11-08" 13.03 13.215 12.96 11.736186
"2012-11-09" 12.99 13.11 12.91 11.709247
"2012-11-12" 13.05 13.065 12.93 11.632923
"2012-11-13" 12.92 13.075 12.905 11.614965
"2012-11-14" 12.98 13 12.815 11.525169
"2012-11-15" 12.86 13.025 12.75 11.695778
"2012-11-16" 13.015 13.1 12.79 11.637414
"2012-11-19" 13.11 13.135 13 11.740674
"2012-11-20" 13.095 13.24 12.995 11.875369
"2012-11-21" 13.265 13.35 13.19 11.920264
"2012-11-23" 13.32 13.46 13.235 12.086387
"2012-11-26" 13.405 13.485 13.29 11.960675
"2012-11-27" 13.345 13.35 13.14 11.799044
"2012-11-28" 13.12 13.14 12.95 11.740674
"2012-11-29" 13.125 13.235 13.06 11.85292
"2012-11-30" 13.36 13.445 13.175 12.05047
"2012-12-03" 13.47 13.47 13.295 12.010062
"2012-12-04" 13.355 13.365 13.22 11.888838
"2012-12-05" 13.265 13.305 13.145 11.857411
"2012-12-06" 13.215 13.26 13.17 11.84394
"2012-12-07" 13.25 13.25 13.105 11.803535
"2012-12-10" 13.11 13.155 13.03 11.745165
"2012-12-11" 13.15 13.155 13.01 11.736186
"2012-12-12" 13.095 13.125 12.9 11.614965
"2012-12-13" 12.985 13.12 12.97 11.749659
"2012-12-14" 13.05 13.125 12.865 11.570068
"2012-12-17" 13.06 13.125 12.91 11.72721
"2012-12-18" 13.1 13.15 12.975 11.790066
"2012-12-19" 13.145 13.17 12.985 11.659857
"2012-12-20" 13.03 13.055 12.875 11.628434
"2012-12-21" 12.775 12.935 12.76 11.511701
"2012-12-24" 12.835 12.905 12.81 11.56109
"2012-12-26" 12.87 12.88 12.74 11.453333
"2012-12-27" 12.83 12.83 12.615 11.39048
"2012-12-28" 12.625 12.7 12.625 11.36803
"2012-12-31" 12.635 12.735 12.44 11.430886
"2013-01-02" 12.9 13.09 12.655 11.749659
"2013-01-03" 13.115 13.215 13.05 11.812514
"2013-01-04" 13.185 13.36 13.145 11.987615
"2013-01-07" 13.3 13.41 13.21 11.951695
"2013-01-08" 13.335 13.41 13.235 11.924758
"2013-01-09" 13.285 13.3 13.11 11.830474
"2013-01-10" 13.205 13.315 13.19 11.942713
"2013-01-11" 13.315 13.33 13.135 11.799044
"2013-01-14" 13.105 13.21 13.07 11.848431
"2013-01-15" 13.16 13.31 13.105 11.933736
"2013-01-16" 13.29 13.35 13.235 11.933736
"2013-01-17" 13.335 13.51 13.32 12.086387
"2013-01-18" 13.485 13.525 13.31 12.023529
"2013-01-22" 13.365 13.675 13.265 12.274955
"2013-01-23" 13.685 13.81 13.65 12.346789
"2013-01-24" 13.79 13.79 13.63 12.288425
"2013-01-25" 13.67 13.815 13.495 12.180674
"2013-01-28" 13.61 13.74 13.545 12.221213
"2013-01-29" 13.59 13.74 13.59 12.293289
"2013-01-30" 13.68 13.75 13.605 12.320317
"2013-01-31" 13.68 13.765 13.59 12.315812
"2013-02-01" 13.76 13.84 13.64 12.383383
"2013-02-04" 14.365 14.83 14.365 13.050075
"2013-02-05" 14.5 14.715 14.455 13.234766
"2013-02-06" 14.66 14.745 14.555 13.257293
"2013-02-07" 14.715 14.745 14.595 13.194228
"2013-02-08" 14.69 14.7 14.51 13.095123
"2013-02-11" 14.51 14.58 14.435 13.122152
"2013-02-12" 14.545 14.66 14.535 13.158186
"2013-02-13" 14.65 14.735 14.6 13.27531
"2013-02-14" 14.665 14.79 14.6 13.162693
"2013-02-15" 14.59 14.745 14.575 13.230264
"2013-02-19" 14.725 14.88 14.665 13.374413
"2013-02-20" 14.81 14.835 14.68 13.234766
"2013-02-21" 14.69 14.795 14.565 13.203235
"2013-02-22" 14.675 14.835 14.63 13.365405
"2013-02-25" 14.95 14.95 14.575 13.135665
"2013-02-26" 14.71 14.82 14.64 13.315852
"2013-02-27" 14.79 14.89 14.71 13.365405
"2013-02-28" 14.85 15.23 14.81 13.514058
"2013-03-01" 14.94 14.99 14.805 13.42847
"2013-03-04" 14.9 15.005 14.85 13.509555
"2013-03-05" 15.02 15.235 14.995 13.721272
"2013-03-06" 15.265 15.3 15.045 13.604152
"2013-03-07" 15.065 15.115 15.015 13.590638
"2013-03-08" 15.125 15.385 15.025 13.820377
"2013-03-11" 15.3 15.435 15.27 13.829384
"2013-03-12" 15.35 15.35 15.235 13.770824
"2013-03-13" 15.325 15.335 15.25 13.793352
"2013-03-14" 15.335 15.39 15.27 13.820377
"2013-03-15" 15.315 15.375 15.23 13.779835
"2013-03-18" 15.16 15.68 15.16 14.005069
"2013-03-19" 15.52 15.63 15.32 13.865423
"2013-03-20" 15.445 15.515 15.345 13.91047
"2013-03-21" 15.43 15.585 15.345 14.000566
"2013-03-22" 15.595 15.78 15.57 14.216792
"2013-03-25" 15.835 15.835 15.685 14.230309
"2013-03-26" 15.865 15.965 15.81 14.378955
"2013-03-27" 15.975 15.98 15.85 14.374454
"2013-03-28" 15.99 16.040001 15.815 14.433015
"2013-04-01" 15.945 15.995 15.82 14.324906
"2013-04-02" 15.985 16.014999 15.71 14.185256
"2013-04-03" 15.795 15.8 15.395 13.892451
"2013-04-04" 15.725 15.725 15.33 13.901461
"2013-04-05" 15.29 15.35 15.14 13.815872
"2013-04-08" 15.345 15.375 15.235 13.806862
"2013-04-09" 15.395 15.45 15.28 13.838398
"2013-04-10" 15.34 15.75 15.335 14.189764
"2013-04-11" 15.785 16.09 15.7 14.338416
"2013-04-12" 15.555 15.81 15.55 14.108675
"2013-04-15" 15.61 15.61 15.315 13.815872
"2013-04-16" 15.965 16.125 15 13.9375
"2013-04-17" 15.45 15.45 15.16 13.72578
"2013-04-18" 15.255 15.34 15.135 13.658209
"2013-04-19" 15.22 15.28 15.04 13.739294
"2013-04-22" 15.24 15.33 15.14 13.730285
"2013-04-23" 15.34 15.425 15.095 13.640189
"2013-04-24" 15.2 15.315 15.12 13.662713
"2013-04-25" 15.23 15.435 15.2 13.811369
"2013-04-26" 15.35 15.35 15.195 13.716771
"2013-04-29" 15.215 15.365 15.185 13.870383
"2013-04-30" 15.33 15.55 15.325 14.001405
"2013-05-01" 15.475 15.585 15.39 13.920083
"2013-05-02" 15.455 15.71 15.385 14.096289
"2013-05-03" 15.685 15.805 15.685 14.209236
"2013-05-06" 15.725 15.86 15.715 14.281523
"2013-05-07" 15.825 15.85 15.735 14.258936
"2013-05-08" 15.75 15.92 15.715 14.385439
"2013-05-09" 15.95 16.025 15.895 14.394477
"2013-05-10" 15.925 15.985 15.9 14.394477
"2013-05-13" 15.945 16.125 15.9 14.530017
"2013-05-14" 16.059999 16.25 15.995 14.679116
"2013-05-15" 16.245001 16.445 16.200001 14.819173
"2013-05-16" 16.370001 16.42 16.165001 14.647486
"2013-05-17" 16.275 16.309999 16.110001 14.602308
"2013-05-20" 16.145 16.165001 16.01 14.480319
"2013-05-21" 16.055 16.26 15.87 14.620381
"2013-05-22" 16.344999 16.49 16.155001 14.769475
"2013-05-23" 16.285 16.475 16.23 14.859837
"2013-05-24" 16.379999 16.379999 16.195 14.701705
"2013-05-28" 16.415001 16.495001 16.290001 14.733333
"2013-05-29" 16.195 16.290001 16.1 14.579713
"2013-05-30" 16.174999 16.344999 16.120001 14.742371
"2013-05-31" 16.285 16.415001 16.135 14.579713
"2013-06-03" 16.135 16.135 15.85 14.426102
"2013-06-04" 15.945 16.07 15.765 14.331223
"2013-06-05" 15.8 15.855 15.68 14.191164
"2013-06-06" 15.685 15.88 15.645 14.349294
"2013-06-07" 15.975 16.15 15.885 14.584231
"2013-06-10" 16.200001 16.200001 16.025 14.511943
"2013-06-11" 15.98 16.17 15.895 14.525502
"2013-06-12" 16.129999 16.184999 15.98 14.534536
"2013-06-13" 16.08 16.325001 15.995 14.724293
"2013-06-14" 16.299999 16.365 16.135 14.633934
"2013-06-17" 16.280001 16.450001 16.26 14.805621
"2013-06-18" 16.495001 16.620001 16.455 14.972784
"2013-06-19" 16.26 16.299999 15.85 14.59327
"2013-06-20" 16.035 16.094999 15.785 14.290564
"2013-06-21" 15.86 15.925 15.69 14.240862
"2013-06-24" 15.565 15.615 15.37 13.965264
"2013-06-25" 15.6 15.605 15.355 14.082733
"2013-06-26" 15.715 15.735 15.58 14.155019
"2013-06-27" 15.815 16.195 15.74 14.552607
"2013-06-28" 16.110001 16.200001 15.92 14.566164
"2013-07-01" 16.215 16.395 16.16 14.74688
"2013-07-02" 16.305 16.455 16.135 14.652006
"2013-07-03" 16.15 16.225 16.065001 14.525502
"2013-07-05" 16.195 16.4 16.16 14.814653
"2013-07-08" 16.4 16.540001 16.25 14.692667
"2013-07-09" 16.365 16.475 16.34 14.819173
"2013-07-10" 16.370001 16.459999 16.184999 14.841761
"2013-07-11" 16.645 16.785 16.639999 15.153507
"2013-07-12" 16.709999 16.889999 16.684999 15.252897
"2013-07-15" 16.950001 17.049999 16.745001 15.266461
"2013-07-16" 17.200001 17.565001 16.575001 15.171576
"2013-07-17" 16.860001 16.959999 16.754999 15.203207
"2013-07-18" 16.85 17.035 16.799999 15.198683
"2013-07-19" 16.805 17.08 16.77 15.415551
"2013-07-22" 17.035 17.115 16.965 15.379409
"2013-07-23" 17.040001 17.059999 16.790001 15.176097
"2013-07-24" 16.825001 16.83 16.620001 15.045073
"2013-07-25" 16.625 16.715 16.540001 15.045073
"2013-07-26" 16.594999 16.655001 16.459999 14.909531
"2013-07-29" 16.495001 16.559999 16.285 14.801099
"2013-07-30" 16.475 16.615 16.415001 14.909531
"2013-07-31" 16.58 16.695 16.495001 14.905016
"2013-08-01" 16.674999 17.025 16.674999 15.230316
"2013-08-02" 16.809999 16.93 16.775 15.234833
"2013-08-05" 16.77 16.83 16.68 15.180473
"2013-08-06" 16.75 16.795 16.605 15.071749
"2013-08-07" 16.610001 16.695 16.504999 15.080807
"2013-08-08" 16.725 17.049999 16.594999 15.103459
"2013-08-09" 16.615 16.77 16.504999 15.080807
"2013-08-12" 16.495001 16.715 16.43 14.88601
"2013-08-13" 16.450001 16.559999 16.360001 14.967557
"2013-08-14" 16.5 16.565001 16.389999 14.985677
"2013-08-15" 16.325001 16.424999 16.155001 14.664036
"2013-08-16" 16.155001 16.275 16.120001 14.645913
"2013-08-19" 16.129999 16.280001 16.129999 14.636852
"2013-08-20" 16.125 16.315001 16.07 14.668566
"2013-08-21" 16.17 16.264999 16 14.587025
"2013-08-22" 16.129999 16.295 16.084999 14.700277
