"Index" "Open" "High" "Low" "Price"
"2012-09-17" 34.470001 34.720001 33.849998 28.56378
"2012-09-18" 33.740002 34 33.32 28.463148
"2012-09-19" 34.029999 34.540001 33.880001 28.664419
"2012-09-20" 33.560001 33.990002 33.259998 28.354115
"2012-09-21" 34.34 34.400002 33.509998 28.236706
"2012-09-24" 33.27 33.779999 33.200001 28.085764
"2012-09-25" 33.68 33.900002 32.849998 27.557423
"2012-09-26" 32.540001 32.799999 31.879999 27.263895
"2012-09-27" 32.84 33.330002 32.560001 27.649664
"2012-09-28" 32.73 33.119999 32.529999 27.440016
"2012-10-01" 33 33.59 32.700001 27.465172
"2012-10-02" 33.27 33.380001 32.869999 27.892862
"2012-10-03" 33.439999 34.060001 33.049999 28.56378
"2012-10-04" 34.41 35.09 34.27 29.318539
"2012-10-05" 35.389999 35.740002 34.599998 29.15922
"2012-10-08" 34.23 34.889999 34.23 29.167587
"2012-10-09" 34.82 35.080002 34.52 29.016638
"2012-10-10" 34.709999 35.18 34.59 29.4695
"2012-10-11" 35.669998 36.16 35.360001 29.788176
"2012-10-12" 34.810001 35.650002 34.66 29.142433
"2012-10-15" 35.400002 36.700001 35.200001 30.744221
"2012-10-16" 36.41 37.400002 36.25 31.239017
"2012-10-17" 37.669998 38.48 37.560001 32.2286
"2012-10-18" 38.240002 38.720001 38.009998 32.220211
"2012-10-19" 38.029999 38.060001 37.009998 31.163532
"2012-10-22" 37.209999 37.75 37.09 31.633165
"2012-10-23" 36.990002 37.299999 36.799999 30.937103
"2012-10-24" 37.25 37.700001 37.02 31.280937
"2012-10-25" 37.720001 37.84 36.900002 31.373199
"2012-10-26" 37.139999 37.310001 36.48 30.693909
"2012-10-31" 36.98 37.48 36.740002 31.356411
"2012-11-01" 37.57 38 37.349998 31.834555
"2012-11-02" 38.099998 38.16 37.509998 31.540966
"2012-11-05" 37.299999 37.59 36.950001 31.306093
"2012-11-06" 37.450001 38.5 37.43 32.270767
"2012-11-07" 37.619999 37.790001 36 30.240742
"2012-11-08" 36.459999 36.650002 35.950001 30.198797
"2012-11-09" 35.580002 36.52 35.400002 30.140083
"2012-11-12" 36.119999 36.740002 35.959999 30.551117
"2012-11-13" 36.009998 36.77 35.93 30.333014
"2012-11-14" 36.290001 36.459999 34.889999 29.376728
"2012-11-15" 35.189999 35.799999 35.009998 29.536106
