"Index" "Open" "High" "Low" "Price"
"2012-09-17" 19.883268 19.984436 19.85214 15.015704
"2012-09-18" 19.953306 20.007782 19.859922 15.039162
"2012-09-19" 20.031128 20.10895 19.92996 15.045028
"2012-09-20" 20.957197 21.595331 20.910505 15.977646
"2012-09-21" 21.346304 21.587549 21.268482 16.136015
"2012-09-24" 21.330738 21.470818 21.159533 16.147753
"2012-09-25" 21.40856 21.43969 21.22179 16.065632
"2012-09-26" 21.330738 21.533073 21.291828 16.147753
"2012-09-27" 21.494164 21.501945 21.284046 16.177073
"2012-09-28" 21.377432 21.501945 21.29961 16.182941
"2012-10-01" 21.556419 21.626459 21.486382 16.288519
"2012-10-02" 21.610895 21.642023 21.533073 16.300257
"2012-10-03" 21.610895 21.673153 21.540855 16.259199
"2012-10-04" 21.649805 21.735409 21.525291 16.323715
"2012-10-05" 21.727627 21.750973 21.579767 16.300257
"2012-10-08" 21.587549 21.735409 21.587549 16.341312
"2012-10-09" 21.673153 21.813231 21.579767 16.306114
"2012-10-10" 21.680935 21.782101 21.595331 16.353043
"2012-10-11" 21.789883 21.914396 21.603113 16.335447
"2012-10-12" 21.766537 21.844358 21.634241 16.388231
"2012-10-15" 21.673153 22.10895 21.665371 16.66391
"2012-10-16" 22.101168 22.210117 22.007782 16.658045
"2012-10-17" 22.171206 22.280155 22.101168 16.728432
"2012-10-18" 22.163424 22.404669 22.163424 16.869204
"2012-10-19" 22.249027 22.412451 21.968872 16.575932
"2012-10-22" 22.038912 22.093386 21.805447 16.58766
"2012-10-23" 21.836576 21.945524 21.704281 16.493813
"2012-10-24" 21.875486 22.015564 21.688717 16.358906
"2012-10-25" 21.821012 22.038912 21.735409 16.611122
"2012-10-26" 22.023346 22.054476 21.85214 16.546598
"2012-10-31" 21.914396 21.92996 21.649805 16.475588
"2012-11-01" 21.719845 21.922178 21.634241 16.629456
"2012-11-02" 21.906614 22.054476 21.821012 16.611698
"2012-11-05" 21.782101 21.867704 21.603113 16.617619
"2012-11-06" 21.89105 22.202335 21.89105 16.789238
"2012-11-07" 21.968872 22.015564 21.642023 16.5466
"2012-11-08" 21.743191 21.859922 21.540855 16.38682
"2012-11-09" 21.525291 21.844358 21.525291 16.434162
"2012-11-12" 21.603113 21.743191 21.486382 16.475588
"2012-11-13" 21.587549 21.743191 21.579767 16.463753
"2012-11-14" 21.649805 21.727627 21.494164 16.380901
"2012-11-15" 21.455254 21.649805 21.416342 16.39274
"2012-11-16" 21.579767 21.673153 21.385214 16.416409
"2012-11-19" 21.704281 21.766537 21.571983 16.487427
"2012-11-20" 21.704281 21.805447 21.610895 16.5466
"2012-11-21" 21.789883 21.89105 21.704281 16.647209
"2012-11-23" 21.922178 22.10895 21.89105 16.812908
"2012-11-26" 21.92996 22.015564 21.875486 16.741899
"2012-11-27" 22.972763 23.136187 22.5214 17.534899
"2012-11-28" 23.058367 23.198444 22.770428 17.546747
"2012-11-29" 23.136187 23.167315 22.879377 17.517147
"2012-11-30" 23.22179 23.322956 23.198444 17.671017
"2012-12-03" 23.276264 23.291828 23.167315 17.647345
"2012-12-04" 23.22179 23.252918 22.996109 17.487562
"2012-12-05" 23.035019 23.167315 23.003891 17.57041
"2012-12-06" 23.081713 23.136187 22.879377 17.546747
"2012-12-07" 23.105059 23.151751 22.980545 17.605917
"2012-12-10" 23.089495 23.19066 23.058367 17.599998
"2012-12-11" 23.159533 23.2607 23.073931 17.582245
"2012-12-12" 23.237354 23.774319 23.237354 17.919565
"2012-12-13" 23.618677 23.642023 23.40856 17.854471
"2012-12-14" 23.424126 23.610895 23.40856 17.842636
"2012-12-17" 23.463036 23.603113 23.43969 17.943239
"2012-12-18" 23.579767 23.587549 23.431908 17.878141
"2012-12-19" 23.540855 23.603113 23.315174 17.730192
"2012-12-20" 24.007782 24.217899 23.361868 17.848551
"2012-12-21" 23.354086 23.431908 23.151751 17.635508
"2012-12-24" 23.252918 23.291828 23.081713 17.623667
"2012-12-26" 23.206226 23.229572 22.910505 17.434296
"2012-12-27" 22.879377 22.980545 22.723736 17.39287
"2012-12-28" 22.871595 22.980545 22.723736 17.280428
"2012-12-31" 22.645914 23.003891 22.396887 17.457968
"2013-01-02" 23.322956 23.416342 23.151751 17.807127
"2013-01-03" 23.346304 23.4786 23.33852 17.765701
"2013-01-04" 23.361868 23.642023 23.346304 17.895893
"2013-01-07" 23.540855 23.556419 23.385214 17.854471
"2013-01-08" 23.33852 23.494164 23.206226 17.842636
"2013-01-09" 23.501945 23.665371 23.463036 17.990582
"2013-01-10" 23.673153 23.85214 23.642023 18.120779
"2013-01-11" 24.023346 24.023346 23.735409 18.227304
"2013-01-14" 23.992218 24.217899 23.883268 18.363415
"2013-01-15" 23.984436 24.194553 23.968872 18.387083
"2013-01-16" 24.132296 24.303501 24.031128 18.446266
"2013-01-17" 24.319065 24.622568 24.272373 18.647474
"2013-01-18" 24.568092 24.669262 24.404669 18.759918
"2013-01-22" 24.70039 24.871595 24.638132 18.901953
"2013-01-23" 24.856031 24.871595 24.70039 18.836849
"2013-01-24" 24.80934 25.268482 24.80934 19.174179
"2013-01-25" 25.066149 25.229572 25.019455 19.132751
"2013-01-28" 25.291828 25.463036 25.167315 19.310286
"2013-01-29" 25.22179 25.237354 25.089495 19.262573
"2013-01-30" 24.941633 25.680935 24.910505 19.51305
"2013-01-31" 25.182878 25.618677 25.182878 19.495163
"2013-02-01" 25.610895 25.743191 25.509727 19.721783
"2013-02-04" 25.610895 25.712063 25.517509 19.566723
"2013-02-05" 25.626459 25.782101 25.587549 19.674072
"2013-02-06" 25.657587 25.758755 25.556419 19.709846
"2013-02-07" 25.813231 25.968872 25.603113 19.847021
"2013-02-08" 25.875486 26.038912 25.789883 19.906652
"2013-02-11" 26.062258 26.093386 25.89105 19.900688
"2013-02-12" 26.046694 26.07004 25.883268 19.858948
"2013-02-13" 26.007782 26.14786 25.953306 19.96629
"2013-02-14" 26.171206 26.381323 26.140078 20.145197
"2013-02-15" 26.373541 26.404669 26.07004 20.115377
"2013-02-19" 26.287937 26.412451 25.883268 19.948399
"2013-02-20" 26.155642 26.459145 26.077822 20.067671
"2013-02-21" 26.217899 26.303501 26.093386 20.109417
"2013-02-22" 26.264591 26.435799 26.233463 20.228689
"2013-02-25" 26.459145 26.529182 26.085604 19.990145
"2013-02-26" 26.10895 26.326847 26 20.169054
"2013-02-27" 26.357977 26.575874 26.178988 20.33007
"2013-02-28" 26.552528 26.754864 26.505836 20.342001
"2013-03-01" 26.482491 26.692608 26.319065 20.455307
"2013-03-04" 26.692608 27.050585 26.56031 20.687889
"2013-03-05" 27.097277 27.198444 26.980545 20.711742
"2013-03-06" 27.089495 27.175097 27.027237 20.771383
"2013-03-07" 27.112841 27.198444 26.941633 20.66404
"2013-03-08" 27.058367 27.182878 26.988327 20.735601
"2013-03-11" 27.073931 27.143969 26.980545 20.711742
"2013-03-12" 26.949415 27.035019 26.856031 20.693853
"2013-03-13" 27.042803 27.276264 26.957197 20.896612
"2013-03-14" 27.276264 27.33852 27.128405 20.932396
"2013-03-15" 27.214008 27.268482 26.964981 20.854876
"2013-03-18" 27.151751 27.33852 27.050585 20.890657
"2013-03-19" 27.346304 27.447472 27.143969 21.027824
"2013-03-20" 27.525291 27.750973 27.501945 21.218657
"2013-03-21" 27.704281 27.735409 27.214008 20.950287
"2013-03-22" 27.284046 27.431908 27.229572 20.950287
"2013-03-25" 27.43969 27.587549 27.307392 20.974148
"2013-03-26" 27.377432 27.688717 27.377432 21.153061
"2013-03-27" 27.517509 27.727627 27.330738 21.224623
"2013-03-28" 27.696499 27.945524 27.603113 21.35582
"2013-04-01" 27.883268 27.89105 27.610895 21.24251
"2013-04-02" 27.735409 27.883268 27.540855 21.194799
"2013-04-03" 27.027237 27.727627 26.77821 20.783316
"2013-04-04" 27.198444 27.361868 26.832685 20.652109
"2013-04-05" 26.723736 26.840467 26.56031 20.526871
"2013-04-08" 26.770428 26.926069 26.607004 20.634216
"2013-04-09" 26.926069 26.957197 26.715954 20.479162
"2013-04-10" 26.723736 27.081713 26.723736 20.640181
"2013-04-11" 26.926069 27.229572 26.926069 20.759462
"2013-04-12" 27.042803 27.36965 27.019455 20.968185
"2013-04-15" 27.346304 27.40856 27.050585 20.729635
"2013-04-16" 27.206226 27.626459 27.167315 21.170942
"2013-04-17" 27.517509 27.603113 27.322956 21.069561
"2013-04-18" 27.517509 27.626459 27.40856 21.123234
"2013-04-19" 27.595331 28.093386 27.579767 21.504917
"2013-04-22" 28.093386 28.093386 27.85214 21.492985
"2013-04-23" 28.077822 28.256809 27.727627 21.522802
"2013-04-24" 28.038912 28.186769 27.564201 21.159019
"2013-04-25" 27.696499 27.92996 27.579767 21.159019
"2013-04-26" 27.361868 27.735409 27.268482 21.189051
"2013-04-29" 27.470818 27.587549 27.385214 21.255112
"2013-04-30" 27.540855 27.587549 27.392996 21.243105
"2013-05-01" 27.494164 27.540855 27.214008 21.014877
"2013-05-02" 27.214008 27.486382 27.136187 20.954821
"2013-05-03" 27.33852 27.813231 27.322956 21.417273
"2013-05-06" 27.750973 27.797665 27.540855 21.279142
"2013-05-07" 27.634241 27.828794 27.571983 21.471334
"2013-05-08" 27.782101 27.813231 27.579767 21.339197
"2013-05-09" 27.727627 27.813231 27.206226 21.050909
"2013-05-10" 27.143969 27.330738 27.003891 20.936798
"2013-05-13" 27.151751 27.642023 27.128405 21.297152
"2013-05-14" 27.603113 27.774319 27.571983 21.435295
"2013-05-15" 27.750973 28.186769 27.712063 21.717577
"2013-05-16" 28.062258 28.178988 27.789883 21.489346
"2013-05-17" 27.859922 27.992218 27.766537 21.573425
"2013-05-20" 27.953306 28.031128 27.758755 21.441298
"2013-05-21" 27.797665 27.875486 27.587549 21.411268
"2013-05-22" 27.696499 27.89105 27.284046 21.134993
"2013-05-23" 27.206226 27.322956 26.918287 20.858721
"2013-05-24" 26.957197 27.151751 26.77821 20.882748
"2013-05-28" 27.19066 27.463036 27.136187 21.008863
"2013-05-29" 27.151751 27.268482 26.708172 20.648514
"2013-05-30" 26.770428 26.863813 26.66148 20.654518
"2013-05-31" 26.708172 26.731518 26.217899 20.234102
"2013-06-03" 26.202335 26.202335 25.533073 20.08996
"2013-06-04" 26.07004 26.272373 25.953306 20.138004
"2013-06-05" 25.968872 26.062258 25.680935 19.825695
"2013-06-06" 25.727627 25.805447 25.447472 19.915783
"2013-06-07" 25.906614 26.295719 25.906614 20.27014
"2013-06-10" 26.303501 26.396887 26.077822 20.330198
"2013-06-11" 26.256809 26.692608 26.132296 20.438299
"2013-06-12" 26.653696 26.832685 26.264591 20.294161
"2013-06-13" 26.311283 26.66148 26.132296 20.534397
"2013-06-14" 26.622568 26.7393 26.443581 20.474339
"2013-06-17" 26.638132 26.980545 26.638132 20.774647
"2013-06-18" 26.879377 26.957197 26.669262 20.720581
"2013-06-19" 26.715954 26.77821 26.140078 20.18605
"2013-06-20" 26.077822 26.124514 25.525291 19.717587
"2013-06-21" 25.828794 25.976654 25.548637 19.969835
"2013-06-24" 25.634241 26.015564 25.533073 19.891764
"2013-06-25" 25.89105 26.054476 25.813231 19.981846
"2013-06-26" 26.124514 26.178988 25.953306 20.029894
"2013-06-27" 26.708172 27.657587 26.575874 21.044901
"2013-06-28" 27.237354 27.40856 26.996109 20.978842
"2013-07-01" 27.237354 27.509727 27.159533 21.086946
"2013-07-02" 27.315174 27.665371 27.237354 21.237097
"2013-07-03" 27.447472 27.867704 27.392996 21.429287
"2013-07-05" 27.782101 27.844358 27.463036 21.393248
"2013-07-08" 27.805447 27.976654 27.626459 21.483341
"2013-07-09" 27.945524 27.992218 27.610895 21.357216
"2013-07-10" 27.680935 28.015564 27.642023 21.615475
"2013-07-11" 28.202335 28.568092 28.140078 21.993851
"2013-07-12" 28.459145 28.56031 28.264591 21.969831
"2013-07-15" 28.451363 28.762646 28.435799 22.15601
"2013-07-16" 28.614786 28.723736 28.365759 22.077932
"2013-07-17" 28.653696 28.801556 28.482491 22.119978
"2013-07-18" 28.645914 28.894941 28.575874 22.113966
"2013-07-19" 28.754864 28.879377 28.498055 22.234085
"2013-07-22" 28.715954 28.754864 28.544746 22.119978
"2013-07-23" 28.66148 28.793774 28.513618 22.186045
"2013-07-24" 28.747082 28.770428 28.5214 22.059914
"2013-07-25" 28.5214 28.817122 28.482491 22.168018
"2013-07-26" 28.536964 28.599222 28.287937 22.065918
"2013-07-29" 28.404669 28.63035 28.342413 22.126392
"2013-07-30" 28.536964 28.77821 28.326847 22.041725
"2013-07-31" 28.280155 28.389105 28.140078 21.896603
"2013-08-01" 28.396887 28.568092 28.272373 22.114296
"2013-08-02" 28.373541 28.824903 28.256809 22.398516
"2013-08-05" 28.77821 29.011673 28.692608 22.513407
"2013-08-06" 28.871595 28.957197 28.723736 22.410608
"2013-08-07" 28.801556 28.801556 28.536964 22.253382
"2013-08-08" 28.70039 28.770428 28.474709 22.168716
"2013-08-09" 28.513618 28.684826 28.443581 22.162672
"2013-08-12" 28.389105 28.59144 28.319065 22.162672
"2013-08-13" 28.599222 28.63035 28.412451 22.132437
"2013-08-14" 28.451363 28.490273 28.007782 21.769611
"2013-08-15" 27.797665 27.805447 27.245136 21.195135
"2013-08-16" 27.182878 27.214008 26.949415 21.031864
"2013-08-19" 27.058367 27.307392 27.042803 21.110477
"2013-08-20" 27.175097 27.447472 27.167315 21.164904
"2013-08-21" 27.252918 27.252918 26.848249 20.868587
"2013-08-22" 26.80934 27.081713 26.731518 20.916965
"2013-08-23" 26.996109 27.346304 26.918287 21.213276
"2013-08-26" 27.307392 27.354086 26.856031 20.868587
"2013-08-27" 26.70039 26.957197 26.692608 20.783934
"2013-08-28" 26.66148 26.677044 26.326847 20.523911
"2013-08-29" 26.350195 26.677044 26.241245 20.584375
"2013-08-30" 26.505836 26.59144 26.256809 20.451342
"2013-09-03" 26.575874 26.653696 26.287937 20.499718
"2013-09-04" 26.326847 26.513618 26.249027 20.475531
"2013-09-05" 26.350195 26.459145 26.280155 20.451342
"2013-09-06" 26.412451 26.474709 26.046694 20.378778
"2013-09-09" 26.295719 26.451363 26.077822 20.294115
