"Index" "Open" "High" "Low" "Price"
"2020-03-19" 12 12 12 11.672231
"2020-03-20" 13 13 12 12.401746
"2020-03-23" 12.75 12.75 11.5 11.224795
"2020-03-24" 12.9 12.9 11.5 11.380425
"2020-03-25" 11.8 13.45 11.8 13.082626
"2020-03-26" 14 15.45 14 15.027999
"2020-03-27" 15 16 14.55 14.152581
"2020-03-30" 15.25 16.5 15.25 15.465707
"2020-03-31" 16.389999 17.25 14.56 16.778833
"2020-04-01" 16 16 14.56 14.638923
"2020-04-02" 15.66 15.9 12.12 12.917271
"2020-04-03" 13.75 17 13.38 16.457846
"2020-04-06" 17.059999 17.15 14.85 15.018272
"2020-04-07" 15.2 15.8 14.55 14.833461
"2020-04-08" 14.5 15.25 13.73 13.870502
"2020-04-09" 14 15.5 13.9 14.376299
"2020-04-13" 14.5 14.5 13.98 13.607876
"2020-04-14" 14 14.2 13.78 13.491155
"2020-04-15" 13.53 13.655 12.94 12.995084
"2020-04-16" 13.15 13.25 12.26 12.537922
"2020-04-17" 13.3 13.83 12.93 13.364705
"2020-04-20" 13.5 14.74 13.475 14.055313
"2020-04-21" 14.22 15.25 14.18 14.288758
"2020-04-22" 14.95 15.16 14.22 14.386024
"2020-04-23" 14.7 15.92 14.61 15.290623
"2020-04-24" 15.6 16.67 15.29 15.806147
"2020-04-27" 16.17 16.809999 15.975 16.341122
"2020-04-28" 16.879999 17.75 16.610001 16.53566
"2020-04-29" 17.459999 18.08 17.17 17.158182
"2020-04-30" 17.219999 17.84 16.985001 17.226269
"2020-05-01" 17.33 17.35 16.620001 16.311943
"2020-05-04" 16.15 16.52 15.69 15.952051
"2020-05-05" 16.68 16.76 15.84 15.533796
"2020-05-06" 16 16.370001 15.43 15.845057
"2020-05-07" 16.209999 17.040001 15.88 15.961778
"2020-05-08" 17.040001 18.4 16.934999 17.858515
"2020-05-11" 18.43 18.75 18.02 17.848791
"2020-05-12" 18.389999 18.4 17.690001 17.31381
"2020-05-13" 17.209999 17.437 16.1 15.99096
"2020-05-14" 16.02 16.715 15.72 16.097952
"2020-05-15" 16.299999 16.965 16 16.253582
"2020-05-18" 17.299999 17.719999 17.290001 17.070641
"2020-05-19" 17.440001 17.92 17.15 17.284632
"2020-05-20" 18.16 19.049999 18.040001 18.218407
"2020-05-21" 18.540001 19.52 18.5 18.918745
"2020-05-22" 19.469999 19.860001 18.950001 18.529667
"2020-05-26" 19.610001 20.6 19.34 18.977106
"2020-05-27" 19.57 20.129999 19.43 19.443991
"2020-05-28" 20.08 20.459999 19.504999 19.064646
"2020-05-29" 18.959999 20.98 18.879999 19.910883
"2020-06-01" 20.549999 21.950001 20.549999 21.224009
"2020-06-02" 21.690001 21.829 20.905001 20.776575
"2020-06-03" 21.469999 22.58 21.379999 21.613085
"2020-06-04" 22.030001 23.120001 22.030001 22.06052
"2020-06-05" 23.540001 24.4 23.379999 22.916483
"2020-06-08" 23.629999 24.379999 23.309999 23.704359
"2020-06-09" 23.74 23.959999 23.209999 22.57604
"2020-06-10" 22.309999 23.15 22.040001 21.593632
"2020-06-11" 20.16 21.799999 20 20.484764
"2020-06-12" 22 22.309999 21.02 20.951656
"2020-06-15" 20.719999 22.540001 20.629999 21.369909
"2020-06-16" 22.959999 22.98 21.924999 21.46718
"2020-06-17" 22.17 22.34 21.08 20.679304
"2020-06-18" 21 21.889999 21 20.669577
"2020-06-19" 21.76 21.85 21 20.864113
"2020-06-22" 21.52 22.825001 21.309999 22.118877
"2020-06-23" 23.120001 23.24 22.32 21.778439
"2020-06-24" 22.1 22.66 21.450001 21.224009
"2020-06-25" 21.620001 21.870001 21.035 21.00923
"2020-06-26" 21.52 21.74 20.591 20.472282
"2020-06-29" 21.08 22.469999 21 21.59499
"2020-06-30" 21.809999 22.41 21.41 21.692614
"2020-07-01" 22.32 23.01 21.870001 22.073359
"2020-07-02" 22.99 23.219999 22.57 22.36624
"2020-07-06" 23.129999 24.290001 23.129999 23.63538
"2020-07-07" 23.76 24.18 23.724001 23.440132
"2020-07-08" 23.879999 24.09 23.459999 23.420605
"2020-07-09" 24 24.219999 23.76 23.342505
"2020-07-10" 23.84 26.059999 23.719999 24.299242
"2020-07-13" 25.139999 25.209999 23.26 23.703724
"2020-07-14" 24.299999 25.16 24.23 24.553072
"2020-07-15" 25.58 26.57 25.540001 25.822218
"2020-07-16" 26.120001 26.99 25.92 25.97842
"2020-07-17" 26.889999 26.9 26.33 25.851505
"2020-07-20" 26.219999 26.540001 26.065001 25.783167
"2020-07-21" 26.290001 26.799999 26.16 25.939367
"2020-07-22" 26.34 27.059999 26.32 25.968658
"2020-07-23" 26.66 27.629999 26.52 26.700857
"2020-07-24" 27.25 27.26 26.540001 25.949129
"2020-07-27" 26.5 26.780001 26.08 25.626965
"2020-07-28" 26.07 26.4 25.85 25.451239
"2020-07-29" 26.110001 27.719999 26.110001 26.534889
"2020-07-30" 25.85 27.5 25.6 26.261539
"2020-07-31" 26.85 27.355 26.629999 26.593468
"2020-08-03" 27.24 27.889999 27.01 26.964447
"2020-08-04" 27.4 27.870001 27.16 27.110891
"2020-08-05" 27.66 28.174999 27.66 27.442822
"2020-08-06" 28.02 28.540001 27.940001 27.599022
"2020-08-07" 28.719999 29.030001 28.440001 28.282402
"2020-08-10" 29.02 29.57 28.91 28.760773
"2020-08-11" 30.16 30.32 29.440001 28.790066
"2020-08-12" 29.870001 30.190001 29.620001 29.082945
"2020-08-13" 29.9 30.280001 29.370001 28.838879
"2020-08-14" 29.709999 30.048 29.280001 28.819355
"2020-08-17" 29.5 30.184999 29.143 29.131758
"2020-08-18" 29.719999 30.049999 29.370001 28.760773
"2020-08-19" 29.540001 29.690001 29.120001 28.555761
"2020-08-20" 29.02 29.41 28.75 28.321457
"2020-08-21" 29.16 29.82 29.084999 28.819355
"2020-08-24" 29.76 30.440001 29.74 29.658941
"2020-08-25" 30.5 30.805 30.41 29.746801
"2020-08-26" 30.51 31.24 30.41 30.293514
"2020-08-27" 31.07 31.24 30.16 29.561314
"2020-08-28" 30.379999 30.475 29.955 29.580839
"2020-08-31" 30.190001 30.459999 29.83 29.141518
"2020-09-01" 29.66 30.360001 29.17 29.580839
"2020-09-02" 30.219999 30.950001 29.84 30.049448
"2020-09-03" 30.5 30.690001 28.959999 28.633862
