"Index" "Open" "High" "Low" "Price"
"2012-09-17" 92.940002 93.5 91.730003 69.366058
"2012-09-18" 91.769997 93.07 91.769997 70.18045
"2012-09-19" 93.300003 94.230003 92.809998 70.836479
"2012-09-20" 92.989998 92.989998 91.25 69.780807
"2012-09-21" 93.419998 93.419998 91.370003 69.162498
"2012-09-24" 90.449997 91.779999 90.449997 68.521515
"2012-09-25" 88.660004 89.550003 87 65.610855
"2012-09-26" 86.900002 87.93 85.800003 65.565613
"2012-09-27" 87.839996 87.949997 86.75 65.542969
"2012-09-28" 86.360001 86.589996 85.43 64.879417
"2012-10-01" 86.720001 87.150002 85.239998 64.449608
"2012-10-02" 85.629997 85.93 84.349998 64.449608
"2012-10-03" 85.510002 85.639999 84.550003 64.30632
"2012-10-04" 85.519997 86.5 85.199997 64.819084
"2012-10-05" 86.849998 87.339996 85.010002 64.419441
"2012-10-08" 84.940002 85.809998 84.43 64.426979
"2012-10-09" 85.720001 86.150002 84.5 63.906643
"2012-10-10" 83.889999 84.370003 82.599998 62.707729
"2012-10-11" 83.389999 83.699997 82.25 62.473972
"2012-10-12" 83 84.099998 82.459999 62.451355
"2012-10-15" 82.910004 83.199997 82.099998 62.44379
"2012-10-16" 83.589996 85.040001 83.209999 64.06501
"2012-10-17" 85.620003 86.769997 85.209999 65.324326
"2012-10-18" 86.379997 87.529999 85.830002 65.711182
"2012-10-19" 85.330002 85.480003 83.489998 63.617439
"2012-10-22" 82.940002 86.040001 82.290001 64.542931
"2012-10-23" 83.900002 84.139999 82.980003 63.40501
"2012-10-24" 84.07 84.139999 82.519997 62.760208
"2012-10-25" 83.389999 83.540001 82.360001 63.367088
"2012-10-26" 83.480003 84.32 83.239998 63.913296
"2012-10-31" 85.529999 85.919998 84.449997 64.33812
"2012-11-01" 85.220001 87.860001 85 66.492577
"2012-11-02" 88.489998 88.5 85.699997 65.081558
"2012-11-05" 85.849998 86.779999 85.589996 65.824989
"2012-11-06" 87.349998 88.599998 87.300003 66.818794
"2012-11-07" 86.730003 87.230003 84.839996 64.497444
"2012-11-08" 85.160004 85.239998 83.519997 63.46571
"2012-11-09" 83 85.290001 82.900002 64.444313
"2012-11-12" 84.440002 85.57 84.230003 64.618813
"2012-11-13" 84.720001 85.18 83.169998 63.162254
"2012-11-14" 83.900002 83.900002 80.879997 61.523655
"2012-11-15" 81.349998 82.57 80.5 61.675373
"2012-11-16" 81.370003 82.209999 80.160004 62.153313
"2012-11-19" 83.370003 83.839996 83.150002 63.43539
"2012-11-20" 83.699997 83.769997 82.589996 63.215359
"2012-11-21" 82.949997 83.739998 82.650002 63.002945
"2012-11-23" 83.620003 84.190002 83.25 63.84502
"2012-11-26" 83.809998 84.809998 83.809998 64.216736
"2012-11-27" 84.5 85.120003 83.900002 63.731216
"2012-11-28" 83.629997 85.089996 83 64.436722
"2012-11-29" 85.550003 86.480003 85.480003 65.430542
"2012-11-30" 86.330002 86.349998 85.029999 64.664314
"2012-12-03" 85.919998 85.919998 84.43 64.095352
"2012-12-04" 84.050003 84.959999 83.75 63.84502
"2012-12-05" 84.620003 86.57 84.57 65.278778
"2012-12-06" 85.830002 86.330002 85.080002 65.202934
"2012-12-07" 86.699997 87.550003 86.519997 65.991882
"2012-12-10" 86.809998 87.449997 86.379997 66.173958
"2012-12-11" 87.599998 88.160004 87.040001 66.249794
"2012-12-12" 87.889999 88.769997 87.459999 66.720154
"2012-12-13" 87.849998 89.309998 87.82 67.031189
"2012-12-14" 88.349998 89.5 88.32 67.516716
"2012-12-17" 89.25 89.690002 88.900002 68.002228
"2012-12-18" 89.669998 91.089996 89.669998 68.859444
"2012-12-19" 90.910004 91.830002 90.739998 68.874611
"2012-12-20" 89.900002 90.129997 88.639999 68.28714
"2012-12-21" 87.5 88.18 86.480003 67.066338
"2012-12-24" 87.510002 87.830002 87.160004 66.745895
"2012-12-26" 87.669998 88.68 87.57 66.890892
"2012-12-27" 87.870003 88.410004 86.550003 66.883224
"2012-12-28" 87.089996 87.599998 86.690002 66.234711
"2012-12-31" 86.809998 89.800003 86.669998 68.371056
"2013-01-02" 92.949997 94.440002 92.949997 71.339058
"2013-01-03" 93.220001 94.989998 92.889999 72.025772
"2013-01-04" 94.57 94.919998 94.040001 72.422531
"2013-01-07" 94.57 95.669998 94.400002 72.643753
"2013-01-08" 94.669998 95.190002 93.57 71.720558
"2013-01-09" 94.099998 94.769997 94.099998 72.056274
"2013-01-10" 95.110001 95.190002 94.230003 72.544594
"2013-01-11" 94.559998 95.389999 94.120003 72.628517
"2013-01-14" 95.32 95.480003 94.150002 72.201241
"2013-01-15" 94.209999 95.830002 94.18 72.994751
"2013-01-16" 95.099998 95.669998 94.830002 72.628517
"2013-01-17" 95.709999 96.290001 95.089996 73.017624
"2013-01-18" 96.43 97.620003 96.089996 74.482574
"2013-01-22" 96.389999 97.730003 96.050003 74.558868
"2013-01-23" 97.480003 97.720001 96.599998 73.895096
"2013-01-24" 96 97.739998 96 73.704323
"2013-01-25" 95.919998 96.279999 94.660004 72.926064
"2013-01-28" 98.059998 98.739998 96.43 74.352859
"2013-01-29" 97.919998 99.199997 97.720001 75.230309
"2013-01-30" 98.830002 98.959999 98.25 75.26844
"2013-01-31" 97.989998 98.709999 97.900002 75.070091
"2013-02-01" 99 99.699997 98.949997 75.909363
"2013-02-04" 98.760002 98.870003 97.910004 74.970886
"2013-02-05" 98.580002 99.099998 98.32 75.108215
"2013-02-06" 97.870003 98.75 97.360001 74.543602
"2013-02-07" 97.419998 98.160004 95.209999 73.33046
"2013-02-08" 96.099998 97.5 96.099998 73.895096
"2013-02-11" 96.959999 96.989998 96.300003 73.704323
"2013-02-12" 96.669998 97.410004 96.669998 74.177361
"2013-02-13" 97.089996 97.5 96.019997 73.536461
"2013-02-14" 96.059998 96.68 95.68 73.299934
"2013-02-15" 96.260002 96.419998 95.290001 72.948952
"2013-02-19" 95.739998 96.370003 95.129997 72.94133
"2013-02-20" 95 95.099998 93.050003 71.125443
"2013-02-21" 92.760002 92.790001 90.57 69.835999
"2013-02-22" 91.989998 92.489998 91.050003 69.843636
"2013-02-25" 91.809998 92.220001 89.080002 68.027718
"2013-02-26" 89.589996 90.199997 88.5 68.63047
"2013-02-27" 90.059998 92.360001 90.059998 70.385323
"2013-02-28" 92.489998 93.160004 92.230003 70.476891
"2013-03-01" 91.540001 91.959999 90.129997 69.706268
"2013-03-04" 90.610001 90.75 89.190002 68.477867
"2013-03-05" 90.489998 91.279999 89.989998 68.82885
"2013-03-06" 90.970001 91.050003 89.410004 68.393951
"2013-03-07" 89.900002 90.400002 89.269997 68.401573
"2013-03-08" 90.43 90.720001 90.010002 69.057739
"2013-03-11" 90.489998 91.519997 90.099998 69.568932
"2013-03-12" 91.160004 91.160004 89.400002 68.470238
"2013-03-13" 89.800003 89.910004 89.129997 68.119278
"2013-03-14" 89.470001 89.550003 88.169998 67.67675
"2013-03-15" 88.610001 89.25 88.110001 67.775902
"2013-03-18" 87.889999 90.019997 87.669998 68.180313
