"Index" "Open" "High" "Low" "Price"
"2012-09-17" 63.5 64.209999 63.419998 47.317516
"2012-09-18" 64.220001 64.519997 63.75 47.33963
"2012-09-19" 64.220001 65 64.080002 47.855877
"2012-09-20" 64.629997 65.43 64.300003 47.966507
"2012-09-21" 65.269997 66.110001 65.25 48.128769
"2012-09-24" 64.459999 64.730003 63.82 47.177387
"2012-09-25" 64.099998 64.589996 63.639999 46.934013
"2012-09-26" 63.529999 64.269997 63.389999 47.229019
"2012-09-27" 64.400002 64.940002 64.019997 47.870644
"2012-09-28" 65.019997 65.43 64 47.273258
"2012-10-01" 64.199997 64.93 63.43 47.037262
"2012-10-02" 63.860001 64.650002 63.669998 47.634628
"2012-10-03" 64.75 66.790001 64.389999 48.969494
"2012-10-04" 67.610001 67.610001 65.269997 48.51963
"2012-10-05" 66.040001 66.209999 65.559998 48.527004
"2012-10-08" 65.519997 65.75 64.720001 48.246746
"2012-10-09" 65.25 65.360001 63.950001 47.251137
"2012-10-10" 64.120003 64.830002 64.089996 47.737885
"2012-10-11" 65.449997 65.599998 63.98 47.184761
"2012-10-12" 64.099998 64.690002 63.82 47.678883
"2012-10-15" 64.839996 67.209999 64.580002 49.448868
"2012-10-16" 67.150002 67.639999 66.720001 49.537365
"2012-10-17" 67.32 67.559998 66.419998 49.190746
"2012-10-18" 66.669998 67.349998 66.339996 49.456234
"2012-10-19" 66.959999 67.07 65.57 48.468002
"2012-10-22" 65.599998 66.300003 65.25 48.254124
"2012-10-23" 65 65.709999 64.169998 48.106636
"2012-10-24" 65.629997 66.459999 65.169998 48.645004
"2012-10-25" 65.010002 66.339996 63.419998 48.711365
"2012-10-26" 65.940002 66.709999 65.720001 49.013748
"2012-10-31" 66.5 67.040001 66.339996 49.227612
"2012-11-01" 66.970001 67.330002 66.110001 49.647991
"2012-11-02" 67.730003 68.629997 67.540001 49.928226
"2012-11-05" 67.529999 67.529999 66.379997 49.293995
"2012-11-06" 67.160004 67.639999 66.800003 49.581619
"2012-11-07" 67.360001 68.690002 67.050003 49.625862
"2012-11-08" 67.089996 67.589996 66.779999 49.2645
"2012-11-09" 66.629997 67.309998 66.290001 49.286621
"2012-11-12" 66.779999 66.82 66.290001 49.043247
"2012-11-13" 66.300003 67.449997 66.160004 49.161247
"2012-11-14" 66.699997 66.830002 65.290001 48.261505
"2012-11-15" 65.400002 65.550003 63.740002 47.354385
"2012-11-16" 64.279999 65.480003 64.139999 48.069756
"2012-11-19" 65.669998 66.269997 65.370003 48.578629
"2012-11-20" 65.919998 66.510002 65.599998 48.65237
"2012-11-21" 65.970001 66.690002 65.580002 49.072746
"2012-11-23" 66.650002 67.550003 66.290001 49.817627
"2012-11-26" 67.269997 67.540001 66.129997 49.161247
"2012-11-27" 66.57 66.879997 66.169998 49.035877
"2012-11-28" 66.32 66.830002 65.220001 49.271873
"2012-11-29" 67.029999 67.599998 66.68 49.736492
"2012-11-30" 67.419998 68.199997 67.059998 49.79549
"2012-12-03" 67.849998 67.989998 67.209999 49.758617
"2012-12-04" 67.669998 67.790001 67.150002 49.552113
"2012-12-05" 67.190002 67.379997 65.970001 49.227612
"2012-12-06" 66.970001 67.269997 66.279999 49.588978
"2012-12-07" 67.440002 68.650002 67.400002 50.481342
"2012-12-10" 68.779999 68.779999 67.68 50.060986
"2012-12-11" 67.959999 68.599998 67.809998 50.584602
"2012-12-12" 68.849998 70.980003 68.620003 51.963711
"2012-12-13" 70.309998 71.07 70.25 51.97847
"2012-12-14" 70.18 71.699997 70.139999 52.479961
"2012-12-17" 71.25 71.669998 70.860001 52.53896
