"Index" "Open" "High" "Low" "Price"
"2012-09-17" 37.939999 37.939999 37.48 29.841774
"2012-09-18" 37.360001 37.700001 37.27 29.802145
"2012-09-19" 37.610001 38.040001 37.41 29.89728
"2012-09-20" 37.610001 37.869999 37.380001 29.810062
"2012-09-21" 37.91 37.91 37.209999 29.64357
"2012-09-24" 37.119999 37.389999 36.959999 29.33437
"2012-09-25" 38.98 39 37.07 29.397802
"2012-09-26" 37.459999 37.59 36.639999 29.144093
"2012-09-27" 36.73 36.919998 36.450001 28.937954
"2012-09-28" 36.700001 36.75 36.32 28.882469
"2012-10-01" 36.650002 36.84 35.91 28.557407
"2012-10-02" 36.259998 36.48 36.02 28.66048
"2012-10-03" 36.66 36.740002 36.32 28.99346
"2012-10-04" 37.240002 37.299999 36.82 29.231308
"2012-10-05" 37.689999 37.740002 37 29.437449
"2012-10-08" 37.060001 37.439999 37.029999 29.453306
"2012-10-09" 37.119999 37.310001 36.740002 29.239237
"2012-10-10" 36.91 37.080002 36.580002 29.041035
"2012-10-11" 36.91 37.279999 36.790001 29.231308
"2012-10-12" 37.040001 37.279999 36.540001 29.144093
"2012-10-15" 36.98 37.34 36.950001 29.556362
"2012-10-16" 37.77 38 37.669998 29.968641
"2012-10-17" 38.189999 38.970001 38.080002 30.571169
"2012-10-18" 38.560001 39.23 38.560001 30.769381
"2012-10-19" 38.689999 38.75 37.91 30.277834
"2012-10-22" 38.43 38.52 38.060001 30.483957
"2012-10-23" 37.830002 37.93 37.599998 29.921072
"2012-10-24" 38.029999 38.119999 37.630001 29.944845
"2012-10-25" 39.080002 39.400002 38.540001 30.650461
"2012-10-26" 38.740002 38.759998 37.830002 30.008278
"2012-10-31" 38.5 38.66 37.810001 30.024126
"2012-11-01" 38.080002 38.889999 38.040001 30.801088
"2012-11-02" 39.16 39.34 38.689999 30.721807
"2012-11-05" 38.529999 38.73 38.040001 30.650461
"2012-11-06" 38.689999 39 38.619999 30.896229
"2012-11-07" 38.689999 38.939999 38.27 30.642529
"2012-11-08" 38.759998 39.029999 38.27 30.341259
"2012-11-09" 38.299999 39.369999 38.240002 31.046867
"2012-11-12" 39.23 39.23 38.189999 30.491892
"2012-11-13" 38.240002 38.759998 38.18 30.452248
"2012-11-14" 38.540001 38.73 37.75 29.992413
"2012-11-15" 37.509998 37.830002 37.130001 29.64357
"2012-11-16" 38 38.02 36.990002 29.532583
"2012-11-19" 37.869999 38.360001 37.810001 30.317474
"2012-11-20" 38.119999 38.299999 37.84 30.469105
"2012-11-21" 38.27 38.389999 38.139999 30.564871
"2012-11-23" 38.790001 39.080002 38.75 31.187338
