"Index" "Open" "High" "Low" "Price"
"2013-06-27" 17.639999 18.75 17.379999 16.751799
"2013-06-28" 18.4 19.17 18.379999 16.979776
"2013-07-01" 18.65 18.9 18.34 16.724443
"2013-07-02" 18.34 19.639999 18.26 17.526918
"2013-07-03" 18.99 19.209999 18.67 17.39926
"2013-07-05" 18.799999 19.360001 18.549999 17.526918
"2013-07-08" 19.049999 19.48 18.860001 17.536043
"2013-07-09" 19.129999 19.92 19.059999 17.782257
"2013-07-10" 19.469999 19.950001 19.049999 17.417496
"2013-07-11" 19.049999 19.65 19.049999 17.855211
"2013-07-12" 19.23 19.540001 19.209999 17.791384
"2013-07-15" 19.360001 19.75 19.219999 17.836973
"2013-07-16" 19.040001 20.65 19.040001 18.329405
"2013-07-17" 20.01 20.469999 19.719999 18.575617
"2013-07-18" 20.5 21 20.059999 18.995096
"2013-07-19" 21 21.389999 20.77 19.004221
"2013-07-22" 20.6 20.700001 20.219999 18.548264
"2013-07-23" 20.290001 20.690001 20 18.438837
"2013-07-24" 20.23 20.690001 20.049999 18.758003
"2013-07-25" 20.34 21.98 20 20.043795
"2013-07-26" 22.120001 22.139999 21.049999 19.688152
"2013-07-29" 21.5 22 21.059999 19.788467
"2013-07-30" 21.709999 21.799999 20.799999 19.697269
"2013-07-31" 21.790001 21.790001 21.190001 19.606075
"2013-08-01" 21.450001 21.799999 21.16 19.751984
"2013-08-02" 21.67 22.5 21.17 20.454155
"2013-08-05" 22.43 23 22.26 20.782448
"2013-08-06" 22.83 23.1 22.59 20.80068
"2013-08-07" 22.799999 22.99 22.639999 20.92835
"2013-08-08" 23 23.1 22.799999 21.037781
"2013-08-09" 22.85 23.120001 22.85 21.019541
"2013-08-12" 22.85 23.200001 22.85 21.119846
"2013-08-13" 23.139999 23.549999 22.85 21.338715
"2013-08-14" 23.299999 23.4 23.15 21.302238
"2013-08-15" 23.4 23.4 22.799999 20.973948
"2013-08-16" 22.98 23.09 22.799999 21.019541
"2013-08-19" 23 23.139999 22.700001 21.056019
"2013-08-20" 23.07 23.75 22.870001 21.074259
"2013-08-21" 23.07 23.299999 22.799999 21.001308
"2013-08-22" 23.049999 23.299999 22.85 20.983061
"2013-08-23" 22.959999 23.309999 22.870001 21.22016
"2013-08-26" 23.27 23.27 22.950001 20.955709
"2013-08-27" 22.870001 22.91 22 20.262651
"2013-08-28" 22.209999 22.440001 21.9 20.043795
"2013-08-29" 21.860001 22.139999 21.27 20.134985
"2013-08-30" 22.01 22.16 21.85 19.998201
"2013-09-03" 22.16 23.17 21.780001 20.545349
"2013-09-04" 22.459999 23.01 22.02 20.983061
"2013-09-05" 22.91 23.75 22.799999 21.265753
"2013-09-06" 23.309999 23.75 22.99 21.192808
"2013-09-09" 23.27 23.52 22.66 20.937468
"2013-09-10" 23 23.24 22.59 21.001308
"2013-09-11" 22.9 23.52 22.51 21.356945
"2013-09-12" 23.4 23.540001 23.02 21.056019
"2013-09-13" 23.02 23.52 22.9 21.429907
"2013-09-16" 23.65 23.969999 23.25 21.767309
"2013-09-17" 23.82 23.98 23.09 21.183685
"2013-09-18" 23.08 23.99 22.959999 21.694355
"2013-09-19" 23.6 23.9 23.16 21.393425
"2013-09-20" 23.360001 23.530001 22.68 20.873634
"2013-09-23" 22.9 23.950001 22.74 21.758194
"2013-09-24" 23.870001 24.389999 23.85 22.15943
"2013-09-25" 24.299999 24.43 24 22.004402
"2013-09-26" 24.26 24.51 23.83 21.876736
"2013-09-27" 23.959999 24.4 23.790001 21.86762
"2013-09-30" 23.82 24.09 22.780001 20.81892
"2013-10-01" 22.700001 23.200001 22.629999 21.156338
"2013-10-02" 23.129999 23.15 22.27 20.773329
"2013-10-03" 22.719999 23.32 22.639999 21.265753
"2013-10-04" 23.34 23.370001 23.16 21.293112
"2013-10-07" 23.190001 23.32 22.969999 21.019541
"2013-10-08" 23 23.290001 22.809999 21.08338
"2013-10-09" 23.18 23.33 22.51 20.682137
"2013-10-10" 22.809999 23.32 22.74 21.019541
"2013-10-11" 23.059999 23.27 22.870001 20.96483
"2013-10-14" 22.940001 22.950001 22.52 20.773329
"2013-10-15" 22.790001 22.91 22.51 20.654778
"2013-10-16" 22.700001 22.91 22.360001 20.673016
"2013-10-17" 22.559999 23.07 22.139999 20.773329
"2013-10-18" 22.799999 23.15 22.57 20.96483
"2013-10-21" 22.99 23.129999 22.5 20.572704
"2013-10-22" 22.58 22.91 22.02 20.791563
"2013-10-23" 22.719999 23.1 21.709999 20.718607
"2013-10-24" 22.700001 22.700001 21.200001 20.071154
"2013-10-25" 22 22.65 21.49 20.198824
"2013-10-28" 22.26 22.469999 21.84 20.107632
"2013-10-29" 22.17 22.360001 21.76 20.016441
"2013-10-30" 21.92 22.18 21.08 20.153231
"2013-10-31" 22 22.24 21.309999 20.052917
