"Index" "Open" "High" "Low" "Price"
"2012-09-17" 42.43 42.560001 41.330002 34.516796
"2012-09-18" 41.34 41.540001 40.970001 34.45039
"2012-09-19" 42.09 43.18 41.880001 35.429935
"2012-09-20" 41.549999 42.209999 40.830002 34.890347
"2012-09-21" 41.290001 42.119999 39.790001 33.2052
"2012-09-24" 39.959999 39.970001 38.560001 32.34185
"2012-09-25" 39.080002 39.400002 37.740002 31.337406
"2012-09-26" 37.740002 38.459999 37.5 31.710964
"2012-09-27" 38.529999 38.73 37.970001 31.710964
"2012-09-28" 37.939999 38.349998 37.639999 31.470226
"2012-10-01" 38.209999 38.610001 37.540001 31.312489
"2012-10-02" 37.860001 38.41 37.560001 31.536629
"2012-10-03" 37.880001 38.09 37.43 31.204576
"2012-10-04" 37.799999 37.939999 37.450001 31.295902
"2012-10-05" 38.080002 38.330002 37.25 31.104963
"2012-10-08" 37 37.119999 36.650002 30.573677
"2012-10-09" 36.830002 37.209999 36.540001 30.490665
"2012-10-10" 36.740002 36.740002 35.75 29.809952
"2012-10-11" 36.41 36.740002 35.639999 29.594131
"2012-10-12" 35.52 35.880001 34.98 29.311884
"2012-10-15" 35.439999 35.860001 34.959999 29.751858
"2012-10-16" 36.049999 37.349998 36.009998 30.698193
"2012-10-17" 37.09 38.110001 36.98 31.528334
"2012-10-18" 37.759998 38.41 37.630001 31.719257
"2012-10-19" 37.869999 38 37.189999 30.930645
"2012-10-22" 37.369999 37.689999 36.990002 31.080063
"2012-10-23" 36.18 39.459999 36.18 31.702654
"2012-10-24" 38.900002 39 38.200001 31.843784
"2012-10-25" 38.25 38.59 37.650002 31.598406
"2012-10-26" 37.880001 38.509998 37.759998 31.922792
"2012-10-31" 38.419998 38.990002 37.689999 31.598406
"2012-11-01" 38.07 40.23 37.959999 33.40332
"2012-11-02" 40.450001 40.52 39.110001 32.571568
"2012-11-05" 39 39.650002 39 32.937542
"2012-11-06" 39.66 40.560001 39.470001 33.528091
"2012-11-07" 39.110001 39.759998 38.900002 32.505024
"2012-11-08" 39.150002 39.369999 37.98 31.989328
"2012-11-09" 38.349998 38.91 38.25 32.022614
"2012-11-12" 38.689999 38.849998 38.34 32.030926
