"Index" "Open" "High" "Low" "Price"
"2022-01-19" 38 43 38 41.684982
"2022-01-20" 40.950001 48.369999 40.950001 44.662483
"2022-01-21" 43 49.950001 42.950001 44.662483
"2022-01-24" 44.919998 45 41.880001 42.478985
"2022-01-25" 42.5 44.919998 41.330002 41.583748
"2022-01-26" 45.009998 45.060001 42.25 42.895832
"2022-01-27" 47.259998 49.619999 43.75 45.416782
"2022-01-28" 44.549999 47.599998 44.150002 46.399357
"2022-01-31" 46 48 46 47.63998
"2022-02-01" 47.5 50 47.049999 49.406631
"2022-02-02" 50.035 56.23 49.799999 52.612404
"2022-02-03" 52.189999 56.57 50.299999 53.217831
"2022-02-04" 52.599998 54.330002 50.119999 49.763935
"2022-02-07" 50 50.040001 46 45.724457
"2022-02-08" 45.130001 47.560001 44.169998 45.158733
"2022-02-09" 44.75 47.450001 43.880001 46.955158
"2022-02-10" 45.509998 48.5 45.380001 46.697109
"2022-02-11" 46.759998 48.91 46.060001 47.729309
"2022-02-14" 48.189999 49 46.990002 47.749157
"2022-02-15" 47.700001 48.450001 47.200001 47.63998
"2022-02-16" 47.720001 48.470001 46.950001 46.845985
"2022-02-17" 46.32 47.080002 45.189999 44.95031
"2022-02-18" 45.150002 45.900002 44.799999 45.069408
"2022-02-22" 45.41 45.68 43.490002 43.213436
"2022-02-23" 43.689999 43.990002 42.18 42.766808
"2022-02-24" 43.150002 44.59 42.220001 44.131992
"2022-02-25" 44.299999 44.93 43.740002 43.723736
"2022-02-28" 43.299999 46.619999 42.459999 45.78495
"2022-03-01" 45.619999 48.049999 45.349998 47.587276
"2022-03-02" 48 50.299999 47.330002 49.250191
"2022-03-03" 49.82 50.330002 47.547001 49.309937
"2022-03-04" 49.169998 51.040001 48.25 50.783657
"2022-03-07" 51.060001 52.580002 49.869999 51.430901
"2022-03-08" 51.18 55.32 50.849998 52.098057
"2022-03-09" 52.439999 53.68 50.59 51.112259
"2022-03-10" 50.57 51.639999 49.27 51.102299
"2022-03-11" 51.419998 51.84 48.290001 49.110783
"2022-03-14" 51.860001 51.860001 48.59 50.733871
"2022-03-15" 51.34 51.59 49.900002 51.07243
"2022-03-16" 51.709999 52.400002 50.349998 51.550392
"2022-03-17" 51.880001 52.709999 50.91 50.773701
"2022-03-18" 50.650002 51.41 48.880001 48.802097
"2022-03-21" 48.91 49.43 48.599998 49.011208
"2022-03-22" 50.349998 52.049999 50.009998 50.923061
