"Index" "Open" "High" "Low" "Price"
"2012-09-17" 44.369999 44.369999 43.667999 33.810646
"2012-09-18" 44.105999 44.599998 43.481998 33.718609
"2012-09-19" 44.001999 44.813999 44.001999 34.180332
"2012-09-20" 44.292 44.354 43.222 33.737019
"2012-09-21" 44.326 44.400002 43.650002 33.548328
"2012-09-24" 43.222 43.700001 43.222 33.253799
"2012-09-25" 43.444 43.75 42.798 32.848831
"2012-09-26" 42.869999 43.422001 42.619999 33.118813
"2012-09-27" 43.576 44.133999 43.318001 33.766159
"2012-09-28" 44.07 44.588001 44.02 34.091366
"2012-10-01" 44.608002 45.299999 44.580002 34.439579
"2012-10-02" 44.625999 44.888 43.966 34.057613
"2012-10-03" 44.108002 44.380001 43.661999 33.744698
"2012-10-04" 44.153999 44.73 44.023998 34.299999
"2012-10-05" 45.032001 45.110001 44.132 34.042286
"2012-10-08" 44.153999 44.23 43.459999 33.467033
"2012-10-09" 43.495998 44.104 43.307999 33.467033
"2012-10-10" 43.438 43.694 42.633999 32.773659
"2012-10-11" 43.150002 43.986 42.925999 32.947002
"2012-10-12" 43.082001 43.105999 42.009998 32.292004
"2012-10-15" 41.400002 42.018002 41.310001 32.17849
"2012-10-16" 42.186001 43.062 42.042 32.71384
"2012-10-17" 42.549999 43.375999 42.389999 33.128033
"2012-10-18" 42.966 43.060001 42.16 32.459209
"2012-10-19" 42.071999 42.234001 41.112 31.704487
"2012-10-22" 41.080002 41.978001 41.080002 32.186153
"2012-10-23" 41.150002 41.306 40.174 31.531137
"2012-10-24" 41.41 41.540001 40.882 31.44676
"2012-10-25" 41.118 41.118 40.313999 31.233528
"2012-10-26" 40.832001 41.203999 40.41 31.419157
"2012-10-31" 41.021999 41.431999 40.754002 31.475914
"2012-11-01" 41.125999 42.200001 40.984001 32.348747
"2012-11-02" 41.200001 42.056 39.714001 30.530975
"2012-11-05" 39.624001 41.296001 39.624001 31.520403
"2012-11-06" 41.598 41.759998 41 31.650791
"2012-11-07" 40.580002 40.799999 40.026001 30.985044
"2012-11-08" 40.507999 40.540001 38.380001 30.027826
"2012-11-09" 38.784 39.936001 38.563999 30.072321
"2012-11-12" 39.375999 39.736 39.110001 30.250256
"2012-11-13" 39.243999 39.987999 39.112 30.260996
"2012-11-14" 38.993999 39.924 38.925999 30.010447
"2012-11-15" 39.175999 39.667999 38.616001 29.942812
"2012-11-16" 39.186001 39.504002 38.869999 30.062717
"2012-11-19" 39.798 40.782001 39.534 31.303154
"2012-11-20" 40.560001 41.439999 40.358002 31.636707
"2012-11-21" 40.942001 41.528 40.84 31.856512
"2012-11-23" 41.762001 42.034 41.652 32.297661
"2012-11-26" 41.945999 41.958 41.015999 32.030197
"2012-11-27" 41.734001 42.082001 41.551998 32.016369
"2012-11-28" 41.200001 41.784 40.844002 32.054794
"2012-11-29" 42.021999 42.950001 41.993999 32.786461
"2012-11-30" 42.678001 42.911999 42.422001 32.89867
"2012-12-03" 42.686001 43 41.799999 32.168537
"2012-12-04" 41.779999 42.647999 41.717999 32.666565
"2012-12-05" 42.630001 42.68 42.09 32.546677
"2012-12-06" 42.377998 42.700001 41.841999 32.542061
