"Index" "Open" "High" "Low" "Price"
"2014-09-24" 21.5 23.219999 21.35 18.115986
"2014-09-25" 22.559999 23.41 22.450001 18.092434
"2014-09-26" 23.18 23.370001 22.91 18.24942
"2014-09-29" 23.139999 23.450001 22.91 18.233721
"2014-09-30" 23.110001 23.57 23.049999 18.382854
"2014-10-01" 23.219999 23.610001 23.110001 18.398554
"2014-10-02" 23.34 23.59 23.302999 18.320063
"2014-10-03" 23.379999 23.469999 23.01 18.233721
"2014-10-06" 23.280001 23.370001 22.610001 17.77062
"2014-10-07" 22.559999 22.74 22.26 17.67643
"2014-10-08" 22.110001 23.15 22.110001 17.856958
"2014-10-09" 23 23 22.24 17.645031
"2014-10-10" 22.389999 22.559999 22.135 17.48805
"2014-10-13" 22.129999 22.66 22.120001 17.621485
"2014-10-14" 22.5 22.790001 22.299999 17.621485
"2014-10-15" 22.129999 22.200001 21.5 17.15053
"2014-10-16" 21.51 21.950001 21.469999 17.111279
"2014-10-17" 21.889999 22.07 21.73 17.205473
"2014-10-20" 21.82 22.379999 21.82 17.566534
"2014-10-21" 22.110001 22.93 22.110001 17.911901
"2014-10-22" 22.780001 23 22.403 17.739225
"2014-10-23" 22.969999 23.08 22.59 18.076742
"2014-10-24" 23.32 23.49 22.77 18.194477
"2014-10-27" 23.15 23.190001 22.725 17.935453
"2014-10-28" 23.16 23.59 22.93 18.272963
"2014-10-29" 23.35 23.530001 23.200001 18.429949
"2014-10-30" 23.459999 23.690001 23.297001 18.398554
"2014-10-31" 23.59 23.92 23.370001 18.539841
"2014-11-03" 23.49 24 23.16 18.838106
"2014-11-04" 23.74 23.91 23.43 18.601652
"2014-11-05" 23.799999 23.950001 23.549999 18.83811
"2014-11-06" 23.790001 24.459999 23.75 19.153391
"2014-11-07" 24.48 24.48 23.959999 18.893286
"2014-11-10" 24.040001 24.25 23.75 18.87752
"2014-11-11" 23.969999 24.219999 23.75 18.86964
"2014-11-12" 23.75 23.98 23.51 18.80658
"2014-11-13" 23.620001 23.959999 23.58 18.775053
"2014-11-14" 23.74 24 23.74 18.885403
"2014-11-17" 24.110001 24.110001 23.559999 18.916925
"2014-11-18" 24.040001 24.040001 23.709999 18.704115
"2014-11-19" 23.799999 24 23.51 18.696236
"2014-11-20" 23.57 23.870001 23.5 18.688349
"2014-11-21" 23.950001 24.209999 23.695 18.735647
"2014-11-24" 23.799999 24.360001 23.68 19.113985
"2014-11-25" 24.24 24.299999 24.02 18.940577
"2014-11-26" 24.110001 24.27 23.92 19.098215
"2014-11-28" 24.219999 25.09 24.049999 19.413498
"2014-12-01" 24.620001 24.895 23.49 18.901167
"2014-12-02" 24.02 24.43 23.799999 19.074572
"2014-12-03" 24.33 24.59 24.190001 19.098215
"2014-12-04" 24.32 24.559999 24.09 19.232216
"2014-12-05" 24.450001 25.219999 24.450001 19.823364
"2014-12-08" 25.08 25.139999 24.68 19.736666
"2014-12-09" 24.709999 25.33 24.5 19.831249
"2014-12-10" 25.15 25.41 24.620001 19.429266
"2014-12-11" 24.85 25.280001 24.51 19.460793
"2014-12-12" 24.52 24.83 24.4 19.279507
"2014-12-15" 24.68 24.805 24.27 19.303148
"2014-12-16" 24.530001 24.875 24.219999 19.113985
"2014-12-17" 24.219999 24.799999 24.219999 19.358324
"2014-12-18" 24.75 25.139999 24.68 19.768192
"2014-12-19" 25.040001 25.6 24.84 19.705139
"2014-12-22" 25.16 25.278999 24.66 19.78396
"2014-12-23" 25.309999 25.5 25.120001 20.051945
"2014-12-24" 25.450001 25.59 25.18 20.107121
"2014-12-26" 25.51 25.51 25.25 19.949478
"2014-12-29" 25.200001 25.51 25.18 19.996773
"2014-12-30" 25.459999 25.5 25.16 19.854895
"2014-12-31" 25.25 25.285 24.83 19.594788
"2015-01-02" 24.969999 25 24.290001 19.515968
"2015-01-05" 24.58 24.68 23.84 19.058807
"2015-01-06" 24.17 24.219999 23.700001 18.845991
"2015-01-07" 23.99 24.129999 23.790001 18.916925
"2015-01-08" 24.07 24.48 23.940001 19.058807
"2015-01-09" 24.15 24.18 23.780001 18.830229
"2015-01-12" 23.799999 24.040001 23.620001 18.822342
"2015-01-13" 23.940001 24.190001 23.610001 18.814463
"2015-01-14" 23.6 23.743999 23.1 18.475536
"2015-01-15" 23.370001 23.610001 22.67 18.097204
"2015-01-16" 22.83 23.24 22.790001 18.278486
"2015-01-20" 23.16 23.85 22.91 18.207544
"2015-01-21" 23.07 23.59 23.01 18.349419
"2015-01-22" 23.299999 24.16 23.280001 19.027281
"2015-01-23" 24.040001 24.040001 23.67 18.688349
"2015-01-26" 23.75 24.309999 23.530001 18.987873
"2015-01-27" 23.860001 24.639999 23.76 19.03516
"2015-01-28" 24.17 24.35 23.84 18.80658
"2015-01-29" 23.92 24.35 23.26 19.106096
"2015-01-30" 24.1 24.24 23.809999 18.83811
"2015-02-02" 23.85 24.16 23.690001 18.916925
"2015-02-03" 23.91 24.450001 23.799999 19.225615
"2015-02-04" 24.27 24.379999 23.93 19.003994
"2015-02-05" 24.09 24.41 23.98 19.273109
