"Index" "Open" "High" "Low" "Price"
"2012-09-17" 57.07 57.459999 56.709999 44.753456
"2012-09-18" 56.540001 56.869999 55.91 44.579929
"2012-09-19" 56.700001 57.48 56.27 45.274029
"2012-09-20" 57.220001 58 56.799999 45.392338
"2012-09-21" 57.5 57.830002 57.200001 45.447556
"2012-09-24" 57.139999 58.57 57.02 46.196842
"2012-09-25" 59.139999 60.939999 58.990002 46.56757
"2012-09-26" 59.669998 59.900002 58.82 46.583347
"2012-09-27" 59.169998 59.400002 58.720001 46.748974
"2012-09-28" 59.16 59.16 58.110001 46.20475
"2012-10-01" 58.900002 60.32 58.700001 46.614887
"2012-10-02" 59.169998 59.330002 58.200001 46.22052
"2012-10-03" 58.849998 59.889999 58.849998 47.222225
"2012-10-04" 59.860001 60.290001 59.34 47.245884
"2012-10-05" 60.150002 61.02 60.060001 47.569283
"2012-10-08" 60.580002 60.84 59.939999 47.316887
"2012-10-09" 59.77 60.439999 59.110001 46.827858
"2012-10-10" 59.5 59.950001 58.830002 46.536015
"2012-10-11" 59.490002 59.650002 58.860001 46.457138
"2012-10-12" 59.509998 60.91 59.490002 47.277439
"2012-10-15" 60.139999 60.529999 59.720001 47.608707
"2012-10-16" 60.91 61.5 60.41 48.034637
"2012-10-17" 63 63.16 61.330002 48.657738
"2012-10-18" 61.48 61.68 61 48.429016
"2012-10-19" 61.509998 61.580002 60.369999 47.892662
"2012-10-22" 60.75 60.880001 59.630001 47.206455
"2012-10-23" 60.880001 61.290001 59.59 48.097736
"2012-10-24" 58.990002 59.799999 57.16 45.392338
"2012-10-25" 57.549999 59.360001 57.549999 46.614887
"2012-10-26" 59.009998 59.619999 58.799999 46.859402
"2012-10-31" 59.650002 61.139999 57.970001 47.569283
"2012-11-01" 60.419998 61.860001 59.970001 48.563099
"2012-11-02" 62.049999 62.049999 61.369999 48.492111
"2012-11-05" 61.580002 62.150002 61.150002 48.925926
"2012-11-06" 62.16 63.490002 62.110001 49.627907
"2012-11-07" 62.049999 62.560001 61.849998 49.075783
"2012-11-08" 61.970001 62.48 61.119999 48.507881
"2012-11-09" 61.490002 62.189999 61.060001 48.492111
"2012-11-12" 61.48 61.759998 61.139999 48.413246
"2012-11-13" 61.290001 62.419998 61.240002 48.42112
"2012-11-14" 61.529999 61.560001 59.68 47.222225
"2012-11-15" 59.91 60.049999 59.34 46.954044
"2012-11-16" 59.490002 59.790001 58.630001 46.66222
"2012-11-19" 59.91 60.18 59.279999 47.1749
"2012-11-20" 59.580002 60.110001 59.52 47.379971
"2012-11-21" 60.09 60.41 59.970001 47.498283
"2012-11-23" 60.139999 60.990002 59.959999 48.097736
"2012-11-26" 60.790001 61.48 60.75 48.492111
"2012-11-27" 61.330002 61.77 60.73 47.979431
"2012-11-28" 60.560001 61.91 60.41 48.689297
"2012-11-29" 61.98 62.57 61.66 48.878597
"2012-11-30" 62.220001 62.369999 61.459999 48.697189
"2012-12-03" 62.029999 62.139999 60.68 48.113522
"2012-12-04" 60.98 61.52 60.75 48.129288
"2012-12-05" 61.080002 62.099998 61.060001 48.831268
"2012-12-06" 61.639999 61.950001 60.419998 47.829556
"2012-12-07" 60.779999 60.970001 60.139999 47.798012
"2012-12-10" 60.759998 62.049999 60.720001 48.854927
"2012-12-11" 62.470001 62.810001 61.959999 49.107334
"2012-12-12" 62.57 62.650002 61.709999 48.831268
"2012-12-13" 61.630001 62.389999 61.27 48.894733
"2012-12-14" 61.73 61.959999 61.400002 48.799538
"2012-12-17" 61.779999 62.189999 61.610001 49.331005
"2012-12-18" 62.439999 63.93 62.279999 50.409805
"2012-12-19" 63.720001 64.139999 63.389999 50.473251
"2012-12-20" 63.529999 63.959999 63.330002 50.576389
"2012-12-21" 63.009998 63.98 62.810001 50.449467
"2012-12-24" 63.25 63.799999 63.18 50.22736
"2012-12-26" 63.540001 63.880001 62.990002 49.965591
"2012-12-27" 62.950001 63.119999 62.330002 49.814877
"2012-12-28" 62.34 62.849998 62.150002 49.299274
"2012-12-31" 62.18 63.25 62.060001 50.148045
"2013-01-02" 64.110001 64.879997 61.650002 50.100433
"2013-01-03" 62.540001 63.16 61.93 49.449993
"2013-01-04" 62.150002 63.540001 62.07 50.005249
"2013-01-07" 62.509998 63.450001 62.5 50.092506
"2013-01-08" 62.810001 63.299999 61.810001 50.140095
"2013-01-09" 63.189999 64.260002 63.009998 50.933342
"2013-01-10" 64.589996 64.870003 64.040001 51.068172
"2013-01-11" 64.400002 64.639999 64.279999 51.195091
"2013-01-14" 64.559998 64.989998 64.260002 51.40134
"2013-01-15" 65.029999 65.529999 64.510002 51.837612
"2013-01-16" 65.269997 65.360001 64.050003 51.345814
"2013-01-17" 64.870003 64.940002 64.239998 51.464787
"2013-01-18" 64.800003 65.559998 64.629997 51.964539
"2013-01-22" 65.349998 66.290001 65.25 52.408737
"2013-01-23" 66.050003 66.489998 65.650002 52.154896
"2013-01-24" 66.349998 67.849998 66.120003 53.313007
"2013-01-25" 67.279999 67.489998 66.580002 53.297157
"2013-01-28" 67.529999 67.830002 66.900002 53.550983
"2013-01-29" 67.480003 67.93 67.099998 53.876225
"2013-01-30" 67.68 67.839996 66.779999 53.257492
"2013-01-31" 66.779999 67.080002 65 52.472198
"2013-02-01" 66.75 67.110001 65.989998 53.059193
"2013-02-04" 65.510002 66.93 65.510002 52.37701
"2013-02-05" 66.089996 67.379997 65.089996 53.154377
"2013-02-06" 61.560001 61.970001 60.009998 47.990444
"2013-02-07" 60.07 60.5 58.75 47.538311
"2013-02-08" 59.360001 59.98 59.130001 47.371731
"2013-02-11" 59.700001 59.900002 59.189999 47.070297
"2013-02-12" 59.540001 59.560001 58.939999 46.903725
"2013-02-13" 59.27 59.349998 58.450001 46.649895
"2013-02-14" 58.639999 58.779999 57.93 46.070824
"2013-02-15" 57.799999 58.310001 57.59 45.832867
"2013-02-19" 57.950001 58.509998 57.43 46.300873
"2013-02-20" 58.400002 58.900002 58.200001 46.380196
"2013-02-21" 58.25 58.310001 57.459999 45.626621
"2013-02-22" 57.830002 58.209999 57.709999 45.983578
"2013-02-25" 58.189999 58.349998 56.73 45.031693
"2013-02-26" 56.919998 57.240002 55.810001 44.405048
"2013-02-27" 55.98 57.57 55.98 45.650269
"2013-02-28" 57.189999 57.560001 56.900002 45.514568
"2013-03-01" 56.740002 57.400002 56.610001 45.546497
"2013-03-04" 57.060001 57.259998 56.27 45.546497
"2013-03-05" 57.169998 57.830002 57.07 45.929653
"2013-03-06" 57.599998 57.77 57.150002 45.682194
"2013-03-07" 57.369999 57.82 56.790001 45.442738
"2013-03-08" 57.16 57.540001 56.959999 45.498615
"2013-03-11" 56.990002 57.52 56.950001 45.498615
"2013-03-12" 57.049999 57.810001 57.049999 45.777981
"2013-03-13" 57.32 59.16 57.130001 47.150917
"2013-03-14" 59.07 59.34 58.419998 47.254688
"2013-03-15" 58.950001 59.400002 58.43 47.366447
"2013-03-18" 58.810001 59.779999 58.610001 47.246719
