"Index" "Open" "High" "Low" "Price"
"2012-09-17" 82.709999 82.739998 80.470001 80.739998
"2012-09-18" 80.199997 80.730003 79.800003 79.889999
"2012-09-19" 80 80.559998 79.169998 80.379997
"2012-09-20" 79.940002 80.870003 79.769997 80.279999
"2012-09-21" 80.970001 81.849998 78.699997 79.43
"2012-09-24" 77.830002 78.82 75.660004 76.370003
"2012-09-25" 76.860001 77.099998 75.360001 75.440002
"2012-09-26" 75.349998 75.470001 73.010002 74.889999
"2012-09-27" 75.050003 75.889999 74.419998 75.209999
"2012-09-28" 75.029999 75.739998 74.07 75.059998
"2012-10-01" 75.339996 76.040001 74.599998 75.010002
"2012-10-02" 75.059998 76.760002 75.059998 75.5
"2012-10-03" 75.849998 77.5 75.519997 76.760002
"2012-10-04" 77.120003 77.589996 76.209999 77.379997
"2012-10-05" 77.550003 77.779999 76.440002 76.529999
"2012-10-08" 76.290001 76.43 75.440002 76.029999
"2012-10-09" 76.160004 76.220001 75.790001 76.080002
"2012-10-10" 76.040001 76.800003 75.620003 75.980003
"2012-10-11" 76.25 76.860001 75.050003 76.120003
"2012-10-12" 75.830002 76.970001 75.57 76.129997
"2012-10-15" 76.099998 77.400002 76.010002 76.730003
"2012-10-16" 77.019997 77.230003 76.279999 76.650002
"2012-10-17" 76.470001 78.290001 76.470001 77.690002
"2012-10-18" 77.300003 78.68 76.989998 78.510002
"2012-10-19" 78.410004 78.580002 77.120003 78.540001
"2012-10-22" 78.139999 79.080002 77.610001 78.169998
"2012-10-23" 77.220001 79.949997 75.309998 76.190002
"2012-10-24" 76.279999 77.07 75.639999 76.089996
"2012-10-25" 76.910004 77.620003 76.019997 76.190002
"2012-10-26" 75.800003 76.730003 75.419998 76.57
"2012-10-31" 76.550003 77.809998 75.989998 77.410004
"2012-11-01" 77.199997 77.989998 76.809998 77.75
"2012-11-02" 77.199997 78.169998 75.010002 75.099998
"2012-11-05" 73 73.239998 71.07 72.940002
"2012-11-06" 70.010002 72.610001 70.010002 71.620003
"2012-11-07" 70.849998 71.610001 69 69.470001
"2012-11-08" 69.870003 69.959999 68.199997 68.260002
"2012-11-09" 68.239998 69.720001 68 68.720001
"2012-11-12" 69.269997 69.690002 68.379997 69
"2012-11-13" 68.480003 69.150002 68.25 68.940002
"2012-11-14" 69.080002 69.110001 67.18 67.5
"2012-11-15" 67.599998 68.580002 67.059998 68.540001
"2012-11-16" 68.330002 69.980003 68.199997 69.269997
"2012-11-19" 69.93 69.959999 68.489998 68.639999
"2012-11-20" 69.110001 71.669998 68.800003 70.309998
"2012-11-21" 69.870003 70.849998 69.589996 69.870003
"2012-11-23" 70.190002 70.470001 69.699997 70
"2012-11-26" 70.029999 70.339996 69.360001 70.279999
"2012-11-27" 70.190002 70.470001 69.860001 70.290001
"2012-11-28" 69.779999 70.599998 69.639999 70.290001
"2012-11-29" 71.099998 72.370003 70.339996 71.309998
"2012-11-30" 71.029999 71.459999 70.300003 70.849998
"2012-12-03" 70.849998 70.860001 70.089996 70.449997
"2012-12-04" 69.830002 70.93 69.599998 70.449997
"2012-12-05" 70.129997 70.769997 69.610001 69.739998
"2012-12-06" 69.639999 70.370003 68.959999 69.599998
"2012-12-07" 69.779999 70.709999 69.5 70.43
"2012-12-10" 70.470001 70.470001 69.279999 69.760002
"2012-12-11" 69.760002 69.989998 69.129997 69.589996
"2012-12-12" 69.860001 70.32 69.349998 69.610001
"2012-12-13" 69.730003 69.970001 68.610001 69.080002
"2012-12-14" 69.010002 69.620003 68.440002 68.68
"2012-12-17" 68.889999 70.970001 68.629997 70.779999
"2012-12-18" 71.029999 74.639999 70.879997 74.139999
"2012-12-19" 74.349998 75 72.57 74.050003
"2012-12-20" 73.940002 74.57 73.050003 73.209999
"2012-12-21" 72.050003 73.699997 71.669998 73.43
"2012-12-24" 73.739998 73.839996 73.059998 73.43
"2012-12-26" 73.580002 74.620003 72.669998 73.239998
"2012-12-27" 73.019997 73.830002 72.459999 73.669998
"2012-12-28" 72.900002 74.029999 72.68 73.580002
"2012-12-31" 73.919998 76.690002 73.18 76.239998
"2013-01-02" 77.5 78.669998 77.029999 78.099998
"2013-01-03" 78 78.959999 77.370003 77.980003
"2013-01-04" 78.309998 78.309998 77.360001 77.599998
"2013-01-07" 77.18 77.669998 76.730003 77.400002
"2013-01-08" 77.540001 77.57 76.279999 77.199997
"2013-01-09" 77.5 78.75 77.330002 78.599998
"2013-01-10" 79.029999 79.199997 78.449997 79
"2013-01-11" 79 79.019997 78.089996 78.389999
"2013-01-14" 78.279999 78.800003 77.739998 78.18
"2013-01-15" 77.730003 78.709999 77.68 78.32
"2013-01-16" 78.279999 78.480003 77.940002 78.339996
"2013-01-17" 78.559998 79.099998 78.489998 78.949997
"2013-01-18" 78.889999 79.050003 78.459999 78.830002
"2013-01-22" 79.150002 79.150002 78.489998 78.82
"2013-01-23" 78.419998 79.139999 78.419998 78.949997
"2013-01-24" 79.099998 79.779999 78.839996 79.220001
"2013-01-25" 79.610001 80.75 79.150002 80.68
"2013-01-28" 80.660004 82.82 80.480003 82.239998
"2013-01-29" 82.07 82.239998 81.089996 81.5
"2013-01-30" 81.459999 82.199997 81.050003 81.629997
"2013-01-31" 81.440002 81.940002 77.970001 77.970001
"2013-02-01" 78.059998 78.779999 76.779999 78.040001
"2013-02-04" 77.580002 78.389999 76.589996 76.669998
"2013-02-05" 77.260002 83.550003 77.260002 81.529999
"2013-02-06" 78.07 82.150002 78.07 81.050003
"2013-02-07" 80.709999 82.610001 78.790001 80.629997
"2013-02-08" 80.5 81.669998 80.019997 80.889999
"2013-02-11" 80.559998 80.559998 79.18 79.309998
"2013-02-12" 79.550003 80.010002 79.239998 80
"2013-02-13" 80.870003 80.910004 79.68 80.029999
"2013-02-14" 79.949997 80.129997 79.120003 79.480003
"2013-02-15" 79.470001 79.669998 79.220001 79.540001
"2013-02-19" 79.82 79.980003 79.07 79.389999
"2013-02-20" 79.489998 79.739998 77.93 77.989998
"2013-02-21" 78 78.050003 76.190002 77.029999
"2013-02-22" 79.309998 86.32 76.25 85.019997
"2013-02-25" 83.889999 85.559998 82.919998 83.300003
"2013-02-26" 83.989998 86.980003 83.330002 86.739998
"2013-02-27" 87.400002 89.139999 85.849998 87.129997
"2013-02-28" 86.940002 87.25 84.209999 86.389999
"2013-03-01" 85.769997 86.919998 85.769997 86.489998
"2013-03-04" 85.910004 87.010002 85.739998 86.989998
"2013-03-05" 86.959999 87.669998 86.669998 87.610001
"2013-03-06" 88.139999 90.900002 88.010002 89.980003
"2013-03-07" 90.599998 90.599998 89.489998 89.800003
"2013-03-08" 90 90.339996 86.760002 89.059998
"2013-03-11" 89.139999 89.489998 88.690002 88.949997
"2013-03-12" 89.440002 89.639999 88.900002 89.5
"2013-03-13" 90.830002 90.949997 89.410004 89.879997
"2013-03-14" 89.879997 90.190002 87.93 90.110001
"2013-03-15" 90.32 90.730003 89.120003 90.089996
"2013-03-18" 88.93 99.93 88.699997 98.040001
"2013-03-19" 99.650002 100.650002 97.879997 100.379997
"2013-03-20" 101 106.290001 100.75 105.769997
"2013-03-21" 104.279999 104.900002 101.480003 102.360001
"2013-03-22" 102.599998 103.290001 102 103.279999
"2013-03-25" 103.5 103.900002 102.059998 102.440002
"2013-03-26" 102.900002 103.199997 102.32 102.989998
"2013-03-27" 102.620003 105.550003 102.620003 104.290001
"2013-03-28" 104.43 105.07 103.839996 104.18
"2013-04-01" 104.650002 105.290001 102.959999 103.779999
"2013-04-02" 104.470001 105.529999 103.779999 103.800003
"2013-04-03" 103.910004 104.139999 101.07 102.279999
"2013-04-04" 102.5 104.599998 101.790001 104.550003
"2013-04-05" 102.660004 105.5 101.599998 105.489998
"2013-04-08" 105.449997 106.980003 103.650002 104.75
"2013-04-09" 104.830002 105.089996 103.110001 103.580002
"2013-04-10" 104.459999 104.839996 102.970001 103.669998
"2013-04-11" 103.769997 104.839996 103.290001 104.839996
"2013-04-12" 104.190002 105.470001 104.190002 105.059998
"2013-04-15" 104.260002 104.260002 102.889999 103.080002
"2013-04-16" 104.239998 105.199997 102.949997 104.910004
"2013-04-17" 104.639999 105.389999 103.220001 104.029999
"2013-04-18" 104.43 104.43 101.489998 102.730003
"2013-04-19" 103.220001 103.43 102.440002 103.040001
"2013-04-22" 104.099998 104.550003 102.489998 103.849998
"2013-04-23" 104.300003 105.57 103.379997 104.410004
"2013-04-24" 104.849998 105.150002 101.019997 103.050003
"2013-04-25" 102.790001 103.300003 100.919998 101.110001
"2013-04-26" 100.989998 102.639999 100.029999 101.639999
"2013-04-29" 102.169998 102.169998 100.709999 101.620003
"2013-04-30" 101.379997 101.379997 99.410004 100.739998
"2013-05-01" 100.480003 101.720001 100.480003 101.169998
"2013-05-02" 101.830002 103.209999 101.279999 103.129997
"2013-05-03" 103.889999 105.290001 103.709999 104.610001
"2013-05-06" 104.639999 105.769997 104.150002 105.029999
"2013-05-07" 104.93 111.440002 104.93 109.690002
"2013-05-08" 108.760002 110.489998 107.660004 110.040001
"2013-05-09" 109.160004 110.550003 109.160004 110.129997
"2013-05-10" 110.330002 112.099998 110.059998 110.059998
"2013-05-13" 109.919998 112.089996 109.860001 111.650002
"2013-05-14" 111.419998 114.029999 111.089996 113.779999
"2013-05-15" 113.82 114.669998 113.540001 114.529999
"2013-05-16" 114.730003 116.419998 113.25 113.610001
"2013-05-17" 114.639999 114.720001 112.040001 112.139999
"2013-05-20" 112.540001 113.309998 111.220001 111.410004
"2013-05-21" 111.779999 114.82 111.370003 114
"2013-05-22" 113.519997 115.129997 112.389999 112.940002
"2013-05-23" 111.470001 113.639999 111.470001 113.540001
"2013-05-24" 113.040001 113.040001 111.739998 112.849998
"2013-05-28" 114.529999 115.449997 113.599998 114.099998
"2013-05-29" 113.360001 114.43 112.599998 112.650002
"2013-05-30" 112.959999 113.139999 111.330002 111.809998
"2013-05-31" 111.209999 113.389999 111.209999 112
"2013-06-03" 112.739998 112.739998 109.629997 111.620003
"2013-06-04" 111.43 115.410004 111.43 114.949997
"2013-06-05" 114.620003 116.099998 113.919998 113.919998
"2013-06-06" 113.919998 114.470001 111.470001 112.629997
"2013-06-07" 113.360001 114.599998 112.389999 113.910004
"2013-06-10" 114.870003 115.150002 112.25 112.529999
"2013-06-11" 111.989998 113.699997 111.169998 112.459999
"2013-06-12" 112.910004 113.800003 111.25 111.389999
"2013-06-13" 111.620003 111.940002 110.860001 110.889999
"2013-06-14" 110.669998 117.089996 110.220001 116.610001
"2013-06-17" 117.510002 119.239998 116.610001 117.720001
"2013-06-18" 117.279999 119.849998 116.75 117.949997
"2013-06-19" 118.120003 119 117.260002 117.800003
