"Index" "Open" "High" "Low" "Price"
"2012-09-17" 51.345001 52.735001 51.345001 41.822147
"2012-09-18" 52.334999 53.115002 52 42.1642
"2012-09-19" 53.005001 53.189999 52.77 42.116459
"2012-09-20" 52.865002 53.615002 52.865002 42.474422
"2012-09-21" 53.5 53.575001 53.049999 42.371014
"2012-09-24" 53.134998 53.619999 53.075001 42.534088
"2012-09-25" 53.654999 53.904999 53.314999 42.418747
"2012-09-26" 53.389999 53.884998 53.325001 42.458508
"2012-09-27" 53.525002 53.799999 53.169998 42.697166
"2012-09-28" 53.715 53.735001 53.244999 42.645454
"2012-10-01" 53.419998 54.369999 53.264999 42.951706
"2012-10-02" 54.134998 54.285 53.75 42.923862
"2012-10-03" 54.02 54.220001 53.785 42.967621
"2012-10-04" 54.25 54.540001 54.055 43.138645
"2012-10-05" 54.294998 54.34 53.939999 43.134666
"2012-10-08" 54.18 54.41 53.974998 43.150585
"2012-10-09" 54.189999 54.389999 53.650002 42.728977
"2012-10-10" 53.73 54.025002 53.564999 42.832397
"2012-10-11" 54.215 54.310001 53.93 42.967621
"2012-10-12" 54.205002 54.365002 53.66 42.911945
"2012-10-15" 54.009998 54.27 53.790001 43.138645
"2012-10-16" 54.375 54.415001 54.049999 43.190357
"2012-10-17" 54.285 55.485001 54.285 43.977871
"2012-10-18" 55.275002 55.445 54.889999 43.997772
"2012-10-19" 54.880001 54.900002 53.720001 43.093815
"2012-10-22" 53.759998 54.049999 53.535 43.073807
"2012-10-23" 53.564999 53.625 53.029999 42.60984
"2012-10-24" 53.509998 53.755001 53.084999 42.62183
"2012-10-25" 53.5 53.5 51.525002 41.837864
"2012-10-26" 52.349998 52.494999 51.849998 41.545887
"2012-10-31" 51.98 52.610001 51.779999 41.981865
"2012-11-01" 52.34 53.07 52.119999 42.345848
"2012-11-02" 53.02 53.294998 52.43 41.981865
"2012-11-05" 52.27 52.875 52.27 42.089851
"2012-11-06" 52.744999 53.005001 52.535 42.253853
"2012-11-07" 52.799999 52.799999 52.165001 41.985874
"2012-11-08" 52.43 52.59 52 41.625881
"2012-11-09" 51.91 52.345001 51.834999 41.545887
"2012-11-12" 51.994999 52.435001 51.755001 41.721886
"2012-11-13" 51.970001 52.695 51.900002 41.709873
"2012-11-14" 52.244999 52.48 51.580002 41.409893
"2012-11-15" 51.669998 52.075001 51.625 41.505905
"2012-11-16" 51.939999 52.625 51.895 42.05788
"2012-11-19" 52.955002 53.455002 52.900002 42.761833
"2012-11-20" 53.305 53.544998 53 42.761833
"2012-11-21" 53.419998 53.525002 53.040001 42.717819
"2012-11-23" 53.255001 54 53.240002 43.197796
"2012-11-26" 53.654999 54.044998 53.544998 43.141808
"2012-11-27" 53.924999 54.240002 53.715 43.053806
"2012-11-28" 53.689999 53.955002 53.584999 43.101807
"2012-11-29" 53.970001 54.165001 53.700001 43.201809
"2012-11-30" 54.07 54.375 53.935001 43.397793
"2012-12-03" 54.314999 54.5 54.005001 43.233803
"2012-12-04" 54 54.049999 53.764999 43.029804
"2012-12-05" 53.849998 53.895 53.494999 42.881821
"2012-12-06" 53.505001 53.605 53.150002 42.657829
"2012-12-07" 53.564999 54.195 53.549999 43.345795
"2012-12-10" 53.825001 54.18 53.314999 42.713829
"2012-12-11" 53.535 54.099998 53.494999 43.149807
"2012-12-12" 54 54.095001 53.34 42.793819
"2012-12-13" 53.615002 53.68 52.994999 42.461845
"2012-12-14" 53.080002 53.5 52.849998 42.333851
"2012-12-17" 52.98 53.349998 52.849998 42.481842
"2012-12-18" 53.209999 53.674999 52.994999 42.901817
"2012-12-19" 53.575001 53.75 53.009998 42.409843
"2012-12-20" 53.02 53.279999 52.674999 42.313854
"2012-12-21" 52.59 53.040001 52.419998 42.037857
"2012-12-24" 52.314999 52.68 52.299999 42.017872
"2012-12-26" 52.525002 52.669998 52.185001 41.881878
"2012-12-27" 52.279999 52.77 52.259998 42.10585
"2012-12-28" 52.395 52.634998 51.98 41.613888
"2012-12-31" 51.884998 52.314999 51.41 41.813873
"2013-01-02" 52.805 53.154999 52.615002 42.521839
"2013-01-03" 53.095001 53.424999 52.994999 42.661835
"2013-01-04" 53.345001 54.029999 53.34 43.157803
"2013-01-07" 53.634998 53.634998 52.924999 42.429848
"2013-01-08" 52.955002 53.16 52.875 42.525841
"2013-01-09" 53.174999 53.32 52.945 42.449841
"2013-01-10" 53.150002 53.695 53.025002 42.953815
"2013-01-11" 53.779999 53.959999 53.490002 42.833828
"2013-01-14" 53.654999 54.060001 53.5 43.169807
"2013-01-15" 53.650002 53.955002 53.404999 43.093815
"2013-01-16" 53.700001 53.994999 53.509998 43.12981
"2013-01-17" 54.174999 54.645 54.09 43.573772
"2013-01-18" 54.380001 54.505001 54.115002 43.601791
"2013-01-22" 54.02 54.23 53.869999 43.629944
"2013-01-23" 54.110001 54.435001 53.970001 43.770725
"2013-01-24" 54.645 55.064999 54.634998 44.156921
"2013-01-25" 55.009998 55.209999 54.700001 44.30978
"2013-01-28" 55.095001 55.235001 54.619999 44.30978
"2013-01-29" 54.98 55.5 54.709999 44.61549
"2013-01-30" 55.485001 55.685001 55.240002 44.591362
"2013-01-31" 54.07 55.540001 53.369999 43.191475
"2013-02-01" 54.419998 54.965 54.235001 44.185059
"2013-02-04" 54.419998 54.700001 54.32 43.738552
"2013-02-05" 54.735001 55.060001 54.630001 44.032211
"2013-02-06" 54.584999 54.939999 54.200001 44.173012
"2013-02-07" 54.91 55.105 54.665001 44.325863
"2013-02-08" 55.025002 55.424999 54.209999 43.642017
"2013-02-11" 54.080002 54.48 53.814999 43.561546
"2013-02-12" 54.200001 54.240002 53.895 43.465019
"2013-02-13" 54.134998 54.165001 53.685001 43.404671
"2013-02-14" 53.810001 54.365002 53.785 43.577652
"2013-02-15" 54.349998 55.16 54.349998 44.257488
"2013-02-19" 55.080002 56.02 54.959999 45.017776
"2013-02-20" 56 56.5 55.974998 45.098221
"2013-02-21" 55.875 56.810001 55.755001 45.492439
"2013-02-22" 56.549999 57.099998 56.404999 45.846447
"2013-02-25" 57.125 57.855 56.880001 45.862522
"2013-02-26" 56.450001 57.07 56.240002 45.8223
"2013-02-27" 56.775002 57.459999 56.415001 46.043537
"2013-02-28" 57.330002 57.845001 57.205002 46.031475
"2013-03-01" 57.044998 57.209999 56.700001 45.902752
"2013-03-04" 57.040001 57.439999 56.93 46.196407
"2013-03-05" 57.615002 58.084999 57.549999 46.546383
"2013-03-06" 57.924999 57.974998 57.419998 46.401573
"2013-03-07" 58.355 58.355 57.645 46.425701
"2013-03-08" 57.915001 57.974998 57.5 46.558449
"2013-03-11" 57.915001 57.98 57.619999 46.518234
"2013-03-12" 57.845001 57.875 57.5 46.284904
"2013-03-13" 57.529999 57.580002 57.310001 46.220551
"2013-03-14" 57.474998 57.490002 56.855 45.794136
"2013-03-15" 56.470001 56.555 56.040001 45.086155
"2013-03-18" 55.82 56.224998 55.66 45.158562
"2013-03-19" 56.055 56.34 55.985001 45.271191
"2013-03-20" 56.43 57.400002 56.43 46.099857
"2013-03-21" 57.055 57.290001 56.849998 45.741848
"2013-03-22" 56.875 57.5 56.674999 46.023449
"2013-03-25" 57.384998 57.544998 57.049999 46.019417
"2013-03-26" 57.400002 58.68 57.400002 47.194035
"2013-03-27" 58.25 58.48 58.035 46.952675
"2013-03-28" 58.555 59.224998 58.139999 47.479641
"2013-04-01" 58.935001 59.07 58.639999 47.350914
"2013-04-02" 59.025002 59.485001 58.985001 47.829613
"2013-04-03" 59.5 59.560001 58.52 47.190002
"2013-04-04" 58.77 58.865002 58.369999 47.097485
"2013-04-05" 58.200001 58.455002 58.009998 46.952675
"2013-04-08" 58.549999 58.860001 58.075001 47.354939
"2013-04-09" 59 59.040001 58.314999 47.165871
"2013-04-10" 58.73 59.264999 58.650002 47.57618
