"Index" "Open" "High" "Low" "Price"
"2012-09-17" 32.990002 32.990002 32.27 24.556917
"2012-09-18" 32.380001 32.380001 32.029999 24.314457
"2012-09-19" 32.080002 32.400002 31.91 24.223536
"2012-09-20" 31.74 31.74 31.290001 24.003794
"2012-09-21" 32.200001 32.200001 31.25 23.693144
"2012-09-24" 31.25 31.690001 31.059999 23.905294
"2012-09-25" 31.58 31.709999 30.76 23.314301
"2012-09-26" 30.700001 30.9 30.58 23.283995
"2012-09-27" 31 31.25 30.610001 23.564337
"2012-09-28" 30.879999 31.209999 30.76 23.526455
"2012-10-01" 31.129999 31.540001 30.969999 23.518871
"2012-10-02" 31.139999 31.24 30.549999 23.359758
"2012-10-03" 30.940001 31.389999 30.780001 23.662836
"2012-10-04" 31.469999 31.74 31.27 24.011381
"2012-10-05" 31.889999 32.139999 31.620001 24.094725
"2012-10-08" 31.65 31.73 31.51 23.928032
"2012-10-09" 31.6 31.76 31.280001 23.821953
"2012-10-10" 31.389999 31.549999 31.110001 23.677986
"2012-10-11" 31.629999 31.799999 31.48 23.920454
"2012-10-12" 31.219999 31.23 30.51 23.405224
"2012-10-15" 30.959999 31.16 30.790001 23.397646
"2012-10-16" 31.02 31.15 30.780001 23.518871
"2012-10-17" 30.860001 30.860001 30.01 22.958185
"2012-10-18" 30.030001 30.09 29.6 22.465677
"2012-10-19" 29.690001 29.91 29.370001 22.298981
"2012-10-22" 29.34 29.780001 29.209999 22.405058
"2012-10-23" 29.1 29.5 28.870001 22.230793
"2012-10-24" 29.440001 29.620001 29.059999 22.094408
"2012-10-25" 29.51 29.629999 29.35 22.405058
"2012-10-26" 29.549999 29.65 29.209999 22.139864
"2012-10-31" 29.309999 29.860001 29.129999 22.58691
"2012-11-01" 29.82 30.52 29.59 23.124878
"2012-11-02" 30.66 30.68 30.200001 22.905142
"2012-11-05" 30.110001 30.26 29.889999 22.723291
"2012-11-06" 30.02 30.24 29.969999 22.844526
"2012-11-07" 29.809999 29.889999 28.690001 21.82921
"2012-11-08" 28.85 29.17 28.469999 21.586748
"2012-11-09" 28.389999 28.77 28.35 21.548866
"2012-11-12" 28.77 28.77 28.379999 21.677675
"2012-11-13" 28.370001 28.809999 28.32 21.503397
"2012-11-14" 28.49 28.530001 27.82 21.116983
"2012-11-15" 27.860001 28.190001 27.73 21.230635
"2012-11-16" 28.120001 28.309999 27.719999 21.253361
"2012-11-19" 28.459999 28.719999 28.43 21.715557
"2012-11-20" 28.66 29.16 28.440001 21.904982
"2012-11-21" 28.83 28.91 28.57 21.723135
"2012-11-23" 28.85 29.190001 28.77 22.117138
"2012-11-26" 28.940001 29.870001 28.940001 22.571754
"2012-11-27" 29.67 30.15 29.51 22.420212
"2012-11-28" 29.370001 29.74 29.209999 22.488407
"2012-11-29" 29.84 29.950001 29.309999 22.291405
"2012-11-30" 29.459999 29.790001 29.389999 22.420212
"2012-12-03" 29.73 29.799999 29.07 22.064098
"2012-12-04" 29.059999 29.190001 28.610001 21.83679
"2012-12-05" 28.91 29.190001 28.809999 21.904982
"2012-12-06" 28.9 28.98 28.73 21.920137
"2012-12-07" 29.01 29.15 28.959999 22.071674
"2012-12-10" 29.049999 29.58 28.889999 22.170176
"2012-12-11" 29.32 29.49 29.27 22.291405
"2012-12-12" 29.5 29.68 29.190001 22.291403
"2012-12-13" 28.99 29.129999 28.799999 21.986774
"2012-12-14" 28.82 28.950001 28.629999 21.826839
"2012-12-17" 28.780001 29.379999 28.709999 22.359951
"2012-12-18" 29.389999 30.450001 29.389999 23.167227
"2012-12-19" 30.49 30.540001 30.139999 22.969217
"2012-12-20" 30.209999 30.49 30.139999 23.159601
"2012-12-21" 29.700001 30.33 29.700001 22.984442
"2012-12-24" 30.030001 30.200001 29.799999 22.854971
"2012-12-26" 30.1 30.370001 29.93 23.052986
"2012-12-27" 30.25 30.34 29.73 22.976831
"2012-12-28" 29.950001 30.299999 29.84 22.946363
"2012-12-31" 30.01 30.34 29.950001 23.106295
"2013-01-02" 30.98 31.32 30.73 23.852646
"2013-01-03" 31.379999 31.83 31.030001 24.157278
"2013-01-04" 31.780001 32.619999 31.629999 24.819847
"2013-01-07" 32.380001 32.560001 32.009998 24.629456
"2013-01-08" 32.290001 32.299999 31.83 24.317215
"2013-01-09" 31.690001 32.060001 31.48 24.065889
"2013-01-10" 31.870001 32.169998 31.58 24.446674
"2013-01-11" 32.029999 32.040001 31.459999 24.241051
"2013-01-14" 31.809999 31.879999 31.5 24.157278
"2013-01-15" 31.469999 31.93 31.469999 24.271513
"2013-01-16" 31.969999 33.200001 31.27 25.170172
"2013-01-17" 33.169998 33.91 33.169998 25.520498
"2013-01-18" 33.630001 33.849998 33.150002 25.634741
"2013-01-22" 33.549999 33.830002 33.529999 25.733746
"2013-01-23" 33.669998 33.700001 33.43 25.505268
"2013-01-24" 33.509998 33.82 33.43 25.558578
"2013-01-25" 33.68 33.740002 33.459999 25.672812
"2013-01-28" 33.650002 33.959999 33.549999 25.787052
"2013-01-29" 33.790001 34.02 33.650002 25.809898
"2013-01-30" 33.77 34.349998 33.77 26.122147
"2013-01-31" 33.860001 34.450001 33.599998 26.167839
"2013-02-01" 34.549999 35.209999 34.5 26.700949
"2013-02-04" 34.689999 34.73 34.23 26.129765
"2013-02-05" 34.48 34.950001 34.48 26.525784
"2013-02-06" 34.610001 35.18 34.470001 26.761881
"2013-02-07" 35.189999 35.279999 34.860001 26.723795
"2013-02-08" 35.189999 35.400002 35 26.937037
"2013-02-11" 34.720001 35.25 34.709999 26.700949
"2013-02-12" 35.150002 35.220001 34.93 26.655249
"2013-02-13" 35.189999 35.400002 34.939999 26.731411
"2013-02-14" 35 35.400002 34.950001 26.898956
"2013-02-15" 34.91 35.200001 34.73 26.525784
"2013-02-19" 35.009998 35.560001 34.810001 26.959885
"2013-02-20" 35.369999 35.43 34.68 26.434395
"2013-02-21" 34.52 34.619999 33.560001 25.589039
"2013-02-22" 33.880001 34.349998 33.84 26.122147
"2013-02-25" 34.52 34.610001 33.43 25.528118
"2013-02-26" 33.68 33.77 33.290001 25.558578
"2013-02-27" 33.59 33.919998 33.5 25.787052
"2013-02-28" 33.830002 34.68 33.830002 26.183075
"2013-03-01" 34.169998 34.560001 33.790001 26.25923
"2013-03-04" 34.34 35.189999 34.310001 26.777103
"2013-03-05" 35.310001 35.459999 34.720001 26.525784
"2013-03-06" 35.09 35.419998 34.959999 26.876114
"2013-03-07" 35.34 35.889999 35.169998 26.898956
"2013-03-08" 35.630001 36.349998 35.599998 27.637686
"2013-03-11" 36.279999 36.990002 36.259998 27.949936
"2013-03-12" 36.66 36.740002 36.23 27.660534
"2013-03-13" 36.27 36.52 36.049999 27.890083
"2013-03-14" 36.66 36.82 36.549999 28.142586
"2013-03-15" 36.57 36.919998 36.360001 28.134933
"2013-03-18" 36.029999 36.459999 35.98 27.67584
"2013-03-19" 36.279999 36.34 35.779999 27.484554
"2013-03-20" 36.240002 36.349998 36.07 27.62994
"2013-03-21" 35.939999 36.119999 35.720001 27.538111
"2013-03-22" 36.110001 36.27 35.93 27.737053
"2013-03-25" 36.400002 36.43 35.82 27.545759
"2013-03-26" 36.18 36.290001 35.990002 27.614626
"2013-03-27" 35.849998 35.849998 35.439999 27.316217
"2013-03-28" 35.709999 35.98 35.470001 27.507509
"2013-04-01" 35.950001 35.950001 35.110001 26.994846
"2013-04-02" 35.549999 35.59 35.049999 26.895376
"2013-04-03" 35.16 35.25 34.130001 26.160826
"2013-04-04" 34.279999 34.509998 33.93 26.199081
"2013-04-05" 33.75 34.580002 33.549999 26.405674
"2013-04-08" 34.540001 34.650002 34.080002 26.512796
"2013-04-09" 34.709999 35.119999 34.580002 26.742352
"2013-04-10" 35.009998 35.490002 35 27.13257
"2013-04-11" 35.490002 35.73 35.130001 27.124926
"2013-04-12" 35.200001 35.450001 34.900002 26.818857
"2013-04-15" 34.830002 35.09 34.130001 26.114914
"2013-04-16" 34.060001 34.849998 33.93 26.612265
"2013-04-17" 34.580002 34.77 34.07 26.336811
"2013-04-18" 34.439999 34.57 33.900002 26.244989
"2013-04-19" 34.5 35.02 34.360001 26.673479
"2013-04-22" 34.900002 34.900002 34.32 26.55106
