"Index" "Open" "High" "Low" "Price"
"2012-09-17" 17.665001 17.705 17.440001 14.522094
"2012-09-18" 17.455 17.530001 17.360001 14.435109
"2012-09-19" 17.4 17.725 17.360001 14.654639
"2012-09-20" 17.629999 17.985001 17.594999 14.890738
"2012-09-21" 18.065001 18.27 17.975 15.002572
"2012-09-24" 18.08 18.27 18.014999 15.089559
"2012-09-25" 18.334999 18.450001 17.915001 14.85346
"2012-09-26" 17.955 17.99 17.530001 14.546941
"2012-09-27" 17.684999 17.934999 17.639999 14.824466
"2012-09-28" 17.875 17.969999 17.785 14.803752
"2012-10-01" 17.975 18.08 17.645 14.721781
"2012-10-02" 17.73 18.035 17.73 14.913188
"2012-10-03" 17.965 18.235001 17.945 15.062988
"2012-10-04" 18.219999 18.35 18.125 15.187821
"2012-10-05" 18.360001 18.49 18.23 15.204463
"2012-10-08" 18.174999 18.235001 18.084999 15.067149
"2012-10-09" 18.025 18.08 17.645 14.696815
"2012-10-10" 17.719999 17.719999 17.469999 14.630241
"2012-10-11" 17.684999 17.780001 17.549999 14.61776
"2012-10-12" 17.645 17.934999 17.58 14.888217
"2012-10-15" 17.915001 18.264999 17.879999 15.158689
"2012-10-16" 18.290001 18.455 18.24 15.258554
"2012-10-17" 18.41 18.610001 18.334999 15.445804
"2012-10-18" 18.549999 18.799999 18.445 15.516541
"2012-10-19" 18.605 18.75 18.309999 15.375059
"2012-10-22" 18.43 18.584999 18.35 15.408357
"2012-10-23" 18.280001 18.344999 18.035 15.158689
"2012-10-24" 18.305 18.424999 18.165001 15.154526
"2012-10-25" 18.34 18.450001 18.1 15.129561
"2012-10-26" 18.315001 18.889999 18.315001 15.628883
"2012-10-31" 18.799999 18.924999 18.559999 15.616403
"2012-11-01" 18.83 18.975 18.68 15.624729
"2012-11-02" 18.895 18.98 18.785 15.649693
"2012-11-05" 18.690001 18.745001 18.360001 15.574797
"2012-11-06" 18.705 18.75 18.584999 15.4666
"2012-11-07" 18.41 18.465 18.02 15.221102
"2012-11-08" 18.209999 18.415001 18.094999 15.062988
"2012-11-09" 18 18.155001 17.924999 15.029699
"2012-11-12" 18.055 18.120001 17.92 15.0505
