"Index" "Open" "High" "Low" "Price"
"2012-09-17" 102.410004 102.410004 99.599998 76.762985
"2012-09-18" 99.900002 100.169998 98.709999 76.07193
"2012-09-19" 99.349998 100.290001 98.690002 76.164063
"2012-09-20" 97.959999 97.959999 96.110001 74.444054
"2012-09-21" 98.019997 98.099998 96.099998 73.845093
"2012-09-24" 95.57 96.120003 95.050003 73.092598
"2012-09-25" 95.110001 95.139999 92.339996 70.957947
"2012-09-26" 92.650002 93.379997 91.43 70.850433
"2012-09-27" 92.949997 93.489998 92.010002 71.303497
"2012-09-28" 92.129997 92.690002 91.160004 70.80439
"2012-10-01" 92.870003 94.339996 92.07 70.881172
"2012-10-02" 92.150002 92.870003 91.339996 70.451202
"2012-10-03" 92.019997 92.209999 90.419998 69.598839
"2012-10-04" 90.790001 92.459999 90 70.650826
"2012-10-05" 92.989998 93.970001 91.510002 70.727646
"2012-10-08" 91.25 92.919998 91.209999 70.750648
"2012-10-09" 92.089996 92.410004 90.620003 69.752419
"2012-10-10" 86.580002 89.599998 86.5 67.410431
"2012-10-11" 88.440002 89.139999 85.879997 66.412201
"2012-10-12" 86.970001 87.809998 86.019997 67.180061
"2012-10-15" 87.769997 89.25 86.870003 68.385628
"2012-10-16" 89.870003 91.599998 89.669998 70.167061
"2012-10-17" 91.400002 92.93 91 70.957947
"2012-10-18" 92.099998 94.25 91.879997 71.503166
"2012-10-19" 92.440002 93.410004 90.970001 70.589424
"2012-10-22" 91.349998 94.879997 90.440002 71.79493
"2012-10-23" 91.800003 94 91.449997 71.756531
"2012-10-24" 94 94.269997 92.050003 70.850433
"2012-10-25" 93.650002 94.120003 92.040001 72.21727
"2012-10-26" 94.139999 94.57 93.239998 72.040619
"2012-10-31" 94 94.980003 92.900002 71.856339
"2012-11-01" 94.059998 99.050003 94 75.826195
"2012-11-02" 99.889999 101.419998 99.040001 76.809036
"2012-11-05" 99.489998 101.160004 97.25 77.553879
"2012-11-06" 101.169998 101.989998 100.209999 78.25264
"2012-11-07" 99.57 99.730003 97.669998 75.327065
"2012-11-08" 99.050003 99.379997 96.470001 74.144569
"2012-11-09" 96.089996 99.089996 95.860001 74.559204
"2012-11-12" 97.599998 99.440002 97.080002 75.780106
"2012-11-13" 97.629997 99.239998 97.360001 74.897064
"2012-11-14" 98.279999 98.419998 94.050003 72.462967
"2012-11-15" 94.339996 95.709999 93.980003 72.846893
"2012-11-16" 94.940002 96.309998 94.349998 73.545662
"2012-11-19" 98.25 99.790001 97.709999 75.803154
"2012-11-20" 98.150002 99.150002 97.209999 75.702843
"2012-11-21" 97.809998 98.57 97.339996 75.849442
"2012-11-23" 99.099998 100.529999 99.099998 76.899086
"2012-11-26" 99.099998 99.839996 98.809998 76.875931
"2012-11-27" 99.379997 101.699997 99.010002 76.960815
"2012-11-28" 98.809998 100.099998 97.949997 77.238632
"2012-11-29" 100.75 101.199997 98.879997 77.061134
"2012-11-30" 99.68 99.779999 97.849998 75.756836
"2012-12-03" 98.860001 99.040001 97.339996 75.147163
"2012-12-04" 97.629997 98.339996 96.760002 75.100845
"2012-12-05" 98 102.300003 98 78.187897
"2012-12-06" 101.07 101.07 99.230003 77.493362
"2012-12-07" 101.25 102.800003 101.080002 78.481209
"2012-12-10" 101.029999 103.739998 101.029999 79.677444
"2012-12-11" 103.82 106.519997 103.339996 81.406204
