"Index" "Open" "High" "Low" "Price"
"2012-09-17" 23.18 23.25 22.879999 16.852734
"2012-09-18" 22.98 23.110001 22.9 16.962931
"2012-09-19" 23.07 23.16 22.98 16.93354
"2012-09-20" 23 23.190001 23 16.911505
"2012-09-21" 23.09 23.18 23.030001 16.999662
"2012-09-24" 23.129999 23.450001 23.120001 17.212717
"2012-09-25" 23.49 23.66 23.360001 17.161287
"2012-09-26" 23.42 23.74 23.389999 17.322905
"2012-09-27" 23.620001 23.65 23.290001 17.175985
"2012-09-28" 23.389999 23.59 23.24 17.300863
"2012-10-01" 23.540001 23.700001 23.370001 17.212717
"2012-10-02" 23.49 23.6 23.42 17.315563
"2012-10-03" 23.6 23.84 23.6 17.366987
"2012-10-04" 23.719999 23.92 23.639999 17.521263
"2012-10-05" 23.91 23.99 23.709999 17.499224
"2012-10-08" 23.790001 23.92 23.67 17.506567
"2012-10-09" 23.83 23.940001 23.73 17.528608
"2012-10-10" 23.860001 23.870001 23.66 17.433105
"2012-10-11" 23.83 23.969999 23.77 17.535952
"2012-10-12" 23.870001 23.950001 23.65 17.389025
"2012-10-15" 23.700001 23.809999 23.6 17.491884
"2012-10-16" 23.85 23.91 23.74 17.513916
"2012-10-17" 23.870001 24.200001 23.83 17.75635
"2012-10-18" 24.200001 24.33 24.139999 17.866549
"2012-10-19" 24.27 24.34 24.18 17.851852
"2012-10-22" 24.219999 24.25 24.07 17.778393
"2012-10-23" 24.030001 24.18 23.879999 17.609419
"2012-10-24" 24.01 24.059999 23.85 17.543304
"2012-10-25" 24 24.219999 23.879999 17.785738
"2012-10-26" 24.290001 24.360001 24.18 17.793081
"2012-10-31" 24.33 24.370001 24.139999 18.045362
"2012-11-01" 24.389999 24.41 24.139999 17.956322
"2012-11-02" 24.35 24.35 23.969999 17.793077
"2012-11-05" 23.91 23.950001 23.549999 17.503704
"2012-11-06" 23.65 23.76 23.540001 17.548225
"2012-11-07" 23.51 23.809999 23.030001 17.177227
"2012-11-08" 23.15 23.459999 23.07 17.125294
"2012-11-09" 22.99 23.139999 22.860001 17.065928
"2012-11-12" 22.99 22.99 22.73 16.91011
"2012-11-13" 22.719999 23.1 22.559999 17.051083
"2012-11-14" 22.969999 23.040001 22.790001 16.999146
"2012-11-15" 22.9 23.02 22.58 16.91011
"2012-11-16" 22.85 23.219999 22.799999 17.22916
"2012-11-19" 23.35 23.35 23.030001 17.258846
"2012-11-20" 23.549999 24.01 23.43 17.429502
"2012-11-21" 23.57 23.57 23.24 17.444344
"2012-11-23" 23.540001 23.58 23.35 17.451763
"2012-11-26" 23.52 23.85 23.49 17.681776
"2012-11-27" 23.84 24.07 23.76 17.770823
"2012-11-28" 23.950001 24.16 23.85 17.867279
"2012-11-29" 24.129999 24.290001 23.99 17.978584
"2012-11-30" 24.27 24.450001 24.219999 18.126984
"2012-12-03" 24.450001 24.469999 24.15 18.030521
"2012-12-04" 24.309999 24.440001 24.23 18.08988
"2012-12-05" 24.379999 24.85 24.09 18.275377
"2012-12-06" 24.66 24.780001 24.549999 18.319906
"2012-12-07" 24.68 24.799999 24.57 18.305065
"2012-12-10" 24.629999 24.73 24.59 18.327324
"2012-12-11" 24.73 24.809999 24.540001 18.238276
"2012-12-12" 24.66 24.68 24.440001 18.14924
"2012-12-13" 24.450001 24.540001 24.34 18.119566
"2012-12-14" 24.389999 24.459999 23.99 17.830177
"2012-12-17" 24.1 24.559999 24.09 18.20118
"2012-12-18" 24.559999 24.65 24.4 18.238276
"2012-12-19" 24.65 24.719999 24.4 18.22344
"2012-12-20" 24.639999 24.719999 24.469999 18.267962
"2012-12-21" 24.450001 24.629999 24.41 18.208607
"2012-12-24" 24.5 24.6 24.23 18.18634
"2012-12-26" 24.530001 24.66 24.34 18.075041
"2012-12-27" 24.309999 24.43 24 17.986
"2012-12-28" 24.1 24.34 24.049999 17.84502
"2012-12-31" 24.030001 24.389999 23.93 18.08988
"2013-01-02" 24.74 24.9 24.65 18.408945
"2013-01-03" 24.82 25.01 24.74 18.46088
"2013-01-04" 24.92 25.1 24.870001 18.624121
"2013-01-07" 25 25.07 24.75 18.401522
"2013-01-08" 24.809999 24.870001 24.66 18.371841
"2013-01-09" 24.780001 24.83 24.6 18.408945
"2013-01-10" 24.889999 24.950001 24.790001 18.512823
"2013-01-11" 24.93 25.01 24.84 18.468304
"2013-01-14" 24.93 24.950001 24.82 18.490561
"2013-01-15" 24.92 24.940001 24.799999 18.505398
"2013-01-16" 24.860001 24.950001 24.75 18.379265
"2013-01-17" 24.85 24.98 24.799999 18.483141
"2013-01-18" 24.940001 25.09 24.879999 18.616707
"2013-01-22" 25.09 25.43 25.049999 18.839298
"2013-01-23" 25.33 25.33 25.059999 18.683479
"2013-01-24" 25.219999 25.469999 25.18 18.757679
"2013-01-25" 25.280001 25.35 25.120001 18.720573
"2013-01-28" 25.27 25.309999 25.09 18.74284
"2013-01-29" 25.32 25.559999 25.280001 18.958017
"2013-01-30" 25.51 25.719999 25.459999 19.039635
"2013-01-31" 25.620001 25.74 25.540001 19.069317
"2013-02-01" 25.790001 25.93 25.719999 19.165777
"2013-02-04" 25.68 25.82 25.66 19.113834
"2013-02-05" 25.85 25.969999 25.82 19.195459
"2013-02-06" 25.58 25.68 25.43 19.236675
"2013-02-07" 25.65 25.790001 25.530001 19.221685
"2013-02-08" 25.690001 25.76 25.540001 19.229177
"2013-02-11" 25.65 25.709999 25.620001 19.236675
"2013-02-12" 25.58 25.860001 25.51 19.364069
"2013-02-13" 25.84 25.98 25.719999 19.379051
"2013-02-14" 25.83 25.92 25.68 19.296623
"2013-02-15" 25.74 25.91 25.719999 19.311613
"2013-02-19" 25.84 26.09 25.84 19.551413
"2013-02-20" 26.08 26.26 26 19.521442
"2013-02-21" 25.959999 26.15 25.84 19.573893
"2013-02-22" 26.190001 26.4 26.059999 19.783722
"2013-02-25" 26.51 26.790001 26.129999 19.581392
"2013-02-26" 26.280001 26.49 26.139999 19.618862
"2013-02-27" 26.219999 26.42 26.16 19.768738
"2013-02-28" 26.41 26.75 26.33 19.941095
"2013-03-01" 26.610001 26.74 25.99 19.821196
"2013-03-04" 26.440001 26.93 26.389999 20.143427
"2013-03-05" 26.969999 27.07 26.889999 20.233356
"2013-03-06" 27.08 27.15 26.83 20.150921
"2013-03-07" 26.950001 27.049999 26.83 20.120945
"2013-03-08" 26.889999 27.129999 26.709999 20.293301
"2013-03-11" 27.01 27.209999 27 20.368242
"2013-03-12" 27.219999 27.23 26.860001 20.210875
"2013-03-13" 26.950001 27.15 26.9 20.315781
"2013-03-14" 27.15 27.360001 27.059999 20.495642
"2013-03-15" 27.24 27.549999 27.190001 20.563084
"2013-03-18" 27.290001 27.370001 27.16 20.383228
"2013-03-19" 27.200001 27.32 26.940001 20.300798
"2013-03-20" 27.190001 27.32 27.139999 20.435688
"2013-03-21" 27.200001 27.25 27.08 20.330767
"2013-03-22" 27.15 27.379999 27.059999 20.48065
"2013-03-25" 27.43 27.57 27.08 20.390718
"2013-03-26" 27.290001 27.42 27.219999 20.495642
"2013-03-27" 27.25 27.5 27.24 20.57058
"2013-03-28" 27.459999 27.950001 27.389999 20.937775
"2013-04-01" 27.940001 27.959999 27.67 20.832855
"2013-04-02" 27.92 28.01 27.73 20.870331
"2013-04-03" 27.940001 27.99 27.67 20.825367
"2013-04-04" 27.83 28.15 27.809999 21.087648
"2013-04-05" 27.959999 28.26 27.889999 21.140112
"2013-04-08" 28.16 28.41 28.07 21.289989
"2013-04-09" 28.5 28.5 28.209999 21.170084
"2013-04-10" 28.25 28.469999 28.25 21.33494
"2013-04-11" 28.469999 28.52 28.34 21.31996
"2013-04-12" 28.389999 28.76 28.370001 21.529781
"2013-04-15" 28.639999 28.77 28.280001 21.200058
"2013-04-16" 28.379999 28.700001 28.1 21.499817
"2013-04-17" 28.610001 28.66 28.33 21.379915
"2013-04-18" 28.6 28.799999 28.530001 21.477329
"2013-04-19" 28.76 29.09 28.620001 21.799562
"2013-04-22" 29.08 29.18 28.879999 21.777081
"2013-04-23" 29.129999 29.139999 28.719999 21.732121
"2013-04-24" 29 29.34 28.84 21.867004
"2013-04-25" 29.389999 29.51 29.15 21.911968
"2013-04-26" 29.280001 29.610001 29.280001 22.05435
"2013-04-29" 29.5 29.83 29.370001 22.294157
"2013-04-30" 29.790001 29.940001 29.6 22.436543
"2013-05-01" 29.98 29.98 29.41 22.258924
"2013-05-02" 29.450001 29.51 29.17 22.168226
"2013-05-03" 29.450001 29.68 29.360001 22.213572
"2013-05-06" 29.389999 29.48 28.92 21.896128
"2013-05-07" 28.99 29.290001 28.959999 22.130432
"2013-05-08" 29.25 29.360001 28.9 21.903683
"2013-05-09" 28.959999 29.08 28.27 21.442638
"2013-05-10" 28.360001 28.459999 28.139999 21.480425
"2013-05-13" 28.33 28.459999 28.16 21.43508
"2013-05-14" 28.360001 28.629999 28.129999 21.624037
"2013-05-15" 28.6 29.24 28.530001 21.881014
"2013-05-16" 28.889999 28.92 28.59 21.661825
"2013-05-17" 28.73 29.139999 28.700001 21.994389
"2013-05-20" 29.1 29.18 28.889999 21.888567
"2013-05-21" 28.93 29.040001 28.559999 21.775194
"2013-05-22" 28.77 29.17 28.219999 21.412403
"2013-05-23" 27.959999 28.190001 27.58 21.125196
"2013-05-24" 27.860001 27.91 27.42 20.807745
"2013-05-28" 27.690001 27.950001 27.34 20.80019
"2013-05-29" 27.360001 27.389999 26.790001 20.475183
"2013-05-30" 27.360001 27.690001 27.18 20.55077
"2013-05-31" 27.120001 27.5 26.950001 20.369377
"2013-06-03" 26.969999 27.200001 26.620001 20.392036
"2013-06-04" 26.93 27.02 26.48 20.127506
"2013-06-05" 26.549999 26.58 26.290001 19.908318
"2013-06-06" 26.370001 26.93 26.309999 20.354259
"2013-06-07" 26.99 27.18 26.75 20.437397
