"Index" "Open" "High" "Low" "Price"
"2012-09-17" 9.3025 9.525 9.275 9.52
"2012-09-18" 9.5225 9.585 9.335 9.4125
"2012-09-19" 9.4325 9.435 9.23 9.255
"2012-09-20" 9.2025 9.225 9.02 9.0475
"2012-09-21" 9.135 9.4625 9.09 9.335
"2012-09-24" 9.25 9.2825 9.1425 9.2475
"2012-09-25" 9.295 9.35 9.0975 9.0975
"2012-09-26" 9.12 9.185 9.0375 9.1275
"2012-09-27" 9.1575 9.365 9.1575 9.285
"2012-09-28" 9.2175 9.3625 9.14 9.3525
"2012-10-01" 9.385 9.415 9.22 9.2575
"2012-10-02" 9.3075 9.32 9.0325 9.1
"2012-10-03" 9.1475 9.2975 9.045 9.215
"2012-10-04" 9.2325 9.3275 9.1275 9.15
"2012-10-05" 9.17 9.2025 9.0225 9.0675
"2012-10-08" 9.0425 9.085 8.91 9.035
"2012-10-09" 9.035 9.035 8.815 8.905
"2012-10-10" 8.9025 9.02 8.8625 8.9225
"2012-10-11" 8.975 9.04 8.9425 8.955
"2012-10-12" 8.97 9.0025 8.84 8.8975
"2012-10-15" 8.905 8.9325 8.7625 8.885
"2012-10-16" 8.8775 8.95 8.6825 8.745
"2012-10-17" 8.7675 9.8625 8.7675 9.7025
"2012-10-18" 9.7 9.7925 9.6 9.7125
"2012-10-19" 9.655 9.715 9.57 9.62
"2012-10-22" 9.5625 9.615 9.4625 9.6025
"2012-10-23" 9.49 9.9175 9.45 9.625
"2012-10-24" 9.5425 9.76 9.5425 9.6325
"2012-10-25" 9.74 9.8025 9.6 9.62
"2012-10-26" 9.6275 9.7225 9.4975 9.57
"2012-10-31" 9.5575 9.5675 9.37 9.495
"2012-11-01" 9.49 9.7225 9.415 9.695
"2012-11-02" 9.7275 9.93 9.685 9.7325
"2012-11-05" 9.7575 9.93 9.5325 9.8125
"2012-11-06" 9.8425 9.9925 9.645 9.9675
"2012-11-07" 10.21 11.075 10.21 10.97
"2012-11-08" 10.915 10.9775 10.525 10.585
"2012-11-09" 10.61 10.775 10.5175 10.6225
"2012-11-12" 10.68 10.835 10.5875 10.665
"2012-11-13" 10.6275 10.7075 10.54 10.64
"2012-11-14" 10.64 10.6825 10.4875 10.5475
"2012-11-15" 10.56 10.655 10.48 10.5625
"2012-11-16" 10.5175 10.6375 10.4325 10.6025
"2012-11-19" 10.6925 10.8175 10.61 10.7375
"2012-11-20" 10.7425 10.7475 10.52 10.74
"2012-11-21" 10.7525 10.8225 10.6875 10.775
"2012-11-23" 10.8075 10.8975 10.7325 10.8575
"2012-11-26" 10.8325 10.85 10.615 10.8025
"2012-11-27" 10.7825 10.93 10.6525 10.66
"2012-11-28" 10.6575 10.7975 10.5575 10.7325
"2012-11-29" 10.795 10.9925 10.7925 10.9325
"2012-11-30" 10.9225 11.0025 10.7625 10.9775
"2012-12-03" 11.03 11.43 11.0125 11.365
"2012-12-04" 11.275 11.375 11.175 11.345
"2012-12-05" 11.35 11.43 11.1025 11.3225
