"Index" "Open" "High" "Low" "Price"
"2012-09-17" 59.18 59.290001 58.610001 49.433903
"2012-09-18" 58.509998 58.509998 57.5 48.693577
"2012-09-19" 57.84 58.169998 57.619999 48.769302
"2012-09-20" 57.73 58.18 57.549999 48.836597
"2012-09-21" 58.529999 58.540001 57.23 48.171982
"2012-09-24" 56.82 58.040001 56.619999 48.247692
"2012-09-25" 57.560001 57.810001 55.869999 47.027832
"2012-09-26" 55.93 55.959999 55.139999 46.506229
"2012-09-27" 55.77 57.099998 55.73 47.919598
"2012-09-28" 56.630001 57.209999 56.18 47.961647
"2012-10-01" 57.490002 58.73 57.490002 48.845013
"2012-10-02" 58.259998 58.5 57.799999 49.055321
"2012-10-03" 58.389999 58.73 57.889999 49.324551
"2012-10-04" 58.990002 59.639999 58.68 50.081699
"2012-10-05" 60.049999 60.049999 58.740002 49.635818
"2012-10-08" 58.77 59.099998 58.5 49.677868
"2012-10-09" 58.889999 59.150002 58.360001 49.349762
"2012-10-10" 58.779999 58.779999 58.060001 48.988018
"2012-10-11" 58.799999 59.189999 58.279999 49.543274
"2012-10-12" 58.700001 59.110001 57.759998 48.971188
"2012-10-15" 56.759998 57.900002 56.75 48.458012
"2012-10-16" 58.029999 58.5 57.639999 48.802948
"2012-10-17" 58.450001 58.540001 57.619999 48.819756
"2012-10-18" 57.779999 57.869999 57.130001 48.205616
"2012-10-19" 59.099998 60.889999 58.919998 51.108059
"2012-10-22" 61.139999 61.330002 59.810001 50.477097
"2012-10-23" 59.349998 60.330002 59.040001 50.493919
"2012-10-24" 60.200001 60.389999 59.57 50.199474
"2012-10-25" 60.290001 60.470001 59.700001 50.451866
"2012-10-26" 59.16 60.34 59.119999 50.477097
"2012-10-31" 60.330002 60.330002 59.48 50.620113
"2012-11-01" 60.349998 61.41 60.150002 51.654888
"2012-11-02" 61.5 61.830002 61.080002 51.654888
"2012-11-05" 61.18 61.389999 60.299999 51.049175
"2012-11-06" 60.73 61.450001 60.57 51.377262
"2012-11-07" 60.369999 60.369999 58.900002 50.030106
