"Index" "Open" "High" "Low" "Price"
"2012-09-17" 93.690002 94.559998 93.540001 93.500275
"2012-09-18" 93.470001 94.580002 93.370003 93.171234
"2012-09-19" 93.68 93.830002 93.160004 93.051598
"2012-09-20" 93.07 94.260002 92.860001 93.300873
"2012-09-21" 93.5 94.099998 93.5 93.480324
"2012-09-24" 93.959999 94.720001 93.220001 92.991791
"2012-09-25" 93.809998 95.18 93.5 94.208153
"2012-09-26" 94.279999 94.400002 93.550003 93.400551
"2012-09-27" 94.199997 94.690002 93.57 93.998779
"2012-09-28" 94.110001 94.769997 93.779999 94.178238
"2012-10-01" 94.959999 95.150002 93.529999 93.759483
"2012-10-02" 94.510002 97.43 94.209999 96.890121
"2012-10-03" 97.160004 99.32 96.989998 99.013756
"2012-10-04" 99.610001 100.919998 98.5 100.36972
"2012-10-05" 99.779999 100.099998 97.510002 97.697701
"2012-10-08" 97.419998 98 96.279999 96.680748
"2012-10-09" 97.099998 97.099998 95 95.663795
"2012-10-10" 96.110001 96.269997 95.309998 95.952911
"2012-10-11" 98.870003 99.739998 95.449997 97.418533
"2012-10-12" 97.550003 98.029999 96.599998 96.581039
"2012-10-15" 97.43 97.760002 96.620003 97.368683
"2012-10-16" 97.970001 99.080002 97.970001 98.056625
"2012-10-17" 98.290001 99.019997 97.690002 98.325836
"2012-10-18" 98.879997 98.879997 96.870003 97.139366
"2012-10-19" 97.32 97.650002 95.099998 95.374657
"2012-10-22" 95.550003 95.760002 94.760002 95.015747
"2012-10-23" 94.830002 94.860001 93.32 94.108459
"2012-10-24" 95.040001 96.32 94.720001 95.554115
"2012-10-25" 96.489998 97.449997 95.389999 95.783432
"2012-10-26" 96.089996 96.330002 94.769997 94.706657
"2012-10-31" 95.760002 96.230003 94.82 95.693687
"2012-11-01" 95.889999 98.769997 95.010002 98.156319
"2012-11-02" 98.769997 98.860001 96.120003 95.843254
"2012-11-05" 96.199997 97.93 95.419998 97.239075
"2012-11-06" 97.639999 98.239998 96.269997 97.508278
"2012-11-07" 97.150002 97.370003 95.010002 96.202179
"2012-11-08" 96.300003 96.349998 93.139999 93.739555
"2012-11-09" 93.849998 94.800003 93.150002 93.081505
"2012-11-12" 93.720001 94.010002 92.709999 92.981819
"2012-11-13" 92.93 93.32 91.43 91.276932
"2012-11-14" 91.900002 91.940002 90.5 90.429443
"2012-11-15" 90.629997 91.220001 88.800003 89.133331
"2012-11-16" 89.5 91.449997 89.5 90.937935
"2012-11-19" 91.870003 92.690002 90.870003 92.373634
"2012-11-20" 92.290001 93.300003 91.629997 92.991791
"2012-11-21" 93.290001 94.419998 92.790001 94.118423
"2012-11-23" 94.529999 95.370003 93.879997 94.995796
"2012-11-26" 95.230003 95.849998 94.720001 94.995796
"2012-11-27" 95.110001 96.360001 94.93 94.806358
"2012-11-28" 94.339996 96.639999 94.209999 96.301888
"2012-11-29" 97.209999 97.709999 95.769997 95.613945
"2012-11-30" 96.25 97.5 94.220001 94.656807
"2012-12-03" 94.900002 96.459999 94.540001 94.846245
"2012-12-04" 95.339996 95.699997 94.260002 94.846245
"2012-12-05" 95.510002 95.650002 93.339996 93.290901
"2012-12-06" 93.739998 94 92.75 93.570045
"2012-12-07" 92 94.550003 91.110001 94.248009
"2012-12-10" 94.309998 96.120003 94.129997 95.414536
"2012-12-11" 95.739998 97.470001 95.389999 96.620934
"2012-12-12" 97.330002 97.330002 95.629997 95.454407
"2012-12-13" 94.949997 95.68 94.120003 94.716629
"2012-12-14" 95.139999 95.879997 94.860001 95.195206
"2012-12-17" 95.510002 96.169998 95.269997 95.653839
"2012-12-18" 95.910004 96.739998 94.669998 94.766487
"2012-12-19" 95.150002 95.370003 93.529999 94.198189
"2012-12-20" 94.629997 95.199997 92.660004 92.473328
"2012-12-21" 92.489998 93.43 91.440002 92.582993
"2012-12-24" 94.209999 95.440002 93.93 93.928986
"2012-12-26" 94.190002 94.75 91.82 91.615898
"2012-12-27" 92.150002 92.709999 91.639999 92.184189
"2012-12-28" 92 92.400002 91.510002 91.237038
"2012-12-31" 91.260002 92.68 90.75 92.204155
"2013-01-02" 93.75 95.160004 93.459999 94.876152
"2013-01-03" 94.940002 96.139999 94.480003 94.646828
"2013-01-04" 95.5 96.059998 94.769997 95.155327
"2013-01-07" 95.199997 96.910004 95.199997 96.112473
"2013-01-08" 96.279999 96.43 95.379997 95.75351
"2013-01-09" 96.449997 97.300003 96.040001 96.252037
"2013-01-10" 96.900002 97.980003 96.330002 97.508278
"2013-01-11" 97.599998 98.730003 96.629997 96.591011
"2013-01-14" 97 97.809998 96.669998 96.820328
"2013-01-15" 96.919998 97.199997 96.309998 96.910072
"2013-01-16" 97.169998 98.199997 96.830002 97.538193
"2013-01-17" 97.959999 98.349998 97.330002 97.03968
"2013-01-18" 97.559998 97.779999 96.889999 97.03968
"2013-01-22" 97.330002 98.480003 97.309998 98.106499
"2013-01-23" 98.589996 99.75 98.089996 99.373077
"2013-01-24" 99.510002 101.43 99.120003 100.460159
"2013-01-25" 100.779999 102.080002 99.730003 101.806541
"2013-01-28" 102.089996 102.470001 101.18 101.507355
"2013-01-29" 101.379997 101.970001 100.919998 101.238068
"2013-01-30" 101.239998 101.690002 100.82 100.779305
"2013-01-31" 100.949997 101.440002 100.139999 101.078506
"2013-02-01" 102.040001 102.330002 101.199997 101.916252
"2013-02-04" 101.540001 101.540001 100.239998 100.380379
"2013-02-05" 100.949997 101.410004 100.75 100.589828
"2013-02-06" 100.389999 103.029999 100.389999 102.753998
"2013-02-07" 103.150002 103.330002 102.440002 102.594429
"2013-02-08" 103.010002 105.199997 103 103.980721
"2013-02-11" 104.089996 104.739998 103.75 103.771278
"2013-02-12" 104.150002 104.720001 104.150002 104.329758
"2013-02-13" 105.029999 105.75 103.889999 103.970741
"2013-02-14" 104.209999 104.419998 103.589996 103.511963
"2013-02-15" 103.849998 104.529999 103.57 103.731384
"2013-02-19" 103.889999 105.190002 103.379997 104.379646
"2013-02-20" 104.620003 104.669998 103.040001 102.863701
"2013-02-21" 103.110001 103.120003 101.57 102.315193
"2013-02-22" 103.050003 103.419998 102.639999 102.634338
"2013-02-25" 103.309998 104.830002 102.330002 102.055878
"2013-02-26" 102.82 104.339996 102.139999 103.681503
"2013-02-27" 104.07 106.139999 104.040001 105.217377
"2013-02-28" 105.489998 106.75 105.489998 105.775864
"2013-03-01" 105.68 105.970001 104.410004 104.798508
"2013-03-04" 104.830002 105.529999 104.190002 104.908211
"2013-03-05" 105.809998 106.309998 105.529999 105.586388
"2013-03-06" 106.209999 106.519997 105.110001 105.267242
"2013-03-07" 105.690002 105.900002 103.879997 104.419518
"2013-03-08" 104.300003 109.559998 103.57 107.940079
"2013-03-11" 106.540001 106.980003 105.879997 105.965393
"2013-03-12" 105.669998 106.370003 104.959999 105.117653
"2013-03-13" 105.389999 105.389999 104.919998 104.968056
"2013-03-14" 105 105.75 104.440002 104.539215
"2013-03-15" 104.660004 104.93 103.459999 103.54187
"2013-03-18" 103.419998 104.419998 102.720001 103.81115
