"Index" "Open" "High" "Low" "Price"
"2012-09-17" 58.099998 58.75 58.02 42.11631
"2012-09-18" 58.360001 58.389999 57.599998 41.769577
"2012-09-19" 57.709999 57.880001 57.259998 41.401134
"2012-09-20" 57.110001 57.759998 56.77 41.603416
"2012-09-21" 57.759998 57.849998 57.130001 41.437252
"2012-09-24" 57.099998 58.060001 57.049999 41.870701
"2012-09-25" 58.060001 58.080002 57.349998 41.473389
"2012-09-26" 57.32 57.470001 56.880001 41.184418
"2012-09-27" 57.299999 57.459999 57.02 41.458916
"2012-09-28" 57.169998 57.32 56.830002 41.307224
"2012-10-01" 57.48 57.849998 57.25 41.473389
"2012-10-02" 57.700001 57.810001 57.040001 41.444492
"2012-10-03" 57.32 57.389999 56.59 41.011036
"2012-10-04" 57.119999 57.450001 56.810001 41.466156
"2012-10-05" 57.610001 58.029999 57.41 41.596195
"2012-10-08" 57.369999 57.689999 57.27 41.625072
"2012-10-09" 57.709999 58.23 57.619999 41.755123
"2012-10-10" 57.700001 57.830002 57.130001 41.350574
"2012-10-11" 57.080002 57.080002 56.630001 41.387115
"2012-10-12" 56.799999 56.889999 55.900002 41.050922
"2012-10-15" 56.169998 56.889999 55.889999 41.50404
"2012-10-16" 57.150002 57.799999 56.959999 42.110638
"2012-10-17" 57.470001 58.279999 57.360001 42.476044
"2012-10-18" 58.25 58.52 58.099998 42.585678
"2012-10-19" 58.200001 58.349998 57.330002 41.986385
"2012-10-22" 57.52 57.540001 56.43 41.68676
"2012-10-23" 56.259998 56.330002 55.700001 40.970535
"2012-10-24" 56.080002 56.43 55.810001 40.890137
"2012-10-25" 56.709999 57.529999 56.650002 41.77446
"2012-10-26" 57.009998 57.57 57 41.884079
"2012-10-31" 57.610001 57.919998 57.5 42.278728
"2012-11-01" 58 58.5 57.919998 42.695309
"2012-11-02" 58.610001 58.799999 57.560001 42.132572
"2012-11-05" 57.490002 57.82 57.279999 42.044876
"2012-11-06" 57.540001 58.41 57.470001 42.549141
"2012-11-07" 57.43 57.549999 56.57 41.489429
"2012-11-08" 56.73 56.990002 55.849998 40.824375
"2012-11-09" 55.68 56.259998 55.610001 40.685505
"2012-11-12" 55.830002 56.049999 55.439999 40.663589
"2012-11-13" 55.310001 56 55.25 40.451649
"2012-11-14" 55.369999 55.700001 54.66 40.027763
