"Index" "Open" "High" "Low" "Price"
"2012-09-17" 102.099998 102.779999 101.980003 78.36705
"2012-09-18" 102.199997 102.209999 101.699997 78.167763
"2012-09-19" 102.400002 102.419998 101.709999 78.083466
"2012-09-20" 101.580002 102.68 101.5 78.665939
"2012-09-21" 102.760002 103.510002 102.080002 78.451332
"2012-09-24" 102.75 102.949997 102.220001 78.642952
"2012-09-25" 102.480003 103.110001 101.43 77.746239
"2012-09-26" 101.860001 102.769997 100.959999 77.408997
"2012-09-27" 101.059998 101.699997 100.129997 76.872528
"2012-09-28" 100.220001 100.459999 99.75 76.765205
"2012-10-01" 100.629997 101.870003 100.290001 77.033455
"2012-10-02" 100.860001 101.370003 99.330002 76.251709
"2012-10-03" 99.25 99.959999 98.75 76.351334
"2012-10-04" 100 101.690002 99.959999 77.776901
"2012-10-05" 101.800003 102.400002 101.540001 78.014481
"2012-10-08" 101.589996 101.769997 101.059998 77.677238
"2012-10-09" 101.349998 101.769997 99.559998 76.366661
"2012-10-10" 102.400002 104.43 101.300003 77.838196
"2012-10-11" 101.830002 102 98.300003 75.354965
"2012-10-12" 98.059998 98.480003 96.18 74.764862
"2012-10-15" 98.07 98.129997 96.440002 73.967751
"2012-10-16" 96.970001 97.519997 96.510002 74.343315
"2012-10-17" 97.150002 97.360001 95.779999 74.17469
"2012-10-18" 96.870003 97.360001 96.25 73.829819
"2012-10-19" 96.099998 96.230003 94.459999 72.641846
"2012-10-22" 94.68 95.32 94.129997 72.810463
"2012-10-23" 94.470001 95.809998 93.839996 72.94841
"2012-10-24" 95.040001 96.25 94.5 73.285637
"2012-10-25" 96 96.629997 95.769997 74.052048
"2012-10-26" 96.419998 97.519997 96.120003 74.297318
"2012-10-31" 97.889999 98.779999 97.400002 75.439285
"2012-11-01" 98.589996 98.800003 97.129997 74.442947
"2012-11-02" 97.849998 98.120003 96.040001 73.668869
"2012-11-05" 95.760002 97.800003 95.449997 74.902824
"2012-11-06" 97.980003 99.599998 97.919998 75.71521
"2012-11-07" 97.93 98.120003 96.059998 74.573242
"2012-11-08" 96.959999 97.440002 94.739998 72.611176
"2012-11-09" 94.510002 96.199997 94.43 73.163002
"2012-11-12" 95.419998 96.160004 95.089996 73.561554
"2012-11-13" 95.459999 96.629997 95.25 73.339287
"2012-11-14" 95.599998 95.970001 94.160004 72.6129
"2012-11-15" 94 95.879997 93.510002 73.558342
"2012-11-16" 95.519997 96.230003 94.639999 73.550667
"2012-11-19" 96.68 96.830002 95.370003 74.227051
"2012-11-20" 96.790001 97.120003 96.199997 74.649841
"2012-11-21" 97.220001 97.400002 96.470001 74.357727
"2012-11-23" 97 97.93 96.559998 75.264725
"2012-11-26" 97.360001 97.529999 95.830002 73.9888
"2012-11-27" 96.300003 97.330002 95.769997 74.180931
"2012-11-28" 100.440002 102.620003 100 78.84655
"2012-11-29" 103.080002 103.209999 101.559998 78.308525
"2012-11-30" 102.480003 104.5 101.660004 79.876526
"2012-12-03" 104.82 104.82 103.900002 80.391518
"2012-12-04" 104.550003 104.919998 104.019997 80.245468
"2012-12-05" 104.559998 105.970001 104.300003 81.436829
"2012-12-06" 98.440002 99.629997 98.080002 81.041817
"2012-12-07" 98.879997 99.010002 98.169998 81.115875
"2012-12-10" 98.900002 99.269997 98.550003 81.436859
"2012-12-11" 99 99.650002 98.07 80.91011
"2012-12-12" 99.019997 99.389999 97.25 80.424553
"2012-12-13" 98.050003 98.870003 97.339996 80.531555
"2012-12-14" 97 97.959999 96.849998 79.766144
"2012-12-17" 97.010002 98.900002 97 81.296959
"2012-12-18" 98.900002 99.959999 98.639999 82.185791
"2012-12-19" 99.489998 100.220001 98.639999 81.214638
"2012-12-20" 99.220001 99.43 98.139999 81.642578
"2012-12-21" 98.43 99.550003 97.639999 81.881271
"2012-12-24" 99.120003 99.940002 98.779999 81.840118
"2012-12-26" 99.260002 99.699997 98.120003 81.214638
"2012-12-27" 98.519997 98.720001 97.129997 80.589157
"2012-12-28" 97.169998 97.889999 96.940002 79.807297
"2012-12-31" 96.849998 98.93 96.510002 81.255768
"2013-01-02" 100.599998 101.449997 100.209999 83.49437
"2013-01-03" 102.110001 103.019997 101.760002 84.350319
"2013-01-04" 102.550003 102.910004 101.550003 84.07872
"2013-01-07" 101.089996 101.730003 100.900002 83.428535
"2013-01-08" 101 101.790001 100.730003 83.272186
"2013-01-09" 101.029999 101.5 100.75 83.313332
"2013-01-10" 101.349998 101.5 100.129997 82.910042
"2013-01-11" 101 101.489998 100.07 82.531471
"2013-01-14" 100.339996 101.900002 99.699997 82.605515
"2013-01-15" 99.849998 101.519997 99.809998 83.247437
"2013-01-16" 100.730003 101.610001 100.650002 83.560226
"2013-01-17" 101.57 101.75 100.959999 83.091095
"2013-01-18" 100.900002 101.449997 100.620003 83.288628
"2013-01-22" 101.43 102.169998 101.169998 84.070496
"2013-01-23" 102.300003 102.75 101.769997 84.045815
"2013-01-24" 102.389999 103.529999 102.290001 84.679489
"2013-01-25" 102.959999 103.129997 102.010002 84.243294
"2013-01-28" 102.620003 102.75 102 84.350319
"2013-01-29" 102.150002 103.529999 102.099998 85.066315
"2013-01-30" 103 103.110001 102.300003 84.38324
"2013-01-31" 102.5 103.150002 102.110001 84.226807
"2013-02-01" 102.889999 104.349998 102.589996 85.716484
"2013-02-04" 104.110001 104.110001 102.339996 84.342087
"2013-02-05" 102.75 103.970001 102.279999 85.025162
"2013-02-06" 102.879997 103.190002 100.940002 83.923546
"2013-02-07" 101.769997 102.309998 101.199997 84.047272
"2013-02-08" 102.379997 102.959999 101.809998 84.823006
"2013-02-11" 102.870003 102.940002 101.760002 84.162827
"2013-02-12" 102.209999 102.230003 101.529999 83.973022
"2013-02-13" 101.980003 102.370003 100.949997 83.865761
"2013-02-14" 101.040001 102.059998 101.010002 84.187607
"2013-02-15" 101.790001 103.129997 101.029999 84.311378
"2013-02-19" 102.349998 102.400002 101.470001 84.088539
"2013-02-20" 102.18 102.629997 101.050003 83.411865
"2013-02-21" 101.169998 101.419998 100.260002 83.090065
"2013-02-22" 101.07 101.300003 100.230003 83.477921
"2013-02-25" 101.639999 102.129997 100.059998 82.594925
"2013-02-26" 100.099998 100.760002 99.309998 82.066795
"2013-02-27" 99.669998 101.540001 98.949997 83.123077
"2013-02-28" 101.07 102.370003 100.790001 83.585159
"2013-03-01" 100.82 101.650002 100.260002 83.692467
"2013-03-04" 101.260002 103.459999 101.160004 85.351143
"2013-03-05" 103.68 103.879997 102.75 85.120064
"2013-03-06" 103.150002 103.489998 102.360001 84.633194
"2013-03-07" 103.550003 103.980003 101.900002 84.146339
"2013-03-08" 102.580002 103.260002 101.860001 85.029289
"2013-03-11" 103.550003 103.690002 102.349998 84.534172
"2013-03-12" 103.610001 105.519997 103.260002 85.615204
"2013-03-13" 103.989998 104.190002 102.910004 85.342873
"2013-03-14" 103.269997 104.029999 102.910004 84.922035
"2013-03-15" 102.550003 102.989998 101.510002 83.964783
"2013-03-18" 101.339996 102.010002 101.010002 83.907021
"2013-03-19" 101.860001 102.540001 101.129997 84.270126
"2013-03-20" 102.440002 103.360001 102.339996 85.062309
"2013-03-21" 102.849998 103.970001 102.68 85.4254
"2013-03-22" 103.459999 105.120003 103.440002 86.737488
"2013-03-25" 105.190002 105.769997 104.559998 87.034531
"2013-03-26" 105.690002 106.010002 105.440002 87.447151
"2013-03-27" 105.239998 106.769997 105.040001 88.000053
"2013-03-28" 106.660004 107.059998 105.610001 87.562691
"2013-04-01" 106 106.589996 105.379997 87.315117
"2013-04-02" 106.269997 107.75 106.029999 88.858276
"2013-04-03" 107.5 107.739998 106 87.768997
"2013-04-04" 106.260002 106.889999 105.459999 87.768997
"2013-04-05" 105.300003 105.970001 104.449997 87.306862
"2013-04-08" 106.449997 107.089996 105.870003 88.330139
"2013-04-09" 107.25 107.279999 105.589996 87.298622
"2013-04-10" 105.730003 106.519997 105.529999 87.265602
"2013-04-11" 105.879997 106.400002 105.190002 87.480179
"2013-04-12" 106.139999 106.790001 105.650002 87.579185
"2013-04-15" 105.449997 106.220001 104.129997 85.994804
"2013-04-16" 104.730003 105.790001 104.550003 87.100571
"2013-04-17" 104.769997 105.25 104.339996 86.456924
"2013-04-18" 104.760002 105.120003 103.330002 85.49968
"2013-04-19" 103.199997 104.650002 103.199997 86.192841
"2013-04-22" 104.43 105.779999 104.269997 86.778732
"2013-04-23" 105.739998 107.349998 105.540001 88.503418
"2013-04-24" 107.459999 108.349998 107.300003 88.982048
"2013-04-25" 108.349998 109.339996 107.800003 90.054825
"2013-04-26" 108.900002 109.75 108.379997 90.170349
"2013-04-29" 109.300003 109.470001 108.470001 89.642181
"2013-04-30" 108.120003 108.57 107.68 89.477165
"2013-05-01" 108.129997 109 107.959999 89.303871
"2013-05-02" 108.169998 109.290001 107.720001 89.691711
"2013-05-03" 109.93 110.410004 109.010002 90.566422
"2013-05-06" 109.709999 110.25 109.029999 90.021797
"2013-05-07" 109.019997 109.779999 108.660004 90.533409
"2013-05-08" 109.900002 110.25 109.400002 90.450912
"2013-05-09" 109.879997 110.150002 108.879997 90.063065
"2013-05-10" 109.410004 110.150002 109.169998 90.764473
"2013-05-13" 109.690002 110.32 109.599998 90.780975
"2013-05-14" 110.290001 111.720001 109.889999 91.919769
"2013-05-15" 110.860001 112.949997 110.690002 93.359634
"2013-05-16" 112.589996 113 111.220001 92.275589
"2013-05-17" 112.209999 113.190002 111.639999 93.549942
"2013-05-20" 113.059998 113.129997 111.949997 92.697632
"2013-05-21" 112.480003 113.959999 112.209999 93.905807
"2013-05-22" 113.330002 114.720001 112.93 93.823044
"2013-05-23" 112.730003 114.199997 111.849998 93.66584
"2013-05-24" 112.480003 114.690002 112.25 94.658836
"2013-05-28" 115.099998 115.769997 114.029999 95.022942
"2013-05-29" 114.529999 114.650002 112.739998 93.467224
"2013-05-30" 114.279999 115.489998 111.870003 92.581779
"2013-05-31" 112.120003 112.739998 109.629997 90.719872
"2013-06-03" 109.919998 111.050003 108.57 91.75425
"2013-06-04" 110.860001 111.809998 109.900002 91.572212
"2013-06-05" 110.120003 110.589996 108.879997 90.339241
"2013-06-06" 109.540001 111.129997 109.379997 91.92807
"2013-06-07" 111.239998 111.949997 110.169998 91.50605
"2013-06-10" 110.93 111.029999 109.639999 91.28257
"2013-06-11" 109.75 111 109.519997 91.042618
"2013-06-12" 110.75 110.82 109.110001 90.529564
"2013-06-13" 109.169998 111.139999 109.019997 91.75425
"2013-06-14" 110.370003 111.620003 110.330002 91.853561
"2013-06-17" 111.75 112.5 110.940002 92.432831
"2013-06-18" 111.540001 112.199997 111.199997 92.755554
"2013-06-19" 112.230003 112.589996 110.139999 91.183289
"2013-06-20" 109.730003 109.730003 107.379997 89.006943
"2013-06-21" 108.389999 109.580002 107.900002 89.908928
"2013-06-24" 107.459999 110.599998 107.440002 90.728165
"2013-06-25" 110.68 110.68 109.239998 91.232948
"2013-06-26" 110.449997 111.470001 110.099998 92.002525
"2013-06-27" 111.57 112.349998 111.239998 92.259056
"2013-06-28" 111.209999 112.220001 110.519997 91.497742
"2013-07-01" 111.550003 111.809998 110.32 91.381897
"2013-07-02" 110.629997 111.870003 110.449997 91.729431
"2013-07-03" 110.43 111.290001 110.059998 91.779099
"2013-07-05" 112.239998 112.309998 110.709999 92.482491
"2013-07-08" 112.339996 112.970001 112.07 93.194153
"2013-07-09" 113.089996 113.599998 112.75 93.798218
"2013-07-10" 113.480003 114.040001 113.309998 94.046486
"2013-07-11" 114.839996 115.940002 114.339996 95.900085
"2013-07-12" 115.470001 116.879997 115.199997 96.37178
"2013-07-15" 116 116.239998 115.120003 95.900085
"2013-07-16" 116.169998 116.739998 115.550003 96.429695
"2013-07-17" 116.959999 117.699997 116.349998 97.149635
"2013-07-18" 117.339996 117.599998 116.400002 96.868279
"2013-07-19" 117.580002 118.139999 116.57 97.704063
"2013-07-22" 118.82 118.830002 117.650002 97.687538
"2013-07-23" 118.370003 119.150002 118.290001 98.556412
"2013-07-24" 119 119.389999 117.25 97.563408
"2013-07-25" 117.089996 117.68 116.660004 97.19101
"2013-07-26" 116.769997 117 115.540001 96.462784
"2013-07-29" 116.480003 117.699997 116.239998 96.934464
"2013-07-30" 117.839996 118.309998 116.769997 96.760696
"2013-07-31" 117.550003 118.099998 116.970001 97.166183
"2013-08-01" 118.07 118.599998 117.650002 97.927498
"2013-08-02" 118.300003 119.5 117.919998 98.779846
"2013-08-05" 119.449997 120.199997 118.940002 99.359077
"2013-08-06" 119.239998 119.919998 119.019997 98.887398
"2013-08-07" 119.150002 119.519997 118.459999 99.011841
"2013-08-08" 118.059998 118.910004 116.080002 97.394028
"2013-08-09" 116.860001 117.25 115.370003 95.933815
"2013-08-12" 115.589996 116.209999 115.019997 96.016785
"2013-08-13" 116.339996 116.349998 114.75 95.950417
"2013-08-14" 115.150002 115.25 113.589996 94.398911
"2013-08-15" 112.459999 112.779999 111.510002 92.747902
"2013-08-16" 111.769997 112.510002 111.650002 92.839188
"2013-08-19" 111.900002 112.940002 111.800003 92.988503
"2013-08-20" 112.239998 113.290001 112.099998 93.619057
"2013-08-21" 112.629997 112.870003 111.849998 92.888947
"2013-08-22" 112.050003 112.580002 111.900002 93.121239
"2013-08-23" 112.589996 113.489998 111.660004 93.80986
"2013-08-26" 113 113.120003 111.839996 92.814278
"2013-08-27" 111.230003 111.870003 111.029999 92.648369
"2013-08-28" 111.720001 111.720001 110.360001 91.644463
"2013-08-29" 110.290001 111.889999 110.190002 92.416008
"2013-08-30" 111.739998 112.190002 111.150002 92.814278
"2013-09-03" 112.809998 113.129997 111.550003 92.905556
"2013-09-04" 111.989998 112.279999 111.349998 92.507309
"2013-09-05" 113 115.099998 113 95.095863
"2013-09-06" 114.300003 115.010002 113.120003 94.871834
"2013-09-09" 114.169998 115.470001 113.93 95.701492
"2013-09-10" 115.849998 117.559998 115.529999 97.335922
"2013-09-11" 117.57 119.339996 117.5 98.937202
"2013-09-12" 119.059998 119.330002 117.860001 98.057732
"2013-09-13" 118.529999 118.57 116.910004 97.095345
"2013-09-16" 118.360001 118.459999 116.959999 97.360825
"2013-09-17" 117.300003 118.519997 117.089996 97.825432
"2013-09-18" 117.68 119.059998 116.959999 98.431099
"2013-09-19" 119.07 119.470001 118.639999 98.895699
"2013-09-20" 119.360001 119.449997 117.610001 97.850327
"2013-09-23" 117.080002 118.169998 117.050003 97.54335
"2013-09-24" 117.32 118.080002 116.32 96.522865
"2013-09-25" 116.449997 116.57 115 95.751282
"2013-09-26" 115.889999 116.480003 115.239998 96.572647
"2013-09-27" 115.610001 116.209999 115.419998 96.008492
"2013-09-30" 115.029999 115.559998 114.739998 95.55217
"2013-10-01" 115.110001 115.169998 114.650002 95.411118
"2013-10-02" 114.620003 115.089996 114.32 95.261787
