"Index" "Open" "High" "Low" "Price"
"2012-09-17" 13.87 13.955 13.775 13.87
"2012-09-18" 13.835 13.93 13.57 13.855
"2012-09-19" 13.81 13.905 13.665 13.675
"2012-09-20" 13.675 13.83 13.665 13.8
"2012-09-21" 13.88 13.965 13.725 13.78
"2012-09-24" 13.725 13.8 13.625 13.735
"2012-09-25" 13.855 13.985 13.645 13.7
"2012-09-26" 14.355 14.49 13.735 13.915
"2012-09-27" 13.925 14.01 13.615 13.885
"2012-09-28" 13.86 14 13.815 13.865
"2012-10-01" 13.855 13.865 13.565 13.725
"2012-10-02" 13.735 13.795 13.505 13.695
"2012-10-03" 13.745 13.825 13.575 13.685
"2012-10-04" 13.735 13.755 13.615 13.755
"2012-10-05" 13.83 13.895 13.69 13.73
"2012-10-08" 13.68 13.75 13.635 13.685
"2012-10-09" 13.655 13.7 13.505 13.57
"2012-10-10" 13.58 13.665 13.405 13.445
"2012-10-11" 13.49 13.6 13.425 13.435
"2012-10-12" 13.41 13.48 13.315 13.36
"2012-10-15" 13.36 13.45 13.245 13.37
"2012-10-16" 13.435 13.49 13.25 13.395
"2012-10-17" 13.41 13.68 13.325 13.64
"2012-10-18" 13.64 13.74 13.565 13.675
"2012-10-19" 13.65 13.705 13.53 13.585
"2012-10-22" 13.555 13.62 13.43 13.48
"2012-10-23" 13.375 13.5 13.175 13.43
"2012-10-24" 13.46 13.535 13.41 13.51
"2012-10-25" 13.58 13.67 13.505 13.67
"2012-10-26" 13.67 13.67 13.525 13.65
"2012-10-31" 13.96 14.425 13.825 14.395
"2012-11-01" 14.425 14.845 14.33 14.845
"2012-11-02" 14.91 14.975 14.47 14.495
"2012-11-05" 14.47 14.495 14.195 14.375
"2012-11-06" 14.39 14.655 14.39 14.545
"2012-11-07" 14.43 14.485 14.3 14.41
"2012-11-08" 14.36 14.52 14.27 14.355
"2012-11-09" 14.285 14.755 14.27 14.715
"2012-11-12" 14.725 14.93 14.515 14.745
"2012-11-13" 14.665 14.91 14.665 14.84
"2012-11-14" 14.85 14.95 14.68 14.69
