"Index" "Open" "High" "Low" "Price"
"2012-09-17" 68.489998 68.949997 68.139999 46.103127
"2012-09-18" 68.089996 68.540001 67.400002 45.758106
"2012-09-19" 67.739998 67.940002 67.290001 45.683697
"2012-09-20" 67.260002 67.43 66.150002 44.804245
"2012-09-21" 66.459999 66.68 66.07 44.783943
"2012-09-24" 65.889999 66.68 65.730003 44.499821
"2012-09-25" 65.959999 66.440002 64.809998 43.863911
"2012-09-26" 64.720001 65.139999 64.080002 44.04134
"2012-09-27" 64.709999 65.099998 64.379997 44.184639
"2012-09-28" 64.290001 64.599998 63.98 44.007217
"2012-10-01" 64.620003 64.669998 63.18 43.741096
"2012-10-02" 64.129997 64.629997 63.990002 44.089115
"2012-10-03" 64.489998 64.900002 64.029999 43.706974
"2012-10-04" 64.309998 64.709999 63.290001 43.338478
"2012-10-05" 63.650002 63.970001 63.209999 43.297531
"2012-10-08" 63.240002 63.240002 62.970001 43.065525
"2012-10-09" 63.110001 63.34 62.779999 42.997284
"2012-10-10" 63.009998 63.459999 62.689999 43.154232
"2012-10-11" 63.560001 63.740002 62.889999 42.92905
"2012-10-12" 62.950001 63.400002 62.57 42.785744
"2012-10-15" 62.799999 63.389999 62.080002 43.242947
"2012-10-16" 63.48 63.98 63.330002 43.652386
"2012-10-17" 65.32 65.32 63.889999 43.850281
"2012-10-18" 64.25 65.43 64.110001 44.628193
"2012-10-19" 65.309998 66.010002 65.129997 44.614548
"2012-10-22" 64.519997 65.470001 64.519997 44.478073
"2012-10-23" 64.790001 65.040001 64.160004 44.239239
"2012-10-24" 65.029999 65.379997 64.510002 44.218758
"2012-10-25" 64.989998 65.459999 64.059998 44.136875
"2012-10-26" 64.709999 64.709999 63.52 43.932159
"2012-10-31" 64.379997 65.709999 63.98 44.785137
"2012-11-01" 65.440002 66.589996 64.900002 45.064919
"2012-11-02" 67.800003 68 66.110001 45.84967
"2012-11-05" 67.150002 67.440002 66.32 45.836018
"2012-11-06" 67.309998 67.400002 66.510002 45.863316
"2012-11-07" 66.779999 67.400002 66.379997 45.467533
