"Index" "Open" "High" "Low" "Price"
"2012-09-17" 39.752499 39.970001 39.412498 39.540001
"2012-09-18" 39.375 39.5 38.9575 39.072498
"2012-09-19" 38.974998 39.732498 38.634998 39.494999
"2012-09-20" 39.505001 39.650002 38.502499 39.005001
"2012-09-21" 39.145 39.4375 38.752499 38.799999
"2012-09-24" 38.445 38.775002 38.012501 38.392502
"2012-09-25" 38.477501 38.955002 38.029999 38.032501
"2012-09-26" 37.764999 37.845001 36.555 37.235001
"2012-09-27" 37.599998 38.5425 37.32 38.294998
"2012-09-28" 37.922501 38.57 37.775002 38.172501
"2012-10-01" 38.2925 38.372501 37.395 37.785
"2012-10-02" 37.875 38.470001 37.567501 38.235001
"2012-10-03" 38.375 39.450001 38.3325 39.259998
"2012-10-04" 38.884998 39.5275 38.717499 39.4575
"2012-10-05" 39.872501 39.962502 38.4375 38.682499
"2012-10-08" 38.4925 39.112499 38.18 38.400002
"2012-10-09" 38.262501 38.599998 37.547501 38.035
"2012-10-10" 38.044998 38.150002 37.169998 37.540001
"2012-10-11" 38.240002 38.744999 37.912498 38.1525
"2012-10-12" 38.314999 38.6875 38.049999 38.322498
"2012-10-15" 38.27 38.737499 37.880001 38.537498
"2012-10-16" 38.6875 38.9175 38.397499 38.865002
"2012-10-17" 38.737499 38.810001 37.665001 37.907501
"2012-10-18" 37.7925 38.022499 37.215 37.525002
"2012-10-19" 37.4175 37.797501 37.105 37.252499
"2012-10-22" 37.32 37.5 36.564999 36.907501
"2012-10-23" 36.470001 37.375 36.377499 37.200001
"2012-10-24" 37.450001 37.787498 36.8675 37.055
"2012-10-25" 37.247501 37.307499 35.634998 36.327499
"2012-10-26" 36.4025 36.8325 36.317501 36.662498
"2012-10-31" 36.212502 36.814999 36.002499 36.494999
"2012-11-01" 35.8125 36.740002 34.759998 36.555
"2012-11-02" 36.790001 37.105 36.470001 36.650002
"2012-11-05" 36.717499 36.717499 35.845001 36.272499
"2012-11-06" 36.375 37.267502 36.375 36.93
"2012-11-07" 36.477501 36.935001 36.462502 36.630001
"2012-11-08" 36.567501 36.6875 35.625 35.82
"2012-11-09" 35.605 36.075001 35.255001 35.285
"2012-11-12" 35.415001 35.7075 34.9375 35.419998
"2012-11-13" 35.049999 35.669998 34.77 35.2775
"2012-11-14" 35.677502 35.955002 34.84 34.919998
"2012-11-15" 35.047501 35.255001 34.865002 35.182499
"2012-11-16" 35.342499 36.224998 35.037498 36.075001
"2012-11-19" 36.327499 37.392502 36.327499 36.830002
"2012-11-20" 36.837502 37.3825 36.092499 36.474998
"2012-11-21" 37.525002 39.772499 37.450001 39.695
"2012-11-23" 39.092499 39.922501 38.752499 39.862499
"2012-11-26" 39.217499 40.125 39.150002 40.055
"2012-11-27" 39.345001 39.8125 39.035 39.092499
"2012-11-28" 38.779999 39.522499 38.75 39.465
"2012-11-29" 39.494999 39.950001 39.465 39.6875
"2012-11-30" 39.544998 39.695 39.235001 39.4175
"2012-12-03" 39.674999 39.875 39.217499 39.262501
"2012-12-04" 39.259998 39.4175 38.7775 39.235001
"2012-12-05" 39.055 39.285 38.307499 39.217499
"2012-12-06" 39.122501 39.677502 39 39.352501
"2012-12-07" 39.272499 39.6175 39.025002 39.174999
"2012-12-10" 39.174999 39.619999 39.0975 39.605
"2012-12-11" 39.587502 41.4725 39.587502 41.25
"2012-12-12" 41.294998 42.0275 41.099998 41.7575
"2012-12-13" 41.5425 41.852501 41.387501 41.66
"2012-12-14" 41.325001 42.040001 41.325001 41.702499
"2012-12-17" 41.192501 42.637501 41.165001 42.227501
"2012-12-18" 42.252499 42.912498 42.18 42.724998
"2012-12-19" 42.82 43.1875 42.452499 42.465
"2012-12-20" 42.5 42.560001 42.130001 42.52
"2012-12-21" 41.982498 42.435001 41.869999 42.237499
"2012-12-24" 42.092499 42.360001 42 42.337502
