"Index" "Open" "High" "Low" "Price"
"2012-09-17" 41.630001 42.029999 40.75 35.933823
"2012-09-18" 41.220001 41.529999 40.73 36.16048
"2012-09-19" 41.389999 41.439999 41.060001 35.9687
"2012-09-20" 41.220001 41.490002 40.830002 35.907677
"2012-09-21" 41.369999 41.630001 40.459999 35.436924
"2012-09-24" 40.57 41.400002 40.560001 36.038429
"2012-09-25" 41.41 41.959999 41.099998 36.073307
"2012-09-26" 41.450001 41.630001 41.130001 35.881519
"2012-09-27" 41.25 41.759998 41.150002 36.256374
"2012-09-28" 41.27 41.689999 41.119999 36.116898
"2012-10-01" 41.740002 42.130001 41.52 36.343548
"2012-10-02" 41.830002 42.18 41.689999 36.718399
"2012-10-03" 42.200001 42.400002 42 36.788147
"2012-10-04" 42.450001 42.57 42.009998 36.83173
"2012-10-05" 42.34 42.459999 42.02 36.788147
"2012-10-08" 42.080002 42.400002 41.75 36.761986
"2012-10-09" 41.950001 42.740002 41.84 37.058388
"2012-10-10" 42.41 42.52 41.950001 36.587639
"2012-10-11" 42.290001 42.48 41.700001 36.439445
"2012-10-12" 41.959999 42.110001 41.689999 36.491745
"2012-10-15" 41.950001 42.119999 41.830002 36.613796
"2012-10-16" 42.5 42.580002 42.009998 36.761986
"2012-10-17" 42.299999 42.490002 42.130001 36.918907
"2012-10-18" 42.41 42.52 42.32 36.945065
"2012-10-19" 42.299999 42.400002 41.869999 36.509193
"2012-10-22" 41.919998 42.080002 41.459999 36.613796
"2012-10-23" 41.709999 41.709999 41.130001 36.169197
"2012-10-24" 41.580002 41.98 41.23 35.9687
"2012-10-25" 41.509998 41.77 41.029999 36.06459
"2012-10-26" 41.5 41.66 41.27 36.151764
"2012-10-31" 41.759998 42.040001 41.34 36.448162
"2012-11-01" 42.73 45.599998 41.790001 36.962505
"2012-11-02" 42.709999 42.709999 41.689999 36.439445
"2012-11-05" 41.549999 41.599998 41.150002 36.221497
"2012-11-06" 41.689999 42.189999 41.689999 36.439445
"2012-11-07" 40.860001 41.259998 40.439999 36.474854
"2012-11-08" 41.009998 41.029999 40.73 36.138432
"2012-11-09" 40.630001 40.91 40.540001 35.987938
"2012-11-12" 40.779999 40.779999 40.279999 35.89941
"2012-11-13" 40.419998 40.869999 40.380001 35.881691
"2012-11-14" 40.630001 40.93 39.740002 35.297398
"2012-11-15" 39.869999 40.009998 39.220001 34.881298
"2012-11-16" 39.509998 39.880001 39.290001 35.120331
"2012-11-19" 40.009998 40.130001 39.59 35.474449
"2012-11-20" 40.029999 40.639999 39.869999 35.90826
"2012-11-21" 40.549999 40.689999 40.459999 35.828571
"2012-11-23" 40.650002 40.869999 40.560001 36.173847
"2012-11-26" 40.689999 40.919998 40.639999 36.076469
"2012-11-27" 40.720001 40.919998 40.540001 35.917114
"2012-11-28" 40.439999 40.810001 40.259998 36.023346
"2012-11-29" 40.77 41.18 40.560001 36.306644
"2012-11-30" 41.080002 41.490002 41.02 36.687332
"2012-12-03" 41.639999 41.669998 41.189999 36.687332
"2012-12-04" 41.529999 41.889999 41.41 37.050312
"2012-12-05" 41.900002 42.130001 41.470001 37.156544
"2012-12-06" 41.970001 42.330002 41.849998 37.457554
"2012-12-07" 42.470001 42.52 41.950001 37.183105
"2012-12-10" 41.919998 42.130001 41.919998 37.218517
"2012-12-11" 42.150002 42.23 41.849998 37.050312
"2012-12-12" 42.029999 42.27 41.75 36.988335
"2012-12-13" 41.75 42 41.560001 36.855534
"2012-12-14" 41.560001 41.709999 41.5 36.811272
"2012-12-17" 41.759998 42.18 41.689999 37.315903
"2012-12-18" 42.110001 42.73 41.990002 37.705425
"2012-12-19" 42.599998 42.84 42.41 37.581493
"2012-12-20" 42.549999 42.799999 42.110001 37.8825
"2012-12-21" 42.790001 42.790001 40.709999 36.864391
"2012-12-24" 41.560001 41.869999 41.23 36.705036
"2012-12-26" 41.43 41.450001 41.029999 36.421738
"2012-12-27" 41.029999 41.110001 40.220001 36.032207
"2012-12-28" 40.540001 40.790001 40.279999 35.71349
"2012-12-31" 40.189999 40.900002 40.130001 36.209259
"2013-01-02" 41.48 42.040001 41.240002 37.174255
"2013-01-03" 42.009998 42.540001 41.950001 37.342457
"2013-01-04" 42.189999 42.799999 42.16 37.705425
"2013-01-07" 42.299999 42.619999 41.810001 37.625759
"2013-01-08" 42.369999 42.810001 42.23 37.731998
"2013-01-09" 42.73 42.889999 42.43 37.82053
"2013-01-10" 42.84 42.84 42.200001 37.793961
"2013-01-11" 42.650002 42.959999 42.299999 37.696587
"2013-01-14" 42.610001 42.610001 42.16 37.404434
"2013-01-15" 42.040001 42.34 41.860001 37.466404
"2013-01-16" 42.18 42.459999 41.630001 37.112278
"2013-01-17" 41.880001 42.540001 41.82 37.369015
"2013-01-18" 42.389999 42.509998 42.18 37.546082
"2013-01-22" 42.32 42.990002 42.029999 37.82053
"2013-01-23" 42.650002 42.810001 42.349998 37.599201
"2013-01-24" 42.490002 42.759998 42.259998 37.528374
"2013-01-25" 42.490002 42.59 42.009998 37.634609
"2013-01-28" 42.610001 42.669998 42.240002 37.554932
"2013-01-29" 42.32 42.740002 42.150002 37.793961
"2013-01-30" 42.740002 42.740002 42.290001 37.554932
"2013-01-31" 42.41 42.540001 41.98 37.413288
"2013-02-01" 42.599998 42.700001 42.119999 37.581493
"2013-02-04" 42.23 42.419998 41.98 37.245083
"2013-02-05" 42.389999 42.810001 42.189999 37.811676
"2013-02-06" 42.610001 42.630001 42.310001 37.625759
"2013-02-07" 42.43 42.93 42.299999 38.006447
"2013-02-08" 42.990002 43.049999 42.740002 37.953327
"2013-02-11" 42.959999 43.720001 42.82 38.272038
"2013-02-12" 43.32 43.610001 43.07 38.50222
"2013-02-13" 43.540001 43.68 43.290001 38.404839
"2013-02-14" 43.279999 43.689999 43.130001 38.661572
"2013-02-15" 43.630001 45.290001 43.630001 39.538033
"2013-02-19" 44.459999 44.77 44.279999 39.449509
"2013-02-20" 44.59 44.720001 44.139999 39.139641
"2013-02-21" 44.110001 44.18 43.669998 38.767811
"2013-02-22" 43.919998 44.240002 43.900002 39.157356
"2013-02-25" 44.380001 44.48 43.060001 38.139252
"2013-02-26" 43.209999 43.389999 42.830002 38.387123
"2013-02-27" 43.27 43.959999 43.27 38.812077
"2013-02-28" 43.73 44.060001 43.73 38.865192
"2013-03-01" 43.75 43.869999 43.419998 38.776669
"2013-03-04" 43.630001 43.77 43.16 38.679279
"2013-03-05" 43.91 44.150002 43.849998 38.909462
"2013-03-06" 44 44.080002 43.639999 38.767811
"2013-03-07" 43.759998 44.080002 43.75 38.980282
"2013-03-08" 44.18 44.509998 43.790001 39.263584
"2013-03-11" 44.310001 44.490002 44.259998 39.316704
"2013-03-12" 44.459999 44.509998 44.049999 39.104229
"2013-03-13" 44.259998 44.619999 44.09 39.458355
"2013-03-14" 44.689999 44.740002 43.950001 39.387531
"2013-03-15" 44.310001 44.790001 44.25 39.591152
"2013-03-18" 44.560001 45.66 44.27 40.263985
"2013-03-19" 45.66 45.939999 45.290001 40.662388
"2013-03-20" 44.299999 44.580002 42.110001 38.847492
"2013-03-21" 43.580002 43.650002 42.950001 38.236629
"2013-03-22" 43.09 43.419998 43.029999 38.413685
"2013-03-25" 43.43 43.43 42.91 38.130386
"2013-03-26" 43.299999 43.41 43.099998 38.395977
"2013-03-27" 43.27 43.68 43.18 38.537636
"2013-03-28" 43.48 44.220001 43.459999 39.068817
"2013-04-01" 44.099998 44.220001 43.599998 38.9006
"2013-04-02" 44.07 44.360001 44 39.006847
"2013-04-03" 42.349998 44.279999 42.349998 38.971443
"2013-04-04" 44.169998 44.290001 43.779999 39.006847
"2013-04-05" 43.599998 43.93 43.490002 38.829784
"2013-04-08" 43.950001 44.259998 43.900002 39.175049
"2013-04-09" 44.349998 44.98 44.099998 39.219318
"2013-04-10" 44.360001 45.209999 44.150002 40.016106
"2013-04-11" 45.32 45.77 45.02 40.35252
"2013-04-12" 45.540001 45.939999 45.439999 40.618122
"2013-04-15" 45.639999 45.720001 44.259998 39.298996
"2013-04-16" 44.509998 45.110001 44.470001 39.883305
"2013-04-17" 44.740002 44.959999 43.84 39.113087
"2013-04-18" 44.34 44.41 43.810001 39.157356
"2013-04-19" 44.34 44.869999 44.119999 39.661976
"2013-04-22" 44.810001 45.130001 44.34 39.635414
"2013-04-23" 44.990002 45 44.43 39.529182
"2013-04-24" 44.75 44.900002 44.349998 39.732807
"2013-04-25" 45.189999 45.360001 44.889999 39.821331
"2013-04-26" 45.009998 45.060001 44.439999 39.520329
"2013-04-29" 44.84 45.080002 44.509998 39.653122
"2013-04-30" 44.759998 45.009998 44.540001 39.723949
"2013-05-01" 44.73 44.970001 44.169998 39.148499
"2013-05-02" 44.32 44.68 44.23 39.520329
"2013-05-03" 44.950001 45.59 44.919998 40.060371
"2013-05-06" 45.189999 45.32 44.880001 39.936424
"2013-05-07" 45.099998 45.380001 44.990002 40.086929
"2013-05-08" 45.139999 45.610001 45.07 40.051521
"2013-05-09" 45.200001 45.290001 44.75 39.723949
"2013-05-10" 45 45.169998 44.880001 39.936424
"2013-05-13" 44.970001 45.09 44.77 39.741653
"2013-05-14" 44.959999 45.150002 44.919998 39.962975
"2013-05-15" 45.040001 45.669998 44.380001 40.35252
"2013-05-16" 45.459999 45.860001 45.18 40.202026
"2013-05-17" 45.43 45.970001 45.310001 40.626965
"2013-05-20" 45.880001 45.93 45.68 40.635818
"2013-05-21" 45.799999 46.119999 45.779999 40.626965
"2013-05-22" 45.919998 46.27 45.290001 40.148899
"2013-05-23" 45.240002 45.400002 44.759998 39.697392
"2013-05-24" 44.459999 44.98 44.380001 39.821331
